OBJECTNUMMER;Ontwikkelbuurtcode;Ontwikkelbuurtnaam;Stadsdeel;Webpagina;Informatie_pdf;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"ZO6";"E/G-Noord";"Zuidoost";"https://www.amsterdam.nl/egk-buurt-(bijlmer/";"";"POLYGON((4.9714760 52.3253510,4.9712580 52.3255860,4.9711260 52.3257130,4.9704680 52.3262870,4.9702490 52.3261690,4.9696030 52.3265170,4.9692050 52.3267820,4.9675360 52.3277570,4.9663850 52.3273630,4.9675420 52.3261120,4.9671460 52.3250490,4.9674470 52.3247580,4.9670560 52.3245720,4.9674170 52.3241780,4.9671940 52.3238960,4.9672090 52.3237580,4.9672500 52.3236380,4.9673270 52.3235070,4.9674740 52.3233330,4.9677500 52.3230450,4.9678480 52.3229880,4.9679380 52.3229630,4.9695580 52.3228900,4.9696310 52.3228980,4.9697070 52.3229220,4.9701150 52.3224700,4.9731550 52.3235120,4.9721400 52.3246080,4.9714760 52.3253510))";"POLYGON((52.3253510 4.9714760,52.3255860 4.9712580,52.3257130 4.9711260,52.3262870 4.9704680,52.3261690 4.9702490,52.3265170 4.9696030,52.3267820 4.9692050,52.3277570 4.9675360,52.3273630 4.9663850,52.3261120 4.9675420,52.3250490 4.9671460,52.3247580 4.9674470,52.3245720 4.9670560,52.3241780 4.9674170,52.3238960 4.9671940,52.3237580 4.9672090,52.3236380 4.9672500,52.3235070 4.9673270,52.3233330 4.9674740,52.3230450 4.9677500,52.3229880 4.9678480,52.3229630 4.9679380,52.3228900 4.9695580,52.3228980 4.9696310,52.3229220 4.9697070,52.3224700 4.9701150,52.3235120 4.9731550,52.3246080 4.9721400,52.3253510 4.9714760))";4.969775;52.3251065;
2;"ZO4";"Holendrecht";"Zuidoost";"https://www.amsterdam.nl/gaasperdam-en/";"";"POLYGON((4.9553970 52.3024960,4.9557440 52.3020970,4.9560950 52.3017300,4.9584410 52.2991860,4.9593140 52.2982110,4.9595780 52.2980160,4.9601740 52.2973530,4.9609990 52.2962990,4.9609540 52.2962450,4.9611540 52.2960130,4.9617430 52.2953800,4.9623130 52.2955800,4.9625130 52.2954020,4.9626590 52.2952910,4.9628540 52.2951570,4.9630220 52.2950570,4.9632430 52.2949400,4.9635000 52.2948180,4.9636810 52.2947440,4.9639840 52.2946370,4.9642140 52.2945670,4.9644800 52.2944990,4.9647510 52.2944420,4.9650600 52.2943910,4.9653060 52.2943600,4.9656190 52.2943340,4.9659330 52.2943220,4.9662230 52.2943230,4.9665790 52.2943390,4.9668040 52.2943590,4.9674690 52.2944490,4.9696950 52.2948260,4.9716510 52.2951920,4.9741600 52.2956170,4.9735460 52.2969870,4.9732340 52.2977220,4.9727890 52.2986470,4.9732070 52.2987670,4.9740650 52.2990830,4.9774000 52.3002160,4.9775910 52.3002880,4.9777110 52.3003440,4.9778760 52.3004380,4.9780230 52.3005420,4.9781490 52.3006560,4.9782550 52.3007790,4.9783360 52.3009070,4.9787150 52.3016070,4.9782790 52.3016990,4.9779980 52.3017750,4.9775940 52.3019110,4.9773380 52.3020170,4.9770950 52.3021320,4.9767540 52.3023230,4.9765460 52.3024610,4.9762640 52.3026860,4.9714160 52.3079950,4.9653670 52.3059190,4.9553970 52.3024960))";"POLYGON((52.3024960 4.9553970,52.3020970 4.9557440,52.3017300 4.9560950,52.2991860 4.9584410,52.2982110 4.9593140,52.2980160 4.9595780,52.2973530 4.9601740,52.2962990 4.9609990,52.2962450 4.9609540,52.2960130 4.9611540,52.2953800 4.9617430,52.2955800 4.9623130,52.2954020 4.9625130,52.2952910 4.9626590,52.2951570 4.9628540,52.2950570 4.9630220,52.2949400 4.9632430,52.2948180 4.9635000,52.2947440 4.9636810,52.2946370 4.9639840,52.2945670 4.9642140,52.2944990 4.9644800,52.2944420 4.9647510,52.2943910 4.9650600,52.2943600 4.9653060,52.2943340 4.9656190,52.2943220 4.9659330,52.2943230 4.9662230,52.2943390 4.9665790,52.2943590 4.9668040,52.2944490 4.9674690,52.2948260 4.9696950,52.2951920 4.9716510,52.2956170 4.9741600,52.2969870 4.9735460,52.2977220 4.9732340,52.2986470 4.9727890,52.2987670 4.9732070,52.2990830 4.9740650,52.3002160 4.9774000,52.3002880 4.9775910,52.3003440 4.9777110,52.3004380 4.9778760,52.3005420 4.9780230,52.3006560 4.9781490,52.3007790 4.9782550,52.3009070 4.9783360,52.3016070 4.9787150,52.3016990 4.9782790,52.3017750 4.9779980,52.3019110 4.9775940,52.3020170 4.9773380,52.3021320 4.9770950,52.3023230 4.9767540,52.3024610 4.9765460,52.3026860 4.9762640,52.3079950 4.9714160,52.3059190 4.9653670,52.3024960 4.9553970))";4.967061;52.3011515;
3;"ZO5";"Venserpolder";"Zuidoost";"https://www.amsterdam.nl/venserpolder-en-fd";"";"POLYGON((4.9528600 52.3224360,4.9477920 52.3206660,4.9476700 52.3205990,4.9476040 52.3205300,4.9475740 52.3204640,4.9475690 52.3204100,4.9475860 52.3203430,4.9476170 52.3202920,4.9481210 52.3197560,4.9504530 52.3171670,4.9462950 52.3157390,4.9457720 52.3155910,4.9454480 52.3155080,4.9451260 52.3154480,4.9446070 52.3152940,4.9438150 52.3150220,4.9437130 52.3151370,4.9436120 52.3151340,4.9429600 52.3157560,4.9429740 52.3158310,4.9429460 52.3159690,4.9419470 52.3174570,4.9414110 52.3179490,4.9409090 52.3185120,4.9406880 52.3185390,4.9402520 52.3190620,4.9403490 52.3191630,4.9402050 52.3193340,4.9410410 52.3196200,4.9404840 52.3203460,4.9403720 52.3205070,4.9402040 52.3208150,4.9400700 52.3211530,4.9399890 52.3214500,4.9399250 52.3219360,4.9397600 52.3220290,4.9395700 52.3221120,4.9394430 52.3221790,4.9391370 52.3223890,4.9389440 52.3225040,4.9386250 52.3227390,4.9385160 52.3228030,4.9383660 52.3228390,4.9382540 52.3229010,4.9379950 52.3230620,4.9378000 52.3232350,4.9376180 52.3233000,4.9378560 52.3237600,4.9379600 52.3241230,4.9382630 52.3241450,4.9385470 52.3241900,4.9386100 52.3242160,4.9386890 52.3242860,4.9393170 52.3247760,4.9393650 52.3248360,4.9394600 52.3249140,4.9398510 52.3251920,4.9398570 52.3251890,4.9398840 52.3252070,4.9399740 52.3252870,4.9403470 52.3255560,4.9404920 52.3256780,4.9476570 52.3281390,4.9528600 52.3224360))";"POLYGON((52.3224360 4.9528600,52.3206660 4.9477920,52.3205990 4.9476700,52.3205300 4.9476040,52.3204640 4.9475740,52.3204100 4.9475690,52.3203430 4.9475860,52.3202920 4.9476170,52.3197560 4.9481210,52.3171670 4.9504530,52.3157390 4.9462950,52.3155910 4.9457720,52.3155080 4.9454480,52.3154480 4.9451260,52.3152940 4.9446070,52.3150220 4.9438150,52.3151370 4.9437130,52.3151340 4.9436120,52.3157560 4.9429600,52.3158310 4.9429740,52.3159690 4.9429460,52.3174570 4.9419470,52.3179490 4.9414110,52.3185120 4.9409090,52.3185390 4.9406880,52.3190620 4.9402520,52.3191630 4.9403490,52.3193340 4.9402050,52.3196200 4.9410410,52.3203460 4.9404840,52.3205070 4.9403720,52.3208150 4.9402040,52.3211530 4.9400700,52.3214500 4.9399890,52.3219360 4.9399250,52.3220290 4.9397600,52.3221120 4.9395700,52.3221790 4.9394430,52.3223890 4.9391370,52.3225040 4.9389440,52.3227390 4.9386250,52.3228030 4.9385160,52.3228390 4.9383660,52.3229010 4.9382540,52.3230620 4.9379950,52.3232350 4.9378000,52.3233000 4.9376180,52.3237600 4.9378560,52.3241230 4.9379600,52.3241450 4.9382630,52.3241900 4.9385470,52.3242160 4.9386100,52.3242860 4.9386890,52.3247760 4.9393170,52.3248360 4.9393650,52.3249140 4.9394600,52.3251920 4.9398510,52.3251890 4.9398570,52.3252070 4.9398840,52.3252870 4.9399740,52.3255560 4.9403470,52.3256780 4.9404920,52.3281390 4.9476570,52.3224360 4.9528600))";4.945244;52.3215735;
4;"ZO1";"H-buurt";"Zuidoost";"https://www.amsterdam.nl/h-buurt";"";"POLYGON((4.9653670 52.3059190,4.9615590 52.3100710,4.9609250 52.3098540,4.9570490 52.3140960,4.9551590 52.3134500,4.9475040 52.3108070,4.9477460 52.3105440,4.9520920 52.3060760,4.9524870 52.3057050,4.9531320 52.3049580,4.9549800 52.3028920,4.9550560 52.3028080,4.9553280 52.3025760,4.9553970 52.3024960,4.9653670 52.3059190))";"POLYGON((52.3059190 4.9653670,52.3100710 4.9615590,52.3098540 4.9609250,52.3140960 4.9570490,52.3134500 4.9551590,52.3108070 4.9475040,52.3105440 4.9477460,52.3060760 4.9520920,52.3057050 4.9524870,52.3049580 4.9531320,52.3028920 4.9549800,52.3028080 4.9550560,52.3025760 4.9553280,52.3024960 4.9553970,52.3059190 4.9653670))";4.9564405;52.308289;
5;"ZO3";"Reigersbos";"Zuidoost";"https://www.amsterdam.nl/gaasperdam-en/";"";"POLYGON((4.9617430 52.2953800,4.9631870 52.2938810,4.9636660 52.2933100,4.9639570 52.2930550,4.9658410 52.2910030,4.9660140 52.2908600,4.9662830 52.2904640,4.9693040 52.2871290,4.9697400 52.2866150,4.9700000 52.2863680,4.9718370 52.2843610,4.9723930 52.2847170,4.9726100 52.2848470,4.9728210 52.2849460,4.9729510 52.2849920,4.9730700 52.2850220,4.9730990 52.2850460,4.9731680 52.2851660,4.9732390 52.2852310,4.9734580 52.2853410,4.9737110 52.2854450,4.9747700 52.2860920,4.9749340 52.2862250,4.9751460 52.2863430,4.9759340 52.2866480,4.9761140 52.2867520,4.9763880 52.2868630,4.9772770 52.2872680,4.9785660 52.2878400,4.9792320 52.2880990,4.9797860 52.2883510,4.9801100 52.2885110,4.9804430 52.2886450,4.9809560 52.2888700,4.9813400 52.2889960,4.9816630 52.2891490,4.9820480 52.2893060,4.9821880 52.2893500,4.9823400 52.2894280,4.9824640 52.2894660,4.9826150 52.2895240,4.9827460 52.2895900,4.9828820 52.2896400,4.9829150 52.2896680,4.9829770 52.2897890,4.9830830 52.2898920,4.9833630 52.2902240,4.9835040 52.2903680,4.9835750 52.2904600,4.9822710 52.2906180,4.9822160 52.2906310,4.9821630 52.2906720,4.9819540 52.2928680,4.9820860 52.2945170,4.9821100 52.2945600,4.9821570 52.2945950,4.9823630 52.2946530,4.9824180 52.2946840,4.9824560 52.2947240,4.9824700 52.2947690,4.9824970 52.2950960,4.9824890 52.2951740,4.9824540 52.2952490,4.9821580 52.2955710,4.9820700 52.2957060,4.9820440 52.2958250,4.9820380 52.2965630,4.9820500 52.2966200,4.9820860 52.2966890,4.9821980 52.2968230,4.9818550 52.2969430,4.9820270 52.2971310,4.9820550 52.2972240,4.9820420 52.2974100,4.9818660 52.2980130,4.9818580 52.2985850,4.9818360 52.2986210,4.9818020 52.2986480,4.9814540 52.2988350,4.9813600 52.2989080,4.9799420 52.3004730,4.9799200 52.3005160,4.9799060 52.3005780,4.9798930 52.3015140,4.9794340 52.3015150,4.9789630 52.3015660,4.9787150 52.3016070,4.9783360 52.3009070,4.9782550 52.3007790,4.9781490 52.3006560,4.9780230 52.3005420,4.9778760 52.3004380,4.9777110 52.3003440,4.9775910 52.3002880,4.9774000 52.3002160,4.9740650 52.2990830,4.9732070 52.2987670,4.9727890 52.2986470,4.9732340 52.2977220,4.9735460 52.2969870,4.9741600 52.2956170,4.9716510 52.2951920,4.9696950 52.2948260,4.9674690 52.2944490,4.9668040 52.2943590,4.9665790 52.2943390,4.9662230 52.2943230,4.9659330 52.2943220,4.9656190 52.2943340,4.9653060 52.2943600,4.9650600 52.2943910,4.9647510 52.2944420,4.9644800 52.2944990,4.9642140 52.2945670,4.9639840 52.2946370,4.9636810 52.2947440,4.9635000 52.2948180,4.9632430 52.2949400,4.9630220 52.2950570,4.9628540 52.2951570,4.9626590 52.2952910,4.9625130 52.2954020,4.9623130 52.2955800,4.9617430 52.2953800))";"POLYGON((52.2953800 4.9617430,52.2938810 4.9631870,52.2933100 4.9636660,52.2930550 4.9639570,52.2910030 4.9658410,52.2908600 4.9660140,52.2904640 4.9662830,52.2871290 4.9693040,52.2866150 4.9697400,52.2863680 4.9700000,52.2843610 4.9718370,52.2847170 4.9723930,52.2848470 4.9726100,52.2849460 4.9728210,52.2849920 4.9729510,52.2850220 4.9730700,52.2850460 4.9730990,52.2851660 4.9731680,52.2852310 4.9732390,52.2853410 4.9734580,52.2854450 4.9737110,52.2860920 4.9747700,52.2862250 4.9749340,52.2863430 4.9751460,52.2866480 4.9759340,52.2867520 4.9761140,52.2868630 4.9763880,52.2872680 4.9772770,52.2878400 4.9785660,52.2880990 4.9792320,52.2883510 4.9797860,52.2885110 4.9801100,52.2886450 4.9804430,52.2888700 4.9809560,52.2889960 4.9813400,52.2891490 4.9816630,52.2893060 4.9820480,52.2893500 4.9821880,52.2894280 4.9823400,52.2894660 4.9824640,52.2895240 4.9826150,52.2895900 4.9827460,52.2896400 4.9828820,52.2896680 4.9829150,52.2897890 4.9829770,52.2898920 4.9830830,52.2902240 4.9833630,52.2903680 4.9835040,52.2904600 4.9835750,52.2906180 4.9822710,52.2906310 4.9822160,52.2906720 4.9821630,52.2928680 4.9819540,52.2945170 4.9820860,52.2945600 4.9821100,52.2945950 4.9821570,52.2946530 4.9823630,52.2946840 4.9824180,52.2947240 4.9824560,52.2947690 4.9824700,52.2950960 4.9824970,52.2951740 4.9824890,52.2952490 4.9824540,52.2955710 4.9821580,52.2957060 4.9820700,52.2958250 4.9820440,52.2965630 4.9820380,52.2966200 4.9820500,52.2966890 4.9820860,52.2968230 4.9821980,52.2969430 4.9818550,52.2971310 4.9820270,52.2972240 4.9820550,52.2974100 4.9820420,52.2980130 4.9818660,52.2985850 4.9818580,52.2986210 4.9818360,52.2986480 4.9818020,52.2988350 4.9814540,52.2989080 4.9813600,52.3004730 4.9799420,52.3005160 4.9799200,52.3005780 4.9799060,52.3015140 4.9798930,52.3015150 4.9794340,52.3015660 4.9789630,52.3016070 4.9787150,52.3009070 4.9783360,52.3007790 4.9782550,52.3006560 4.9781490,52.3005420 4.9780230,52.3004380 4.9778760,52.3003440 4.9777110,52.3002880 4.9775910,52.3002160 4.9774000,52.2990830 4.9740650,52.2987670 4.9732070,52.2986470 4.9727890,52.2977220 4.9732340,52.2969870 4.9735460,52.2956170 4.9741600,52.2951920 4.9716510,52.2948260 4.9696950,52.2944490 4.9674690,52.2943590 4.9668040,52.2943390 4.9665790,52.2943230 4.9662230,52.2943220 4.9659330,52.2943340 4.9656190,52.2943600 4.9653060,52.2943910 4.9650600,52.2944420 4.9647510,52.2944990 4.9644800,52.2945670 4.9642140,52.2946370 4.9639840,52.2947440 4.9636810,52.2948180 4.9635000,52.2949400 4.9632430,52.2950570 4.9630220,52.2951570 4.9628540,52.2952910 4.9626590,52.2954020 4.9625130,52.2955800 4.9623130,52.2953800 4.9617430))";4.972664;52.292977;
6;"ZO2";"K-buurt";"Zuidoost";"https://www.amsterdam.nl/egk-buurt-(bijlmer/";"";"POLYGON((4.9649400 52.3170400,4.9667300 52.3151000,4.9667880 52.3150490,4.9669340 52.3149620,4.9670780 52.3149090,4.9672370 52.3148750,4.9678750 52.3147900,4.9679830 52.3147680,4.9681470 52.3147120,4.9683130 52.3146170,4.9683970 52.3145400,4.9703940 52.3123790,4.9704230 52.3123060,4.9703950 52.3122310,4.9700380 52.3118180,4.9700010 52.3117630,4.9699790 52.3117050,4.9699730 52.3116450,4.9699820 52.3115860,4.9700060 52.3115290,4.9700450 52.3114740,4.9714180 52.3099600,4.9715440 52.3098560,4.9717750 52.3097240,4.9719530 52.3096530,4.9720470 52.3096230,4.9722460 52.3095780,4.9724530 52.3095490,4.9726630 52.3095390,4.9727700 52.3095410,4.9729790 52.3095580,4.9732810 52.3096180,4.9739650 52.3088710,4.9873230 52.3134530,4.9883800 52.3138340,4.9891230 52.3141130,4.9900840 52.3144860,4.9911330 52.3149140,4.9923180 52.3154200,4.9933830 52.3158980,4.9890860 52.3222380,4.9840400 52.3210800,4.9835230 52.3216550,4.9823100 52.3212400,4.9795940 52.3204690,4.9789690 52.3215320,4.9780990 52.3205960,4.9776840 52.3201850,4.9775800 52.3201030,4.9770320 52.3197480,4.9769400 52.3196710,4.9765630 52.3192760,4.9764460 52.3191980,4.9763310 52.3191520,4.9762020 52.3191210,4.9760660 52.3191080,4.9757140 52.3191090,4.9755640 52.3191350,4.9749180 52.3193710,4.9748540 52.3194070,4.9744460 52.3199480,4.9744060 52.3199850,4.9743510 52.3200180,4.9742700 52.3200460,4.9741810 52.3200590,4.9735600 52.3200700,4.9734620 52.3200550,4.9734130 52.3200360,4.9733630 52.3200030,4.9726660 52.3192810,4.9725900 52.3192280,4.9725140 52.3191950,4.9724070 52.3191690,4.9723150 52.3191620,4.9710830 52.3191720,4.9709700 52.3191660,4.9708220 52.3191330,4.9675900 52.3180250,4.9674950 52.3179450,4.9670900 52.3178060,4.9669940 52.3177270,4.9653390 52.3171590,4.9649400 52.3170400))";"POLYGON((52.3170400 4.9649400,52.3151000 4.9667300,52.3150490 4.9667880,52.3149620 4.9669340,52.3149090 4.9670780,52.3148750 4.9672370,52.3147900 4.9678750,52.3147680 4.9679830,52.3147120 4.9681470,52.3146170 4.9683130,52.3145400 4.9683970,52.3123790 4.9703940,52.3123060 4.9704230,52.3122310 4.9703950,52.3118180 4.9700380,52.3117630 4.9700010,52.3117050 4.9699790,52.3116450 4.9699730,52.3115860 4.9699820,52.3115290 4.9700060,52.3114740 4.9700450,52.3099600 4.9714180,52.3098560 4.9715440,52.3097240 4.9717750,52.3096530 4.9719530,52.3096230 4.9720470,52.3095780 4.9722460,52.3095490 4.9724530,52.3095390 4.9726630,52.3095410 4.9727700,52.3095580 4.9729790,52.3096180 4.9732810,52.3088710 4.9739650,52.3134530 4.9873230,52.3138340 4.9883800,52.3141130 4.9891230,52.3144860 4.9900840,52.3149140 4.9911330,52.3154200 4.9923180,52.3158980 4.9933830,52.3222380 4.9890860,52.3210800 4.9840400,52.3216550 4.9835230,52.3212400 4.9823100,52.3204690 4.9795940,52.3215320 4.9789690,52.3205960 4.9780990,52.3201850 4.9776840,52.3201030 4.9775800,52.3197480 4.9770320,52.3196710 4.9769400,52.3192760 4.9765630,52.3191980 4.9764460,52.3191520 4.9763310,52.3191210 4.9762020,52.3191080 4.9760660,52.3191090 4.9757140,52.3191350 4.9755640,52.3193710 4.9749180,52.3194070 4.9748540,52.3199480 4.9744460,52.3199850 4.9744060,52.3200180 4.9743510,52.3200460 4.9742700,52.3200590 4.9741810,52.3200700 4.9735600,52.3200550 4.9734620,52.3200360 4.9734130,52.3200030 4.9733630,52.3192810 4.9726660,52.3192280 4.9725900,52.3191950 4.9725140,52.3191690 4.9724070,52.3191620 4.9723150,52.3191720 4.9710830,52.3191660 4.9709700,52.3191330 4.9708220,52.3180250 4.9675900,52.3179450 4.9674950,52.3178060 4.9670900,52.3177270 4.9669940,52.3171590 4.9653390,52.3170400 4.9649400))";4.9791665;52.3155475;
7;"N1";"Molenwijk";"Noord";"https://www.amsterdam.nl/projecten/molenwijk/";"";"POLYGON((4.8843520 52.4211120,4.8835370 52.4209610,4.8857800 52.4175670,4.8865250 52.4164700,4.8865990 52.4163780,4.8867600 52.4162190,4.8869590 52.4160510,4.8874180 52.4158690,4.8879390 52.4157480,4.8882150 52.4157140,4.8884980 52.4157100,4.8888390 52.4157220,4.8894070 52.4158060,4.8927480 52.4162430,4.8935930 52.4163880,4.8945390 52.4165240,4.8945390 52.4173390,4.8944960 52.4174870,4.8944290 52.4176000,4.8943330 52.4177060,4.8942120 52.4178010,4.8932260 52.4184350,4.8929040 52.4187150,4.8926360 52.4189670,4.8925590 52.4190670,4.8925330 52.4191410,4.8925280 52.4192160,4.8925450 52.4192910,4.8925820 52.4193620,4.8926390 52.4194290,4.8927130 52.4194880,4.8924380 52.4197260,4.8920730 52.4200780,4.8919320 52.4200630,4.8919240 52.4201040,4.8919370 52.4201450,4.8920250 52.4201700,4.8919410 52.4202800,4.8916130 52.4202090,4.8914950 52.4203320,4.8914410 52.4204770,4.8906690 52.4214190,4.8905930 52.4214860,4.8905080 52.4215340,4.8904230 52.4215680,4.8903360 52.4215910,4.8901340 52.4216160,4.8887680 52.4216400,4.8881830 52.4216250,4.8878940 52.4216030,4.8850580 52.4212220,4.8843520 52.4211120))";"POLYGON((52.4211120 4.8843520,52.4209610 4.8835370,52.4175670 4.8857800,52.4164700 4.8865250,52.4163780 4.8865990,52.4162190 4.8867600,52.4160510 4.8869590,52.4158690 4.8874180,52.4157480 4.8879390,52.4157140 4.8882150,52.4157100 4.8884980,52.4157220 4.8888390,52.4158060 4.8894070,52.4162430 4.8927480,52.4163880 4.8935930,52.4165240 4.8945390,52.4173390 4.8945390,52.4174870 4.8944960,52.4176000 4.8944290,52.4177060 4.8943330,52.4178010 4.8942120,52.4184350 4.8932260,52.4187150 4.8929040,52.4189670 4.8926360,52.4190670 4.8925590,52.4191410 4.8925330,52.4192160 4.8925280,52.4192910 4.8925450,52.4193620 4.8925820,52.4194290 4.8926390,52.4194880 4.8927130,52.4197260 4.8924380,52.4200780 4.8920730,52.4200630 4.8919320,52.4201040 4.8919240,52.4201450 4.8919370,52.4201700 4.8920250,52.4202800 4.8919410,52.4202090 4.8916130,52.4203320 4.8914950,52.4204770 4.8914410,52.4214190 4.8906690,52.4214860 4.8905930,52.4215340 4.8905080,52.4215680 4.8904230,52.4215910 4.8903360,52.4216160 4.8901340,52.4216400 4.8887680,52.4216250 4.8881830,52.4216030 4.8878940,52.4212220 4.8850580,52.4211120 4.8843520))";4.889043;52.418668;
8;"N2";"Banne Noord";"Noord";"https://www.amsterdam.nl/projecten/banne-noord/";"";"POLYGON((4.9127510 52.4102290,4.9153280 52.4123620,4.9174470 52.4141370,4.9192530 52.4156160,4.9198210 52.4160980,4.9204510 52.4166060,4.9205160 52.4165640,4.9205490 52.4165160,4.9206810 52.4164970,4.9207980 52.4163860,4.9208920 52.4163270,4.9211010 52.4162420,4.9212620 52.4161640,4.9214530 52.4160930,4.9219330 52.4158710,4.9220550 52.4158060,4.9234570 52.4152420,4.9250780 52.4144680,4.9251800 52.4144020,4.9254710 52.4142670,4.9254960 52.4142340,4.9255390 52.4142110,4.9257750 52.4141230,4.9268760 52.4136160,4.9273070 52.4134370,4.9275990 52.4132900,4.9278710 52.4131880,4.9281040 52.4130730,4.9283810 52.4129630,4.9287730 52.4127760,4.9289150 52.4126980,4.9291980 52.4125790,4.9294700 52.4124490,4.9295830 52.4124120,4.9296520 52.4123740,4.9298620 52.4122960,4.9299300 52.4122570,4.9300910 52.4121950,4.9302570 52.4121160,4.9303380 52.4120880,4.9303850 52.4120800,4.9304060 52.4119420,4.9307160 52.4116070,4.9305070 52.4115310,4.9303080 52.4114450,4.9301220 52.4113500,4.9299510 52.4112450,4.9297940 52.4111310,4.9294630 52.4108450,4.9290210 52.4103810,4.9285410 52.4097540,4.9281810 52.4093250,4.9272160 52.4087400,4.9268380 52.4084440,4.9257490 52.4074790,4.9255860 52.4072820,4.9254010 52.4070180,4.9252410 52.4067200,4.9251500 52.4064110,4.9251470 52.4052640,4.9250640 52.4048000,4.9245200 52.4049920,4.9239860 52.4051930,4.9232020 52.4055140,4.9177470 52.4079360,4.9151930 52.4091240,4.9127510 52.4102290))";"POLYGON((52.4102290 4.9127510,52.4123620 4.9153280,52.4141370 4.9174470,52.4156160 4.9192530,52.4160980 4.9198210,52.4166060 4.9204510,52.4165640 4.9205160,52.4165160 4.9205490,52.4164970 4.9206810,52.4163860 4.9207980,52.4163270 4.9208920,52.4162420 4.9211010,52.4161640 4.9212620,52.4160930 4.9214530,52.4158710 4.9219330,52.4158060 4.9220550,52.4152420 4.9234570,52.4144680 4.9250780,52.4144020 4.9251800,52.4142670 4.9254710,52.4142340 4.9254960,52.4142110 4.9255390,52.4141230 4.9257750,52.4136160 4.9268760,52.4134370 4.9273070,52.4132900 4.9275990,52.4131880 4.9278710,52.4130730 4.9281040,52.4129630 4.9283810,52.4127760 4.9287730,52.4126980 4.9289150,52.4125790 4.9291980,52.4124490 4.9294700,52.4124120 4.9295830,52.4123740 4.9296520,52.4122960 4.9298620,52.4122570 4.9299300,52.4121950 4.9300910,52.4121160 4.9302570,52.4120880 4.9303380,52.4120800 4.9303850,52.4119420 4.9304060,52.4116070 4.9307160,52.4115310 4.9305070,52.4114450 4.9303080,52.4113500 4.9301220,52.4112450 4.9299510,52.4111310 4.9297940,52.4108450 4.9294630,52.4103810 4.9290210,52.4097540 4.9285410,52.4093250 4.9281810,52.4087400 4.9272160,52.4084440 4.9268380,52.4074790 4.9257490,52.4072820 4.9255860,52.4070180 4.9254010,52.4067200 4.9252410,52.4064110 4.9251500,52.4052640 4.9251470,52.4048000 4.9250640,52.4049920 4.9245200,52.4051930 4.9239860,52.4055140 4.9232020,52.4079360 4.9177470,52.4091240 4.9151930,52.4102290 4.9127510))";4.9217385;52.410696;
9;"N3";"Banne Zuid";"Noord";"https://www.amsterdam.nl/projecten/bannezuid/";"";"POLYGON((4.9127510 52.4102290,4.9151930 52.4091240,4.9177470 52.4079360,4.9232020 52.4055140,4.9239860 52.4051930,4.9245200 52.4049920,4.9250640 52.4048000,4.9249780 52.4043390,4.9237960 52.4022400,4.9230970 52.4012370,4.9228750 52.4006520,4.9227140 52.4000580,4.9225270 52.3995660,4.9224340 52.3994530,4.9223060 52.3993530,4.9221900 52.3992900,4.9221020 52.3992560,4.9215020 52.3997740,4.9199630 52.4003700,4.9198640 52.4004020,4.9192140 52.4005800,4.9189140 52.4006440,4.9175890 52.4009940,4.9147230 52.4014950,4.9109830 52.4025010,4.9107550 52.4025780,4.9096020 52.4030390,4.9079180 52.4026090,4.9073120 52.4025240,4.9052050 52.4033360,4.9050060 52.4034500,4.9049050 52.4035230,4.9048160 52.4036020,4.9047220 52.4037060,4.9047010 52.4037510,4.9046930 52.4038050,4.9047060 52.4038680,4.9047300 52.4039130,4.9050880 52.4042510,4.9051640 52.4043090,4.9062170 52.4048600,4.9052250 52.4055990,4.9060490 52.4060390,4.9062950 52.4062150,4.9064680 52.4063770,4.9066090 52.4065500,4.9073090 52.4076130,4.9073700 52.4077530,4.9073850 52.4078960,4.9090360 52.4080150,4.9105950 52.4093360,4.9114540 52.4095920,4.9126200 52.4100750,4.9127510 52.4102290))";"POLYGON((52.4102290 4.9127510,52.4091240 4.9151930,52.4079360 4.9177470,52.4055140 4.9232020,52.4051930 4.9239860,52.4049920 4.9245200,52.4048000 4.9250640,52.4043390 4.9249780,52.4022400 4.9237960,52.4012370 4.9230970,52.4006520 4.9228750,52.4000580 4.9227140,52.3995660 4.9225270,52.3994530 4.9224340,52.3993530 4.9223060,52.3992900 4.9221900,52.3992560 4.9221020,52.3997740 4.9215020,52.4003700 4.9199630,52.4004020 4.9198640,52.4005800 4.9192140,52.4006440 4.9189140,52.4009940 4.9175890,52.4014950 4.9147230,52.4025010 4.9109830,52.4025780 4.9107550,52.4030390 4.9096020,52.4026090 4.9079180,52.4025240 4.9073120,52.4033360 4.9052050,52.4034500 4.9050060,52.4035230 4.9049050,52.4036020 4.9048160,52.4037060 4.9047220,52.4037510 4.9047010,52.4038050 4.9046930,52.4038680 4.9047060,52.4039130 4.9047300,52.4042510 4.9050880,52.4043090 4.9051640,52.4048600 4.9062170,52.4055990 4.9052250,52.4060390 4.9060490,52.4062150 4.9062950,52.4063770 4.9064680,52.4065500 4.9066090,52.4076130 4.9073090,52.4077530 4.9073700,52.4078960 4.9073850,52.4080150 4.9090360,52.4093360 4.9105950,52.4095920 4.9114540,52.4100750 4.9126200,52.4102290 4.9127510))";4.9148835;52.4047355;
