OBJECTNUMMER;Naam;Bron;ProjectID;Uitvoerder;Datum;Maaiveld_hoogte;Diepte_to_maaiveld;Top_Pleistoceen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1613;"B04-1495";"Waternet";"2667";"onbekend";"onbekend";"onbekend";"onbekend";-15.6;"POINT(4.864066,52.401434)";"POINT(52.401434,4.864066)";4.864066;52.401434;
1614;"B04-1495";"Waternet";"2667";"onbekend";"onbekend";"0.8";"-35.3";-15.5;"POINT(4.838559,52.407313)";"POINT(52.407313,4.838559)";4.838559;52.407313;
1615;"B04-1496";"Waternet";"2667";"onbekend";"onbekend";"onbekend";"onbekend";-17.8;"POINT(4.864376,52.401301)";"POINT(52.401301,4.864376)";4.864376;52.401301;
1616;"B04-1498";"Waternet";"2358";"onbekend";"onbekend";"onbekend";"onbekend";-27.6;"POINT(4.864539,52.401184)";"POINT(52.401184,4.864539)";4.864539;52.401184;
1617;"B04-1502";"Waternet";"2358";"onbekend";"onbekend";"onbekend";"onbekend";-18.5;"POINT(4.864746,52.401113)";"POINT(52.401113,4.864746)";4.864746;52.401113;
1618;"B04-1576";"Waternet";"2718";"onbekend";"onbekend";"onbekend";"onbekend";-19;"POINT(4.86507,52.401016)";"POINT(52.401016,4.86507)";4.86507;52.401016;
1619;"B04-1592";"Waternet";"2718";"onbekend";"onbekend";"onbekend";"onbekend";-12.8;"POINT(4.84409,52.384052)";"POINT(52.384052,4.84409)";4.84409;52.384052;
1620;"B04-1594";"Waternet";"2718";"onbekend";"onbekend";"onbekend";"onbekend";-11.5;"POINT(4.839442,52.392928)";"POINT(52.392928,4.839442)";4.839442;52.392928;
1621;"B04-1603";"Waternet";"2667";"onbekend";"onbekend";"onbekend";"onbekend";-12.4;"POINT(4.83915,52.385629)";"POINT(52.385629,4.83915)";4.83915;52.385629;
1622;"B04-1625";"Waternet";"2667";"onbekend";"onbekend";"0.8";"-25.8";-18;"POINT(4.83862,52.407152)";"POINT(52.407152,4.83862)";4.83862;52.407152;
1623;"B04-1628";"Waternet";"2718";"onbekend";"onbekend";"-4.1";"-37.5";-22.2;"POINT(4.842796,52.405724)";"POINT(52.405724,4.842796)";4.842796;52.405724;
1624;"B04-1629";"Waternet";"2718";"onbekend";"onbekend";"-4.0";"-36.1";-21;"POINT(4.842929,52.405653)";"POINT(52.405653,4.842929)";4.842929;52.405653;
1625;"B04-1630";"Waternet";"2718";"onbekend";"onbekend";"-3.6";"-35.5";-17.5;"POINT(4.842871,52.40559)";"POINT(52.40559,4.842871)";4.842871;52.40559;
