OBJECTNUMMER;Naam;Bron;ProjectID;Uitvoerder;Datum;Maaiveld_hoogte;Diepte_to_maaiveld;Top_Pleistoceen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"1";"IB";"124605";"MosGrondmechanicab.v.";"4-11-2005";"1.3";"27.6";-13.1;"POINT(4.798422,52.404209)";"POINT(52.404209,4.798422)";4.798422;52.404209;
2;"1";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-14;"POINT(4.879893,52.392273)";"POINT(52.392273,4.879893)";4.879893;52.392273;
3;"2";"IB";"124605";"MosGrondmechanicab.v.";"4-11-2005";"1.3";"27.6";-17.9;"POINT(4.799377,52.405301)";"POINT(52.405301,4.799377)";4.799377;52.405301;
4;"2";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-14;"POINT(4.880056,52.392174)";"POINT(52.392174,4.880056)";4.880056;52.392174;
5;"3";"IB";"101906";"MosGrondmechanicab.v.";"13-9-2006";"1.4";"35.2";-12.8;"POINT(4.917134,52.389478)";"POINT(52.389478,4.917134)";4.917134;52.389478;
6;"4";"IB";"101906";"MosGrondmechanicab.v.";"13-9-2006";"1.0";"35.2";-12.6;"POINT(4.920079,52.388825)";"POINT(52.388825,4.920079)";4.920079;52.388825;
7;"5";"IB";"101906";"MosGrondmechanicab.v.";"13-9-2006";"0.8";"35.1";-12.2;"POINT(4.921584,52.388237)";"POINT(52.388237,4.921584)";4.921584;52.388237;
8;"5";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-14;"POINT(4.880316,52.392544)";"POINT(52.392544,4.880316)";4.880316;52.392544;
9;"6";"IB";"onbekend";"RUI";"27-5-2008";"onbekend";"onbekend";-21.1;"POINT(4.969477,52.365758)";"POINT(52.365758,4.969477)";4.969477;52.365758;
10;"6";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.9;"POINT(4.880597,52.392428)";"POINT(52.392428,4.880597)";4.880597;52.392428;
11;"7";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.7;"POINT(4.880608,52.392734)";"POINT(52.392734,4.880608)";4.880608;52.392734;
12;"8";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.5;"POINT(4.880801,52.392564)";"POINT(52.392564,4.880801)";4.880801;52.392564;
13;"9";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.5;"POINT(4.880842,52.392843)";"POINT(52.392843,4.880842)";4.880842;52.392843;
14;"10";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.3;"POINT(4.881035,52.392664)";"POINT(52.392664,4.881035)";4.881035;52.392664;
15;"11";"IB";"3584220";"DeRuiterBoringenenBemalingenbv";"2-2-2005";"1.0";"26.0";-12;"POINT(4.972374,52.371529)";"POINT(52.371529,4.972374)";4.972374;52.371529;
16;"11";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.2;"POINT(4.881134,52.392988)";"POINT(52.392988,4.881134)";4.881134;52.392988;
17;"12";"IB";"3584220";"RUI";"10-1-2005";"onbekend";"onbekend";-13.2;"POINT(4.958382,52.369871)";"POINT(52.369871,4.958382)";4.958382;52.369871;
18;"12";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.1;"POINT(4.881356,52.392827)";"POINT(52.392827,4.881356)";4.881356;52.392827;
19;"14";"IB";"3584220";"DeRuiterBoringenenBemalingenbv";"2-2-2005";"2.5";"27.5";-12.1;"POINT(4.972435,52.369741)";"POINT(52.369741,4.972435)";4.972435;52.369741;
20;"15";"IB";"3584220";"DeRuiterBoringenenBemalingenbv";"2-2-2005";"1.3";"27.0";-12.1;"POINT(4.974412,52.37026)";"POINT(52.37026,4.974412)";4.974412;52.37026;
21;"15";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.3;"POINT(4.881704,52.39326)";"POINT(52.39326,4.881704)";4.881704;52.39326;
22;"16";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-12.9;"POINT(4.881852,52.393144)";"POINT(52.393144,4.881852)";4.881852;52.393144;
23;"17";"IB";"3584220";"DeRuiterBoringenenBemalingenbv";"2-2-2005";"0.2";"27.4";-13;"POINT(4.975039,52.369193)";"POINT(52.369193,4.975039)";4.975039;52.369193;
24;"17";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.6;"POINT(4.880701,52.392294)";"POINT(52.392294,4.880701)";4.880701;52.392294;
25;"18";"IB";"3584220";"DeRuiterBoringenenBemalingenbv";"2-2-2005";"1.9";"27.9";-12.3;"POINT(4.977741,52.36914)";"POINT(52.36914,4.977741)";4.977741;52.36914;
26;"18";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.2;"POINT(4.880776,52.392169)";"POINT(52.392169,4.880776)";4.880776;52.392169;
27;"19";"IB";"3584220";"DeRuiterBoringenenBemalingenbv";"2-2-2005";"1.9";"27.6";-12.4;"POINT(4.97716,52.370009)";"POINT(52.370009,4.97716)";4.97716;52.370009;
28;"19";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.1;"POINT(4.88092,52.392421)";"POINT(52.392421,4.88092)";4.88092;52.392421;
29;"20";"IB";"62604";"MosGrondmechanicab.v.";"18-5-2004";"3.8";"34.9";-10;"POINT(5.005955,52.354449)";"POINT(52.354449,5.005955)";5.005955;52.354449;
30;"21";"IB";"62604";"MosGrondmechanicab.v.";"14-5-2004";"2.4";"34.9";-10.1;"POINT(5.00578,52.354305)";"POINT(52.354305,5.00578)";5.00578;52.354305;
31;"21";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.1;"POINT(4.881168,52.392548)";"POINT(52.392548,4.881168)";4.881168;52.392548;
32;"22";"IB";"62604";"MosGrondmechanicab.v.";"13-5-2004";"1.8";"34.9";-10.3;"POINT(5.005784,52.353891)";"POINT(52.353891,5.005784)";5.005784;52.353891;
33;"23";"IB";"144107";"MosGrondmechanicab.v.";"7-1-2008";"-1.6";"35.0";-9.5;"POINT(4.934695,52.315318)";"POINT(52.315318,4.934695)";4.934695;52.315318;
34;"23";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.1;"POINT(4.88146,52.392702)";"POINT(52.392702,4.88146)";4.88146;52.392702;
35;"24";"IB";"144107";"MosGrondmechanicab.v.";"8-1-2008";"-1.6";"35.0";-9.5;"POINT(4.934858,52.315148)";"POINT(52.315148,4.934858)";4.934858;52.315148;
36;"25";"IB";"144107";"MosGrondmechanicab.v.";"8-1-2008";"-1.6";"35.0";-9.5;"POINT(4.933527,52.316257)";"POINT(52.316257,4.933527)";4.933527;52.316257;
37;"25";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.2;"POINT(4.881723,52.392838)";"POINT(52.392838,4.881723)";4.881723;52.392838;
38;"26";"IB";"144107";"MosGrondmechanicab.v.";"8-1-2008";"-1.6";"35.0";-9.5;"POINT(4.93369,52.316087)";"POINT(52.316087,4.93369)";4.93369;52.316087;
39;"27";"IB";"144107";"MosGrondmechanicab.v.";"8-1-2008";"-1.5";"35.0";-9.5;"POINT(4.933809,52.315917)";"POINT(52.315917,4.933809)";4.933809;52.315917;
40;"27";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-12.7;"POINT(4.88203,52.39301)";"POINT(52.39301,4.88203)";4.88203;52.39301;
41;"28";"IB";"144107";"MosGrondmechanicab.v.";"8-1-2008";"-1.5";"35.0";-9.5;"POINT(4.933958,52.315729)";"POINT(52.315729,4.933958)";4.933958;52.315729;
42;"29";"IB";"144107";"MosGrondmechanicab.v.";"9-1-2008";"-1.5";"35.0";-9.5;"POINT(4.934106,52.315558)";"POINT(52.315558,4.934106)";4.934106;52.315558;
43;"30";"IB";"144107";"MosGrondmechanicab.v.";"9-1-2008";"-1.5";"35.0";-9.5;"POINT(4.934255,52.315388)";"POINT(52.315388,4.934255)";4.934255;52.315388;
44;"31";"IB";"144107";"MosGrondmechanicab.v.";"20-6-2008";"-3.0";"35.1";-9.5;"POINT(4.934344,52.315236)";"POINT(52.315236,4.934344)";4.934344;52.315236;
45;"32";"IB";"144107";"MosGrondmechanicab.v.";"20-6-2008";"-4.0";"35.1";-9.7;"POINT(4.934522,52.31503)";"POINT(52.31503,4.934522)";4.934522;52.31503;
46;"33";"IB";"144107";"MosGrondmechanicab.v.";"11-1-2008";"-1.7";"34.3";-9.5;"POINT(4.935237,52.315374)";"POINT(52.315374,4.935237)";4.935237;52.315374;
47;"34";"IB";"144107";"MosGrondmechanicab.v.";"9-1-2008";"-1.7";"35.0";-9.5;"POINT(4.93493,52.315274)";"POINT(52.315274,4.93493)";4.93493;52.315274;
48;"35";"IB";"144107";"MosGrondmechanicab.v.";"9-1-2008";"-1.7";"35.0";-9.5;"POINT(4.934609,52.315165)";"POINT(52.315165,4.934609)";4.934609;52.315165;
49;"36";"IB";"144107";"MosGrondmechanicab.v.";"18-2-2008";"-1.9";"35.1";-9.5;"POINT(4.935664,52.315223)";"POINT(52.315223,4.935664)";4.935664;52.315223;
50;"37";"IB";"144107";"MosGrondmechanicab.v.";"18-2-2008";"-1.9";"35.1";-9.5;"POINT(4.935798,52.31508)";"POINT(52.31508,4.935798)";4.935798;52.31508;
51;"38";"IB";"144107";"MosGrondmechanicab.v.";"11-1-2008";"-1.8";"35.0";-9.5;"POINT(4.935429,52.31524)";"POINT(52.31524,4.935429)";4.935429;52.31524;
52;"39";"IB";"144107";"MosGrondmechanicab.v.";"11-1-2008";"-1.8";"35.0";-9.5;"POINT(4.935578,52.31507)";"POINT(52.31507,4.935578)";4.935578;52.31507;
53;"40";"IB";"144107";"MosGrondmechanicab.v.";"11-1-2008";"-1.7";"35.0";-9.5;"POINT(4.935726,52.314908)";"POINT(52.314908,4.935726)";4.935726;52.314908;
54;"41";"IB";"144107";"MosGrondmechanicab.v.";"14-1-2008";"-1.7";"35.1";-9.5;"POINT(4.935874,52.314747)";"POINT(52.314747,4.935874)";4.935874;52.314747;
55;"42";"IB";"144107";"MosGrondmechanicab.v.";"14-1-2008";"-1.6";"35.1";-9.5;"POINT(4.936023,52.314586)";"POINT(52.314586,4.936023)";4.936023;52.314586;
56;"43";"IB";"144107";"MosGrondmechanicab.v.";"11-1-2008";"-1.6";"35.0";-9.5;"POINT(4.93543,52.315132)";"POINT(52.315132,4.93543)";4.93543;52.315132;
57;"44";"IB";"144107";"MosGrondmechanicab.v.";"11-1-2008";"-1.5";"35.1";-9.5;"POINT(4.935579,52.314971)";"POINT(52.314971,4.935579)";4.935579;52.314971;
58;"45";"IB";"144107";"MosGrondmechanicab.v.";"14-1-2008";"-1.5";"35.0";-9.5;"POINT(4.935727,52.31481)";"POINT(52.31481,4.935727)";4.935727;52.31481;
59;"46";"IB";"144107";"MosGrondmechanicab.v.";"14-1-2008";"-1.5";"35.1";-9.5;"POINT(4.935846,52.314639)";"POINT(52.314639,4.935846)";4.935846;52.314639;
60;"47";"IB";"144107";"MosGrondmechanicab.v.";"18-12-2007";"-1.7";"35.0";-9.5;"POINT(4.935239,52.315176)";"POINT(52.315176,4.935239)";4.935239;52.315176;
61;"48";"IB";"144107";"MosGrondmechanicab.v.";"18-12-2007";"-1.8";"35.0";-9.5;"POINT(4.935388,52.315006)";"POINT(52.315006,4.935388)";4.935388;52.315006;
62;"49";"IB";"144107";"MosGrondmechanicab.v.";"18-12-2007";"-1.8";"35.0";-16.6;"POINT(4.935536,52.314845)";"POINT(52.314845,4.935536)";4.935536;52.314845;
63;"50";"IB";"144107";"MosGrondmechanicab.v.";"18-12-2007";"-1.8";"35.0";-9.5;"POINT(4.935684,52.314684)";"POINT(52.314684,4.935684)";4.935684;52.314684;
64;"51";"IB";"144107";"MosGrondmechanicab.v.";"17-12-2007";"-1.7";"35.0";-9.5;"POINT(4.935832,52.314531)";"POINT(52.314531,4.935832)";4.935832;52.314531;
65;"52";"IB";"144107";"MosGrondmechanicab.v.";"9-1-2008";"-1.8";"35.1";-9.5;"POINT(4.935197,52.31505)";"POINT(52.31505,4.935197)";4.935197;52.31505;
66;"53";"IB";"144107";"MosGrondmechanicab.v.";"10-1-2008";"-1.7";"35.0";-9.5;"POINT(4.93533,52.31488)";"POINT(52.31488,4.93533)";4.93533;52.31488;
67;"54";"IB";"144107";"MosGrondmechanicab.v.";"9-1-2008";"-1.6";"35.0";-9.5;"POINT(4.93502,52.315095)";"POINT(52.315095,4.93502)";4.93502;52.315095;
68;"55";"IB";"144107";"MosGrondmechanicab.v.";"10-1-2008";"-1.6";"35.1";-9.5;"POINT(4.935125,52.314861)";"POINT(52.314861,4.935125)";4.935125;52.314861;
69;"56";"IB";"144107";"MosGrondmechanicab.v.";"9-1-2008";"-1.6";"35.0";-9.5;"POINT(4.934977,52.314978)";"POINT(52.314978,4.934977)";4.934977;52.314978;
70;"57";"IB";"144107";"MosGrondmechanicab.v.";"9-1-2008";"-1.8";"35.0";-9.5;"POINT(4.934786,52.315013)";"POINT(52.315013,4.934786)";4.934786;52.315013;
71;"58";"IB";"144107";"MosGrondmechanicab.v.";"10-1-2008";"-1.8";"35.0";-9.5;"POINT(4.934935,52.314852)";"POINT(52.314852,4.934935)";4.934935;52.314852;
72;"59";"IB";"144107";"MosGrondmechanicab.v.";"10-1-2008";"-1.8";"35.0";-9.5;"POINT(4.935113,52.314663)";"POINT(52.314663,4.935113)";4.935113;52.314663;
73;"60";"IB";"144107";"MosGrondmechanicab.v.";"10-1-2008";"-1.6";"35.0";-9.5;"POINT(4.934773,52.314905)";"POINT(52.314905,4.934773)";4.934773;52.314905;
74;"61";"IB";"144107";"MosGrondmechanicab.v.";"10-1-2008";"-1.6";"34.1";-9.5;"POINT(4.934936,52.314726)";"POINT(52.314726,4.934936)";4.934936;52.314726;
75;"62";"IB";"144107";"MosGrondmechanicab.v.";"20-6-2008";"-3.0";"35.1";-9.5;"POINT(4.934596,52.314949)";"POINT(52.314949,4.934596)";4.934596;52.314949;
76;"63";"IB";"144107";"MosGrondmechanicab.v.";"20-6-2008";"-3.1";"35.1";-9.5;"POINT(4.934745,52.314788)";"POINT(52.314788,4.934745)";4.934745;52.314788;
77;"64";"IB";"144107";"MosGrondmechanicab.v.";"20-6-2008";"-3.3";"35.1";-9.5;"POINT(4.934923,52.3146)";"POINT(52.3146,4.934923)";4.934923;52.3146;
78;"101";"IB";"4025909";"MosGrondmechanicab.v.";"30-9-2009";"1.4";"35.0";-12.5;"POINT(4.880272,52.396399)";"POINT(52.396399,4.880272)";4.880272;52.396399;
79;"102";"IB";"4025909";"MosGrondmechanicab.v.";"30-9-2009";"1.4";"35.0";-12.9;"POINT(4.880638,52.396572)";"POINT(52.396572,4.880638)";4.880638;52.396572;
80;"103";"IB";"4025909";"MosGrondmechanicab.v.";"29-9-2009";"1.2";"35.0";-12.9;"POINT(4.880959,52.396753)";"POINT(52.396753,4.880959)";4.880959;52.396753;
81;"104";"IB";"4025909";"MosGrondmechanicab.v.";"29-9-2009";"1.1";"35.1";-13;"POINT(4.881324,52.396943)";"POINT(52.396943,4.881324)";4.881324;52.396943;
82;"105";"IB";"4025909";"MosGrondmechanicab.v.";"30-9-2009";"1.0";"35.0";-19.8;"POINT(4.881806,52.397197)";"POINT(52.397197,4.881806)";4.881806;52.397197;
83;"106";"IB";"4025909";"MosGrondmechanicab.v.";"30-9-2009";"1.0";"51.9";-25.9;"POINT(4.882098,52.397324)";"POINT(52.397324,4.882098)";4.882098;52.397324;
84;"112";"IB";"4025909";"GemeentewerkenRotterdam";"8-10-2009";"-6.1";"29.7";-12.9;"POINT(4.88808,52.390582)";"POINT(52.390582,4.88808)";4.88808;52.390582;
85;"113";"IB";"4025909";"GemeentewerkenRotterdam";"8-10-2009";"-7.1";"28.7";-12.5;"POINT(4.887841,52.390949)";"POINT(52.390949,4.887841)";4.887841;52.390949;
86;"114";"IB";"4025909";"GemeentewerkenRotterdam";"8-10-2009";"-7.4";"28.5";-10.9;"POINT(4.888349,52.3915)";"POINT(52.3915,4.888349)";4.888349;52.3915;
87;"115";"IB";"4025909";"GemeentewerkenRotterdam";"8-10-2009";"-4.8";"31.0";-12.7;"POINT(4.889508,52.390336)";"POINT(52.390336,4.889508)";4.889508;52.390336;
88;"116";"IB";"4025909";"GemeentewerkenRotterdam";"8-10-2009";"-5.1";"30.7";-13;"POINT(4.890017,52.390806)";"POINT(52.390806,4.890017)";4.890017;52.390806;
89;"141";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.1;"POINT(4.88159,52.392945)";"POINT(52.392945,4.88159)";4.88159;52.392945;
90;"002378-001_S01";"IB";"002378-001";"MulticonsultGouda";"17-2-2015";"0.5";"25.0";-12;"POINT(4.846814,52.385898)";"POINT(52.385898,4.846814)";4.846814;52.385898;
91;"002378-001_S02";"IB";"002378-001";"MulticonsultGouda";"17-2-2015";"0.4";"25.0";-12.4;"POINT(4.846285,52.385932)";"POINT(52.385932,4.846285)";4.846285;52.385932;
92;"002378-001_S03";"IB";"002378-001";"MulticonsultGouda";"17-2-2015";"0.6";"25.0";-12.7;"POINT(4.84577,52.385974)";"POINT(52.385974,4.84577)";4.84577;52.385974;
93;"002488_S01";"IB";"2488";"MulticonsultGouda";"21-5-2015";"2.9";"33.0";-11.1;"POINT(4.884979,52.390703)";"POINT(52.390703,4.884979)";4.884979;52.390703;
94;"002488_S02";"IB";"2488";"MulticonsultGouda";"16-4-2015";"2.7";"33.0";-12;"POINT(4.884832,52.390766)";"POINT(52.390766,4.884832)";4.884832;52.390766;
95;"002743_S01";"IB";"2743";"BAMInfraconsultGouda";"8-6-2015";"-0.7";"30.0";-11.4;"POINT(4.888128,52.33671)";"POINT(52.33671,4.888128)";4.888128;52.33671;
96;"002743_S02";"IB";"2743";"BAMInfraconsultGouda";"8-6-2015";"0.4";"30.0";-11.2;"POINT(4.888051,52.337007)";"POINT(52.337007,4.888051)";4.888051;52.337007;
97;"002743_S03";"IB";"2743";"BAMInfraconsultGouda";"8-6-2015";"0.9";"28.2";-10.9;"POINT(4.888448,52.336972)";"POINT(52.336972,4.888448)";4.888448;52.336972;
98;"002743_S04";"IB";"2743";"BAMInfraconsultGouda";"8-6-2015";"0.8";"30.0";-11.1;"POINT(4.887932,52.337195)";"POINT(52.337195,4.887932)";4.887932;52.337195;
99;"002743_S05";"IB";"2743";"BAMInfraconsultGouda";"9-6-2015";"-0.2";"30.0";-11;"POINT(4.884708,52.338089)";"POINT(52.338089,4.884708)";4.884708;52.338089;
100;"002776_S01";"IB";"2776";"BAMInfraconsultGouda";"2-7-2015";"2.2";"30.0";-13.1;"POINT(4.869607,52.429086)";"POINT(52.429086,4.869607)";4.869607;52.429086;
101;"002776_S02";"IB";"2776";"BAMInfraconsultGouda";"2-7-2015";"2.0";"30.0";-13.1;"POINT(4.870825,52.427977)";"POINT(52.427977,4.870825)";4.870825;52.427977;
102;"002776_S03";"IB";"2776";"BAMInfraconsultGouda";"3-7-2015";"1.6";"30.0";-12.6;"POINT(4.87191,52.42702)";"POINT(52.42702,4.87191)";4.87191;52.42702;
103;"002776_S04";"IB";"2776";"BAMInfraconsultGouda";"2-7-2015";"1.5";"30.0";-12.7;"POINT(4.872163,52.426751)";"POINT(52.426751,4.872163)";4.872163;52.426751;
104;"002776_S05";"IB";"2776";"BAMInfraconsultGouda";"2-7-2015";"1.6";"22.2";-12.8;"POINT(4.87246,52.426492)";"POINT(52.426492,4.87246)";4.87246;52.426492;
105;"002776_S06";"IB";"2776";"BAMInfraconsultGouda";"2-7-2015";"1.0";"30.0";-13.6;"POINT(4.874146,52.424315)";"POINT(52.424315,4.874146)";4.874146;52.424315;
106;"002776_S07";"IB";"2776";"BAMInfraconsultGouda";"2-7-2015";"0.7";"30.0";-12.6;"POINT(4.873989,52.423883)";"POINT(52.423883,4.873989)";4.873989;52.423883;
107;"002776_S08";"IB";"2776";"BAMInfraconsultGouda";"2-7-2015";"0.2";"30.0";-12.6;"POINT(4.873641,52.423486)";"POINT(52.423486,4.873641)";4.873641;52.423486;
108;"002776_S09";"IB";"2776";"BAMInfraconsultGouda";"2-7-2015";"-0.2";"30.0";-12.8;"POINT(4.873101,52.423142)";"POINT(52.423142,4.873101)";4.873101;52.423142;
109;"002776_S10";"IB";"2776";"BAMInfraconsultGouda";"2-7-2015";"-0.7";"30.0";-12.3;"POINT(4.873586,52.421931)";"POINT(52.421931,4.873586)";4.873586;52.421931;
110;"002776_S11";"IB";"2776";"BAMInfraconsultGouda";"2-7-2015";"-1.7";"30.0";-17.6;"POINT(4.874417,52.421279)";"POINT(52.421279,4.874417)";4.874417;52.421279;
111;"002776_S12";"IB";"2776";"BAMInfraconsultGouda";"2-7-2015";"1.2";"30.0";-13;"POINT(4.875409,52.420663)";"POINT(52.420663,4.875409)";4.875409;52.420663;
112;"002776_S13";"IB";"2776";"BAMInfraconsultGouda";"2-7-2015";"1.6";"30.0";-12.2;"POINT(4.874873,52.417416)";"POINT(52.417416,4.874873)";4.874873;52.417416;
113;"002776_S14";"IB";"2776";"BAMInfraconsultGouda";"2-7-2015";"1.9";"30.0";-15.6;"POINT(4.879458,52.420078)";"POINT(52.420078,4.879458)";4.879458;52.420078;
114;"002821_S08";"IB";"2821";"MulticonsultGouda";"7-8-2015";"-3.5";"27.0";-13.4;"POINT(4.87088,52.315929)";"POINT(52.315929,4.87088)";4.87088;52.315929;
115;"002821_S20";"IB";"2821";"MulticonsultGouda";"7-8-2015";"-3.5";"27.0";-12.1;"POINT(4.872165,52.311333)";"POINT(52.311333,4.872165)";4.872165;52.311333;
116;"002821_S31";"IB";"2821";"MulticonsultGouda";"7-8-2015";"-4.0";"26.5";-10.6;"POINT(4.863824,52.289833)";"POINT(52.289833,4.863824)";4.863824;52.289833;
117;"002821_S38";"IB";"2821";"MulticonsultGouda";"10-8-2015";"-3.3";"23.7";-10.6;"POINT(4.828615,52.271436)";"POINT(52.271436,4.828615)";4.828615;52.271436;
118;"002821_S39";"IB";"2821";"MulticonsultGouda";"10-8-2015";"-3.1";"27.0";-11.3;"POINT(4.828082,52.270715)";"POINT(52.270715,4.828082)";4.828082;52.270715;
119;"002821_S40";"IB";"2821";"MulticonsultGouda";"10-8-2015";"-3.6";"27.0";-10.9;"POINT(4.827462,52.269885)";"POINT(52.269885,4.827462)";4.827462;52.269885;
120;"002838_S01";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.8";"32.0";-12.2;"POINT(4.957126,52.376724)";"POINT(52.376724,4.957126)";4.957126;52.376724;
121;"002838_S02";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.6";"31.2";-12.3;"POINT(4.957493,52.376734)";"POINT(52.376734,4.957493)";4.957493;52.376734;
122;"002838_S03";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.7";"31.0";-15.4;"POINT(4.957099,52.376508)";"POINT(52.376508,4.957099)";4.957099;52.376508;
123;"002838_S04";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.5";"31.0";-12.2;"POINT(4.957466,52.376509)";"POINT(52.376509,4.957466)";4.957466;52.376509;
124;"002838_S05";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.7";"31.5";-17.2;"POINT(4.957131,52.376248)";"POINT(52.376248,4.957131)";4.957131;52.376248;
125;"002838_S06";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.7";"31.1";-15.6;"POINT(4.957483,52.376276)";"POINT(52.376276,4.957483)";4.957483;52.376276;
126;"002838_S07";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.7";"31.0";-16.4;"POINT(4.957176,52.376068)";"POINT(52.376068,4.957176)";4.957176;52.376068;
127;"002838_S08";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.6";"31.2";-16.9;"POINT(4.957455,52.37606)";"POINT(52.37606,4.957455)";4.957455;52.37606;
128;"002838_S09";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.6";"31.0";-16.1;"POINT(4.957487,52.375826)";"POINT(52.375826,4.957487)";4.957487;52.375826;
129;"002838_S10";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.6";"31.4";-17.2;"POINT(4.95784,52.375819)";"POINT(52.375819,4.95784)";4.95784;52.375819;
130;"002838_S100";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.7";"31.0";-17.1;"POINT(4.957149,52.375843)";"POINT(52.375843,4.957149)";4.957149;52.375843;
131;"002838_S101";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.6";"31.5";-18.6;"POINT(4.957269,52.375574)";"POINT(52.375574,4.957269)";4.957269;52.375574;
132;"002838_S102";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.6";"31.0";-20.9;"POINT(4.957301,52.375358)";"POINT(52.375358,4.957301)";4.957301;52.375358;
133;"002838_S103";"IB";"2838";"BAMInfraconsultGouda";"16-11-2015";"0.8";"31.6";-25.6;"POINT(4.957546,52.374245)";"POINT(52.374245,4.957546)";4.957546;52.374245;
134;"002838_S104";"IB";"2838";"BAMInfraconsultGouda";"16-11-2015";"0.8";"31.5";-25.2;"POINT(4.95768,52.374075)";"POINT(52.374075,4.95768)";4.95768;52.374075;
135;"002838_S105";"IB";"2838";"BAMInfraconsultGouda";"23-11-2015";"0.4";"32.5";-23.5;"POINT(4.958966,52.373171)";"POINT(52.373171,4.958966)";4.958966;52.373171;
136;"002838_S106";"IB";"2838";"BAMInfraconsultGouda";"16-11-2015";"0.2";"23.0";-19.9;"POINT(4.960054,52.373032)";"POINT(52.373032,4.960054)";4.960054;52.373032;
137;"002838_S11";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.6";"31.0";-11.8;"POINT(4.958207,52.375829)";"POINT(52.375829,4.958207)";4.958207;52.375829;
138;"002838_S12";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.5";"31.0";-12.1;"POINT(4.958588,52.37583)";"POINT(52.37583,4.958588)";4.958588;52.37583;
139;"002838_S13";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.5";"31.0";-12;"POINT(4.958867,52.375849)";"POINT(52.375849,4.958867)";4.958867;52.375849;
140;"002838_S14";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.6";"31.0";-16.1;"POINT(4.957533,52.375647)";"POINT(52.375647,4.957533)";4.957533;52.375647;
141;"002838_S15";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.5";"31.0";-18.5;"POINT(4.957812,52.375612)";"POINT(52.375612,4.957812)";4.957812;52.375612;
142;"002838_S16";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.6";"31.0";-15.7;"POINT(4.958194,52.375604)";"POINT(52.375604,4.958194)";4.958194;52.375604;
143;"002838_S17";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.3";"31.0";-12;"POINT(4.95859,52.375615)";"POINT(52.375615,4.95859)";4.95859;52.375615;
144;"002838_S18";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.4";"32.0";-12;"POINT(4.958914,52.375562)";"POINT(52.375562,4.958914)";4.958914;52.375562;
145;"002838_S19";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.6";"31.0";-19.4;"POINT(4.957492,52.375359)";"POINT(52.375359,4.957492)";4.957492;52.375359;
146;"002838_S20";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"1.0";"31.2";-17.5;"POINT(4.957859,52.375369)";"POINT(52.375369,4.957859)";4.957859;52.375369;
147;"002838_S21";"IB";"2838";"BAMInfraconsultGouda";"9-11-2015";"0.5";"31.0";-17.9;"POINT(4.95821,52.375434)";"POINT(52.375434,4.95821)";4.95821;52.375434;
