OBJECTNUMMER;Soort;Soortcode;Standplaats;Bouwjaar;Voeding;Objectnummer_Amsterdam;Objectnummer_leverancier;VRI_nummer;Rotatie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
517;"Tekstregel";"134";"Holterbergweg - Borchlandweg";2008;"";"TR103";"ZO-B29_TKST_16942/001";0;0;"POINT(4.9347298,52.3143736)";"POINT(52.3143736,4.9347298)";4.9347298;52.3143736;
518;"Tekstregel";"134";"Holterbergweg - Borchlandweg";2008;"";"TR104";"ZO-B30_TKST_16942/002";0;0;"POINT(4.9322779,52.3160864)";"POINT(52.3160864,4.9322779)";4.9322779;52.3160864;
519;"Tekstregel";"134";"A1 li hmp 6,0";2016;"Liander";"TR005";"A1 Li 6,000 bovenste regel";0;0;"POINT(4.9816759,52.3432509)";"POINT(52.3432509,4.9816759)";4.9816759;52.3432509;
520;"Tekstregel";"134";"A1 li hmp 6,0";2016;"Liander";"TR006";"A1 Li 6,000 onderste regel";0;0;"POINT(4.9816759,52.3432509)";"POINT(52.3432509,4.9816759)";4.9816759;52.3432509;
521;"Tekstregel";"134";"A2 li hmp 32,1";2016;"Liander";"TR007";"A2 Li 32.100 bovenste regel";0;0;"POINT(4.9162328,52.3198439)";"POINT(52.3198439,4.9162328)";4.9162328;52.3198439;
522;"Tekstregel";"134";"A2 li hmp 32,1";2016;"Liander";"TR008";"A2 Li 32.100 onderste regel";0;0;"POINT(4.9162328,52.3198439)";"POINT(52.3198439,4.9162328)";4.9162328;52.3198439;
523;"Tekstregel";"134";"A4 li hmp 1,8";2016;"OVL-kast 132551";"TR009";"A4 Li 1.770 bovenste regel";0;0;"POINT(4.8206069,52.3381468)";"POINT(52.3381468,4.8206069)";4.8206069;52.3381468;
524;"Tekstregel";"134";"A4 li hmp 1,8";2016;"OVL-kast 132551";"TR010";"A4 Li 1.770 onderste regel";0;0;"POINT(4.8206069,52.3381468)";"POINT(52.3381468,4.8206069)";4.8206069;52.3381468;
525;"Tekstregel";"134";"A8 li hmp 2,7";2016;"Liander";"TR011";"A8 Li 2.650 bovenste regel";0;0;"POINT(4.8636358,52.4353377)";"POINT(52.4353377,4.8636358)";4.8636358;52.4353377;
526;"Tekstregel";"134";"A8 li hmp 2,7";2016;"Liander";"TR012";"A8 Li 2.650 onderste regel";0;0;"POINT(4.8636358,52.4353377)";"POINT(52.4353377,4.8636358)";4.8636358;52.4353377;
527;"Dynamische Pijl";"135";"Dam - Damrak - Rokin";0;"Eigen voeding";"KW001";"00217/802 KW (PIJL) P De Bijenkorf";0;0;"POINT(4.9489849,52.3186347)";"POINT(52.3186347,4.9489849)";4.9489849;52.3186347;
528;"Dynamische Pijl";"135";"Pr. Hendrikkade - NZ Voorburgwal";0;"";"DP002";"03274/512 KW (PIJL) P De Kolk";0;0;"POINT(4.9503152,52.3172461)";"POINT(52.3172461,4.9503152)";4.9503152;52.3172461;
529;"Dynamische Pijl";"135";"Pr. Hendrikkade - NZ Voorburgwal";0;"";"KW003";"03274/612 KW (PIJL) P Waterlooplein";0;0;"POINT(4.9489849,52.3186347)";"POINT(52.3186347,4.9489849)";4.9489849;52.3186347;
530;"Dynamische Pijl";"135";"Pr. Hendrikkade - NZ Voorburgwal";0;"";"DP004";"03274/712 KW (PIJL) P-Route";0;0;"POINT(4.9503262,52.3172309)";"POINT(52.3172309,4.9503262)";4.9503262;52.3172309;
531;"Dynamische Pijl";"135";"Pr. Hendrikkade - NZ Voorburgwal";0;"";"KW005";"03274/810 KW (PIJL) P Centraal";0;0;"POINT(4.9351761,52.3134162)";"POINT(52.3134162,4.9351761)";4.9351761;52.3134162;
532;"Dynamische Pijl";"135";"Pr. Hendrikkade - NZ Voorburgwal";0;"Eigen voeding";"KW006";"03274/813 KW (PIJL) P De Kolk";0;0;"POINT(4.9307821,52.3099524)";"POINT(52.3099524,4.9307821)";4.9307821;52.3099524;
533;"Dynamische Pijl";"135";"Pr. Hendrikkade - Damrak";0;"Eigen voeding";"KW007";"03482/501 KW (PIJL) P Waterlooplein";0;0;"POINT(4.9372628,52.3126494)";"POINT(52.3126494,4.9372628)";4.9372628;52.3126494;
534;"Dynamische Pijl";"135";"Pr. Hendrikkade - Damrak";0;"Eigen voeding";"KW008";"03482/601 KW (PIJL) P Centraal";0;0;"POINT(4.9393122,52.3133666)";"POINT(52.3133666,4.9393122)";4.9393122;52.3133666;
535;"Dynamische Pijl";"135";"Pr. Hendrikkade - Damrak";0;"Eigen voeding";"KW009";"03482/701 KW (PIJL) P-Route";0;0;"POINT(4.9351761,52.3134162)";"POINT(52.3134162,4.9351761)";4.9351761;52.3134162;
536;"Dynamische Pijl";"135";"Amstelveenseweg - Stadionweg";0;"";"KW010";"05399/806 KW (PIJL) P+R Olympisch stadion";0;0;"POINT(4.9309361,52.3098685)";"POINT(52.3098685,4.9309361)";4.9309361;52.3098685;
537;"Dynamische Pijl";"135";"Mr. Visserplein - Jodenbreestraat";0;"Eigen voeding";"KW011";"09470/806 KW (PIJL) P Waterlooplein";0;0;"POINT(4.932595,52.3108374)";"POINT(52.3108374,4.932595)";4.932595;52.3108374;
538;"Dynamische Pijl";"135";"Mr. Visserplein - Jodenbreestraat";0;"Eigen voeding";"KW012";"09470/808 KW (PIJL) P Stadhuis Muziektheater";0;0;"POINT(4.9327419,52.3107344)";"POINT(52.3107344,4.9327419)";4.9327419;52.3107344;
539;"Dynamische Pijl";"135";"Valkenburgerstraat - Rapenburg";0;"Eigen voeding";"KW013";"09471/811 KW (PIJL) P Markenhoven";0;0;"POINT(4.882108,52.391194)";"POINT(52.391194,4.882108)";4.882108;52.391194;
540;"Dynamische Pijl";"135";"Rokin - Vijzelstraat";0;"Eigen voeding";"KW014";"66253/501 KW (PIJL) P De Bijenkorf";0;0;"POINT(4.882108,52.391194)";"POINT(52.391194,4.882108)";4.882108;52.391194;
541;"Dynamische Pijl";"135";"Rokin - Vijzelstraat";0;"Eigen voeding";"KW015";"66253/503 KW (PIJL) P Markenhoven";0;0;"POINT(4.8850238,52.3905799)";"POINT(52.3905799,4.8850238)";4.8850238;52.3905799;
542;"Dynamische Pijl";"135";"Rokin - Vijzelstraat";0;"Eigen voeding";"KW016";"66253/601 KW (PIJL) P Markenhoven";0;0;"POINT(4.882108,52.391194)";"POINT(52.391194,4.882108)";4.882108;52.391194;
543;"Dynamische Pijl";"135";"Rokin - Vijzelstraat";0;"Eigen voeding";"KW017";"66253/603 KW (PIJL) P De Bijenkorf";0;0;"POINT(4.8850238,52.3905799)";"POINT(52.3905799,4.8850238)";4.8850238;52.3905799;
544;"Dynamische Pijl";"135";"Rokin - Vijzelstraat";0;"Eigen voeding";"KW018";"66253/701 KW (PIJL) P-Route";0;0;"POINT(4.882108,52.391194)";"POINT(52.391194,4.882108)";4.882108;52.391194;
545;"Dynamische Pijl";"135";"Rokin - Vijzelstraat";0;"Eigen voeding";"KW019";"66253/703 KW (PIJL) P-Route";0;0;"POINT(4.8850238,52.3905799)";"POINT(52.3905799,4.8850238)";4.8850238;52.3905799;
546;"DRIP";"143";"Weesperstraat stad in";2013;"Eigen voeding";"SD118";"SD118";0;340;"POINT(4.9055059,52.365483)";"POINT(52.365483,4.9055059)";4.9055059;52.365483;
547;"DRIP";"143";"Panamalaan buitenring";2012;"Eigen voeding";"SD140";"SD140";0;15;"POINT(4.9341671,52.3696639)";"POINT(52.3696639,4.9341671)";4.9341671;52.3696639;
548;"DRIP";"143";"Stadhouderskade binnenring (Hobbemakade)";2012;"Eigen voeding";"SD162";"SD162";0;0;"POINT(4.8880408,52.3594023)";"POINT(52.3594023,4.8880408)";4.8880408;52.3594023;
549;"DRIP";"143";"Wibautstraat stad in";2009;"VmC-FP";"SD167";"SD167";0;340;"POINT(4.9110281,52.3565299)";"POINT(52.3565299,4.9110281)";4.9110281;52.3565299;
550;"DRIP";"143";"Nassaukade binnenring";2013;"Eigen voeding";"SD180";"SD180";0;350;"POINT(4.8749258,52.3699385)";"POINT(52.3699385,4.8749258)";4.8749258;52.3699385;
551;"DRIP";"143";"Houtmankade binnenring";2012;"VmC-FP, prio 1";"SD195";"SD195";0;13;"POINT(4.8846929,52.3894316)";"POINT(52.3894316,4.8846929)";4.8846929;52.3894316;
552;"DRIP";"143";"Europaboulevard richting noord (A10)";2010;"PV-RAI in kast naast VRI 642 (4 borden)";"SD603";"SD603";0;7;"POINT(4.8921192,52.3380477)";"POINT(52.3380477,4.8921192)";4.8921192;52.3380477;
553;"DRIP";"143";"Europaboulevard richting noord (Europaplein)";2010;"PV-RAI in kast naast VRI 642 (4 borden)";"SD604";"SD604";0;5;"POINT(4.892349,52.3392798)";"POINT(52.3392798,4.892349)";4.892349;52.3392798;
554;"DRIP";"143";"Valkenburgerstraat stad uit";2010;"Eigen voeding";"SD115";"SD115";0;45;"POINT(4.9078281,52.3698699)";"POINT(52.3698699,4.9078281)";4.9078281;52.3698699;
555;"DRIP";"143";"Kattenburgerstraat stad uit";2009;"VmC-FP";"SD147";"SD147";0;45;"POINT(4.920222,52.373738)";"POINT(52.373738,4.920222)";4.920222;52.373738;
556;"DRIP";"143";"Mauritskade buitenring";2013;"Eigen voeding";"SD166";"SD166";0;70;"POINT(4.9045212,52.3587958)";"POINT(52.3587958,4.9045212)";4.9045212;52.3587958;
557;"DRIP";"143";"Burgemeester Stramanweg";2010;"PVS Zuid Oost";"SD301";"SD301";0;55;"POINT(4.9314859,52.3102156)";"POINT(52.3102156,4.9314859)";4.9314859;52.3102156;
558;"DRIP";"143";"Gooiseweg richting noord (A9)";2012;"PVS Zuid Oost";"SD311";"SD311";0;330;"POINT(4.9703972,52.3093382)";"POINT(52.3093382,4.9703972)";4.9703972;52.3093382;
559;"DRIP";"143";"Afrit A10 binnenring";2010;"PV-RAI in kast naast VRI 642 (4 borden)";"SD601";"SD601";0;315;"POINT(4.8945968,52.3356177)";"POINT(52.3356177,4.8945968)";4.8945968;52.3356177;
560;"DRIP";"143";"Piet Heinkade binnenring (Kattenburg)";2013;"Eigen voeding";"SD146";"SD146";0;90;"POINT(4.9175231,52.376805)";"POINT(52.376805,4.9175231)";4.9175231;52.376805;
561;"DRIP";"143";"Overtoom stad in";2013;"Eigen voeding";"SD171";"SD171";0;70;"POINT(4.8763449,52.3629271)";"POINT(52.3629271,4.8763449)";4.8763449;52.3629271;
562;"DRIP";"143";"Spaarndammerdijk stad in";2012;"VmC-FP, prio 1";"SD196";"SD196";0;90;"POINT(4.8699362,52.3929564)";"POINT(52.3929564,4.8699362)";4.8699362;52.3929564;
563;"DRIP";"143";"Haarlemmerweg stad in";2015;"Eigen voeding";"SD197";"SD197";0;110;"POINT(4.8794682,52.3854071)";"POINT(52.3854071,4.8794682)";4.8794682;52.3854071;
564;"DRIP";"143";"Afrit Burgemeester Stramanweg";2010;"PVS Zuid Oost";"SD302";"SD302";0;65;"POINT(4.9342391,52.3109595)";"POINT(52.3109595,4.9342391)";4.9342391;52.3109595;
565;"DRIP";"143";"Piet Heintunnel stad in";2012;"Eigen voeding";"SD141";"SD141";0;290;"POINT(4.9618161,52.3723151)";"POINT(52.3723151,4.9618161)";4.9618161;52.3723151;
566;"DRIP";"143";"Piet Heinkade buitenring Ri Centraal Station";2013;"Eigen voeding";"SD145";"SD145";0;270;"POINT(4.9245942,52.3759429)";"POINT(52.3759429,4.9245942)";4.9245942;52.3759429;
567;"DRIP";"143";"Stadhouderskade binnenring (Vijzelgracht)";2013;"Eigen voeding";"SD163";"SD163";0;270;"POINT(4.8949292,52.3579032)";"POINT(52.3579032,4.8949292)";4.8949292;52.3579032;
568;"DRIP";"143";"Van Diemenstraat buitenring";2012;"VmC-FP, prio 1";"SD194";"SD194";0;280;"POINT(4.8877819,52.3900344)";"POINT(52.3900344,4.8877819)";4.8877819;52.3900344;
569;"DRIP";"143";"Weesperstraat stad uit";2009;"VmC-FP";"SD168";"SD168";0;160;"POINT(4.9071872,52.3622939)";"POINT(52.3622939,4.9071872)";4.9071872;52.3622939;
570;"DRIP";"143";"Nassaukade buitenring (Overtoom)";2012;"Eigen voeding";"SD173";"SD173";0;180;"POINT(4.8784931,52.3646437)";"POINT(52.3646437,4.8784931)";4.8784931;52.3646437;
571;"DRIP";"143";"Nassaukade buitenring (Rozengracht)";2013;"Eigen voeding";"SD183";"SD183";0;210;"POINT(4.8748858,52.3731124)";"POINT(52.3731124,4.8748858)";4.8748858;52.3731124;
572;"DRIP";"143";"Holterbergweg richting zuid (P2)";2015;"PVS Zuid Oost";"SD304";"SD304";0;150;"POINT(4.9301922,52.3191496)";"POINT(52.3191496,4.9301922)";4.9301922;52.3191496;
573;"DRIP";"143";"Gooiseweg richting zuid (A10)";2010;"PVS Zuid Oost";"SD310";"SD310";0;150;"POINT(4.9537551,52.3274085)";"POINT(52.3274085,4.9537551)";4.9537551;52.3274085;
574;"DRIP";"143";"Europaboulevard ri. zuid (P1)";2010;"PV-RAI in kast naast VRI 642 (4 borden)";"SD605";"SD605";0;184;"POINT(4.891813,52.3394896)";"POINT(52.3394896,4.891813)";4.891813;52.3394896;
575;"DRIP";"143";"Europaboulevard richting zuid (Boelelaan)";2010;"PV-RAI in kast naast VRI 643 (2 borden)";"SD606";"SD606";0;200;"POINT(4.8899028,52.3360564)";"POINT(52.3360564,4.8899028)";4.8899028;52.3360564;
576;"DRIP";"143";"Piet Heinkade binnenring (Piet Heintunnel)";2012;"Eigen voeding";"SD142";"SD142";0;135;"POINT(4.9318659,52.3738944)";"POINT(52.3738944,4.9318659)";4.9318659;52.3738944;
577;"DRIP";"143";"Stadhouderskade buitenring";2013;"Eigen voeding";"SD164";"SD164";0;135;"POINT(4.8886411,52.3587424)";"POINT(52.3587424,4.8886411)";4.8886411;52.3587424;
578;"DRIP";"143";"De Ruiterkade binnenring";2015;"Eigen voeding";"SD190";"SD190";0;135;"POINT(4.8951242,52.3822219)";"POINT(52.3822219,4.8951242)";4.8951242;52.3822219;
579;"DRIP";"143";"Holterbergweg richting zuid (Entree)";2010;"PVS Zuid Oost";"SD303";"SD303";0;150;"POINT(4.9373982,52.3110625)";"POINT(52.3110625,4.9373982)";4.9373982;52.3110625;
580;"DRIP";"143";"Afrit A10 buitenring";2010;"PV-RAI in kast naast VRI 643 (2 borden)";"SD602";"SD602";0;155;"POINT(4.8930991,52.3348281)";"POINT(52.3348281,4.8930991)";4.8930991;52.3348281;
581;"DRIP";"143";"Basisweg stad In";2011;"Eigen voeding";"SD901";"SD901";0;125;"POINT(4.8120749,52.3927542)";"POINT(52.3927542,4.8120749)";4.8120749;52.3927542;
582;"DRIP";"143";"Mauritskade binnenring";2013;"Eigen voeding";"SD165";"SD165";0;250;"POINT(4.9143212,52.3613288)";"POINT(52.3613288,4.9143212)";4.9143212;52.3613288;
583;"DRIP";"143";"Nieuwe Leeuwarderweg";2012;"Eigen voeding";"SD201";"SD201";0;225;"POINT(4.9251706,52.3957279)";"POINT(52.3957279,4.9251706)";4.9251706;52.3957279;
584;"Fiets-DRIP";"146";"Meeuwenlaan";2010;"Eigen voeding";"FD003";"Fietsdrip 3";0;180;"POINT(4.9243648,52.3907706)";"POINT(52.3907706,4.9243648)";4.9243648;52.3907706;
585;"Fiets-DRIP";"146";"Klaprozenweg (staat op eigen terrein)";2010;"Eigen voeding";"FD001";"Fietsdrip 1";0;130;"POINT(4.8943341,52.404103)";"POINT(52.404103,4.8943341)";4.8943341;52.404103;
586;"Fiets-DRIP";"146";"Mosplein west";2010;"Eigen voeding";"FD002";"Fietsdrip 2";0;225;"POINT(4.9120238,52.3918234)";"POINT(52.3918234,4.9120238)";4.9120238;52.3918234;
587;"Lichtwijzer";"180";"Aan het plafond van de Piet Heintunnel - Noordbuis Links";0;"Voeding Tunnelbeheer";"LW001";"CE 54";0;0;"POINT(4.941426,52.3722426)";"POINT(52.3722426,4.941426)";4.941426;52.3722426;
588;"Lichtwijzer";"180";"Aan het plafond van de Piet Heintunnel - Noordbuis Rechts";0;"Voeding Tunnelbeheer";"LW002";"CE 55";0;0;"POINT(4.9414251,52.3722731)";"POINT(52.3722731,4.9414251)";4.9414251;52.3722731;
589;"Kentekencamera, milieuzone";"127";"Zaaiersweg";2019;"Eigen vodnig";"ANPR-01036";"";0;220;"POINT(4.9392802,52.339685)";"POINT(52.339685,4.9392802)";4.9392802;52.339685;
590;"Taxistandplaatssysteem";"184";"Centraal Station";0;"";"Geen nr";"ERDI";0;0;"POINT(4.8977697,52.3804994)";"POINT(52.3804994,4.8977697)";4.8977697;52.3804994;
591;"Taxistandplaatssysteem";"184";"Leidse Boschje / Leidseplein";2017;"ERDI";"Geen nr";"ERDI";0;0;"POINT(4.881164,52.3621961)";"POINT(52.3621961,4.881164)";4.881164;52.3621961;
592;"Taxistandplaatssysteem";"184";"Arena Passage";0;"Erdi";"Geen nr";"Erdi";0;0;"POINT(4.9364073,52.3145813)";"POINT(52.3145813,4.9364073)";4.9364073;52.3145813;
593;"Vezips";"183";"Singel Blauwburgwal";2018;"nnb";"VC07";"Erdi";0;0;"POINT(4.891029,52.3763858)";"POINT(52.3763858,4.891029)";4.891029;52.3763858;
594;"Vezips";"183";"Singel oost  hk. Blauwburgwal";2018;"nnb";"VC07";"ERDI";0;0;"POINT(4.8910541,52.3764248)";"POINT(52.3764248,4.8910541)";4.8910541;52.3764248;
595;"Vezips";"183";"Singel Oost Blauwburgwal";2018;"nnb";"VC06";"ERDI";0;0;"POINT(4.8915905,52.376248)";"POINT(52.376248,4.8915905)";4.8915905;52.376248;
596;"Kentekencamera, reistijd (MoCo)";"124";"";2019;"";"ANPR-02004";"";0;315;"POINT(4.8935582,52.3674318)";"POINT(52.3674318,4.8935582)";4.8935582;52.3674318;
597;"TV Camera";"111";"A10 / Amstelveenseweg / buitenring talud A10";0;"";"TV-689-012b";"";0;0;"POINT(4.858445,52.337677)";"POINT(52.337677,4.858445)";4.858445;52.337677;
598;"TV Camera";"111";"Fred Roeskestraat";2019;"Eigen voeding";"TV-680-062";"";680;0;"POINT(4.857985,52.340984)";"POINT(52.340984,4.857985)";4.857985;52.340984;
599;"TV Camera";"111";"A10/ Harteveldseweg";2015;"Eigen voeding";"TV-479-040";"";479;0;"POINT(4.955956,52.343633)";"POINT(52.343633,4.955956)";4.955956;52.343633;
600;"Kentekencamera, milieuzone";"127";"S103: Haarlemmerweg / Admiraal de Ruijterweg";2019;"Eigen voeding";"ANPR-01004-B";"";0;90;"POINT(4.8471502,52.3848853)";"POINT(52.3848853,4.8471502)";4.8471502;52.3848853;
601;"Kentekencamera, milieuzone";"127";"S108: Amstelveenseweg / Fred Roeskestraat";2019;"Eigen voeding";"ANPR-01019-C";"";0;350;"POINT(4.8577389,52.3421599)";"POINT(52.3421599,4.8577389)";4.8577389;52.3421599;
602;"Kentekencamera, milieuzone";"127";"IJsbaanpad";2019;"Eigen voeding";"ANPR-01020";"";0;105;"POINT(4.8565562,52.3411422)";"POINT(52.3411422,4.8565562)";4.8565562;52.3411422;
603;"Kentekencamera, milieuzone";"127";"Fred. Roeskestraat";2019;"Eigen voeding";"ANPR-01021";"";0;270;"POINT(4.8587891,52.3410537)";"POINT(52.3410537,4.8587891)";4.8587891;52.3410537;
604;"DRIP";"143";"Eendrachtstraat";2019;"Eigen Voeding";"ANPR-01025";"";0;0;"POINT(4.8889885,52.344587)";"POINT(52.344587,4.8889885)";4.8889885;52.344587;
605;"Kentekencamera, milieuzone";"127";"Eendrachtstraat";2019;"Eigen voeding";"ANPR-01025";"";0;0;"POINT(4.8889831,52.3445542)";"POINT(52.3445542,4.8889831)";4.8889831;52.3445542;
606;"Kentekencamera, milieuzone";"127";"Maaslandstraat";2019;"Eigen voeding";"ANPR-01030";"";0;90;"POINT(4.8928454,52.3388537)";"POINT(52.3388537,4.8928454)";4.8928454;52.3388537;
607;"Kentekencamera, milieuzone";"127";"Amstelpark";2019;"Eigen voeding";"ANPR-01031";"";0;120;"POINT(4.8946076,52.3339416)";"POINT(52.3339416,4.8946076)";4.8946076;52.3339416;
608;"Kentekencamera, milieuzone";"127";"Westelijke Merwedekanaaldijk";2019;"Eigen voeding";"ANPR-01040";"";0;285;"POINT(4.9678341,52.3560128)";"POINT(52.3560128,4.9678341)";4.9678341;52.3560128;
609;"Kentekencamera, milieuzone";"127";"Buiksloterweg";2019;"Eigen voeding";"ANPR-01046-A";"";0;45;"POINT(4.9051436,52.3830034)";"POINT(52.3830034,4.9051436)";4.9051436;52.3830034;
610;"Kentekencamera, milieuzone";"127";"Buiksloterweg";2019;"Eigen voeding";"ANPR-01046-B";"";0;225;"POINT(4.9051182,52.3829886)";"POINT(52.3829886,4.9051182)";4.9051182;52.3829886;
611;"Kentekencamera, milieuzone";"127";"Zuiderzeeweg";2019;"Eigen voeding";"ANPR-01048";"";0;180;"POINT(4.9703068,52.3818568)";"POINT(52.3818568,4.9703068)";4.9703068;52.3818568;
612;"Kentekencamera, reistijd (MoCo)";"124";"Europaboulevard (s109) nabij Oprit Ringweg-Zuid (A10)";2019;"VRI 643";"ANPR-03004-A";"";643;180;"POINT(4.889873,52.3342425)";"POINT(52.3342425,4.889873)";4.889873;52.3342425;
613;"Kentekencamera, reistijd (MoCo)";"124";"Nieuwe Leeuwarderweg (s116) nabij Ringweg noord (A10) afrit binnenring";2019;"VRI 224";"ANPR-03009-A";"";224;225;"POINT(4.9370995,52.4059961)";"POINT(52.4059961,4.9370995)";4.9370995;52.4059961;

