OBJECTNUMMER;Initiatiefnemer;Activiteit;Sector;Jaar;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
655;"Maats Cycling Culture";"Wielerkleding en -accessoires ";"Detailhandel";2018;"POINT(4.9032226,52.3523475)";"POINT(52.3523475,4.9032226)";4.9032226;52.3523475;
656;"Dees Amsterdam";"Huiswerkbegeleiding";"Onderwijs";2018;"POINT(4.8979815,52.3683304)";"POINT(52.3683304,4.8979815)";4.8979815;52.3683304;
657;"Codaisseur Academy";"Opleiding tot softwareontwikkelaar/web developer ";"Onderwijs";2018;"POINT(4.8553612,52.3392129)";"POINT(52.3392129,4.8553612)";4.8553612;52.3392129;
658;"Frame Store";"Conceptstore";"Detailhandel";2014;"POINT(4.8868691,52.3738843)";"POINT(52.3738843,4.8868691)";4.8868691;52.3738843;
659;"Oma Ietje";"Vintage meubels, kunst en horeca (mengformule)";"Detailhandel";2014;"POINT(4.9539592,52.3065758)";"POINT(52.3065758,4.9539592)";4.9539592;52.3065758;
660;"Praktijk M3";"Praktijk gespecialiseerd in ADHD/ADD";"Maatschappelijk";2016;"POINT(4.8642876,52.3606627)";"POINT(52.3606627,4.8642876)";4.8642876;52.3606627;
661;"Wilbert Kok Systeemtherapie";"Relatietherapie en groepstrainingen";"Maatschappelijk";2018;"POINT(4.8981156,52.3649672)";"POINT(52.3649672,4.8981156)";4.8981156;52.3649672;
662;"Unknown Architects";"Architectenbureau";"Kantoor en bedrijf";2018;"POINT(4.8393645,52.3555519)";"POINT(52.3555519,4.8393645)";4.8393645;52.3555519;
663;"Lucky Beat Music Club for Kids";"Muziek- en danslessen voor kinderen";"Onderwijs";2018;"POINT(4.8598781,52.3357254)";"POINT(52.3357254,4.8598781)";4.8598781;52.3357254;
664;"Psychotherapiepraktijk Rijnstraat";"Psychotherapiepraktijk";"Maatschappelijk";2018;"POINT(4.8753598,52.3565413)";"POINT(52.3565413,4.8753598)";4.8753598;52.3565413;
665;"Dala Zorg";"Dagbesteding ";"Maatschappelijk";2018;"POINT(4.9534872,52.3921731)";"POINT(52.3921731,4.9534872)";4.9534872;52.3921731;
666;"Active Cues Tovertafel";" ontwikkelen spellen voor bijzondere doelgroepen in de zorg  ";"Kantoor en bedrijf";2018;"POINT(5.1074245,52.0881358)";"POINT(52.0881358,5.1074245)";5.1074245;52.0881358;
667;"Infinity College";"Particulier voortgezet onderwijs";"Onderwijs";2017;"POINT(4.9542596,52.3285791)";"POINT(52.3285791,4.9542596)";4.9542596;52.3285791;
668;"Codam";"Opleiding tot programmeur";"Onderwijs";2018;"POINT(4.9150994,52.3743608)";"POINT(52.3743608,4.9150994)";4.9150994;52.3743608;
669;"Tapas Theater";"Theatervoorstellingen";"Cultuur";2018;"POINT(4.9139817,52.3592917)";"POINT(52.3592917,4.9139817)";4.9139817;52.3592917;
670;"Bouwgabbers";"Programmeren met lego";"Kantoor en bedrijf";2018;"POINT(4.8409384,52.3598296)";"POINT(52.3598296,4.8409384)";4.8409384;52.3598296;
671;"About Moving";"Pilates studio";"Sport";2018;"POINT(4.8710436,52.3782205)";"POINT(52.3782205,4.8710436)";4.8710436;52.3782205;
672;"Wittenborg University of Applied Science";"";"Onderwijs";2018;"POINT(4.9411892,52.3078103)";"POINT(52.3078103,4.9411892)";4.9411892;52.3078103;
673;"Psychologiepraktijk Welter";"Psychologiepraktijk";"Maatschappelijk";2018;"POINT(4.8852326,52.3720833)";"POINT(52.3720833,4.8852326)";4.8852326;52.3720833;
675;"Stichting Unseen";"Platform voor fotografie";"Kantoor en bedrijf";2018;"POINT(4.8866212,52.3655449)";"POINT(52.3655449,4.8866212)";4.8866212;52.3655449;
676;"Waarmakers";"Ontwerpbureau";"Kantoor en bedrijf";2018;"POINT(4.8897041,52.3844443)";"POINT(52.3844443,4.8897041)";4.8897041;52.3844443;
677;"Psychologiepraktijk Welter";"Psychologische behandelingen";"Kantoor en bedrijf";2018;"POINT(4.8430477,52.3771525)";"POINT(52.3771525,4.8430477)";4.8430477;52.3771525;
678;"Ambitiouzz";"Taal- en inburgeringslessen";"Onderwijs";2018;"POINT(4.7767196,52.3529576)";"POINT(52.3529576,4.7767196)";4.7767196;52.3529576;
679;"Vondelgym Zuid";"Groepslessen, clinics en 1 op 1 trainingen";"Sport";2018;"POINT(4.8718462,52.3398216)";"POINT(52.3398216,4.8718462)";4.8718462;52.3398216;
680;"ElliottHalls (voorheen Gallery Vassie) ";"Fotogalerie";"Cultuur";2018;"POINT(4.8857334,52.3846582)";"POINT(52.3846582,4.8857334)";4.8857334;52.3846582;
