OBJECTNUMMER;SidewalkID;Streetname;Segments;NetworkType;ComfortLevelCode;ComfortLevel;SpaceclaimCode;Spaceclaim;SpaceclaimAantal;SituationCode;Situation;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
704;704;"Singel";"0003";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.892938 52.377434,4.892997 52.377492,4.893147 52.377625,4.893220 52.377694,4.893282 52.377757,4.893373 52.377835,4.893509 52.377960,4.893551 52.378003,4.893599 52.378038)";"LINESTRING(52.377434 4.892938,52.377492 4.892997,52.377625 4.893147,52.377694 4.893220,52.377757 4.893282,52.377835 4.893373,52.377960 4.893509,52.378003 4.893551,52.378038 4.893599)";4.89327355;52.37772815;
705;705;"Singel";"0004";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.892446 52.376992,4.892564 52.377097,4.892705 52.377218,4.892819 52.377315,4.892880 52.377377)";"LINESTRING(52.376992 4.892446,52.377097 4.892564,52.377218 4.892705,52.377315 4.892819,52.377377 4.892880)";4.892668;52.37717695;
706;706;"Singel";"0005";"";"18";"1.8m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891587 52.376210,4.891685 52.376298,4.891894 52.376490,4.892004 52.376590,4.892145 52.376720,4.892228 52.376796,4.892304 52.376866,4.892381 52.376932)";"LINESTRING(52.376210 4.891587,52.376298 4.891685,52.376490 4.891894,52.376590 4.892004,52.376720 4.892145,52.376796 4.892228,52.376866 4.892304,52.376932 4.892381)";4.891989;52.37656275;
707;707;"Singel";"0006";"";"18";"1.8m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890424 52.375145,4.890560 52.375267,4.890724 52.375421,4.890810 52.375499,4.890926 52.375603,4.891071 52.375737,4.891190 52.375846,4.891305 52.375943,4.891406 52.376039,4.891503 52.376132,4.891587 52.376210)";"LINESTRING(52.375145 4.890424,52.375267 4.890560,52.375421 4.890724,52.375499 4.890810,52.375603 4.890926,52.375737 4.891071,52.375846 4.891190,52.375943 4.891305,52.376039 4.891406,52.376132 4.891503,52.376210 4.891587)";4.8910103;52.37567015;
708;708;"Singel";"0007";"";"22";"2.2m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889792 52.374552,4.889879 52.374643,4.890050 52.374784,4.890254 52.374976,4.890356 52.375074,4.890424 52.375145)";"LINESTRING(52.374552 4.889792,52.374643 4.889879,52.374784 4.890050,52.374976 4.890254,52.375074 4.890356,52.375145 4.890424)";4.8901129;52.37484235;
709;709;"Singel";"0008";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889260 52.373340,4.889276 52.373399,4.889409 52.373733,4.889596 52.374194,4.889639 52.374297,4.889678 52.374394,4.889695 52.374444,4.889728 52.374500)";"LINESTRING(52.373340 4.889260,52.373399 4.889276,52.373733 4.889409,52.374194 4.889596,52.374297 4.889639,52.374394 4.889678,52.374444 4.889695,52.374500 4.889728)";4.88949895;52.37391345;
710;710;"Singel";"0009";"";"18";"1.8m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888856 52.372250,4.888884 52.372350,4.888914 52.372443,4.889045 52.372785,4.889125 52.372996,4.889148 52.373069,4.889184 52.373126)";"LINESTRING(52.372250 4.888856,52.372350 4.888884,52.372443 4.888914,52.372785 4.889045,52.372996 4.889125,52.373069 4.889148,52.373126 4.889184)";4.88902495;52.3726813;
711;711;"Singel";"0010";"";"29";"2.9m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888835 52.372147,4.888816 52.372067,4.888793 52.371951,4.888718 52.371635,4.888697 52.371501,4.888656 52.371278,4.888623 52.371145,4.888604 52.371011,4.888594 52.370977)";"LINESTRING(52.372147 4.888835,52.372067 4.888816,52.371951 4.888793,52.371635 4.888718,52.371501 4.888697,52.371278 4.888656,52.371145 4.888623,52.371011 4.888604,52.370977 4.888594)";4.8887196;52.37155405;
712;712;"Singel";"0011";"";"09";"0.9m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888440 52.370173,4.888488 52.370416,4.888544 52.370719,4.888558 52.370815,4.888569 52.370877,4.888579 52.370931,4.888594 52.370977)";"LINESTRING(52.370173 4.888440,52.370416 4.888488,52.370719 4.888544,52.370815 4.888558,52.370877 4.888569,52.370931 4.888579,52.370977 4.888594)";4.88852215;52.37056795;
713;713;"Singel";"0012";"";"22";"2.2m";"MEUBEL";"Straatmeubilair";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888436 52.370137,4.888379 52.369850,4.888316 52.369589)";"LINESTRING(52.370137 4.888436,52.369850 4.888379,52.369589 4.888316)";4.888381;52.36985655;
