OBJECTNUMMER;SidewalkID;Streetname;Segments;NetworkType;ComfortLevelCode;ComfortLevel;SpaceclaimCode;Spaceclaim;SpaceclaimAantal;SituationCode;Situation;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1605;1605;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891296 52.337754,4.89132 52.337924)";"LINESTRING(52.337754 4.891296,52.337924 4.89132)";4.89131305;52.33783215;
1606;1606;"Europaboulevard";"0005";"";"29";"2.9m";"GEEN";"Geen obstakels";0;"FIETSVOET";"Fietspad en voetpad";"LINESTRING(4.891047 52.338633,4.891227 52.338413,4.891346 52.338270,4.891363 52.338161,4.891320 52.337924)";"LINESTRING(52.338633 4.891047,52.338413 4.891227,52.338270 4.891346,52.338161 4.891363,52.337924 4.891320)";4.89121005;52.33827275;
1607;1607;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891047 52.338633,4.891012 52.338702)";"LINESTRING(52.338633 4.891047,52.338702 4.891012)";4.8910346;52.33866185;
1608;1608;"Europaboulevard";"0006";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"FIETSVOET";"Fietspad en voetpad";"LINESTRING(4.891719 52.340665,4.891705 52.340544,4.891623 52.340511,4.891526 52.340474,4.891315 52.340339,4.891277 52.340179,4.891164 52.339587,4.891007 52.338728)";"LINESTRING(52.340665 4.891719,52.340544 4.891705,52.340511 4.891623,52.340474 4.891526,52.340339 4.891315,52.340179 4.891277,52.339587 4.891164,52.338728 4.891007)";4.8913679;52.3396899;
1609;1609;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891719 52.340665,4.89178 52.340989)";"LINESTRING(52.340665 4.891719,52.340989 4.89178)";4.8917544;52.34081905;
1610;1610;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.892855 52.340558,4.892918 52.341071)";"LINESTRING(52.340558 4.892855,52.341071 4.892918)";4.89289165;52.3408076;
1611;1611;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891719 52.340665,4.892855 52.340558)";"LINESTRING(52.340665 4.891719,52.340558 4.892855)";4.89229205;52.3406035;
1612;1612;"Europaplein";"0007";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.891719 52.340665,4.890869 52.340712,4.890356 52.340820,4.890236 52.340898,4.890035 52.340921,4.888327 52.341010)";"LINESTRING(52.340665 4.891719,52.340712 4.890869,52.340820 4.890356,52.340898 4.890236,52.340921 4.890035,52.341010 4.888327)";4.890028;52.34083045;
1613;1613;"Europaplein";"0008";"";"36PLUS";"3.6m of breder";"PAAL";"Palen en masten";1;"VOETFIETS";"Voetgangersgebied, fietsen toegestaan";"LINESTRING(4.886640 52.340954,4.886959 52.340954,4.887648 52.341015,4.888327 52.341010)";"LINESTRING(52.340954 4.886640,52.340954 4.886959,52.341015 4.887648,52.341010 4.888327)";4.8874886;52.34097735;
1614;1614;"Boerenweteringpad";"0001";"";"29";"2.9m";"GEEN";"Geen obstakels";0;"ANDERS";"Anders";"LINESTRING(4.884977 52.341026,4.884539 52.341075,4.884399 52.341728,4.884536 52.342505,4.884674 52.343312,4.884830 52.344475)";"LINESTRING(52.341026 4.884977,52.341075 4.884539,52.341728 4.884399,52.342505 4.884536,52.343312 4.884674,52.344475 4.884830)";4.8846929;52.34274355;
1615;1615;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.85795 52.335413,4.857836 52.33494)";"LINESTRING(52.335413 4.85795,52.33494 4.857836)";4.857898;52.3351714;
1616;1616;"De Boelelaan";"0001";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.861586 52.334908,4.860306 52.334950,4.859347 52.334969,4.858589 52.334972,4.857836 52.334940)";"LINESTRING(52.334908 4.861586,52.334950 4.860306,52.334969 4.859347,52.334972 4.858589,52.334940 4.857836)";4.85971595;52.33493295;
1617;1617;"De Boelelaan";"0002";"";"36PLUS";"3.6m of breder";"GROEN";"Groen";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.861505 52.335361,4.859627 52.335339,4.858121 52.335357,4.857950 52.335413)";"LINESTRING(52.335361 4.861505,52.335339 4.859627,52.335357 4.858121,52.335413 4.857950)";4.8597326;52.33536975;
1618;1618;"De Boelelaan";"0003";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.863823 52.335371,4.863702 52.335375,4.862055 52.335373)";"LINESTRING(52.335371 4.863823,52.335375 4.863702,52.335373 4.862055)";4.86294385;52.3353659;
1619;1619;"De Boelelaan";"0004";"";"22";"2.2m";"MEUBEL";"Straatmeubilair";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.865804 52.335171,4.865800 52.335261,4.865740 52.335303,4.865364 52.335323,4.863823 52.335371)";"LINESTRING(52.335171 4.865804,52.335261 4.865800,52.335303 4.865740,52.335323 4.865364,52.335371 4.863823)";4.86481855;52.3352629;
1620;1620;"De Boelelaan";"0005";"";"22";"2.2m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.868416 52.335173,4.865804 52.335171)";"LINESTRING(52.335173 4.868416,52.335171 4.865804)";4.867115;52.33516565;
1621;1621;"De Boelelaan";"0006";"";"29";"2.9m";"FIETSREG|BROM|GROEN";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Groen";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.868399 52.334883,4.865791 52.334888)";"LINESTRING(52.334883 4.868399,52.334888 4.865791)";4.86709995;52.33487955;
1622;1622;"De Boelelaan";"0007";"";"18";"1.8m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.862026 52.334912,4.864717 52.334940,4.864914 52.334902,4.865791 52.334888)";"LINESTRING(52.334912 4.862026,52.334940 4.864717,52.334902 4.864914,52.334888 4.865791)";4.8639135;52.3349082;
1623;1623;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.865804 52.335171,4.865791 52.334888)";"LINESTRING(52.335171 4.865804,52.334888 4.865791)";4.8658025;52.3350226;
1624;1624;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.862055 52.335373,4.861505 52.335361)";"LINESTRING(52.335373 4.862055,52.335361 4.861505)";4.8617849;52.3353602;
1625;1625;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.861586 52.334908,4.862026 52.334912)";"LINESTRING(52.334908 4.861586,52.334912 4.862026)";4.86181115;52.3349024;
1626;1626;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.862055 52.335373,4.862026 52.334912)";"LINESTRING(52.335373 4.862055,52.334912 4.862026)";4.8620455;52.3351351;
1627;1627;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.857147 52.33435,4.857681 52.334295)";"LINESTRING(52.33435 4.857147,52.334295 4.857681)";4.857419;52.334315;
1628;1628;"Parnassusweg";"0001";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.869132 52.336525,4.869118 52.335745,4.869150 52.335334,4.869224 52.335166)";"LINESTRING(52.336525 4.869132,52.335745 4.869118,52.335334 4.869150,52.335166 4.869224)";4.86917615;52.33583895;
1629;1629;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.868399 52.334883,4.869224 52.335166)";"LINESTRING(52.334883 4.868399,52.335166 4.869224)";4.8688166;52.33501875;
1630;1630;"Parnassusweg";"0002";"";"29";"2.9m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.868490 52.336506,4.868485 52.336422,4.868329 52.336299,4.868210 52.336183,4.868204 52.335704,4.868425 52.335480,4.868416 52.335173)";"LINESTRING(52.336506 4.868490,52.336422 4.868485,52.336299 4.868329,52.336183 4.868210,52.335704 4.868204,52.335480 4.868425,52.335173 4.868416)";4.86835215;52.33583325;
1631;1631;"Gustav Mahlerlaan";"0001";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.873268 52.336560,4.870091 52.336593,4.869394 52.336562,4.869132 52.336525)";"LINESTRING(52.336560 4.873268,52.336593 4.870091,52.336562 4.869394,52.336525 4.869132)";4.87120505;52.3365523;
1632;1632;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.86849 52.336506,4.869132 52.336525)";"LINESTRING(52.336506 4.86849,52.336525 4.869132)";4.8688161;52.33650845;
1633;1633;"Gustav Mahlerlaan";"0002";"";"22";"2.2m";"FIETSREG|BROM|GROEN|TERRAS";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Groen - Terrassen";4;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.870564 52.336800,4.869225 52.336780)";"LINESTRING(52.336800 4.870564,52.336780 4.869225)";4.8698995;52.33678305;
1634;1634;"Gustav Mahlerlaan";"0003";"";"22";"2.2m";"FIETSREG|BROM|GROEN|TERRAS";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Groen - Terrassen";4;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.871615 52.336792,4.870808 52.336792)";"LINESTRING(52.336792 4.871615,52.336792 4.870808)";4.8712165;52.336785;
1635;1635;"Gustav Mahlerlaan";"0004";"";"22";"2.2m";"FIETSREG|GROEN";"Geparkeerde fietsen gereguleerd - Groen";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.873253 52.336804,4.871860 52.336790)";"LINESTRING(52.336804 4.873253,52.336790 4.871860)";4.87256145;52.3367888;
1636;1636;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.869132 52.336525,4.869225 52.33678)";"LINESTRING(52.336525 4.869132,52.33678 4.869225)";4.8691835;52.33664575;
1637;1637;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.870564 52.3368,4.870808 52.336792)";"LINESTRING(52.3368 4.870564,52.336792 4.870808)";4.87069105;52.3367888;
1638;1638;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.871615 52.336792,4.87186 52.33679)";"LINESTRING(52.336792 4.871615,52.33679 4.87186)";4.87174245;52.3367831;
1640;1640;"Claude Debussylaan";"0002";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"VOETFIETS";"Voetgangersgebied, fietsen toegestaan";"LINESTRING(4.873129 52.337766,4.869169 52.337252)";"LINESTRING(52.337766 4.873129,52.337252 4.869169)";4.87115405;52.33750215;
1641;1641;"Gustav Mahlerplein";"0001";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"VOETFIETS";"Voetgangersgebied, fietsen toegestaan";"LINESTRING(4.873253 52.336804,4.873158 52.337658,4.873129 52.337766)";"LINESTRING(52.336804 4.873253,52.337658 4.873158,52.337766 4.873129)";4.8731959;52.33727705;
1642;1642;"Gustav Mahlerplein";"0002";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.873855 52.336826,4.873253 52.336804)";"LINESTRING(52.336826 4.873855,52.336804 4.873253)";4.873559;52.33680785;
1643;1643;"Gustav Mahlerplein";"0003";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"VOETFIETS";"Voetgangersgebied, fietsen toegestaan";"LINESTRING(4.873713 52.338195,4.873855 52.336826)";"LINESTRING(52.338195 4.873713,52.336826 4.873855)";4.87378905;52.33750405;
1644;1644;"Gustav Mahlerplein";"0004";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"VOETFIETS";"Voetgangersgebied, fietsen toegestaan";"LINESTRING(4.873129 52.337766,4.873713 52.338195)";"LINESTRING(52.337766 4.873129,52.338195 4.873713)";4.87342595;52.33797325;
1645;1645;"Tunnel Ringweg Zuid";"0001";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"VOETGEENFI";"Voetgangersgebied, fietsen verboden";"LINESTRING(4.873250 52.339792,4.873319 52.339405,4.873378 52.339069,4.873506 52.338836,4.873598 52.338297,4.873713 52.338195)";"LINESTRING(52.339792 4.873250,52.339405 4.873319,52.339069 4.873378,52.338836 4.873506,52.338297 4.873598,52.338195 4.873713)";4.8734865;52.33898605;
1646;1646;"Zuidplein";"0001";"";"36PLUS";"3.6m of breder";"GROEN";"Groen";1;"VOETGEENFI";"Voetgangersgebied, fietsen verboden";"LINESTRING(4.873145 52.340671,4.873250 52.339792)";"LINESTRING(52.340671 4.873145,52.339792 4.873250)";4.87320255;52.3402239;
1647;1647;"Marathonweg";"0001";"";"22";"2.2m";"FIETSREG";"Geparkeerde fietsen gereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.865296 52.346560,4.865229 52.346588,4.864556 52.346869)";"LINESTRING(52.346560 4.865296,52.346588 4.865229,52.346869 4.864556)";4.86493085;52.3467089;
1648;1648;"Olympiaplein";"0001";"";"22";"2.2m";"FIETSREG|TERRAS";"Geparkeerde fietsen gereguleerd - Terrassen";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.865392 52.346324,4.865296 52.346560)";"LINESTRING(52.346324 4.865392,52.346560 4.865296)";4.86534905;52.34643615;
1649;1649;"Olympiaplein";"0002";"";"09";"0.9m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.865740 52.346420,4.865616 52.346599)";"LINESTRING(52.346420 4.865740,52.346599 4.865616)";4.8656828;52.34650295;
1650;1650;"Stadionweg";"0001";"";"29";"2.9m";"FIETSREG|BROM";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.864102 52.346131,4.865392 52.346324)";"LINESTRING(52.346131 4.864102,52.346324 4.865392)";4.86475205;52.34622065;
1651;1651;"Stadionweg";"0002";"";"29";"2.9m";"FIETSREG";"Geparkeerde fietsen gereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.862665 52.345939,4.863922 52.346107)";"LINESTRING(52.345939 4.862665,52.346107 4.863922)";4.86329865;52.34601655;
1652;1652;"Stadionweg";"0003";"";"36PLUS";"3.6m of breder";"FIETSREG";"Geparkeerde fietsen gereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.861825 52.345829,4.862524 52.345915)";"LINESTRING(52.345829 4.861825,52.345915 4.862524)";4.8621795;52.34586585;
1653;1653;"Stadionweg";"0004";"";"29";"2.9m";"FIETSREG|BROM";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.860902 52.345697,4.861456 52.345783)";"LINESTRING(52.345697 4.860902,52.345783 4.861456)";4.86118385;52.34573235;
1654;1654;"Stadionweg";"0005";"";"18";"1.8m";"FIETSREG|BROM|GROEN";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Groen";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.859780 52.345554,4.860763 52.345686)";"LINESTRING(52.345554 4.859780,52.345686 4.860763)";4.86027645;52.34561415;
1655;1655;"Stadionweg";"0006";"";"36PLUS";"3.6m of breder";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.859301 52.345516,4.859617 52.345541)";"LINESTRING(52.345516 4.859301,52.345541 4.859617)";4.85946415;52.34552065;
1656;1656;"Stadionweg";"0007";"";"18";"1.8m";"GROEN";"Groen";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.858135 52.345426,4.858970 52.345537)";"LINESTRING(52.345426 4.858135,52.345537 4.858970)";4.8585577;52.345473;
1657;1657;"Stadionweg";"0008";"";"22";"2.2m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.858805 52.345126,4.858149 52.345019)";"LINESTRING(52.345126 4.858805,52.345019 4.858149)";4.85848215;52.3450667;
1658;1658;"Stadionweg";"0009";"";"18";"1.8m";"FIETSREG|BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.859589 52.345299,4.858952 52.345199)";"LINESTRING(52.345299 4.859589,52.345199 4.858952)";4.85927555;52.3452422;
1659;1659;"Stadionweg";"0010";"";"29";"2.9m";"FIETSREG|BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.861931 52.345614,4.859872 52.345335)";"LINESTRING(52.345614 4.861931,52.345335 4.859872)";4.86090635;52.34546725;
1660;1660;"Stadionweg";"0011";"";"29";"2.9m";"FIETSREG|BROM|GROEN";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Groen";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.863129 52.345783,4.861931 52.345614)";"LINESTRING(52.345783 4.863129,52.345614 4.861931)";4.86253495;52.3456923;
1661;1661;"Stadionweg";"0012";"";"36PLUS";"3.6m of breder";"FIETSREG";"Geparkeerde fietsen gereguleerd - ";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.863972 52.345899,4.863303 52.345808)";"LINESTRING(52.345899 4.863972,52.345808 4.863303)";4.8636427;52.3458449;
1662;1662;"Stadionweg";"0013";"";"29";"2.9m";"FIETSREG|BROM";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.864900 52.346032,4.864212 52.345925)";"LINESTRING(52.346032 4.864900,52.345925 4.864212)";4.86456105;52.3459708;
1663;1663;"Stadionweg";"0014";"";"29";"2.9m";"FIETSREG|BROM|WINKEL";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Winkeluitstalling & reclameborden";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.865740 52.346119,4.865118 52.346044)";"LINESTRING(52.346119 4.865740,52.346044 4.865118)";4.8654339;52.34607375;
1664;1664;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.865392 52.346324,4.86574 52.346119)";"LINESTRING(52.346324 4.865392,52.346119 4.86574)";4.865571;52.3462149;
1665;1665;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.865118 52.346044,4.8649 52.346032)";"LINESTRING(52.346044 4.865118,52.346032 4.8649)";4.86501405;52.3460299;
1666;1666;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.864102 52.346131,4.863922 52.346107)";"LINESTRING(52.346131 4.864102,52.346107 4.863922)";4.864017;52.34611195;
1667;1667;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.864212 52.345925,4.863972 52.345899)";"LINESTRING(52.345925 4.864212,52.345899 4.863972)";4.8640971;52.34590405;
1668;1668;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.863303 52.345808,4.863129 52.345783)";"LINESTRING(52.345808 4.863303,52.345783 4.863129)";4.86322115;52.34578765;
1669;1669;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.862665 52.345939,4.862524 52.345915)";"LINESTRING(52.345939 4.862665,52.345915 4.862524)";4.8625996;52.34592115;
1670;1670;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.861825 52.345829,4.861456 52.345783)";"LINESTRING(52.345829 4.861825,52.345783 4.861456)";4.86164545;52.3457991;
1671;1671;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.861825 52.345829,4.861931 52.345614)";"LINESTRING(52.345829 4.861825,52.345614 4.861931)";4.8618829;52.3457152;
1672;1672;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.860902 52.345697,4.860763 52.345686)";"LINESTRING(52.345697 4.860902,52.345686 4.860763)";4.86083745;52.3456847;
1673;1673;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.85978 52.345554,4.859617 52.345541)";"LINESTRING(52.345554 4.85978,52.345541 4.859617)";4.8597035;52.34553975;
1674;1674;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.859872 52.345335,4.859589 52.345299)";"LINESTRING(52.345335 4.859872,52.345299 4.859589)";4.8597355;52.34530895;
1675;1675;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.859301 52.345516,4.85897 52.345537)";"LINESTRING(52.345516 4.859301,52.345537 4.85897)";4.85914065;52.34551875;
1676;1676;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.858952 52.345199,4.858805 52.345126)";"LINESTRING(52.345199 4.858952,52.345126 4.858805)";4.8588836;52.34515635;
1677;1677;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.858149 52.345019,4.858135 52.345426)";"LINESTRING(52.345019 4.858149,52.345426 4.858135)";4.85814715;52.3452155;
1678;1678;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.857893 52.347724,4.857914 52.34763)";"LINESTRING(52.347724 4.857893,52.34763 4.857914)";4.8579085;52.3476702;
1679;1679;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.857933 52.347258,4.857943 52.34709)";"LINESTRING(52.347258 4.857933,52.34709 4.857943)";4.85794305;52.3471686;
1680;1680;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.855702 52.354462,4.8557 52.354679)";"LINESTRING(52.354462 4.855702,52.354679 4.8557)";4.85570595;52.3545634;
1681;1681;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.855493 52.3542,4.855522 52.35412)";"LINESTRING(52.3542 4.855493,52.35412 4.855522)";4.85551265;52.3541514;
1682;1682;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.855703 52.35365,4.855726 52.35357)";"LINESTRING(52.35365 4.855703,52.35357 4.855726)";4.85571935;52.35360205;
1683;1683;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.855851 52.353192,4.855886 52.3531)";"LINESTRING(52.353192 4.855851,52.3531 4.855886)";4.8558736;52.3531386;
1684;1684;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.856028 52.35268,4.856035 52.35258)";"LINESTRING(52.35268 4.856028,52.35258 4.856035)";4.85603665;52.3526236;
1685;1685;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.856429 52.35235,4.85646 52.352271)";"LINESTRING(52.35235 4.856429,52.352271 4.85646)";4.8564496;52.35230315;
1686;1686;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.856076 52.352041,4.856124 52.351961)";"LINESTRING(52.352041 4.856076,52.351961 4.856124)";4.85610485;52.35199225;
1687;1687;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.856719 52.351693,4.856869 52.351498)";"LINESTRING(52.351693 4.856719,52.351498 4.856869)";4.8567991;52.35158795;
1688;1688;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.856719 52.351693,4.85634 52.351548)";"LINESTRING(52.351693 4.856719,52.351548 4.85634)";4.85653445;52.3516127;
1689;1689;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.85634 52.351548,4.856437 52.351343)";"LINESTRING(52.351548 4.85634,52.351343 4.856437)";4.85639355;52.3514372;
1690;1690;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.856692 52.350905,4.856719 52.3508)";"LINESTRING(52.350905 4.856692,52.3508 4.856719)";4.8567104;52.350846;
1691;1691;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.857016 52.351126,4.857054 52.351009)";"LINESTRING(52.351126 4.857016,52.351009 4.857054)";4.85704015;52.3510615;
1692;1692;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.857202 52.350661,4.85731 52.350516)";"LINESTRING(52.350661 4.857202,52.350516 4.85731)";4.85726095;52.35058275;
1693;1693;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.857054 52.351009,4.856719 52.3508)";"LINESTRING(52.351009 4.857054,52.3508 4.856719)";4.8568916;52.3508975;
1694;1694;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.857221 52.348733,4.85721 52.348634)";"LINESTRING(52.348733 4.857221,52.348634 4.85721)";4.85722065;52.3486754;
