OBJECTNUMMER;LABEL;BlokStraatCode;WON;VZN;WRK;TOTAAL;WON_PERC;VZN_PERC;WRK_PERC;CAT;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Wonen 0% - Voorzieningen 100% - Werken 0%";"AA01_00004981";0;8430;0;8430;0;100;0;"VZN";"MULTIPOLYGON(((4.869114 52.39278,4.868984 52.392639,4.868719 52.392638,4.868614 52.392748,4.868763 52.392811,4.868858 52.392833,4.869064 52.392832,4.869114 52.39278)),((4.868542 52.39256,4.8685 52.392515,4.868444 52.392515,4.868486 52.392472,4.868414 52.392393,4.868267 52.392393,4.868192 52.392471,4.868232 52.392512,4.868294 52.392485,4.868439 52.392607,4.868508 52.392599,4.868482 52.392588,4.868542 52.39256)))";"MULTIPOLYGON(((52.39278 4.869114,52.392639 4.868984,52.392638 4.868719,52.392748 4.868614,52.392811 4.868763,52.392833 4.868858,52.392832 4.869064,52.39278 4.869114)),((52.39256 4.868542,52.392515 4.8685,52.392515 4.868444,52.392472 4.868486,52.392393 4.868414,52.392393 4.868267,52.392471 4.868192,52.392512 4.868232,52.392485 4.868294,52.392607 4.868439,52.392599 4.868508,52.392588 4.868482,52.39256 4.868542)))";4.868658;52.392606;
2;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA02_00004738";1606;0;0;1606;100;0;0;"WON";"POLYGON((4.87245 52.392705,4.87245 52.392716,4.872481 52.392716,4.872523 52.392761,4.872596 52.392761,4.872594 52.392704,4.872573 52.392225,4.872572 52.392209,4.872547 52.392184,4.872469 52.392185,4.872421 52.392185,4.872397 52.39221,4.872475 52.392278,4.872455 52.3923,4.872472 52.392319,4.872439 52.392354,4.872476 52.392394,4.872453 52.392417,4.872478 52.392444,4.872453 52.392471,4.872482 52.392503,4.872452 52.392534,4.872466 52.39255,4.872437 52.392566,4.872456 52.392599,4.87245 52.392705))";"POLYGON((52.392705 4.87245,52.392716 4.87245,52.392716 4.872481,52.392761 4.872523,52.392761 4.872596,52.392704 4.872594,52.392225 4.872573,52.392209 4.872572,52.392184 4.872547,52.392185 4.872469,52.392185 4.872421,52.39221 4.872397,52.392278 4.872475,52.3923 4.872455,52.392319 4.872472,52.392354 4.872439,52.392394 4.872476,52.392417 4.872453,52.392444 4.872478,52.392471 4.872453,52.392503 4.872482,52.392534 4.872452,52.39255 4.872466,52.392566 4.872437,52.392599 4.872456,52.392705 4.87245))";4.8725015;52.3924655;
3;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA02_00004944";1743;0;0;1743;100;0;0;"WON";"MULTIPOLYGON(((4.872188 52.392497,4.872156 52.392462,4.872175 52.392371,4.872146 52.39234,4.872174 52.39231,4.872148 52.392278,4.872168 52.39219,4.872042 52.392192,4.872056 52.392492,4.871531 52.3925,4.871502 52.392467,4.871492 52.392249,4.871362 52.392251,4.871395 52.392336,4.871412 52.392484,4.871395 52.392503,4.871415 52.392524,4.871501 52.392529,4.871502 52.392587,4.871746 52.392569,4.871767 52.392546,4.871793 52.392575,4.871934 52.39257,4.871972 52.39258,4.872064 52.392564,4.872061 52.392521,4.872188 52.392497)),((4.872573 52.392225,4.872572 52.392183,4.872469 52.392185,4.872434 52.392185,4.87247 52.392239,4.872573 52.392225)))";"MULTIPOLYGON(((52.392497 4.872188,52.392462 4.872156,52.392371 4.872175,52.39234 4.872146,52.39231 4.872174,52.392278 4.872148,52.39219 4.872168,52.392192 4.872042,52.392492 4.872056,52.3925 4.871531,52.392467 4.871502,52.392249 4.871492,52.392251 4.871362,52.392336 4.871395,52.392484 4.871412,52.392503 4.871395,52.392524 4.871415,52.392529 4.871501,52.392587 4.871502,52.392569 4.871746,52.392546 4.871767,52.392575 4.871793,52.39257 4.871934,52.39258 4.871972,52.392564 4.872064,52.392521 4.872061,52.392497 4.872188)),((52.392225 4.872573,52.392183 4.872572,52.392185 4.872469,52.392185 4.872434,52.392239 4.87247,52.392225 4.872573)))";4.8719725;52.392378;
4;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA02_00004945";1562;0;0;1562;100;0;0;"WON";"MULTIPOLYGON(((4.871072 52.392794,4.871113 52.392753,4.871066 52.392704,4.871046 52.392683,4.87108 52.392656,4.871079 52.392614,4.87099 52.392415,4.871048 52.392339,4.871038 52.392319,4.871074 52.39225,4.871031 52.392194,4.870956 52.392193,4.870849 52.392418,4.870996 52.392799,4.871068 52.3928,4.871072 52.392794)),((4.871134 52.392133,4.871127 52.392126,4.871091 52.392086,4.871004 52.392086,4.870986 52.392123,4.870974 52.39215,4.871002 52.392179,4.87109 52.39218,4.871134 52.392133)))";"MULTIPOLYGON(((52.392794 4.871072,52.392753 4.871113,52.392704 4.871066,52.392683 4.871046,52.392656 4.87108,52.392614 4.871079,52.392415 4.87099,52.392339 4.871048,52.392319 4.871038,52.39225 4.871074,52.392194 4.871031,52.392193 4.870956,52.392418 4.870849,52.392799 4.870996,52.3928 4.871068,52.392794 4.871072)),((52.392133 4.871134,52.392126 4.871127,52.392086 4.871091,52.392086 4.871004,52.392123 4.870986,52.39215 4.870974,52.392179 4.871002,52.39218 4.87109,52.392133 4.871134)))";4.8709965;52.392436;
5;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA02_00004981";3000;0;0;3000;100;0;0;"WON";"MULTIPOLYGON(((4.87098 52.392743,4.871024 52.39279,4.871068 52.392791,4.871072 52.392794,4.871094 52.39281,4.871755 52.392799,4.871791 52.392765,4.871742 52.392703,4.871599 52.392716,4.871546 52.392704,4.871436 52.392718,4.871279 52.392709,4.871163 52.392723,4.871066 52.392704,4.871025 52.392697,4.87098 52.392743)),((4.871791 52.392765,4.871833 52.392798,4.872597 52.392787,4.872594 52.392704,4.87245 52.392705,4.872419 52.392705,4.872403 52.392722,4.872387 52.392706,4.872288 52.392693,4.87215 52.392709,4.872034 52.392696,4.871933 52.392713,4.871845 52.392701,4.871791 52.392765)))";"MULTIPOLYGON(((52.392743 4.87098,52.39279 4.871024,52.392791 4.871068,52.392794 4.871072,52.39281 4.871094,52.392799 4.871755,52.392765 4.871791,52.392703 4.871742,52.392716 4.871599,52.392704 4.871546,52.392718 4.871436,52.392709 4.871279,52.392723 4.871163,52.392704 4.871066,52.392697 4.871025,52.392743 4.87098)),((52.392765 4.871791,52.392798 4.871833,52.392787 4.872597,52.392704 4.872594,52.392705 4.87245,52.392705 4.872419,52.392722 4.872403,52.392706 4.872387,52.392693 4.872288,52.392709 4.87215,52.392696 4.872034,52.392713 4.871933,52.392701 4.871845,52.392765 4.871791)))";4.8717935;52.3927445;
6;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA03_00004944";865;0;0;865;100;0;0;"WON";"POLYGON((4.871628 52.391841,4.871516 52.391812,4.87149 52.391838,4.871415 52.391972,4.8714 52.392035,4.871417 52.392054,4.871385 52.392089,4.871402 52.392107,4.871359 52.392173,4.87137 52.392197,4.87152 52.392194,4.871517 52.392081,4.87156 52.391948,4.871628 52.391841))";"POLYGON((52.391841 4.871628,52.391812 4.871516,52.391838 4.87149,52.391972 4.871415,52.392035 4.8714,52.392054 4.871417,52.392089 4.871385,52.392107 4.871402,52.392173 4.871359,52.392197 4.87137,52.392194 4.87152,52.392081 4.871517,52.391948 4.87156,52.391841 4.871628))";4.8714985;52.3919975;
7;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA03_00004945";1203;0;0;1203;100;0;0;"WON";"MULTIPOLYGON(((4.8713 52.391782,4.871257 52.391736,4.871168 52.391736,4.871083 52.391917,4.871113 52.391937,4.87121 52.391946,4.87127 52.391857,4.871244 52.39183,4.8713 52.391782)),((4.871357 52.391655,4.871349 52.391646,4.871317 52.391611,4.871229 52.39161,4.871226 52.391616,4.871191 52.391683,4.871213 52.391722,4.871301 52.391722,4.871357 52.391655)),((4.870986 52.392123,4.871127 52.392126,4.871133 52.392126,4.87119 52.392032,4.871195 52.391986,4.87118 52.39197,4.871067 52.391951,4.870986 52.392123)))";"MULTIPOLYGON(((52.391782 4.8713,52.391736 4.871257,52.391736 4.871168,52.391917 4.871083,52.391937 4.871113,52.391946 4.87121,52.391857 4.87127,52.39183 4.871244,52.391782 4.8713)),((52.391655 4.871357,52.391646 4.871349,52.391611 4.871317,52.39161 4.871229,52.391616 4.871226,52.391683 4.871191,52.391722 4.871213,52.391722 4.871301,52.391655 4.871357)),((52.392123 4.870986,52.392126 4.871127,52.392126 4.871133,52.392032 4.87119,52.391986 4.871195,52.39197 4.87118,52.391951 4.871067,52.392123 4.870986)))";4.8711765;52.391861;
8;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA04_00004944";1180;0;0;1180;100;0;0;"WON";"POLYGON((4.872071 52.39118,4.872074 52.391177,4.872057 52.391156,4.87199 52.391155,4.871968 52.391155,4.87185 52.391264,4.871536 52.391748,4.8716 52.391775,4.871632 52.391784,4.871989 52.391252,4.872071 52.39118))";"POLYGON((52.39118 4.872071,52.391177 4.872074,52.391156 4.872057,52.391155 4.87199,52.391155 4.871968,52.391264 4.87185,52.391748 4.871536,52.391775 4.8716,52.391784 4.871632,52.391252 4.871989,52.39118 4.872071))";4.87181;52.3914625;
9;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA04_00004945";1559;0;0;1559;100;0;0;"WON";"POLYGON((4.871226 52.391616,4.871258 52.39165,4.871346 52.39165,4.871349 52.391646,4.871393 52.391589,4.871408 52.391558,4.871388 52.391534,4.871454 52.39146,4.871483 52.391361,4.871512 52.391331,4.871482 52.391297,4.871511 52.391292,4.871547 52.391225,4.871669 52.391255,4.871746 52.391188,4.871613 52.391155,4.871528 52.391162,4.871443 52.391138,4.871224 52.391614,4.871226 52.391616))";"POLYGON((52.391616 4.871226,52.39165 4.871258,52.39165 4.871346,52.391646 4.871349,52.391589 4.871393,52.391558 4.871408,52.391534 4.871388,52.39146 4.871454,52.391361 4.871483,52.391331 4.871512,52.391297 4.871482,52.391292 4.871511,52.391225 4.871547,52.391255 4.871669,52.391188 4.871746,52.391155 4.871613,52.391162 4.871528,52.391138 4.871443,52.391614 4.871224,52.391616 4.871226))";4.87149;52.391387;
10;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA05_00003371";613;0;0;613;100;0;0;"WON";"MULTIPOLYGON(((4.872565 52.390642,4.872683 52.390749,4.872638 52.390768,4.872689 52.39081,4.872794 52.390752,4.872664 52.390595,4.872637 52.390598,4.872633 52.390599,4.872582 52.390556,4.872534 52.390555,4.872489 52.390602,4.872531 52.390648,4.872558 52.390636,4.872565 52.390642)),((4.872598 52.390837,4.872535 52.390798,4.872443 52.390861,4.872553 52.390889,4.872598 52.390837)))";"MULTIPOLYGON(((52.390642 4.872565,52.390749 4.872683,52.390768 4.872638,52.39081 4.872689,52.390752 4.872794,52.390595 4.872664,52.390598 4.872637,52.390599 4.872633,52.390556 4.872582,52.390555 4.872534,52.390602 4.872489,52.390648 4.872531,52.390636 4.872558,52.390642 4.872565)),((52.390837 4.872598,52.390798 4.872535,52.390861 4.872443,52.390889 4.872553,52.390837 4.872598)))";4.8726235;52.390715;
11;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA05_00004944";765;0;0;765;100;0;0;"WON";"POLYGON((4.87199 52.391155,4.872027 52.391195,4.872071 52.39118,4.872402 52.390974,4.872563 52.391064,4.872575 52.391057,4.872631 52.391025,4.872621 52.391014,4.872587 52.390978,4.872539 52.390978,4.872487 52.390925,4.872438 52.390953,4.872353 52.390911,4.872311 52.390914,4.872059 52.391077,4.871983 52.391148,4.87199 52.391155))";"POLYGON((52.391155 4.87199,52.391195 4.872027,52.39118 4.872071,52.390974 4.872402,52.391064 4.872563,52.391057 4.872575,52.391025 4.872631,52.391014 4.872621,52.390978 4.872587,52.390978 4.872539,52.390925 4.872487,52.390953 4.872438,52.390911 4.872353,52.390914 4.872311,52.391077 4.872059,52.391148 4.871983,52.391155 4.87199))";4.872312;52.391046;
12;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA05_00004945";1835;0;0;1835;100;0;0;"WON";"POLYGON((4.872565 52.390642,4.872606 52.390631,4.872637 52.390598,4.87264 52.390595,4.872562 52.390538,4.872525 52.390537,4.872407 52.390604,4.87237 52.390607,4.871695 52.390909,4.871811 52.39102,4.871883 52.391064,4.871973 52.391009,4.871865 52.390938,4.871946 52.390898,4.871983 52.390898,4.872011 52.390871,4.872045 52.390871,4.872088 52.390827,4.872193 52.390805,4.872276 52.390756,4.872416 52.390707,4.872453 52.390677,4.872424 52.390636,4.872444 52.390658,4.872499 52.390658,4.872565 52.390642))";"POLYGON((52.390642 4.872565,52.390631 4.872606,52.390598 4.872637,52.390595 4.87264,52.390538 4.872562,52.390537 4.872525,52.390604 4.872407,52.390607 4.87237,52.390909 4.871695,52.39102 4.871811,52.391064 4.871883,52.391009 4.871973,52.390938 4.871865,52.390898 4.871946,52.390898 4.871983,52.390871 4.872011,52.390871 4.872045,52.390827 4.872088,52.390805 4.872193,52.390756 4.872276,52.390707 4.872416,52.390677 4.872453,52.390636 4.872424,52.390658 4.872444,52.390658 4.872499,52.390642 4.872565))";4.8721725;52.3907935;
13;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA06_00003371";824;0;0;824;100;0;0;"WON";"MULTIPOLYGON(((4.873253 52.390986,4.873376 52.391003,4.873378 52.391003,4.873419 52.39095,4.873248 52.390896,4.873234 52.390876,4.873035 52.390811,4.872952 52.390817,4.872873 52.39089,4.87296 52.390915,4.872982 52.390886,4.873092 52.390912,4.873114 52.390936,4.873205 52.390941,4.87324 52.390985,4.873253 52.390986)),((4.872911 52.390981,4.872867 52.390949,4.872771 52.390986,4.872804 52.391028,4.872866 52.391028,4.872911 52.390981)))";"MULTIPOLYGON(((52.390986 4.873253,52.391003 4.873376,52.391003 4.873378,52.39095 4.873419,52.390896 4.873248,52.390876 4.873234,52.390811 4.873035,52.390817 4.872952,52.39089 4.872873,52.390915 4.87296,52.390886 4.872982,52.390912 4.873092,52.390936 4.873114,52.390941 4.873205,52.390985 4.87324,52.390986 4.873253)),((52.390981 4.872911,52.390949 4.872867,52.390986 4.872771,52.391028 4.872804,52.391028 4.872866,52.390981 4.872911)))";4.8731;52.3909125;
14;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA06_00004738";3928;0;0;3928;100;0;0;"WON";"POLYGON((4.873376 52.391003,4.873403 52.39097,4.873381 52.390946,4.873293 52.390945,4.873253 52.390986,4.873248 52.390992,4.87328 52.391026,4.873204 52.391026,4.872965 52.39135,4.87295 52.391413,4.872973 52.391438,4.872876 52.391456,4.872831 52.391502,4.872816 52.391547,4.872838 52.391571,4.872771 52.391646,4.872785 52.391662,4.872696 52.391744,4.872517 52.392013,4.872568 52.392068,4.872612 52.392068,4.873102 52.391345,4.873327 52.391064,4.873304 52.391039,4.873348 52.391039,4.873376 52.391003))";"POLYGON((52.391003 4.873376,52.39097 4.873403,52.390946 4.873381,52.390945 4.873293,52.390986 4.873253,52.390992 4.873248,52.391026 4.87328,52.391026 4.873204,52.39135 4.872965,52.391413 4.87295,52.391438 4.872973,52.391456 4.872876,52.391502 4.872831,52.391547 4.872816,52.391571 4.872838,52.391646 4.872771,52.391662 4.872785,52.391744 4.872696,52.392013 4.872517,52.392068 4.872568,52.392068 4.872612,52.391345 4.873102,52.391064 4.873327,52.391039 4.873304,52.391039 4.873348,52.391003 4.873376))";4.872965;52.3914995;
15;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA06_00004944";1730;0;0;1730;100;0;0;"WON";"POLYGON((4.872806 52.391116,4.872705 52.391068,4.872725 52.391037,4.872705 52.391015,4.872621 52.391014,4.872616 52.391014,4.872575 52.391057,4.872572 52.391061,4.872658 52.391088,4.872664 52.391126,4.872107 52.391967,4.872225 52.391997,4.872273 52.391902,4.872344 52.391829,4.872543 52.391532,4.872511 52.391485,4.872609 52.391434,4.872806 52.391116))";"POLYGON((52.391116 4.872806,52.391068 4.872705,52.391037 4.872725,52.391015 4.872705,52.391014 4.872621,52.391014 4.872616,52.391057 4.872575,52.391061 4.872572,52.391088 4.872658,52.391126 4.872664,52.391967 4.872107,52.391997 4.872225,52.391902 4.872273,52.391829 4.872344,52.391532 4.872543,52.391485 4.872511,52.391434 4.872609,52.391116 4.872806))";4.8724615;52.3914985;
16;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA07_00003371";1102;0;0;1102;100;0;0;"WON";"POLYGON((4.873589 52.390737,4.873473 52.390721,4.873409 52.390712,4.873384 52.390685,4.873299 52.390676,4.873308 52.390656,4.873219 52.390522,4.873066 52.390504,4.873013 52.39051,4.872994 52.39053,4.872906 52.390459,4.872838 52.390403,4.872832 52.390398,4.872752 52.390434,4.872944 52.390601,4.873018 52.390576,4.873108 52.390567,4.873165 52.390584,4.873189 52.390665,4.873159 52.390698,4.873531 52.390811,4.873589 52.390737))";"POLYGON((52.390737 4.873589,52.390721 4.873473,52.390712 4.873409,52.390685 4.873384,52.390676 4.873299,52.390656 4.873308,52.390522 4.873219,52.390504 4.873066,52.39051 4.873013,52.39053 4.872994,52.390459 4.872906,52.390403 4.872838,52.390398 4.872832,52.390434 4.872752,52.390601 4.872944,52.390576 4.873018,52.390567 4.873108,52.390584 4.873165,52.390665 4.873189,52.390698 4.873159,52.390811 4.873531,52.390737 4.873589))";4.8731755;52.3905975;
17;"Wonen 47% - Voorzieningen 53% - Werken 0%";"AA07_00004738";1099;1217;0;2316;47;53;0;"WON_VZN";"MULTIPOLYGON(((4.874223 52.389949,4.874201 52.389925,4.87413 52.389924,4.874113 52.389924,4.87411 52.389928,4.87408 52.389958,4.874114 52.38996,4.874075 52.390009,4.874015 52.390028,4.87389 52.390229,4.873787 52.390313,4.873843 52.390373,4.873881 52.390373,4.874223 52.389949)),((4.87379 52.390056,4.873801 52.390068,4.873925 52.390013,4.873971 52.389962,4.874057 52.389928,4.874083 52.389917,4.87404 52.38987,4.874002 52.389886,4.873821 52.389962,4.873759 52.390023,4.87379 52.390056)),((4.873589 52.390737,4.873685 52.390618,4.873664 52.390596,4.873576 52.390596,4.873473 52.390721,4.873472 52.390723,4.873515 52.39077,4.873562 52.39077,4.873589 52.390737)))";"MULTIPOLYGON(((52.389949 4.874223,52.389925 4.874201,52.389924 4.87413,52.389924 4.874113,52.389928 4.87411,52.389958 4.87408,52.38996 4.874114,52.390009 4.874075,52.390028 4.874015,52.390229 4.87389,52.390313 4.873787,52.390373 4.873843,52.390373 4.873881,52.389949 4.874223)),((52.390056 4.87379,52.390068 4.873801,52.390013 4.873925,52.389962 4.873971,52.389928 4.874057,52.389917 4.874083,52.38987 4.87404,52.389886 4.874002,52.389962 4.873821,52.390023 4.873759,52.390056 4.87379)),((52.390737 4.873589,52.390618 4.873685,52.390596 4.873664,52.390596 4.873576,52.390721 4.873473,52.390723 4.873472,52.39077 4.873515,52.39077 4.873562,52.390737 4.873589)))";4.8738525;52.390313;
18;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA07_00004945";1505;0;0;1505;100;0;0;"WON";"MULTIPOLYGON(((4.87379 52.390056,4.873862 52.390006,4.873821 52.389962,4.873091 52.390285,4.87305 52.390326,4.873094 52.390373,4.873717 52.390106,4.87379 52.390056)),((4.874002 52.389886,4.874039 52.389927,4.874057 52.389928,4.87411 52.389928,4.874127 52.389928,4.87413 52.389924,4.874136 52.389919,4.874172 52.389881,4.874112 52.389838,4.873997 52.389882,4.874002 52.389886)),((4.872906 52.390459,4.873065 52.39038,4.873021 52.390333,4.872981 52.390333,4.872838 52.390403,4.872814 52.390415,4.872858 52.390462,4.872902 52.390462,4.872906 52.390459)))";"MULTIPOLYGON(((52.390056 4.87379,52.390006 4.873862,52.389962 4.873821,52.390285 4.873091,52.390326 4.87305,52.390373 4.873094,52.390106 4.873717,52.390056 4.87379)),((52.389886 4.874002,52.389927 4.874039,52.389928 4.874057,52.389928 4.87411,52.389928 4.874127,52.389924 4.87413,52.389919 4.874136,52.389881 4.874172,52.389838 4.874112,52.389882 4.873997,52.389886 4.874002)),((52.390459 4.872906,52.39038 4.873065,52.390333 4.873021,52.390333 4.872981,52.390403 4.872838,52.390415 4.872814,52.390462 4.872858,52.390462 4.872902,52.390459 4.872906)))";4.873498;52.390143;
19;"Wonen 0% - Voorzieningen 0% - Werken 100%";"AA07_00004982";0;0;104;104;0;0;100;"WRK";"POLYGON((4.874136 52.389919,4.874186 52.389919,4.874225 52.389878,4.874112 52.389838,4.874055 52.389872,4.874098 52.389919,4.874136 52.389919))";"POLYGON((52.389919 4.874136,52.389919 4.874186,52.389878 4.874225,52.389838 4.874112,52.389872 4.874055,52.389919 4.874098,52.389919 4.874136))";4.874145;52.3898715;
20;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA08_00004037";353;0;0;353;100;0;0;"WON";"POLYGON((4.87328 52.391565,4.8733 52.391587,4.873379 52.391605,4.873381 52.391605,4.873426 52.3916,4.873461 52.391633,4.873523 52.391645,4.873586 52.391651,4.873638 52.391605,4.873348 52.391513,4.873304 52.391517,4.873274 52.391559,4.87328 52.391565))";"POLYGON((52.391565 4.87328,52.391587 4.8733,52.391605 4.873379,52.391605 4.873381,52.3916 4.873426,52.391633 4.873461,52.391645 4.873523,52.391651 4.873586,52.391605 4.873638,52.391513 4.873348,52.391517 4.873304,52.391559 4.873274,52.391565 4.87328))";4.873461;52.391575;
21;"Wonen 61% - Voorzieningen 0% - Werken 39%";"AA08_00004556";160;0;102;262;61;0;39;"WON_WRK";"MULTIPOLYGON(((4.875212 52.392681,4.875177 52.392643,4.875169 52.392634,4.875155 52.392645,4.875134 52.392663,4.875095 52.392668,4.874961 52.392664,4.874835 52.39266,4.874745 52.392678,4.874742 52.392679,4.874786 52.392726,4.875167 52.392727,4.875212 52.392681)),((4.873052 52.392696,4.873054 52.392695,4.873019 52.392678,4.873016 52.392634,4.873009 52.392634,4.872936 52.392633,4.872918 52.392651,4.87291 52.392659,4.872891 52.39268,4.872934 52.392727,4.873023 52.392727,4.873052 52.392696)))";"MULTIPOLYGON(((52.392681 4.875212,52.392643 4.875177,52.392634 4.875169,52.392645 4.875155,52.392663 4.875134,52.392668 4.875095,52.392664 4.874961,52.39266 4.874835,52.392678 4.874745,52.392679 4.874742,52.392726 4.874786,52.392727 4.875167,52.392681 4.875212)),((52.392696 4.873052,52.392695 4.873054,52.392678 4.873019,52.392634 4.873016,52.392634 4.873009,52.392633 4.872936,52.392651 4.872918,52.392659 4.87291,52.39268 4.872891,52.392727 4.872934,52.392727 4.873023,52.392696 4.873052)))";4.8740565;52.392673;
22;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA08_00004738";2250;0;0;2250;100;0;0;"WON";"MULTIPOLYGON(((4.872885 52.392657,4.87291 52.392659,4.872962 52.392663,4.872979 52.392664,4.873009 52.392634,4.873016 52.392626,4.873013 52.392551,4.872991 52.392527,4.873025 52.392492,4.872994 52.392439,4.87302 52.392361,4.872983 52.392319,4.873013 52.392285,4.87297 52.392238,4.872868 52.392247,4.872885 52.392657)),((4.873381 52.391605,4.873381 52.391604,4.873345 52.391566,4.87328 52.391565,4.873271 52.391565,4.873228 52.391629,4.873255 52.39166,4.873204 52.391664,4.873161 52.391728,4.873175 52.391745,4.87309 52.391831,4.873121 52.391865,4.8732 52.391865,4.87326 52.39179,4.873245 52.391766,4.873283 52.391767,4.873317 52.391698,4.873285 52.391659,4.873343 52.391659,4.873381 52.391605)),((4.873175 52.391915,4.87315 52.391888,4.873062 52.391888,4.873028 52.391924,4.872917 52.392087,4.872978 52.392125,4.87303 52.392125,4.873074 52.392078,4.873073 52.392049,4.873175 52.391915)))";"MULTIPOLYGON(((52.392657 4.872885,52.392659 4.87291,52.392663 4.872962,52.392664 4.872979,52.392634 4.873009,52.392626 4.873016,52.392551 4.873013,52.392527 4.872991,52.392492 4.873025,52.392439 4.872994,52.392361 4.87302,52.392319 4.872983,52.392285 4.873013,52.392238 4.87297,52.392247 4.872868,52.392657 4.872885)),((52.391605 4.873381,52.391604 4.873381,52.391566 4.873345,52.391565 4.87328,52.391565 4.873271,52.391629 4.873228,52.39166 4.873255,52.391664 4.873204,52.391728 4.873161,52.391745 4.873175,52.391831 4.87309,52.391865 4.873121,52.391865 4.8732,52.39179 4.87326,52.391766 4.873245,52.391767 4.873283,52.391698 4.873317,52.391659 4.873285,52.391659 4.873343,52.391605 4.873381)),((52.391915 4.873175,52.391888 4.87315,52.391888 4.873062,52.391924 4.873028,52.392087 4.872917,52.392125 4.872978,52.392125 4.87303,52.392078 4.873074,52.392049 4.873073,52.391915 4.873175)))";4.8731295;52.3921075;
23;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA08_00004942";4563;0;0;4563;100;0;0;"WON";"MULTIPOLYGON(((4.873776 52.391646,4.873673 52.391604,4.873638 52.391641,4.873652 52.391657,4.873548 52.391766,4.873589 52.391809,4.873533 52.391809,4.873443 52.391909,4.873467 52.391935,4.873434 52.391943,4.873289 52.392146,4.873252 52.39229,4.873291 52.392351,4.87338 52.392351,4.873424 52.392172,4.873646 52.391836,4.873624 52.391813,4.873662 52.391813,4.873776 52.391646)),((4.873804 52.392459,4.873761 52.392412,4.873436 52.392414,4.873388 52.392386,4.873387 52.392366,4.873306 52.392365,4.873269 52.392404,4.873287 52.39244,4.873332 52.392439,4.873378 52.392486,4.873742 52.392489,4.873804 52.392459)),((4.875274 52.392437,4.875201 52.392409,4.875199 52.392386,4.87423 52.392402,4.874179 52.392435,4.874157 52.392411,4.874065 52.392405,4.874018 52.392434,4.873992 52.392406,4.873881 52.392407,4.873849 52.392441,4.873891 52.392487,4.87398 52.392489,4.874017 52.39245,4.874049 52.392484,4.874136 52.392484,4.874179 52.392451,4.874208 52.392482,4.874377 52.39248,4.874395 52.392463,4.874612 52.392464,4.874649 52.392426,4.874686 52.392465,4.875125 52.392461,4.875199 52.392503,4.875274 52.392437)))";"MULTIPOLYGON(((52.391646 4.873776,52.391604 4.873673,52.391641 4.873638,52.391657 4.873652,52.391766 4.873548,52.391809 4.873589,52.391809 4.873533,52.391909 4.873443,52.391935 4.873467,52.391943 4.873434,52.392146 4.873289,52.39229 4.873252,52.392351 4.873291,52.392351 4.87338,52.392172 4.873424,52.391836 4.873646,52.391813 4.873624,52.391813 4.873662,52.391646 4.873776)),((52.392459 4.873804,52.392412 4.873761,52.392414 4.873436,52.392386 4.873388,52.392366 4.873387,52.392365 4.873306,52.392404 4.873269,52.39244 4.873287,52.392439 4.873332,52.392486 4.873378,52.392489 4.873742,52.392459 4.873804)),((52.392437 4.875274,52.392409 4.875201,52.392386 4.875199,52.392402 4.87423,52.392435 4.874179,52.392411 4.874157,52.392405 4.874065,52.392434 4.874018,52.392406 4.873992,52.392407 4.873881,52.392441 4.873849,52.392487 4.873891,52.392489 4.87398,52.39245 4.874017,52.392484 4.874049,52.392484 4.874136,52.392451 4.874179,52.392482 4.874208,52.39248 4.874377,52.392463 4.874395,52.392464 4.874612,52.392426 4.874649,52.392465 4.874686,52.392461 4.875125,52.392503 4.875199,52.392437 4.875274)))";4.874268;52.3920465;
