OBJECTNUMMER;Locatie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
11;"K - Schollenbrugstraat";"POLYGON((4.914382 52.351433,4.915181 52.350975,4.914856 52.350749,4.913829 52.351393,4.913769 52.351369,4.914216 52.350809,4.914701 52.350282,4.914891 52.350085,4.913029 52.349265,4.912854 52.349428,4.914286 52.350026,4.914168 52.350213,4.913668 52.350028,4.913474 52.350197,4.914024 52.350438,4.913778 52.350805,4.913405 52.350697,4.913291 52.350791,4.913671 52.350988,4.91264 52.352695,4.911319 52.352222,4.910925 52.352622,4.912516 52.353182,4.91243 52.353329,4.912038 52.353659,4.911765 52.35356,4.911382 52.354027,4.911778 52.354133,4.911485 52.354625,4.910674 52.354407,4.91059 52.354523,4.911422 52.35473,4.911325 52.354895,4.911398 52.355037,4.911247 52.355304,4.911059 52.355395,4.910841 52.355756,4.910336 52.355629,4.910517 52.355328,4.910333 52.354928,4.909078 52.354584,4.908761 52.354835,4.910304 52.355205,4.910369 52.355346,4.910162 52.355693,4.911546 52.356042,4.911708 52.356138,4.912606 52.356377,4.912711 52.356234,4.911204 52.355833,4.912431 52.353725,4.913376 52.352023,4.913727 52.352092,4.913972 52.351671,4.914382 52.351433))";"POLYGON((52.351433 4.914382,52.350975 4.915181,52.350749 4.914856,52.351393 4.913829,52.351369 4.913769,52.350809 4.914216,52.350282 4.914701,52.350085 4.914891,52.349265 4.913029,52.349428 4.912854,52.350026 4.914286,52.350213 4.914168,52.350028 4.913668,52.350197 4.913474,52.350438 4.914024,52.350805 4.913778,52.350697 4.913405,52.350791 4.913291,52.350988 4.913671,52.352695 4.91264,52.352222 4.911319,52.352622 4.910925,52.353182 4.912516,52.353329 4.91243,52.353659 4.912038,52.35356 4.911765,52.354027 4.911382,52.354133 4.911778,52.354625 4.911485,52.354407 4.910674,52.354523 4.91059,52.35473 4.911422,52.354895 4.911325,52.355037 4.911398,52.355304 4.911247,52.355395 4.911059,52.355756 4.910841,52.355629 4.910336,52.355328 4.910517,52.354928 4.910333,52.354584 4.909078,52.354835 4.908761,52.355205 4.910304,52.355346 4.910369,52.355693 4.910162,52.356042 4.911546,52.356138 4.911708,52.356377 4.912606,52.356234 4.912711,52.355833 4.911204,52.353725 4.912431,52.352023 4.913376,52.352092 4.913727,52.351671 4.913972,52.351433 4.914382))";4.911976;52.352814;
12;"P - James Wattstraat";"POLYGON((4.925191 52.349526,4.924799 52.349863,4.924918 52.350075,4.923813 52.350789,4.923639 52.35078,4.923706 52.350955,4.924452 52.35141,4.923797 52.351922,4.924457 52.352358,4.924629 52.352255,4.924161 52.351873,4.924768 52.351459,4.924321 52.351119,4.923833 52.350832,4.925074 52.350105,4.92492 52.349941,4.92536 52.349702,4.925302 52.349624,4.925191 52.349526))";"POLYGON((52.349526 4.925191,52.349863 4.924799,52.350075 4.924918,52.350789 4.923813,52.35078 4.923639,52.350955 4.923706,52.35141 4.924452,52.351922 4.923797,52.352358 4.924457,52.352255 4.924629,52.351873 4.924161,52.351459 4.924768,52.351119 4.924321,52.350832 4.923833,52.350105 4.925074,52.349941 4.92492,52.349702 4.92536,52.349624 4.925302,52.349526 4.925191))";4.9245045;52.350935;
13;"P - James Wattstraat";"POLYGON((4.92399 52.352963,4.924281 52.353104,4.924524 52.352995,4.925404 52.353364,4.926429 52.352755,4.927647 52.351937,4.928159 52.351686,4.927912 52.351585,4.927322 52.351844,4.926418 52.352343,4.926009 52.352617,4.925652 52.352818,4.925374 52.353001,4.925236 52.353089,4.924424 52.352706,4.92399 52.352963))";"POLYGON((52.352963 4.92399,52.353104 4.924281,52.352995 4.924524,52.353364 4.925404,52.352755 4.926429,52.351937 4.927647,52.351686 4.928159,52.351585 4.927912,52.351844 4.927322,52.352343 4.926418,52.352617 4.926009,52.352818 4.925652,52.353001 4.925374,52.353089 4.925236,52.352706 4.924424,52.352963 4.92399))";4.9260795;52.3524675;
14;"O - Paardekraalstraat";"POLYGON((4.925169 52.35424,4.924757 52.354564,4.925715 52.354901,4.926131 52.355117,4.927728 52.355599,4.927837 52.355408,4.926038 52.354635,4.925508 52.354371,4.925169 52.35424))";"POLYGON((52.35424 4.925169,52.354564 4.924757,52.354901 4.925715,52.355117 4.926131,52.355599 4.927728,52.355408 4.927837,52.354635 4.926038,52.354371 4.925508,52.35424 4.925169))";4.926302;52.3549125;
15;"Q - linnaeuspark";"POLYGON((4.936542 52.352143,4.936232 52.352047,4.933711 52.353666,4.932996 52.353247,4.932182 52.353078,4.931987 52.353172,4.932971 52.353854,4.932499 52.353842,4.932017 52.354261,4.932248 52.354561,4.931872 52.354831,4.932191 52.3548,4.932339 52.354852,4.932825 52.354834,4.932844 52.355083,4.933139 52.35522,4.933131 52.355165,4.93299 52.354843,4.932875 52.354755,4.933672 52.354316,4.93373 52.354254,4.933507 52.35413,4.933975 52.353811,4.936542 52.352143))";"POLYGON((52.352143 4.936542,52.352047 4.936232,52.353666 4.933711,52.353247 4.932996,52.353078 4.932182,52.353172 4.931987,52.353854 4.932971,52.353842 4.932499,52.354261 4.932017,52.354561 4.932248,52.354831 4.931872,52.3548 4.932191,52.354852 4.932339,52.354834 4.932825,52.355083 4.932844,52.35522 4.933139,52.355165 4.933131,52.354843 4.93299,52.354755 4.932875,52.354316 4.933672,52.354254 4.93373,52.35413 4.933507,52.353811 4.933975,52.352143 4.936542))";4.934212;52.3536265;
16;"N - Oetewalerpad";"POLYGON((4.926238 52.358094,4.926436 52.358187,4.926173 52.358729,4.928451 52.35933,4.929355 52.35974,4.929484 52.359697,4.928826 52.359082,4.928085 52.358694,4.9274 52.358455,4.927426 52.358256,4.926961 52.358055,4.927279 52.357706,4.927399 52.357399,4.927155 52.35732,4.92724 52.357071,4.926857 52.356927,4.926514 52.357289,4.926224 52.357246,4.926129 52.357481,4.92651 52.357617,4.926451 52.357832,4.926238 52.358094))";"POLYGON((52.358094 4.926238,52.358187 4.926436,52.358729 4.926173,52.35933 4.928451,52.35974 4.929355,52.359697 4.929484,52.359082 4.928826,52.358694 4.928085,52.358455 4.9274,52.358256 4.927426,52.358055 4.926961,52.357706 4.927279,52.357399 4.927399,52.35732 4.927155,52.357071 4.92724,52.356927 4.926857,52.357289 4.926514,52.357246 4.926224,52.357481 4.926129,52.357617 4.92651,52.357832 4.926451,52.358094 4.926238))";4.9278115;52.3583265;
17;"M - Linnaeusstraat";"POLYGON((4.920923 52.361562,4.921145 52.361585,4.921624 52.361507,4.922147 52.361624,4.922844 52.361805,4.923798 52.36198,4.923929 52.361631,4.922627 52.361355,4.922219 52.361346,4.921126 52.361092,4.920727 52.361404,4.920923 52.361562))";"POLYGON((52.361562 4.920923,52.361585 4.921145,52.361507 4.921624,52.361624 4.922147,52.361805 4.922844,52.36198 4.923798,52.361631 4.923929,52.361355 4.922627,52.361346 4.922219,52.361092 4.921126,52.361404 4.920727,52.361562 4.920923))";4.922333;52.361529;
18;"L - Oosterpark";"POLYGON((4.91662 52.360739,4.917354 52.36092,4.917428 52.360449,4.917313 52.360349,4.91662 52.360739))";"POLYGON((52.360739 4.91662,52.36092 4.917354,52.360449 4.917428,52.360349 4.917313,52.360739 4.91662))";4.917029;52.3606275;
19;"R - Zeeburgerdijk";"POLYGON((4.929954 52.366198,4.932179 52.36625,4.932122 52.366078,4.932996 52.36611,4.932894 52.36586,4.933268 52.365776,4.933464 52.36592,4.933676 52.365785,4.933342 52.365391,4.932056 52.365657,4.931966 52.365407,4.931511 52.365391,4.931798 52.365892,4.930074 52.365814,4.929954 52.366198))";"POLYGON((52.366198 4.929954,52.36625 4.932179,52.366078 4.932122,52.36611 4.932996,52.36586 4.932894,52.365776 4.933268,52.36592 4.933464,52.365785 4.933676,52.365391 4.933342,52.365657 4.932056,52.365407 4.931966,52.365391 4.931511,52.365892 4.931798,52.365814 4.930074,52.366198 4.929954))";4.93182;52.3658135;

