OBJECTNUMMER;Adres;Soort;Datum;Omschrijving;Foto;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
83;"Piet Gijzenbrugstraat 17";"Bom, granaat, afweergeschut";"11/10/40";"Bom door het dak. Vermoedelijk niet ontploft. [Bij de bomaanval op Amsterdam-West vielen 2 doden, 5 zwaargewonden en 6 lichtgewonden.] 07.00 Rapp. H.I.P. dezer dat tijdens luchtaanvallen te plusm. 3 uur de navolgende ongevallen hebben plaatsgehad` 1. Ten gevolge van bominslag Piet Gijzenburgstraat werd mevr. Den Hartog gedood. (Haar man is op bouwdienst) Mej. Hartog die daar sliep werd ernstig aan haar linkerhand gewond. 2. Dhr. Visser, Gijzenburgstraat 15, ernstig hoofdwonder. Zijn echtgenoote de Raad, ernstige hoofdwonde. Mevr. De Gast, gekneusde arm. De aldaar ingeslagen bom is waarschijnlijk niet ontploft. En ligt in de keuken van perceel 19hs. 3. Op het Hoofddorpplein hoek Aalsmeerweg is een bom ingeslagen. Waardoor een groot aantal ruiten in de omgeving zijn vernield.  4. In de Legmeerstraat achter perceel 67 is een bom ingeslagen waardoor de achterzijde der woningenernstig zijn beschadigd. Voorzover is na te gaan geen dooden of gewonden. 5. In perceel Stolwijkstraat 22hs. Is een bom ingeslagen waardoor in dit benedenhuis een man is gedood. Naam enz. konden nog niet worden geconstateerd. En vrouw ernstig gewond. De woningen in de omgeving werden ernstig beschadigd en van perceel 20 en 24 ontruimd. 6. In perceel Hoofddorpweg 8 is aan de achterzijde een bom ingeslagen en niet ontploft. Verschillende bewoners van de percelen welke beschadigd of ontruimd zijn . Zijn ondergebracht in de school Hillegomstraat. De dooden en gewonden zijn alle naar het Wilh. Gasthuis overgebracht.  De omgeving van perceel P. Gijzenburgstraat 17 is binnen een straal van 50 m. geheel ontruimd.";"";"POINT(4.8470151,52.3504912)";"POINT(52.3504912,4.8470151)";4.8470151;52.3504912;
84;"Stolwijkstraat 22";"Bom, granaat, afweergeschut";"11/10/40";"Bomaanval. Huis ingestort. [Bij de bomaanval op Amsterdam-West vielen 2 doden, 5 zwaargewonden en 6 lichtgewonden.]";"";"POINT(4.848285,52.3507926)";"POINT(52.3507926,4.848285)";4.848285;52.3507926;
85;"Hoofddorpplein 2";"Bom, granaat, afweergeschut";"11/10/40";"Bominslag in straat. Ruiten defect. [Bij de bomaanval op Amsterdam-West vielen 2 doden, 5 zwaargewonden en 6 lichtgewonden.]";"";"POINT(4.8506448,52.3511931)";"POINT(52.3511931,4.8506448)";4.8506448;52.3511931;
86;"Maanstraat 27";"Bom, granaat, afweergeschut";"11/10/40";"Bominslag. Huis ingestort.[3 april 1941: `Niet-geëxplodeerde bom, welke op 11 October 1940 achter perceel Maanstraat 27 gevallen was, tot ontploffing gebracht. Dit perceel werd zwaar beschadigd.`]";"";"POINT(4.887675,52.4130942)";"POINT(52.4130942,4.887675)";4.887675;52.4130942;
87;"Planetenplein 2";"Bom, granaat, afweergeschut";"11/10/40";"Bominslag. Ruiten defect";"";"POINT(4.8907649,52.4139945)";"POINT(52.4139945,4.8907649)";4.8907649;52.4139945;
88;"Orionplantsoen 2";"Luchtaanval";"11/10/40";"Bominslag. Ruiten defect. 6.00 Rapporteert de B.P. Elleling dat te plm. 4.30 in het Tuindorp Oostzaan o.a. in de Maanstraat (rijweg)Planetenplein (plein) Orionplantsoen (voor school) Meteorenweg hoek Zonneweg en Vegastraat(achter perceel 74) Door een verm. Engelsch vliegtuig bommen zijn afgeworpen. Op verschillende plaatsen hier boven genoemd vielen dooden en gewonden. Namen zijn nog niet bekend. Volgens opgaaf zouden er 4 dooden zijn en 7 zwaargewonden.  Alle gewonden en dooden zijn naar het Binnengasthuis vervoerd.  Verder zijn in de Hamerstraat bij de firma Beijders, in een garage en op de Draad- en kabelfabriek brandbommen geworpen, er ontstond geen brand.  Te plm. 5 uur werden op perceel Adelaarsweg 28 en 79 bommen geworpen hier werden 5 gewonden geborgen. Eveneens viel een of meer bommen in de Putterstraat 13 en 15. Hier werden ook eenige bewoners gewond, terwijl ernstige schade aan de woningen werd toegebracht. Alle Diensten gewaarschuwd. 3.00 In verband met de mutatie sub. 6uur van het rapport de datum 11 oktober 1940, rapporteerden de rechs.  Glas en Mettes, dat bommen uit een onbekend gebleven vliegtuig, in de afgeloopen nacht zijn ingeslagen in de onmiddellijke nabijheid van een aantal woningen en dat dezer woningen hierbij geheel zijn vernield. 1. De percelen Adelaarsweg 78 en 79 werden geheel verwoest. Hierbij werden onmiddellijk gedood. Jacobus Johannes Bergmans, oud 24 jaar, en Pieter Bergmans, oud 14 jaar, beide gewoond hebbende Adelaarsweg 78 boven, terwijl de moeder E. Hogewout zwaar gewond is opgenomen in het Juliana ziekenhuis alhier. De bewoners van de andere perceelen  bekwamen geen letsel. 2. Een bom sloeg in achter de perceelen Putterstraat 9, 11 en 13. Ten gevolge van de ontploffing werden die woningen alsmede de aangrenzende woningen aan de achterzijde geheel  vernield. Voorts zijn een groot aantal ruiten van de omliggende perceelen vernield. Hierbij werden ernstig gewond. D. F.W. Alberts, oud 34 jaar, Zwanenplein 27. Hij is opgenomen in het Wilhelmina Gasthuis. Verder J. van der Steen, oud 26 jaar, wonende Putterstraat 13 huis en den heer C. Stracke, oud 78 jaar, Putterstraat 9, welke beide laatsten zijn opgenomen in het Binnen-Gasthuis. Licht gewond werden een groot aantal bewoners, die echter na behandeld te zijn, naar huis werden gezonden. 3. In het Volewijkspark kwam een bom terecht., welke vermoedelijk niet is ontploft en onder bewaking is gesteld. Aan den Buiksloterweg, in den grasberm tegenover 111, aan de waterzijde een bom is geëxplodeerd, terwijl in de Hamerstraat bij de firma rijnders Meeuwenlaan 100 en bij de Holl. Draad en Kabelfabriek brandbommen zijn neergekomen zonder schade aan te richten, en zonder persoonlijke ongelukken. 4. Het perceel Planetenplein nummer 1 werd door een bom getroffen. Welke bom echter niet is geëxplodeerd. (weggehaald 29 okt. 1940) 5. Op het Planetenplein kwamen drie bommen terecht, welke allen explodeerden. 6. In het plantsoen van het Orionplantsoen viel een bom, welke is geëxplodeerd. 7. In de tuinen achter de perceelen Orionplantsoen 13 tot 21 en Maanstraat 13 tot 21 viel een bom, welke niet is geëxplodeerd 8. In de Maanstraat voor de perceelen 14 tot 18 viel een bom, welke is geexplodeerd. 9. Achter de perceelen Richelstraat 35 en Meteorenweg 28 viel een bom, welke is geëxplodeerd. 10. Op den Meteorenweg, hoek nieuwe zonneweg viel een bom, welke is welke is geëxplodeerd. 11. Achter de perceelen Vegastraat 68 en Meteoremweg 55 viel een bom, welke is geëxplodeerd. 12. Achter het perceel Orionstraat 68 viel een bom, welke is geëxplodeerd.  Tengevolge van de vorengemelde bominslagen kwamen de volgende personen om het leven, namelijk. Jan Engel, geboren te oostzaan, 15 augustus 1891, gewoond hebbende Planetenplein 3 alhier. Jacob Jacobus Westbroek, geboren 24 november 1911, gewoond hebbende Plejadeweg 29 alhier. Adrianus theodorus woudenberg, geboren 25 juli 1895 te amsterdam, gewoond hebbende Groote Beerstraat 40 alhier en Neeltje Elisabeth Boer, geboren 25 oktober 1904, gehuwd met G. Heykoop, gewoond hebbende Planetenplein 12 alhier, alsmede Cornelia Christina Louisa Verheyen, geboren 28 januari 1900 te Amsterdam, gehuwd met S.J. Hessels, gewoond hebbende Planetenplein 10 alhier Ernstig gewond werden de volgende personen, namelijk. Hendricus Johannes van Leersum, geboren 4 december 1894 te Amsterdam beroepsbrandwacht, wonende zaanstraat 61 driehaaog alhier.  Johannes martinus Voigt, geboren 21 januari 1906, wonende Aldebaranstraat 20 alhier. Peter de Roo, geboren 3 februari 1900, wonende Groote Beerstraat 18 alhier. C. Kes, 40 jaar, wonende Ansjovisstraat 17 te Volendam. Eefje Engel, geboren 28 juni 1924 te Amsterdam, wonende Planetenplein 3 alhier. Zij zijn ter verpleging in een der Gasthuizen opgenomen. Voorts werdenverschillende personen verwond, welke verwondingen meer of minder ernstig zijn.  Alsnog is gebleken dat willem Monteban, geboren 11 december 1908 te Nieuw Lekkerland, gewoond hebbende Meteorensingel 46 huis, tengevolge van de vorenvermelde bominslagen is overleden. In de omgeving waar de bominslagen hebben plaatsgehad, bekwamen de respctievelijke woningen enorme schade, tengevolge waarvan een groot aantal woningen niet meer bewoonbaar waren en de bewoners bij anderen een onderkomen hebben moeten zoeken. De H.I.P. Keiser , chef van de eerste sectie heeft persoonlijk een onderzoek ingesteld.";"";"POINT(4.886935,52.4129912)";"POINT(52.4129912,4.886935)";4.886935;52.4129912;
89;"Zonneweg 2";"Bom, granaat, afweergeschut";"11/10/40";"Huis door bom getroffen";"";"POINT(4.8891451,52.411492)";"POINT(52.411492,4.8891451)";4.8891451;52.411492;
90;"Vegastraat 74";"Bom, granaat, afweergeschut";"11/10/40";"Bominslag?";"";"POINT(4.8888452,52.4106948)";"POINT(52.4106948,4.8888452)";4.8888452;52.4106948;
91;"Hamerstraat 2";"Bom, granaat, afweergeschut";"11/10/40";"Brand, veroorzaakt door brandbommen";"";"POINT(4.922735,52.3838927)";"POINT(52.3838927,4.922735)";4.922735;52.3838927;
92;"Adelaarsweg 79";"Bom, granaat, afweergeschut";"11/10/40";"Bominslag [Bij de bomaanvallen op de Adelaarsweg en de Putterstraat vielen 4 zwaargewonden en 6 lichtgewonden.]";"";"POINT(4.917105,52.3872916)";"POINT(52.3872916,4.917105)";4.917105;52.3872916;
93;"Putterstraat 13";"Bom, granaat, afweergeschut";"11/10/40";"Bominslag [Bij de bomaanvallen op de Adelaarsweg en de Putterstraat vielen 4 zwaargewonden en 6 lichtgewonden.]";"";"POINT(4.9176352,52.3865935)";"POINT(52.3865935,4.9176352)";4.9176352;52.3865935;
94;"Oosterdokskade 6";"Bom, granaat, afweergeschut";"12/10/40";"1 bom, 7 gewonden. 2.05 Rapp. De BP. Nijdam dat te pm. 12.1 een 3 tal bommen zijn terecht gekomen, 1e op brug Prins Hendrikkade voor Scheepvaarthuis, 2e Op Oosterdokskade (walglooiing) en 3e in het water van het open Havenfront aldaar nabij motorschip `Grietje`. 1e bom vernielde wegdek en brugleuning aan IJ-zijde. 2e bom sloeg een gat in de glooiing van de oosterdokskade, terwijl de scherven van bom 3, het motorschip `Grietje` beschadigde en brand veroorzaakte, doordat een van olie werd geraakt en de olie brandend over het dek van het schip vloeide. Deze brand werd terstond gebluscht door eenige aps. Zoodat de brandweer niet behoefde op te treden. Op genoemde schip werd, Klaas Engel, 38 jaar, schipper op genoemd schip, gewond aan zijn rechterhand, zijn echtgenoote Grietje  Engel-Kramer, 37 jr. werd gewond rechter dijbeen en rechter onderarm, beide zijn door de G.G. en G.D. naar B-Gasthuis vervoerd. De vrouw is ter verpleging opgenomen, de man is na behandeling heengezonden. De kinderen van voornoemde echtpaar zijn ondergebracht bij Schenk, Lastageweg 1-3hoog, te weten 2 meisje resp. 1,5 en 9 jaar, terwijl 2 andere kinderen bij schipper k. Gort, schip IJselstroom, liggende aan de oosterdokskade zijn ondergebracht. Geld en waardevolle papieren zijn op verzoek van Engel aan Schipper Gort in bewaring gegeven.  De kinderen hadden geen noemenswaardig letsel bekomen, en ook zijn knecht, Mirinus hutte, 25 jaar bekwam geen letsel.  Krommewaal en P.H. Kade werden zeer veel ruiten verbrijzeld. Voorloopig wordt er toezicht gehouden. Tot nader onderzoek bij daglicht.";"";"POINT(4.906595,52.3756949)";"POINT(52.3756949,4.906595)";4.906595;52.3756949;
95;"Oosterdokskade 121";"Bom, granaat, afweergeschut";"12/10/40";"1 bom";"";"POINT(4.9073551,52.3758933)";"POINT(52.3758933,4.9073551)";4.9073551;52.3758933;
96;"Prins Hendrikkade 98";"Bom, granaat, afweergeschut";"12/10/40";"1 bom. Brugleuningen beschadigd. Veel ruiten beschadigd op Prins Hendrikkade en Kromme Waal. 1 gewonde.";"";"POINT(4.9029248,52.3758933)";"POINT(52.3758933,4.9029248)";4.9029248;52.3758933;
97;"Jan Lievensstraat 72";"Bom, granaat, afweergeschut";"13/10/40";"Brisantbom. Huis zwaar beschadigd. 7 lichtgewonden.";"";"POINT(4.904865,52.3495947)";"POINT(52.3495947,4.904865)";4.904865;52.3495947;
98;"Cornelis Springerstraat 35";"Bom, granaat, afweergeschut";"13/10/40";"Brisantbom. Huis zwaar beschadigd. Enkele lichtgewonden.";"";"POINT(4.9022548,52.3496939)";"POINT(52.3496939,4.9022548)";4.9022548;52.3496939;
99;"Borssenburgplein 2";"Bom, granaat, afweergeschut";"13/10/40";"Brisantbom. Veel ruiten verwoest. 1 lichtgewonde ";"";"POINT(4.906985,52.3490912)";"POINT(52.3490912,4.906985)";4.906985;52.3490912;
100;"Noordhollandschkanaaldijk 21";"Bom, granaat, afweergeschut";"13/10/40";"4 brisantbommen. 1 bom op een schip, dat gezonken is, 1 bom in het water, 2 in de wei";"";"POINT(4.9232151,52.4025923)";"POINT(52.4025923,4.9232151)";4.9232151;52.4025923;
101;"Meteorenweg 120";"Bom, granaat, afweergeschut";"13/10/40";"Niet-ontplofte bom van twee dagen eerder vanzelf geëxplodeerd. Scheuren in de huizen aan Meteorenweg 120 en 148";"";"POINT(4.8886249,52.4116942)";"POINT(52.4116942,4.8886249)";4.8886249;52.4116942;
102;"Sumatrakade 105";"Bom, granaat, afweergeschut";"16/10/40";"Brandbom in het water";"";"POINT(4.9348848,52.377793)";"POINT(52.377793,4.9348848)";4.9348848;52.377793;
103;"Oudeschans 8";"Bom, granaat, afweergeschut";"16/10/40";"1 brandbom. Kleine brand, meteen geblust";"";"POINT(4.905235,52.3720938)";"POINT(52.3720938,4.905235)";4.905235;52.3720938;
104;"Zwanenburgwal 7";"Bom, granaat, afweergeschut";"16/10/40";"1 brandbom op motorschip De Dollar. 1 brandbom in het water naast het schip. Door het dek geslagen. Rapporteert N.I.P. Kater, afdeelingschef dat hedennacht te circa 1 uur verschillende in deze sectie aanwezige woonhuizen door brandbommen werden getroffen. Te weten: 1. Door het dak van perceel Rapenburg 7, bewoond door Lavefre, oud 41 jaar, kwam een bom en ontstond een gat in het plafond van de 2e verdieping, waardoor een kleine brand ontstond. 2. In perceel `s-Gravenhekje 1, kwam een bom door het dak en kwam terecht in een pakhuis van Ryman-Stok en Kerseken, en werd aldaar gedoofd.  3. Door het dak van perceel rapenburg twee kwam een bom door het dak en kwam terecht in een meelpakhuis van gebroeders van Raamsdonk, wonende Staalkade 7 alhier. Drong zich in het meel en werd gedoofd. 4. Een bom kwam door het dak van perceel Nieuwe Uilenburgerstraat 18, bewoond door Isaac Gans, oud 33 jaar, leestenmaker. Maakte een gat in plafond van genoemde verdieping, waardoor een kleine brand ontstond. 5. Door het dak van perceel Oude Schans 5, waarvan de bovenste verdieping wordt bewoond door J. P. Anderson kwam een brandbom, doch werd in een daar in een aanwezige hoop steenkolen gedoofd. Er ontstond geen brand. 6. Door het dak van perceel Oude Schans 9, waarvan de bovenste verdieping wordt bewoond door H. Kok, kwam eveneens een brandbom door het dak, terecht op een zolderkamertje, waardoor een opklapbed schade bekwam. Er ontstond geen brand. 7. Tevens kwam een brandbom terecht in de dakgoot  van perceel Oude Schans 3. Deze brandbom werd door de brandweer verwijderd. De bewoner van de bovenste verdieping is genaamd Wurms. 8. Het schip ?de Dollard? liggende tegenover perceel Oude Scans 7, bewoond door den eigenaar h. de Jong, oud 44 jaar, werd op de voorplecht door een brandbom getroffen. Deze bom sloeg door de voorplecht heen en kwam in het ruim terecht., waardoor het schip schade bekwam en water maakte. Het schip was ledig en was niet in gebruik. De Jonge heeft de scheur, of het ontstane gat opgestopt. 9. Groote schade werd aangericht aan een schip, beladen met oud ijzer, liggende in het water van de Zanenburgwal tegenover het Waterlooplein, eigenaar jozef F. Prenger. Op dit schip genaamd ?Zwerver III? kwam terecht verm. Een brisantbom. De voorzijde daarvan werd geheel vernield, terwijl stukken daarvan op de straat terecht kwamen. Van vele huizen in de onmiddellijke nabijheid daarvan, werden de glasruiten vernield,  Van de brandweer waren 5 wagens aanwezig, die op verschillende punten hun werkzaamheden verrichten. Van elk dier wagens werd een slang uitgelegd en en in enkele gevallen water gegeven, voor de ontstane kleine brandjes te blussen. Aanwezig waren ook de brandweerlieden van de Luchtbeschermingsdienst. Persoonlijke ongelukken vielen niet voor. De bewakingsdienst van de luchtbeschermingsdienst was eveneens ter plaatste en hadden op verschillende bedreigde plaatsen post gevat. Tenslotte zij nog vermeld, dat op het schip ?de Zwerver III? een inhoud had van 65 ton en de Dollard 105 ton.  De overblijfselen van de brandbommen, zijn door personeel van de luchtbeschermingsdienst, aan dit bureau gedeponeerd. Twee brandbommen sloegen door het houten  brugdek van de hulpbrug bij het `s-Gravenhekje, doch richtte geen schade aan.";"";"POINT(4.9011452,52.369393)";"POINT(52.369393,4.9011452)";4.9011452;52.369393;
105;"Nieuwe Uilenburgerstraat 3";"Bom, granaat, afweergeschut";"16/10/40";"1 brandbom. Kleine brand";"";"POINT(4.9074051,52.3710944)";"POINT(52.3710944,4.9074051)";4.9074051;52.3710944;
106;"'s-Gravenhekje 1";"Bom, granaat, afweergeschut";"16/10/40";"1 brandbom. Geen brand";"";"POINT(4.9079549,52.3722922)";"POINT(52.3722922,4.9079549)";4.9079549;52.3722922;
107;"'s-Gravenhekje 4";"Bom, granaat, afweergeschut";"16/10/40";"1 brandbom. Kleine brand, door de brandweer geblust";"";"POINT(4.9075248,52.3720938)";"POINT(52.3720938,4.9075248)";4.9075248;52.3720938;
108;"'s-Gravenhekje 10";"Bom, granaat, afweergeschut";"16/10/40";"2 brandbommen";"";"POINT(4.9069951,52.3720938)";"POINT(52.3720938,4.9069951)";4.9069951;52.3720938;
109;"'s-Gravenhekje 5";"Bom, granaat, afweergeschut";"16/10/40";"1 brandbom?";"";"POINT(4.9074252,52.3720938)";"POINT(52.3720938,4.9074252)";4.9074252;52.3720938;
110;"'s-Gravenhekje 1";"Bom, granaat, afweergeschut";"16/10/40";"1 brandbom?";"";"POINT(4.9079549,52.3722922)";"POINT(52.3722922,4.9079549)";4.9079549;52.3722922;
111;"Oudeschans 5/II";"Bom, granaat, afweergeschut";"16/10/40";"1 brandbom. Geen brand";"";"POINT(4.9059951,52.3716933)";"POINT(52.3716933,4.9059951)";4.9059951;52.3716933;
112;"Oudeschans 9/II";"Bom, granaat, afweergeschut";"16/10/40";"1 brandbom. Geen brand";"";"POINT(4.9060352,52.3714911)";"POINT(52.3714911,4.9060352)";4.9060352;52.3714911;
113;"Oudeschans 3/II";"Bom, granaat, afweergeschut";"16/10/40";"1 brandbom. Geen brand";"";"POINT(4.9062149,52.3715941)";"POINT(52.3715941,4.9062149)";4.9062149;52.3715941;
114;"Ringdijk 60";"Bom, granaat, afweergeschut";"16/10/40";"Brisantbom. Wei bij de Schagerlaan, 250 meter achter boerderij De Eenhoorn, Geen schade. Geen gewonden.";"";"POINT(4.9188449,52.3505942)";"POINT(52.3505942,4.9188449)";4.9188449;52.3505942;
115;"Zwanenburgwal 17";"Bom, granaat, afweergeschut";"16/10/40";"Brisantbom op een pakschip liggend in het water van de Zwanenburgwal. Schip gezonken, veel ruiten in de omgeving ingeslagen. Geen gewonden.";"";"POINT(4.899615,52.3678938)";"POINT(52.3678938,4.899615)";4.899615;52.3678938;
116;"Maanstraat 45";"Bom, granaat, afweergeschut";"16/10/40";"Brisantbom.Bij politiepost. Politieonderofficier Takes raakte licht gewond, een politieagent zeer licht gewond";"";"POINT(4.8885152,52.4135939)";"POINT(52.4135939,4.8885152)";4.8885152;52.4135939;
117;"Maanstraat 59";"Bom, granaat, afweergeschut";"16/10/40";"Brisantbom. Huis zwaar beschadigd";"";"POINT(4.8886149,52.4139945)";"POINT(52.4139945,4.8886149)";4.8886149;52.4139945;
118;"Polluxplein 2";"Bom, granaat, afweergeschut";"16/10/40";"Brisantbom. Veel ruiten  ingeslagen en huizen beschadigd";"";"POINT(4.8885348,52.4120947)";"POINT(52.4120947,4.8885348)";4.8885348;52.4120947;
119;"Sumatrakade 115";"Bom, granaat, afweergeschut";"16/10/40";"6 brandbommen. Geen schade. Geen gewonden.";"";"POINT(4.9349148,52.377793)";"POINT(52.377793,4.9349148)";4.9349148;52.377793;
120;"Nieuwe Hemweg 55";"Bom, granaat, afweergeschut";"3/01/41";"Bominslag. 1 man lichtgewond";"";"POINT(4.826555,52.4154936)";"POINT(52.4154936,4.826555)";4.826555;52.4154936;
121;"Ankerweg 16";"Bom, granaat, afweergeschut";"3/01/41";"6 bommen, waarvan 1 niet ontploft (ongeveer 150 meter van de Hemweg) Een gemaal en een aantal huizen beschadigd. Een paard gedood.";"";"POINT(4.8354051,52.4157912)";"POINT(52.4157912,4.8354051)";4.8354051;52.4157912;
122;"Koppelingpad 1";"Overig";"15/01/41";"Inslag van mijnbom. 5 woonschuiten getroffen, waarvan 1 geheel en 2 bijna geheel vernield. `Twee kinderen, die te bed lagen, geraakten te water en een zich in de nabijheid bevindende fietser werd gewond. Allen, evenals de moeder van de kinderen, werden naar een ziekenhuis overgebracht.`";"";"POINT(4.9000552,52.4018942)";"POINT(52.4018942,4.9000552)";4.9000552;52.4018942;
123;"Dotterbloemstraat 2";"Bom, granaat, afweergeschut";"15/01/41";"Brandbommen. Geen schade";"";"POINT(4.913275,52.398194)";"POINT(52.398194,4.913275)";4.913275;52.398194;
124;"Floraweg 4";"Bom, granaat, afweergeschut";"15/01/41";"8 brandbommen";"";"POINT(4.9193351,52.3994948)";"POINT(52.3994948,4.9193351)";4.9193351;52.3994948;
125;"Floraweg 21";"Bom, granaat, afweergeschut";"15/01/41";"Brandbom. Slaapkamer op de tweede verdieping brandde uit. Brand kon spoedig worden geblust. Geen persoonlijke ongelukken.";"";"POINT(4.916825,52.3998915)";"POINT(52.3998915,4.916825)";4.916825;52.3998915;
126;"Hemweg 171";"Overig";"8/02/41";"Overvliegende kabelballon beschoten. `Volgens te 9.00 uur ontvangen mededeeling, blijkt deze ballon met den kabel vast te zitten aan den arbeidsdraad van de spoorwegen, waardoor het electrische spoorwegverkeer tusschen Zaandam en Amsterdam v.v. gestagneerd wordt. Duitsche militairen zullen den ballon neerschieten.`";"";"POINT(4.8259151,52.4182936)";"POINT(52.4182936,4.8259151)";4.8259151;52.4182936;
127;"Johannes Verhulststraat 166";"Overig";"7/03/41";"Mitrailleurkogels of granaatsplinters. Ruiten vernield";"";"POINT(4.868335,52.3535925)";"POINT(52.3535925,4.868335)";4.868335;52.3535925;
128;"Dufaystraat 7";"Omgevingsschade";"7/03/41";"";"";"POINT(4.8682048,52.3536917)";"POINT(52.3536917,4.8682048)";4.8682048;52.3536917;
129;"Kinkerstraat 362";"Bom, granaat, afweergeschut";"7/03/41";"Granaatscherven. In verschillende woningen schade aan de ruiten. 2 personen licht gewond en 2 personen zeer licht gewond. `Bij navraag omtrent de reden van het vuren deelde de Luftschutzwarnzentrale mede dat er geen luchtgevaar was geweest, doch dat het hier een oefening betrof.`";"";"POINT(4.8615348,52.3646933)";"POINT(52.3646933,4.8615348)";4.8615348;52.3646933;
130;"Levantkade 131";"Bom, granaat, afweergeschut";"12/04/41";"3 brisantbommen in het water";"";"POINT(4.9404552,52.376393)";"POINT(52.376393,4.9404552)";4.9404552;52.376393;
131;"Verbindingsdam 6";"Bom, granaat, afweergeschut";"12/04/41";"1 brisantbomGasbuis beschadigd ";"";"POINT(4.9383948,52.3750922)";"POINT(52.3750922,4.9383948)";4.9383948;52.3750922;
132;"Verbindingsdam 10";"Bom, granaat, afweergeschut";"12/04/41";"1 brisantbom. Lichte schade";"";"POINT(4.9375651,52.3758933)";"POINT(52.3758933,4.9375651)";4.9375651;52.3758933;
133;"Levantkade 6";"Bom, granaat, afweergeschut";"12/04/41";"1 brisantbom. Materi?le schade gering, wel veel vensterschade. Geen persoonlijke ongelukken.";"";"POINT(4.937855,52.3762938)";"POINT(52.3762938,4.937855)";4.937855;52.3762938;
134;"Molukkenstraat 102";"Bom, granaat, afweergeschut";"17/04/41";"Projectiel van het afweergeschut door het dak. `Dit is door de 3e ?tage naar de 2e ?tage geslagen en aldaar ontploft. Op de 3e ?tage geringe schade. Op de 2e ?tage tusschenmuur tusschen keuken en slaapkamer vernield. Moet vermoedelijk uitgebroken worden. Op de 1e ?tage eenige stukken doorgedrongen, waardoor het keukenplafond en aanrecht werden beschadigd.` 1 dode en 1 gewonde.";"";"POINT(4.9396951,52.3611914)";"POINT(52.3611914,4.9396951)";4.9396951;52.3611914;
135;"Poppendammergouw 32";"Bom, granaat, afweergeschut";"13/06/41";"Brisantbom. Krater van 10 meter. `Geen gewonden, geen schade, geen vee getroffen.`";"";"POINT(5.024255,52.4195944)";"POINT(52.4195944,5.024255)";5.024255;52.4195944;
136;"Johannes van der Waalsstraat 107/hs";"Omgevingsschade";"30/06/41";"";"";"POINT(4.9440849,52.3535925)";"POINT(52.3535925,4.9440849)";4.9440849;52.3535925;
137;"Uitdammerdijk 38";"Bom, granaat, afweergeschut";"5/07/41";"3 brisantbommen ontploft. `Geen persoonlijke ongevallen. Geen schade aan dieren of woningen.`";"";"POINT(5.0541651,52.4144942)";"POINT(52.4144942,5.0541651)";5.0541651;52.4144942;
138;"Poppendammergouw 36";"Bom, granaat, afweergeschut";"5/07/41";"1 brisantbom ontploft. `Geen persoonlijke ongevallen, geen schade aan dieren of woningen.`";"";"POINT(5.024255,52.4195944)";"POINT(52.4195944,5.024255)";5.024255;52.4195944;
139;"Hemweg 173";"Bom, granaat, afweergeschut";"8/07/41";"4 of 5 granaten. `een van de projectielen zou zijn ontploft de anderen niet`";"";"POINT(4.8259051,52.4182936)";"POINT(52.4182936,4.8259051)";4.8259051;52.4182936;
140;"Zeeburgerdijk 633";"Bom, granaat, afweergeschut";"8/07/41";"Brisantbom van 40 ? 50 kg aangetroffen. 12.50 uur: `Deze is aan den waterkant 100 M. van het zwembad `Nieuw Diep` en 100 M. vanaf de sluis gedeponeerd. De omgeving is afgezet en het verkeer omgelegd.` 23.12 uur: `Vak XIV meldt dat de bom bovenvermeld een eigenaardig sissend geluid geeft, zoodat de posten tot ca. 250 M. teruggetrokken werden, en staketsels werden geplaatst. Het badhuis werd buiten gebruik gesteld. Bom zal 9 juli door Duitsche Weermacht verder worden behandeld.` Door de Duitse Weermacht op 9 juli tot ontploffing gebracht. Zeer lichte schade aan het wegdek. Geen gewonden";"";"POINT(4.9553249,52.3662917)";"POINT(52.3662917,4.9553249)";4.9553249;52.3662917;
141;"Jacob Obrechtstraat 92";"Bom, granaat, afweergeschut";"10/07/41";"Granaat van het afweergeschut gevallen en geëxplodeerd. Gat in den grond van 1 meter doorsnee en een halve meter diep. `Van het ziekenhuis waren 15 ruitjes gesprongen, ook hadden eenige huizen van de Frans van Mierisstraat glasschade.`";"";"POINT(4.8771751,52.3529936)";"POINT(52.3529936,4.8771751)";4.8771751;52.3529936;
142;"Roerstraat 125, 127, 129 en 131";"Bom, granaat, afweergeschut";"14/07/41";"Brisantbom. Gat in de straat. De huizen aan Roerstraat 125, 127, 129 en 131 werden onbewoonbaar. glasschade aan 20 panden, waaronder veel grote winkels, 5 lichtgewonden, 2 zeer lichtgewonden. `1 persoon kreeg een zenuwschok.`";"";"POINT(4.8960049,52.3441931)";"POINT(52.3441931,4.8960049)";4.8960049;52.3441931;
143;"Frans Halsstraat 108";"Overig";"14/07/41";"Lichtkogel. Geen brand, geen schade, geen gewonden";"";"POINT(4.8882849,52.3546912)";"POINT(52.3546912,4.8882849)";4.8882849;52.3546912;
