OBJECTNUMMER;Soortnaam_NL;Boomnummer;Soortnaam_WTS;Boomtype;Boomhoogte;Plantjaar;Eigenaar;Beheerder;Categorie;SOORT_KORT;SDVIEW;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
210001;"Amerikaanse linde";368185;"Tilia americana";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1971;"Gemeente Amsterdam";"Stadsdeel Nieuw-West";"Tilia";"Tilia";"F";3;"POINT(4.832652,52.381036)";"POINT(52.381036,4.832652)";4.832652;52.381036;
210002;"Amerikaanse linde";368184;"Tilia americana";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1971;"Gemeente Amsterdam";"Stadsdeel Nieuw-West";"Tilia";"Tilia";"F";4;"POINT(4.832257,52.380087)";"POINT(52.380087,4.832257)";4.832257;52.380087;
210003;"Amerikaanse linde";368183;"Tilia americana";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1971;"Gemeente Amsterdam";"Stadsdeel Nieuw-West";"Tilia";"Tilia";"F";4;"POINT(4.832993,52.381202)";"POINT(52.381202,4.832993)";4.832993;52.381202;
210004;"Amerikaanse linde";368182;"Tilia americana";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1951;"Gemeente Amsterdam";"Stadsdeel Nieuw-West";"Tilia";"Tilia";"F";4;"POINT(4.832546,52.380122)";"POINT(52.380122,4.832546)";4.832546;52.380122;
210005;"Amerikaanse linde";368181;"Tilia americana";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1971;"Gemeente Amsterdam";"Stadsdeel Nieuw-West";"Tilia";"Tilia";"F";4;"POINT(4.832375,52.380366)";"POINT(52.380366,4.832375)";4.832375;52.380366;
210006;"Amerikaanse linde";368180;"Tilia americana";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1971;"Gemeente Amsterdam";"Stadsdeel Nieuw-West";"Tilia";"Tilia";"F";4;"POINT(4.83302,52.381269)";"POINT(52.381269,4.83302)";4.83302;52.381269;
210007;"Amerikaanse linde";367966;"Tilia americana";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1971;"Gemeente Amsterdam";"Stadsdeel Nieuw-West";"Tilia";"Tilia";"F";5;"POINT(4.826365,52.379662)";"POINT(52.379662,4.826365)";4.826365;52.379662;
210008;"Amerikaanse linde";367965;"Tilia americana";"Boom niet vrij uitgroeiend";"12 tot 18 m.";1971;"Gemeente Amsterdam";"Stadsdeel Nieuw-West";"Tilia";"Tilia";"F";5;"POINT(4.826433,52.379818)";"POINT(52.379818,4.826433)";4.826433;52.379818;
210009;"Amerikaanse linde";367964;"Tilia americana";"Boom niet vrij uitgroeiend";"12 tot 18 m.";1971;"Gemeente Amsterdam";"Stadsdeel Nieuw-West";"Tilia";"Tilia";"F";5;"POINT(4.826542,52.380065)";"POINT(52.380065,4.826542)";4.826542;52.380065;
210010;"Amerikaanse linde";367963;"Tilia americana";"Boom niet vrij uitgroeiend";"12 tot 18 m.";1971;"Gemeente Amsterdam";"Stadsdeel Nieuw-West";"Tilia";"Tilia";"F";5;"POINT(4.826504,52.379986)";"POINT(52.379986,4.826504)";4.826504;52.379986;
210011;"Amerikaanse linde";367962;"Tilia americana";"Boom niet vrij uitgroeiend";"12 tot 18 m.";1971;"Gemeente Amsterdam";"Stadsdeel Nieuw-West";"Tilia";"Tilia";"F";5;"POINT(4.826571,52.380144)";"POINT(52.380144,4.826571)";4.826571;52.380144;
210012;"Amerikaanse linde";367961;"Tilia americana";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1971;"Gemeente Amsterdam";"Stadsdeel Nieuw-West";"Tilia";"Tilia";"F";5;"POINT(4.826261,52.379408)";"POINT(52.379408,4.826261)";4.826261;52.379408;
210013;"Amerikaanse linde";367960;"Tilia americana";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1971;"Gemeente Amsterdam";"Stadsdeel Nieuw-West";"Tilia";"Tilia";"F";5;"POINT(4.826635,52.3803)";"POINT(52.3803,4.826635)";4.826635;52.3803;
210014;"Amerikaanse linde";367959;"Tilia americana";"Boom niet vrij uitgroeiend";"12 tot 18 m.";1971;"Gemeente Amsterdam";"Stadsdeel Nieuw-West";"Tilia";"Tilia";"F";5;"POINT(4.826331,52.379575)";"POINT(52.379575,4.826331)";4.826331;52.379575;
