OBJECTNUMMER;NETTYPE;STATUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
279;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.997072 52.356262,4.997049 52.356208,4.996985 52.356168,4.996897 52.356154,4.996792 52.356169,4.996728 52.356208,4.996703 52.356262,4.996727 52.356316,4.996791 52.356355,4.996886 52.356371,4.996984 52.356355,4.997048 52.356316,4.997072 52.356262))";"POLYGON((52.356262 4.997072,52.356208 4.997049,52.356168 4.996985,52.356154 4.996897,52.356169 4.996792,52.356208 4.996728,52.356262 4.996703,52.356316 4.996727,52.356355 4.996791,52.356371 4.996886,52.356355 4.996984,52.356316 4.997048,52.356262 4.997072))";4.9968925;52.3562555;
280;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.98461 52.315325,4.984587 52.315271,4.984523 52.315231,4.984435 52.315216,4.984347 52.31523,4.984282 52.31527,4.98425 52.315333,4.984273 52.315387,4.984337 52.315426,4.984425 52.315441,4.984513 52.315427,4.984578 52.315388,4.98461 52.315325))";"POLYGON((52.315325 4.98461,52.315271 4.984587,52.315231 4.984523,52.315216 4.984435,52.31523 4.984347,52.31527 4.984282,52.315333 4.98425,52.315387 4.984273,52.315426 4.984337,52.315441 4.984425,52.315427 4.984513,52.315388 4.984578,52.315325 4.98461))";4.984435;52.3153215;
281;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.890377 52.404911,4.89034 52.40484,4.890286 52.40481,4.890198 52.404795,4.890089 52.404818,4.890043 52.404849,4.890019 52.404903,4.890056 52.404973,4.890111 52.405004,4.890199 52.405019,4.890307 52.404996,4.890353 52.404965,4.890377 52.404911))";"POLYGON((52.404911 4.890377,52.40484 4.89034,52.40481 4.890286,52.404795 4.890198,52.404818 4.890089,52.404849 4.890043,52.404903 4.890019,52.404973 4.890056,52.405004 4.890111,52.405019 4.890199,52.404996 4.890307,52.404965 4.890353,52.404911 4.890377))";4.890203;52.4049;
282;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.996723 52.354075,4.9967 52.354021,4.996636 52.353982,4.996548 52.353967,4.996432 52.353993,4.996386 52.354025,4.996362 52.354079,4.996385 52.354133,4.996453 52.354175,4.996541 52.35419,4.996658 52.354163,4.996699 52.354134,4.996723 52.354075))";"POLYGON((52.354075 4.996723,52.354021 4.9967,52.353982 4.996636,52.353967 4.996548,52.353993 4.996432,52.354025 4.996386,52.354079 4.996362,52.354133 4.996385,52.354175 4.996453,52.35419 4.996541,52.354163 4.996658,52.354134 4.996699,52.354075 4.996723))";4.9965475;52.3540715;
283;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.996365 52.353384,4.996342 52.35333,4.996277 52.35329,4.99619 52.353275,4.996062 52.353308,4.996025 52.353335,4.996001 52.353388,4.996024 52.353442,4.996088 52.353482,4.996176 52.353497,4.996304 52.353464,4.996341 52.353437,4.996365 52.353384))";"POLYGON((52.353384 4.996365,52.35333 4.996342,52.35329 4.996277,52.353275 4.99619,52.353308 4.996062,52.353335 4.996025,52.353388 4.996001,52.353442 4.996024,52.353482 4.996088,52.353497 4.996176,52.353464 4.996304,52.353437 4.996341,52.353384 4.996365))";4.996188;52.353379;
284;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.878396 52.393517,4.878373 52.393463,4.878309 52.393423,4.878221 52.393409,4.878125 52.393423,4.878078 52.393447,4.878033 52.393518,4.878056 52.393572,4.87812 52.393612,4.878212 52.393629,4.8783 52.393615,4.878348 52.393591,4.878396 52.393517))";"POLYGON((52.393517 4.878396,52.393463 4.878373,52.393423 4.878309,52.393409 4.878221,52.393423 4.878125,52.393447 4.878078,52.393518 4.878033,52.393572 4.878056,52.393612 4.87812,52.393629 4.878212,52.393615 4.8783,52.393591 4.878348,52.393517 4.878396))";4.8782195;52.393512;
285;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.917432 52.339046,4.917409 52.338992,4.917345 52.338952,4.917257 52.338938,4.917159 52.338955,4.917091 52.338995,4.917066 52.339049,4.917089 52.339103,4.917153 52.339143,4.917241 52.339158,4.917339 52.33914,4.917407 52.3391,4.917432 52.339046))";"POLYGON((52.339046 4.917432,52.338992 4.917409,52.338952 4.917345,52.338938 4.917257,52.338955 4.917159,52.338995 4.917091,52.339049 4.917066,52.339103 4.917089,52.339143 4.917153,52.339158 4.917241,52.33914 4.917339,52.3391 4.917407,52.339046 4.917432))";4.917254;52.339041;
286;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.968766 52.319275,4.968742 52.319221,4.968678 52.319181,4.968584 52.319165,4.968496 52.319179,4.968431 52.319219,4.968403 52.319277,4.968426 52.319331,4.96849 52.319371,4.968578 52.319386,4.968666 52.319372,4.968741 52.31933,4.968766 52.319275))";"POLYGON((52.319275 4.968766,52.319221 4.968742,52.319181 4.968678,52.319165 4.968584,52.319179 4.968496,52.319219 4.968431,52.319277 4.968403,52.319331 4.968426,52.319371 4.96849,52.319386 4.968578,52.319372 4.968666,52.31933 4.968741,52.319275 4.968766))";4.9685895;52.3192685;
287;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.95201 52.322438,4.951987 52.322384,4.951923 52.322345,4.95183 52.322328,4.951742 52.322342,4.951677 52.322382,4.951649 52.32244,4.951672 52.322494,4.951736 52.322534,4.951829 52.32255,4.951917 52.322536,4.951982 52.322497,4.95201 52.322438))";"POLYGON((52.322438 4.95201,52.322384 4.951987,52.322345 4.951923,52.322328 4.95183,52.322342 4.951742,52.322382 4.951677,52.32244 4.951649,52.322494 4.951672,52.322534 4.951736,52.32255 4.951829,52.322536 4.951917,52.322497 4.951982,52.322438 4.95201))";4.9518345;52.322432;
288;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.903778 52.399304,4.903745 52.39924,4.903686 52.399206,4.903598 52.399191,4.90351 52.399205,4.90344 52.399246,4.903416 52.3993,4.903439 52.399354,4.903505 52.399395,4.903593 52.39941,4.903689 52.399397,4.903754 52.399358,4.903778 52.399304))";"POLYGON((52.399304 4.903778,52.39924 4.903745,52.399206 4.903686,52.399191 4.903598,52.399205 4.90351,52.399246 4.90344,52.3993 4.903416,52.399354 4.903439,52.399395 4.903505,52.39941 4.903593,52.399397 4.903689,52.399358 4.903754,52.399304 4.903778))";4.903602;52.3992935;
289;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.995186 52.354868,4.995163 52.354814,4.995099 52.354774,4.995011 52.354759,4.994895 52.354786,4.994849 52.354817,4.994825 52.354871,4.994848 52.354925,4.994912 52.354965,4.995 52.35498,4.995117 52.354953,4.995162 52.354921,4.995186 52.354868))";"POLYGON((52.354868 4.995186,52.354814 4.995163,52.354774 4.995099,52.354759 4.995011,52.354786 4.994895,52.354817 4.994849,52.354871 4.994825,52.354925 4.994848,52.354965 4.994912,52.35498 4.995,52.354953 4.995117,52.354921 4.995162,52.354868 4.995186))";4.9950105;52.3548625;
290;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.99776 52.356551,4.997716 52.35648,4.997668 52.356454,4.99758 52.35644,4.997492 52.356454,4.997423 52.356495,4.997399 52.356549,4.997442 52.35662,4.997488 52.356644,4.997576 52.356659,4.997671 52.356644,4.997735 52.356605,4.99776 52.356551))";"POLYGON((52.356551 4.99776,52.35648 4.997716,52.356454 4.997668,52.35644 4.99758,52.356454 4.997492,52.356495 4.997423,52.356549 4.997399,52.35662 4.997442,52.356644 4.997488,52.356659 4.997576,52.356644 4.997671,52.356605 4.997735,52.356551 4.99776))";4.9975845;52.3565425;
291;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.836411 52.360061,4.836389 52.360007,4.836325 52.359967,4.836237 52.359953,4.836143 52.359967,4.836078 52.360006,4.836054 52.360058,4.836076 52.360117,4.83614 52.360157,4.836228 52.360172,4.836322 52.360158,4.836387 52.360119,4.836411 52.360061))";"POLYGON((52.360061 4.836411,52.360007 4.836389,52.359967 4.836325,52.359953 4.836237,52.359967 4.836143,52.360006 4.836078,52.360058 4.836054,52.360117 4.836076,52.360157 4.83614,52.360172 4.836228,52.360158 4.836322,52.360119 4.836387,52.360061 4.836411))";4.8362375;52.3600555;
292;"WARMTE WIJK";"IN AANLEG";"POLYGON((5.008468 52.34672,5.008445 52.346666,5.00838 52.346627,5.008292 52.346612,5.008176 52.346638,5.008132 52.34667,5.008108 52.346723,5.008131 52.346777,5.008195 52.346817,5.008283 52.346832,5.008399 52.346805,5.008444 52.346774,5.008468 52.34672))";"POLYGON((52.34672 5.008468,52.346666 5.008445,52.346627 5.00838,52.346612 5.008292,52.346638 5.008176,52.34667 5.008132,52.346723 5.008108,52.346777 5.008131,52.346817 5.008195,52.346832 5.008283,52.346805 5.008399,52.346774 5.008444,52.34672 5.008468))";5.008293;52.346715;
293;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.962267 52.329014,4.962244 52.32896,4.96218 52.32892,4.962092 52.328906,4.962004 52.32892,4.96194 52.328959,4.961912 52.329019,4.961935 52.329073,4.961999 52.329113,4.962087 52.329127,4.962175 52.329113,4.96224 52.329074,4.962267 52.329014))";"POLYGON((52.329014 4.962267,52.32896 4.962244,52.32892 4.96218,52.328906 4.962092,52.32892 4.962004,52.328959 4.96194,52.329019 4.961912,52.329073 4.961935,52.329113 4.961999,52.329127 4.962087,52.329113 4.962175,52.329074 4.96224,52.329014 4.962267))";4.9620945;52.3290095;
294;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.992508 52.358963,4.992485 52.358909,4.992417 52.358867,4.992329 52.358852,4.992212 52.358879,4.992173 52.358907,4.992149 52.358961,4.992172 52.359015,4.99224 52.359057,4.992328 52.359072,4.992444 52.359046,4.992484 52.359017,4.992508 52.358963))";"POLYGON((52.358963 4.992508,52.358909 4.992485,52.358867 4.992417,52.358852 4.992329,52.358879 4.992212,52.358907 4.992173,52.358961 4.992149,52.359015 4.992172,52.359057 4.99224,52.359072 4.992328,52.359046 4.992444,52.359017 4.992484,52.358963 4.992508))";4.9923335;52.358955;
