"�..OBJECTNUMMER";"SELECTIE";"Besluitnummer";"Status";"Omschrijving";"WKT_LNG_LAT";"WKT_LAT_LNG";"LNG";"LAT";"X"
1314;"ROOD";"1. Oost 2 - N";"OK";"Oetewalerpad, in beide richtingen";"LINESTRING(4.9266920 52.3580650,4.9272529 52.3582425,4.9276338 52.3584081,4.9280604 52.3585975,4.9281771 52.3586607,4.9287790 52.3590560,4.9288920 52.3591310,4.9290340 52.3592465,4.9292020 52.3593840,4.9294590 52.3596210,4.9296530 52.3598280,4.9297800 52.3599786,4.9301750 52.3605070)";"LINESTRING(52.3580650 4.9266920,52.3582425 4.9272529,52.3584081 4.9276338,52.3585975 4.9280604,52.3586607 4.9281771,52.3590560 4.9287790,52.3591310 4.9288920,52.3592465 4.9290340,52.3593840 4.9292020,52.3596210 4.9294590,52.3598280 4.9296530,52.3599786 4.9297800,52.3605070 4.9301750)";4.9284385;52.359279;NA
1316;"ROOD";"1. Oost 2 - O";"OK";"Woltera van Reesstraat, in beide richtingen";"LINESTRING(4.9287790 52.3590560,4.9285680 52.3591650)";"LINESTRING(52.3590560 4.9287790,52.3591650 4.9285680)";4.9286785;52.3591035;NA
1317;"ROOD";"1. Oost 2 - O";"OK";"Woltera van Reesstraat, in beide richtingen";"LINESTRING(4.9284330 52.3592980,4.9279720 52.3600080)";"LINESTRING(52.3592980 4.9284330,52.3600080 4.9279720)";4.9282075;52.359646;NA
1322;"ROOD";"1. Oost 2 - J";"OK";"Tussen Celebesstraat en Polderweg, in beide richtingen ";"LINESTRING(4.9344219 52.3584619,4.9350446 52.3588792)";"LINESTRING(52.3584619 4.9344219,52.3588792 4.9350446)";4.93473825;52.35866355;NA
1327;"ROOD";"1. Oost 3 - I";"OK";"Tidorestraat, tussen Sumatraplantsoen oost- en westkant, in beide richtingen";"LINESTRING(4.9419981 52.3602982,4.9435293 52.3605125)";"LINESTRING(52.3602982 4.9419981,52.3605125 4.9435293)";4.9427687;52.36039835;NA
1328;"BLAUW";"1. Oost 3 - J";"OK";"Carolina Macgillavrylaan, weerszijden";"LINESTRING(4.9512097 52.3544509,4.9498560 52.3552800,4.9494060 52.3555695,4.9491360 52.3557590,4.9489570 52.3558710,4.9488760 52.3559170,4.9486820 52.3560120,4.9482130 52.3563060,4.9474850 52.3567540,4.9467870 52.3571890,4.9463730 52.3574400,4.9460600 52.3576370,4.9459030 52.3577010)";"LINESTRING(52.3544509 4.9512097,52.3552800 4.9498560,52.3555695 4.9494060,52.3557590 4.9491360,52.3558710 4.9489570,52.3559170 4.9488760,52.3560120 4.9486820,52.3563060 4.9482130,52.3567540 4.9474850,52.3571890 4.9467870,52.3574400 4.9463730,52.3576370 4.9460600,52.3577010 4.9459030)";4.94856135;52.35606895;NA
1329;"ROOD";"1. Oost 3 - K";"OK";"Tussen CarolinaMacgillavrylaan en het bromfietspad van Oosterringdijk";"LINESTRING(4.9458963 52.3576404,4.9459030 52.3577010,4.9457760 52.3577510,4.9452670 52.3579450,4.9448550 52.3581060)";"LINESTRING(52.3576404 4.9458963,52.3577010 4.9459030,52.3577510 4.9457760,52.3579450 4.9452670,52.3581060 4.9448550)";4.945384;52.3578662;NA
1332;"BLAUW";"1. Oost 6 - E";"RECTIF";"Radioweg, weerszijden, tussen Kruislaan en 50 meter ten oosten van huisnummer 76";"LINESTRING(4.9442594 52.3501079,4.9443600 52.3500420,4.9452104 52.3495062,4.9458940 52.3490810,4.9464170 52.3487410,4.9465737 52.3486506,4.9467197 52.3485553)";"LINESTRING(52.3501079 4.9442594,52.3500420 4.9443600,52.3495062 4.9452104,52.3490810 4.9458940,52.3487410 4.9464170,52.3486506 4.9465737,52.3485553 4.9467197)";4.94549455;52.3493246;NA
1336;"BLAUW";"1. Oost 6 - D2";"RECTIF";"Kruislaan, weerszijden, tussen Archimedesplantsoen en Radioweg";"LINESTRING(4.9445386 52.3502763,4.9448780 52.3504810,4.9465690 52.3514920,4.9467200 52.3515860,4.9468520 52.3516810,4.9469770 52.3517560,4.9472241 52.3518916)";"LINESTRING(52.3502763 4.9445386,52.3504810 4.9448780,52.3514920 4.9465690,52.3515860 4.9467200,52.3516810 4.9468520,52.3517560 4.9469770,52.3518916 4.9472241)";4.94588635;52.35107695;NA
1337;"BLAUW";"1. Oost 6 - D2";"RECTIF";"Kruislaan, weerszijden, tussen Archimedesplantsoen en Radioweg";"LINESTRING(4.9470920 52.3519600,4.9457050 52.3511270,4.9445810 52.3504720,4.9445130 52.3504420,4.9443980 52.3503770)";"LINESTRING(52.3519600 4.9470920,52.3511270 4.9457050,52.3504720 4.9445810,52.3504420 4.9445130,52.3503770 4.9443980)";4.94575;52.3511615;NA
