OBJECTNUMMER;Locatie;Categorie;Bijschrift;Foto_object;Foto_locatie;Objectcode;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
55;"Brouwersgracht";"Waterbodem";"kan, aardewerk, Gouda, 1650-1675";"https://www.archeologischekaart.amsterdam/WatBod/obj/BR9-1-1.jpg";"";"BR9-1-1";"POINT(4.887475,52.380971)";"POINT(52.380971,4.887475)";4.887475;52.380971;
56;"Egelantiersgracht t.o. 72";"Waterbodem";"muilkorf, ijzer en leer, 1800-1900";"https://www.archeologischekaart.amsterdam/WatBod/obj/EG5-3.jpg";"";"EG5-3";"POINT(4.882314,52.376202)";"POINT(52.376202,4.882314)";4.882314;52.376202;
57;"Lijnbaansgracht";"Waterbodem";"hoofdijzer, ijzer, 1600-1650";"https://www.archeologischekaart.amsterdam/WatBod/obj/LIJ3-3.jpg";"";"LIJ3-3";"POINT(4.877222,52.370357)";"POINT(52.370357,4.877222)";4.877222;52.370357;
58;"Nieuwe Keizersgracht";"Waterbodem";"retort, glas, 1700-1800";"https://www.archeologischekaart.amsterdam/WatBod/obj/NKG-1.jpg";"";"NKG-1";"POINT(4.902855,52.364704)";"POINT(52.364704,4.902855)";4.902855;52.364704;
59;"Cruquiusweg";"Waterbodem";"marinekanon, ijzer, ca. 1820";"https://www.archeologischekaart.amsterdam/WatBod/obj/CRU.jpg";"";"CRU";"POINT(4.955874,52.368464)";"POINT(52.368464,4.955874)";4.955874;52.368464;
60;"Vaargeul Amsterdam Lemmer";"Waterbodem";"waterschip, 1575-1600";"https://www.archeologischekaart.amsterdam/WatBod/obj/IJB1.jpg";"https://www.archeologischekaart.amsterdam/WatBod/loc/IJB1.jpg";"IJB1";"POINT(5.006062,52.36857)";"POINT(52.36857,5.006062)";5.006062;52.36857;
61;"Rokin";"Waterbodem";"fles, glas, 1650-1700";"https://www.archeologischekaart.amsterdam/WatBod/obj/OTM1-1.jpg";"";"OTM1-1";"POINT(4.892394,52.36895)";"POINT(52.36895,4.892394)";4.892394;52.36895;
62;"perceelsloot";"Voormalige waterbodem";"poppengoed, aardewerk, 1600-1625";"https://www.archeologischekaart.amsterdam/WatBod/obj/AVW-34-1.jpg";"";"AVW-34-1";"POINT(4.854843,52.355648)";"POINT(52.355648,4.854843)";4.854843;52.355648;
63;"IJ";"Voormalige waterbodem";"fruittest, aardewerk, 1700-1775";"https://www.archeologischekaart.amsterdam/WatBod/obj/GRA-1-1.jpg";"";"GRA-1-1";"POINT(4.901076,52.38411)";"POINT(52.38411,4.901076)";4.901076;52.38411;
64;"IJ";"Voormalige waterbodem";"kan, steengoed, Frechen Duitsland, 1650-1700";"https://www.archeologischekaart.amsterdam/WatBod/obj/KAT3-5-1.jpg";"";"KAT3-5-1";"POINT(4.920317,52.374616)";"POINT(52.374616,4.920317)";4.920317;52.374616;
65;"Sint Pieterssloot";"Voormalige waterbodem";"runderschedel, slachtafval, 1575-1615";"https://www.archeologischekaart.amsterdam/WatBod/obj/KON-22.jpg";"";"KON-22";"POINT(4.881754,52.371157)";"POINT(52.371157,4.881754)";4.881754;52.371157;
66;"Singelgracht bolwerk Osdorp";"Voormalige waterbodem";"bord, faience biscuit, productieafval Amsterdam, 1725-1775";"https://www.archeologischekaart.amsterdam/WatBod/obj/NPS-8.jpg";"";"NPS-8";"POINT(4.878122,52.366763)";"POINT(52.366763,4.878122)";4.878122;52.366763;
67;"Uilenburgergracht";"Aanplemping";"profielbaksteen, aardewerk, 1575-1650";"https://www.archeologischekaart.amsterdam/WatBod/obj/VAL1-42-26.jpg";"";"VAL1-42-26";"POINT(4.904899,52.369374)";"POINT(52.369374,4.904899)";4.904899;52.369374;
68;"Uilenburgergracht";"Aanplemping";"spaarvarken, aardewerk, 1625-1675";"https://www.archeologischekaart.amsterdam/WatBod/obj/VAL2-34-1.jpg";"";"VAL2-34-1";"POINT(4.905134,52.369506)";"POINT(52.369506,4.905134)";4.905134;52.369506;
69;"Uilenburgergracht";"Aanplemping";"strooppot, aardewerk, Amsterdam, 1600-1650";"https://www.archeologischekaart.amsterdam/WatBod/obj/VAL4-136-028.jpg";"";"VAL4-136|28";"POINT(4.905956,52.369822)";"POINT(52.369822,4.905956)";4.905956;52.369822;
