OBJECTNUMMER;Soort;Plantjaar;Stamdiameter;Hoogte;Beplantingssituatie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
27712;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.940253,52.3455779)";"POINT(52.3455779,4.940253)";4.940253;52.3455779;
27713;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9402769,52.3449904)";"POINT(52.3449904,4.9402769)";4.9402769;52.3449904;
27714;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9403822,52.3454901)";"POINT(52.3454901,4.9403822)";4.9403822;52.3454901;
27715;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9404442,52.3468863)";"POINT(52.3468863,4.9404442)";4.9404442;52.3468863;
27716;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9406898,52.3459365)";"POINT(52.3459365,4.9406898)";4.9406898;52.3459365;
27717;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9408152,52.3452078)";"POINT(52.3452078,4.9408152)";4.9408152;52.3452078;
27718;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9408729,52.3460204)";"POINT(52.3460204,4.9408729)";4.9408729;52.3460204;
27719;"ULCSARNI";1930;"Onbekend";"18-24 m";"";"POINT(4.9409749,52.3443457)";"POINT(52.3443457,4.9409749)";4.9409749;52.3443457;
27720;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9409649,52.3467337)";"POINT(52.3467337,4.9409649)";4.9409649;52.3467337;
27721;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9409888,52.346089)";"POINT(52.346089,4.9409888)";4.9409888;52.346089;
27722;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.941088,52.3466422)";"POINT(52.3466422,4.941088)";4.941088;52.3466422;
27723;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9411118,52.3443991)";"POINT(52.3443991,4.9411118)";4.9411118;52.3443991;
27724;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.941107,52.3453795)";"POINT(52.3453795,4.941107)";4.941107;52.3453795;
27725;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9411032,52.3457152)";"POINT(52.3457152,4.9411032)";4.9411032;52.3457152;
27726;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9411309,52.3461539)";"POINT(52.3461539,4.9411309)";4.9411309;52.3461539;
27727;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.94119,52.3457114)";"POINT(52.3457114,4.94119)";4.94119;52.3457114;
27728;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9412272,52.3465849)";"POINT(52.3465849,4.9412272)";4.9412272;52.3465849;
27729;"ULCDAMPI";1980;"Onbekend";"6-9 m";"";"POINT(4.9413149,52.3456847)";"POINT(52.3456847,4.9413149)";4.9413149;52.3456847;
27730;"ULCDAMPI";1980;"Onbekend";"6-9 m";"";"POINT(4.9413602,52.3457495)";"POINT(52.3457495,4.9413602)";4.9413602;52.3457495;
27731;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9415219,52.3464247)";"POINT(52.3464247,4.9415219)";4.9415219;52.3464247;
27732;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9416678,52.3460394)";"POINT(52.3460394,4.9416678)";4.9416678;52.3460394;
27733;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.941684,52.3458907)";"POINT(52.3458907,4.941684)";4.941684;52.3458907;
27734;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9417221,52.3458144)";"POINT(52.3458144,4.9417221)";4.9417221;52.3458144;
27735;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9418032,52.3463713)";"POINT(52.3463713,4.9418032)";4.9418032;52.3463713;
27736;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9418771,52.3462493)";"POINT(52.3462493,4.9418771)";4.9418771;52.3462493;
27737;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.94189,52.3456732)";"POINT(52.3456732,4.94189)";4.94189;52.3456732;
27738;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9419,52.3457686)";"POINT(52.3457686,4.9419)";4.9419;52.3457686;
27739;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9419782,52.346192)";"POINT(52.346192,4.9419782)";4.9419782;52.346192;
27740;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.942065,52.3461463)";"POINT(52.3461463,4.942065)";4.942065;52.3461463;
