OBJECTNUMMER;Soort;Plantjaar;Stamdiameter;Hoogte;Beplantingssituatie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
27843;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(5.0112331,52.3138815)";"POINT(52.3138815,5.0112331)";5.0112331;52.3138815;
27844;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(5.0112479,52.3138167)";"POINT(52.3138167,5.0112479)";5.0112479;52.3138167;
27845;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(5.0113861,52.3144118)";"POINT(52.3144118,5.0113861)";5.0113861;52.3144118;
27846;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(5.0114052,52.3142668)";"POINT(52.3142668,5.0114052)";5.0114052;52.3142668;
27847;"ULCARPIN";2000;"Onbekend";"6-9 m";"";"POINT(5.011872,52.3113906)";"POINT(52.3113906,5.011872)";5.011872;52.3113906;
27848;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(5.011944,52.3140112)";"POINT(52.3140112,5.011944)";5.011944;52.3140112;
27849;"ULCARPIN";2000;"Onbekend";"9-12 m";"";"POINT(5.011997,52.3117835)";"POINT(52.3117835,5.011997)";5.011997;52.3117835;
27850;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(5.0119898,52.3138167)";"POINT(52.3138167,5.0119898)";5.0119898;52.3138167;
27851;"ULCARPIN";2000;"Onbekend";"9-12 m";"";"POINT(5.0120132,52.3118826)";"POINT(52.3118826,5.0120132)";5.0120132;52.3118826;
27852;"ULCARPIN";2000;"Onbekend";"9-12 m";"";"POINT(5.0120342,52.3120162)";"POINT(52.3120162,5.0120342)";5.0120342;52.3120162;
27853;"ULCARPIN";1985;"Onbekend";"9-12 m";"";"POINT(5.0120728,52.3120886)";"POINT(52.3120886,5.0120728)";5.0120728;52.3120886;
27854;"ULHWREDE";2000;"Onbekend";"6-9 m";"";"POINT(5.0121529,52.3140723)";"POINT(52.3140723,5.0121529)";5.0121529;52.3140723;
27855;"ULHWREDE";2000;"Onbekend";"0-6 m";"";"POINT(5.0121982,52.3141982)";"POINT(52.3141982,5.0121982)";5.0121982;52.3141982;
27856;"ULCARPIN";1995;"Onbekend";"9-12 m";"";"POINT(5.0125749,52.3120352)";"POINT(52.3120352,5.0125749)";5.0125749;52.3120352;
27857;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(5.0126412,52.3116728)";"POINT(52.3116728,5.0126412)";5.0126412;52.3116728;
27858;"ULCARPIN";1995;"Onbekend";"9-12 m";"";"POINT(5.0127308,52.3119971)";"POINT(52.3119971,5.0127308)";5.0127308;52.3119971;
27859;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0127132,52.3142859)";"POINT(52.3142859,5.0127132)";5.0127132;52.3142859;
27860;"ULCARPIN";1995;"Onbekend";"9-12 m";"";"POINT(5.0128429,52.3119551)";"POINT(52.3119551,5.0128429)";5.0128429;52.3119551;
27861;"ULCARPIN";1995;"Onbekend";"9-12 m";"";"POINT(5.0129478,52.3119856)";"POINT(52.3119856,5.0129478)";5.0129478;52.3119856;
27862;"ULCARPIN";1995;"Onbekend";"9-12 m";"";"POINT(5.012954,52.3118102)";"POINT(52.3118102,5.012954)";5.012954;52.3118102;
27863;"ULDODOEN";2003;"Onbekend";"6-9 m";"";"POINT(5.0129378,52.3142783)";"POINT(52.3142783,5.0129378)";5.0129378;52.3142783;
27864;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0129502,52.3147093)";"POINT(52.3147093,5.0129502)";5.0129502;52.3147093;
27865;"ULCARPIN";2005;"Onbekend";"6-9 m";"";"POINT(5.0130398,52.3112227)";"POINT(52.3112227,5.0130398)";5.0130398;52.3112227;
27866;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0130889,52.314366)";"POINT(52.314366,5.0130889)";5.0130889;52.314366;
27867;"ULCARPIN";1995;"Onbekend";"9-12 m";"";"POINT(5.0131242,52.3119704)";"POINT(52.3119704,5.0131242)";5.0131242;52.3119704;
27868;"ULCARPIN";1995;"Onbekend";"9-12 m";"";"POINT(5.0132201,52.3119513)";"POINT(52.3119513,5.0132201)";5.0132201;52.3119513;
27869;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0132482,52.3145186)";"POINT(52.3145186,5.0132482)";5.0132482;52.3145186;
27870;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0132759,52.3143317)";"POINT(52.3143317,5.0132759)";5.0132759;52.3143317;
27871;"ULCARPIN";1995;"Onbekend";"9-12 m";"";"POINT(5.013334,52.3119818)";"POINT(52.3119818,5.013334)";5.013334;52.3119818;
27872;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0133588,52.3144347)";"POINT(52.3144347,5.0133588)";5.0133588;52.3144347;
27873;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(5.0133989,52.3140227)";"POINT(52.3140227,5.0133989)";5.0133989;52.3140227;
27874;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.013407,52.3143164)";"POINT(52.3143164,5.013407)";5.013407;52.3143164;
27875;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0134561,52.3112723)";"POINT(52.3112723,5.0134561)";5.0134561;52.3112723;
27876;"ULCARPIN";1995;"Onbekend";"9-12 m";"";"POINT(5.0134661,52.3119818)";"POINT(52.3119818,5.0134661)";5.0134661;52.3119818;
27877;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0134709,52.3149687)";"POINT(52.3149687,5.0134709)";5.0134709;52.3149687;
27878;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0135138,52.3143126)";"POINT(52.3143126,5.0135138)";5.0135138;52.3143126;
27879;"ULCARPIN";1995;"Onbekend";"9-12 m";"";"POINT(5.0135362,52.3119437)";"POINT(52.3119437,5.0135362)";5.0135362;52.3119437;
27880;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.013571,52.3111693)";"POINT(52.3111693,5.013571)";5.013571;52.3111693;
27881;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0136111,52.3149153)";"POINT(52.3149153,5.0136111)";5.0136111;52.3149153;
27882;"ULHWREDE";2008;"Onbekend";"0-6 m";"";"POINT(5.0137112,52.3116347)";"POINT(52.3116347,5.0137112)";5.0137112;52.3116347;
27883;"ULHWREDE";2008;"Onbekend";"0-6 m";"";"POINT(5.0137799,52.3112914)";"POINT(52.3112914,5.0137799)";5.0137799;52.3112914;
27884;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0137932,52.3117453)";"POINT(52.3117453,5.0137932)";5.0137932;52.3117453;
27885;"ULCARPIN";2000;"Onbekend";"6-9 m";"";"POINT(5.0137832,52.3143813)";"POINT(52.3143813,5.0137832)";5.0137832;52.3143813;
27886;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0137861,52.314736)";"POINT(52.314736,5.0137861)";5.0137861;52.314736;
27887;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0138938,52.3146521)";"POINT(52.3146521,5.0138938)";5.0138938;52.3146521;
27888;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0139081,52.3141677)";"POINT(52.3141677,5.0139081)";5.0139081;52.3141677;
27889;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(5.0139491,52.3134581)";"POINT(52.3134581,5.0139491)";5.0139491;52.3134581;
27890;"ULCARPIN";2006;"Onbekend";"0-6 m";"";"POINT(5.0139611,52.3151595)";"POINT(52.3151595,5.0139611)";5.0139611;52.3151595;
27891;"ULHWREDE";2008;"Onbekend";"0-6 m";"";"POINT(5.0141032,52.3155486)";"POINT(52.3155486,5.0141032)";5.0141032;52.3155486;
27892;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(5.0141661,52.3143088)";"POINT(52.3143088,5.0141661)";5.0141661;52.3143088;
27893;"ULHWREDE";2008;"Onbekend";"0-6 m";"";"POINT(5.0142548,52.3155676)";"POINT(52.3155676,5.0142548)";5.0142548;52.3155676;
27894;"ULCARPIN";2006;"Onbekend";"0-6 m";"";"POINT(5.0144241,52.3148734)";"POINT(52.3148734,5.0144241)";5.0144241;52.3148734;
27895;"ULHWREDE";2008;"Onbekend";"0-6 m";"";"POINT(5.0145209,52.3144919)";"POINT(52.3144919,5.0145209)";5.0145209;52.3144919;
27896;"ULHWREDE";2005;"Onbekend";"6-9 m";"";"POINT(5.014591,52.3136412)";"POINT(52.3136412,5.014591)";5.014591;52.3136412;
27897;"ULHWREDE";1995;"Onbekend";"6-9 m";"";"POINT(5.0146201,52.3137442)";"POINT(52.3137442,5.0146201)";5.0146201;52.3137442;
27898;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0146491,52.3144118)";"POINT(52.3144118,5.0146491)";5.0146491;52.3144118;
27899;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(5.0146978,52.3117034)";"POINT(52.3117034,5.0146978)";5.0146978;52.3117034;
27900;"ULHWREDE";2000;"Onbekend";"6-9 m";"";"POINT(5.0147068,52.3136107)";"POINT(52.3136107,5.0147068)";5.0147068;52.3136107;
27901;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0147302,52.3118407)";"POINT(52.3118407,5.0147302)";5.0147302;52.3118407;
27902;"ULCARPIN";2006;"Onbekend";"0-6 m";"";"POINT(5.0147302,52.3150603)";"POINT(52.3150603,5.0147302)";5.0147302;52.3150603;
27903;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(5.0151331,52.3041617)";"POINT(52.3041617,5.0151331)";5.0151331;52.3041617;
27904;"ULCARPIN";2000;"Onbekend";"6-9 m";"";"POINT(5.0152662,52.314366)";"POINT(52.314366,5.0152662)";5.0152662;52.314366;
27905;"ULCARPIN";2005;"Onbekend";"6-9 m";"";"POINT(5.0153191,52.3151862)";"POINT(52.3151862,5.0153191)";5.0153191;52.3151862;
27906;"ULHWREDE";2000;"Onbekend";"6-9 m";"";"POINT(5.0153582,52.3134657)";"POINT(52.3134657,5.0153582)";5.0153582;52.3134657;
27907;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(5.015444,52.314099)";"POINT(52.314099,5.015444)";5.015444;52.314099;
27908;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.0154469,52.3154418)";"POINT(52.3154418,5.0154469)";5.0154469;52.3154418;
27909;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.015815,52.3144118)";"POINT(52.3144118,5.015815)";5.015815;52.3144118;
27910;"ULCARPIN";1995;"Onbekend";"6-9 m";"";"POINT(5.0159981,52.3139502)";"POINT(52.3139502,5.0159981)";5.0159981;52.3139502;
27911;"ULCARPIN";2008;"Onbekend";"0-6 m";"";"POINT(5.016032,52.3141371)";"POINT(52.3141371,5.016032)";5.016032;52.3141371;
27912;"ULCARPIN";2000;"Onbekend";"6-9 m";"";"POINT(5.0171192,52.3110358)";"POINT(52.3110358,5.0171192)";5.0171192;52.3110358;
27913;"ULCARPIN";2000;"Onbekend";"6-9 m";"";"POINT(5.017873,52.3110587)";"POINT(52.3110587,5.017873)";5.017873;52.3110587;
27914;"ULHWREDE";2000;"Onbekend";"6-9 m";"";"POINT(5.0185268,52.3113753)";"POINT(52.3113753,5.0185268)";5.0185268;52.3113753;
27915;"ULCARPIN";1995;"Onbekend";"9-12 m";"";"POINT(4.7694709,52.3863188)";"POINT(52.3863188,4.7694709)";4.7694709;52.3863188;
27916;"ULHWREDE";1995;"Onbekend";"6-9 m";"";"POINT(4.7701189,52.3868987)";"POINT(52.3868987,4.7701189)";4.7701189;52.3868987;
27917;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(4.7703478,52.386357)";"POINT(52.386357,4.7703478)";4.7703478;52.386357;
27918;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(4.7704108,52.3863494)";"POINT(52.3863494,4.7704108)";4.7704108;52.3863494;
27919;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(4.7706921,52.3862425)";"POINT(52.3862425,4.7706921)";4.7706921;52.3862425;
27920;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(4.7709639,52.3871733)";"POINT(52.3871733,4.7709639)";4.7709639;52.3871733;
27921;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(4.7710769,52.3856932)";"POINT(52.3856932,4.7710769)";4.7710769;52.3856932;
27922;"ULHWREDE";2000;"Onbekend";"6-9 m";"";"POINT(4.7711632,52.3871733)";"POINT(52.3871733,4.7711632)";4.7711632;52.3871733;
27923;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(4.7714531,52.3850371)";"POINT(52.3850371,4.7714531)";4.7714531;52.3850371;
27924;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(4.7715318,52.3851744)";"POINT(52.3851744,4.7715318)";4.7715318;52.3851744;
27925;"ULHWREDE";2000;"Onbekend";"6-9 m";"";"POINT(4.7715361,52.3874556)";"POINT(52.3874556,4.7715361)";4.7715361;52.3874556;
27926;"ULHWREDE";2000;"Onbekend";"6-9 m";"";"POINT(4.7715971,52.3867156)";"POINT(52.3867156,4.7715971)";4.7715971;52.3867156;
27927;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(4.7716629,52.3861815)";"POINT(52.3861815,4.7716629)";4.7716629;52.3861815;
27928;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(4.771785,52.3858649)";"POINT(52.3858649,4.771785)";4.771785;52.3858649;
27929;"ULCARPIN";2000;"Onbekend";"6-9 m";"";"POINT(4.7718441,52.3868262)";"POINT(52.3868262,4.7718441)";4.7718441;52.3868262;
27930;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(4.7719958,52.3852774)";"POINT(52.3852774,4.7719958)";4.7719958;52.3852774;
27931;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7722681,52.3762404)";"POINT(52.3762404,4.7722681)";4.7722681;52.3762404;
27932;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7723601,52.3761679)";"POINT(52.3761679,4.7723601)";4.7723601;52.3761679;
27933;"ULHWREDE";2000;"Onbekend";"6-9 m";"";"POINT(4.7723062,52.3880431)";"POINT(52.3880431,4.7723062)";4.7723062;52.3880431;
27934;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.772589,52.3760993)";"POINT(52.3760993,4.772589)";4.772589;52.3760993;
27935;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7726762,52.3760687)";"POINT(52.3760687,4.7726762)";4.7726762;52.3760687;
27936;"ULHWREDE";1990;"Onbekend";"6-9 m";"";"POINT(4.7729399,52.3769576)";"POINT(52.3769576,4.7729399)";4.7729399;52.3769576;
27937;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7729642,52.3764502)";"POINT(52.3764502,4.7729642)";4.7729642;52.3764502;
27938;"ULHWREDE";1990;"Onbekend";"6-9 m";"";"POINT(4.7729762,52.3768584)";"POINT(52.3768584,4.7729762)";4.7729762;52.3768584;
27939;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7731569,52.3764502)";"POINT(52.3764502,4.7731569)";4.7731569;52.3764502;
27940;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7732832,52.3764426)";"POINT(52.3764426,4.7732832)";4.7732832;52.3764426;
27941;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7733352,52.3763243)";"POINT(52.3763243,4.7733352)";4.7733352;52.3763243;
27942;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.773339,52.3763663)";"POINT(52.3763663,4.773339)";4.773339;52.3763663;
27943;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7733672,52.376248)";"POINT(52.376248,4.7733672)";4.7733672;52.376248;
27944;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(4.7732661,52.3849341)";"POINT(52.3849341,4.7732661)";4.7732661;52.3849341;
27945;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7734001,52.3761832)";"POINT(52.3761832,4.7734001)";4.7734001;52.3761832;
27946;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7734692,52.3764578)";"POINT(52.3764578,4.7734692)";4.7734692;52.3764578;
27947;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.773495,52.3761222)";"POINT(52.3761222,4.773495)";4.773495;52.3761222;
27948;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(4.7734559,52.3850981)";"POINT(52.3850981,4.7734559)";4.7734559;52.3850981;
27949;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7736151,52.3760535)";"POINT(52.3760535,4.7736151)";4.7736151;52.3760535;
27950;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7736428,52.3764502)";"POINT(52.3764502,4.7736428)";4.7736428;52.3764502;
27951;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7737362,52.3760039)";"POINT(52.3760039,4.7737362)";4.7737362;52.3760039;
27952;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7738249,52.3764655)";"POINT(52.3764655,4.7738249)";4.7738249;52.3764655;
27953;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7738531,52.3759352)";"POINT(52.3759352,4.7738531)";4.7738531;52.3759352;
27954;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7739618,52.3758704)";"POINT(52.3758704,4.7739618)";4.7739618;52.3758704;
27955;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7740228,52.376454)";"POINT(52.376454,4.7740228)";4.7740228;52.376454;
27956;"ULHWREDE";2000;"Onbekend";"6-9 m";"";"POINT(4.7738759,52.3871085)";"POINT(52.3871085,4.7738759)";4.7738759;52.3871085;
27957;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.774101,52.3757903)";"POINT(52.3757903,4.774101)";4.774101;52.3757903;
27958;"ULHWREDE";1990;"Onbekend";"6-9 m";"";"POINT(4.774112,52.3772208)";"POINT(52.3772208,4.774112)";4.774112;52.3772208;
27959;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7742159,52.3757445)";"POINT(52.3757445,4.7742159)";4.7742159;52.3757445;
27960;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.774255,52.3764617)";"POINT(52.3764617,4.774255)";4.774255;52.3764617;
27961;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7743032,52.3761565)";"POINT(52.3761565,4.7743032)";4.7743032;52.3761565;
27962;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.774317,52.375817)";"POINT(52.375817,4.774317)";4.774317;52.375817;
27963;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7743189,52.3759009)";"POINT(52.3759009,4.7743189)";4.7743189;52.3759009;
27964;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7743189,52.3759886)";"POINT(52.3759886,4.7743189)";4.7743189;52.3759886;
27965;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7743251,52.3760726)";"POINT(52.3760726,4.7743251)";4.7743251;52.3760726;
27966;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.7743218,52.3763205)";"POINT(52.3763205,4.7743218)";4.7743218;52.3763205;
27967;"ULHWREDE";1990;"Onbekend";"6-9 m";"";"POINT(4.7743471,52.3752448)";"POINT(52.3752448,4.7743471)";4.7743471;52.3752448;
27968;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(4.7743022,52.3851821)";"POINT(52.3851821,4.7743022)";4.7743022;52.3851821;
27969;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7744458,52.3764731)";"POINT(52.3764731,4.7744458)";4.7744458;52.3764731;
27970;"ULHWREDE";1990;"Onbekend";"6-9 m";"";"POINT(4.7745402,52.3776137)";"POINT(52.3776137,4.7745402)";4.7745402;52.3776137;
27971;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7746322,52.3764731)";"POINT(52.3764731,4.7746322)";4.7746322;52.3764731;
27972;"ULHWREDE";1990;"Onbekend";"9-12 m";"";"POINT(4.7747881,52.3757254)";"POINT(52.3757254,4.7747881)";4.7747881;52.3757254;
27973;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7748568,52.3764731)";"POINT(52.3764731,4.7748568)";4.7748568;52.3764731;
27974;"ULHWREDE";2000;"Onbekend";"6-9 m";"";"POINT(4.7749288,52.3777205)";"POINT(52.3777205,4.7749288)";4.7749288;52.3777205;
27975;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7750051,52.3764693)";"POINT(52.3764693,4.7750051)";4.7750051;52.3764693;
27976;"ULCARPIN";2005;"Onbekend";"6-9 m";"";"POINT(4.7748992,52.3850218)";"POINT(52.3850218,4.7748992)";4.7748992;52.3850218;
27977;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(4.774955,52.385472)";"POINT(52.385472,4.774955)";4.774955;52.385472;
27978;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7751729,52.3764693)";"POINT(52.3764693,4.7751729)";4.7751729;52.3764693;
27979;"ULHWREDE";2000;"Onbekend";"0-6 m";"";"POINT(4.7751911,52.3757102)";"POINT(52.3757102,4.7751911)";4.7751911;52.3757102;
27980;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(4.7751772,52.3770453)";"POINT(52.3770453,4.7751772)";4.7751772;52.3770453;
27981;"ULHWREDE";2000;"Onbekend";"6-9 m";"";"POINT(4.7750761,52.3875586)";"POINT(52.3875586,4.7750761)";4.7750761;52.3875586;
27982;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7753179,52.3764731)";"POINT(52.3764731,4.7753179)";4.7753179;52.3764731;
27983;"ULHWREDE";1995;"Onbekend";"6-9 m";"";"POINT(4.7753861,52.3776213)";"POINT(52.3776213,4.7753861)";4.7753861;52.3776213;
27984;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(4.7754052,52.3773047)";"POINT(52.3773047,4.7754052)";4.7754052;52.3773047;
27985;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7754471,52.3764731)";"POINT(52.3764731,4.7754471)";4.7754471;52.3764731;
27986;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(4.7753732,52.3859297)";"POINT(52.3859297,4.7753732)";4.7753732;52.3859297;
27987;"ULCARPIN";2005;"Onbekend";"0-6 m";"";"POINT(4.775553,52.3769156)";"POINT(52.3769156,4.775553)";4.775553;52.3769156;
27988;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7756121,52.3764731)";"POINT(52.3764731,4.7756121)";4.7756121;52.3764731;
27989;"ULHWREDE";2005;"Onbekend";"0-6 m";"";"POINT(4.7756302,52.3771788)";"POINT(52.3771788,4.7756302)";4.7756302;52.3771788;
27990;"ULHWREDE";2000;"Onbekend";"0-6 m";"";"POINT(4.7756622,52.3754851)";"POINT(52.3754851,4.7756622)";4.7756622;52.3754851;
27991;"ULCARPIN";1990;"Onbekend";"9-12 m";"";"POINT(4.7757099,52.3764693)";"POINT(52.3764693,4.7757099)";4.7757099;52.3764693;
27992;"ULHWREDE";2005;"Onbekend";"6-9 m";"";"POINT(4.775984,52.3856093)";"POINT(52.3856093,4.775984)";4.775984;52.3856093;
27993;"ULCARPIN";2005;"Onbekend";"6-9 m";"";"POINT(4.7761261,52.3856207)";"POINT(52.3856207,4.7761261)";4.7761261;52.3856207;
27994;"ULCARPIN";2005;"Onbekend";"6-9 m";"";"POINT(4.77613,52.3856703)";"POINT(52.3856703,4.77613)";4.77613;52.3856703;
27995;"ULCARPIN";2005;"Onbekend";"6-9 m";"";"POINT(4.7761762,52.3856055)";"POINT(52.3856055,4.7761762)";4.7761762;52.3856055;
27996;"ULCARPIN";2005;"Onbekend";"6-9 m";"";"POINT(4.7761891,52.3856742)";"POINT(52.3856742,4.7761891)";4.7761891;52.3856742;
27997;"ULCARPIN";2005;"Onbekend";"6-9 m";"";"POINT(4.7762139,52.3856665)";"POINT(52.3856665,4.7762139)";4.7762139;52.3856665;
27998;"ULHWREDE";1990;"Onbekend";"9-12 m";"";"POINT(4.7763889,52.374005)";"POINT(52.374005,4.7763889)";4.7763889;52.374005;
27999;"ULCARPIN";2005;"Onbekend";"6-9 m";"";"POINT(4.7762892,52.3856398)";"POINT(52.3856398,4.7762892)";4.7762892;52.3856398;
28000;"ULCARPIN";2005;"Onbekend";"6-9 m";"";"POINT(4.7762878,52.3856818)";"POINT(52.3856818,4.7762878)";4.7762878;52.3856818;
28001;"ULHWREDE";1990;"Onbekend";"9-12 m";"";"POINT(4.7765758,52.37452)";"POINT(52.37452,4.7765758)";4.7765758;52.37452;
28002;"ULHWREDE";1990;"Onbekend";"9-12 m";"";"POINT(4.7766392,52.3740965)";"POINT(52.3740965,4.7766392)";4.7766392;52.3740965;
28003;"ULHWREDE";1990;"Onbekend";"9-12 m";"";"POINT(4.7772071,52.375096)";"POINT(52.375096,4.7772071)";4.7772071;52.375096;
28004;"ULHWREDE";1990;"Onbekend";"9-12 m";"";"POINT(4.7772639,52.3742148)";"POINT(52.3742148,4.7772639)";4.7772639;52.3742148;
28005;"WW";1990;"Onbekend";"6-9 m";"";"POINT(4.7775338,52.3755194)";"POINT(52.3755194,4.7775338)";4.7775338;52.3755194;
28006;"ULHWREDE";1990;"Onbekend";"9-12 m";"";"POINT(4.777776,52.3757598)";"POINT(52.3757598,4.777776)";4.777776;52.3757598;
28007;"ULHWREDE";1990;"Onbekend";"9-12 m";"";"POINT(4.777859,52.3751532)";"POINT(52.3751532,4.777859)";4.777859;52.3751532;
28008;"ULHWREDE";1990;"Onbekend";"9-12 m";"";"POINT(4.7780068,52.3746497)";"POINT(52.3746497,4.7780068)";4.7780068;52.3746497;
28009;"ULHWREDE";1990;"Onbekend";"6-9 m";"";"POINT(4.7781098,52.3756339)";"POINT(52.3756339,4.7781098)";4.7781098;52.3756339;
28010;"WW";2000;"Onbekend";"6-9 m";"";"POINT(4.7783139,52.3751952)";"POINT(52.3751952,4.7783139)";4.7783139;52.3751952;
28011;"WW";2000;"Onbekend";"6-9 m";"";"POINT(4.7783959,52.3752181)";"POINT(52.3752181,4.7783959)";4.7783959;52.3752181;
28012;"ULHWREDE";1990;"Onbekend";"6-9 m";"";"POINT(4.7784069,52.3755728)";"POINT(52.3755728,4.7784069)";4.7784069;52.3755728;
28013;"ULGLABRA";2000;"Onbekend";"6-9 m";"";"POINT(4.7784421,52.3752638)";"POINT(52.3752638,4.7784421)";4.7784421;52.3752638;
28014;"ULHWREDE";1990;"Onbekend";"9-12 m";"";"POINT(4.7784469,52.3751074)";"POINT(52.3751074,4.7784469)";4.7784469;52.3751074;
28015;"ULHWREDE";1990;"Onbekend";"6-9 m";"";"POINT(4.7784641,52.3755766)";"POINT(52.3755766,4.7784641)";4.7784641;52.3755766;
28016;"ULCARPIN";1990;"Onbekend";"6-9 m";"";"POINT(4.7785289,52.3754889)";"POINT(52.3754889,4.7785289)";4.7785289;52.3754889;
28017;"ULHWREDE";1990;"Onbekend";"9-12 m";"";"POINT(4.7788818,52.3748786)";"POINT(52.3748786,4.7788818)";4.7788818;52.3748786;
