OBJECTNUMMER;Objectnummer;Soort;Voeding;Rotatie;Actief;Privacyverklaring;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
69;"GAWW-12";"Telcamera";"Vaste spanning";115;"Ja";"";"POINT(4.8986918,52.3738407)";"POINT(52.3738407,4.8986918)";4.8986918;52.3738407;
70;"GAWW-13";"Telcamera";"Vaste spanning";280;"Nee";"";"POINT(4.8977055,52.3724184)";"POINT(52.3724184,4.8977055)";4.8977055;52.3724184;
71;"GAWW-14";"Telcamera";"Vaste spanning";50;"Ja";"";"POINT(4.8982734,52.3736042)";"POINT(52.3736042,4.8982734)";4.8982734;52.3736042;
72;"GAWW-15";"Telcamera";"Vaste spanning";60;"Ja";"";"POINT(4.8982206,52.3729049)";"POINT(52.3729049,4.8982206)";4.8982206;52.3729049;
73;"GAWW-16";"Telcamera";"Vaste spanning";10;"Ja";"";"POINT(4.8982504,52.3725894)";"POINT(52.3725894,4.8982504)";4.8982504;52.3725894;
74;"GAWW-17";"Telcamera";"Vaste spanning";50;"Ja";"";"POINT(4.8966457,52.3727744)";"POINT(52.3727744,4.8966457)";4.8966457;52.3727744;
75;"GAWW-18";"Telcamera";"Vaste spanning";200;"Nee";"";"POINT(4.8920875,52.3725491)";"POINT(52.3725491,4.8920875)";4.8920875;52.3725491;
76;"GAWW-19";"Telcamera";"Vaste spanning";140;"Ja";"";"POINT(4.8998148,52.3735714)";"POINT(52.3735714,4.8998148)";4.8998148;52.3735714;
77;"GAWW-11";"Telcamera";"Vaste spanning";115;"Nee";"";"POINT(4.8998397,52.3745916)";"POINT(52.3745916,4.8998397)";4.8998397;52.3745916;
82;"CMSA-GAVM-01-1";"Corona CMSA";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8739808,52.361041)";"POINT(52.361041,4.8739808)";4.8739808;52.361041;
83;"CMSA-GAVM-01-2";"Corona CMSA";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8739057,52.3610229)";"POINT(52.3610229,4.8739057)";4.8739057;52.3610229;
