OBJECTNUMMER;SELECTIE;Systeemnaam;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"01";"Binnenstad";"POLYGON((4.87538 52.373407,4.875785 52.374816,4.876262 52.375563,4.878126 52.378516,4.879876 52.381319,4.879634 52.381913,4.880552 52.382404,4.881925 52.384223,4.882713 52.385352,4.882994 52.385822,4.88322 52.38621,4.884264 52.387768,4.884651 52.388346,4.885765 52.388162,4.891054 52.388442,4.890675 52.38316,4.890796 52.382707,4.891259 52.382599,4.892241 52.382711,4.89374 52.382739,4.894064 52.382277,4.894457 52.381881,4.895121 52.381377,4.895534 52.381123,4.896214 52.380827,4.895606 52.380207,4.895239 52.379907,4.897789 52.378584,4.898616 52.378007,4.899672 52.37719,4.901913 52.377249,4.902859 52.376854,4.905332 52.375821,4.909503 52.373645,4.912256 52.372161,4.912911 52.372093,4.913852 52.372126,4.9143 52.372269,4.914853 52.372581,4.915978 52.371424,4.917477 52.372051,4.9205 52.373936,4.921248 52.374409,4.92144 52.37481,4.921778 52.375587,4.923588 52.375292,4.925108 52.374912,4.928366 52.373887,4.930471 52.373219,4.932104 52.372233,4.932481 52.371757,4.932697 52.371052,4.932885 52.370448,4.932534 52.370227,4.93132 52.369876,4.92906 52.368552,4.929063 52.368156,4.927858 52.367254,4.932209 52.367277,4.932189 52.367236,4.93182 52.366566,4.927575 52.3665,4.927149 52.36645,4.926623 52.366271,4.924774 52.365246,4.922289 52.36373,4.922179 52.363656,4.921709 52.36351,4.920344 52.363346,4.919979 52.363246,4.919977 52.363248,4.919967 52.363243,4.919694 52.363106,4.91898 52.362503,4.918357 52.362234,4.917517 52.362101,4.916336 52.36206,4.91556 52.361913,4.915041 52.36177,4.914011 52.361475,4.913375 52.361364,4.911693 52.361232,4.911381 52.361115,4.910779 52.360738,4.910315 52.360598,4.909896 52.360561,4.909372 52.36059,4.908719 52.360627,4.908295 52.360577,4.907708 52.360396,4.907118 52.360006,4.906885 52.359853,4.906319 52.359584,4.905682 52.359404,4.904656 52.359201,4.903921 52.359029,4.899158 52.358053,4.898744 52.357974,4.898215 52.35796,4.89615 52.358069,4.890871 52.35832,4.889327 52.358766,4.887365 52.360223,4.886177 52.360865,4.885502 52.361205,4.885394 52.361253,4.884041 52.361855,4.882817 52.361924,4.882428 52.361945,4.882062 52.36205,4.88179 52.362204,4.881269 52.363275,4.879701 52.363974,4.879458 52.364146,4.879416 52.364232,4.879371 52.364326,4.879269 52.364958,4.878881 52.365703,4.87754 52.366782,4.877273 52.367694,4.87671 52.368481,4.875709 52.369431,4.874507 52.371877,4.874452 52.372185,4.874596 52.37246,4.875173 52.372979,4.87538 52.373407))";"POLYGON((52.373407 4.87538,52.374816 4.875785,52.375563 4.876262,52.378516 4.878126,52.381319 4.879876,52.381913 4.879634,52.382404 4.880552,52.384223 4.881925,52.385352 4.882713,52.385822 4.882994,52.38621 4.88322,52.387768 4.884264,52.388346 4.884651,52.388162 4.885765,52.388442 4.891054,52.38316 4.890675,52.382707 4.890796,52.382599 4.891259,52.382711 4.892241,52.382739 4.89374,52.382277 4.894064,52.381881 4.894457,52.381377 4.895121,52.381123 4.895534,52.380827 4.896214,52.380207 4.895606,52.379907 4.895239,52.378584 4.897789,52.378007 4.898616,52.37719 4.899672,52.377249 4.901913,52.376854 4.902859,52.375821 4.905332,52.373645 4.909503,52.372161 4.912256,52.372093 4.912911,52.372126 4.913852,52.372269 4.9143,52.372581 4.914853,52.371424 4.915978,52.372051 4.917477,52.373936 4.9205,52.374409 4.921248,52.37481 4.92144,52.375587 4.921778,52.375292 4.923588,52.374912 4.925108,52.373887 4.928366,52.373219 4.930471,52.372233 4.932104,52.371757 4.932481,52.371052 4.932697,52.370448 4.932885,52.370227 4.932534,52.369876 4.93132,52.368552 4.92906,52.368156 4.929063,52.367254 4.927858,52.367277 4.932209,52.367236 4.932189,52.366566 4.93182,52.3665 4.927575,52.36645 4.927149,52.366271 4.926623,52.365246 4.924774,52.36373 4.922289,52.363656 4.922179,52.36351 4.921709,52.363346 4.920344,52.363246 4.919979,52.363248 4.919977,52.363243 4.919967,52.363106 4.919694,52.362503 4.91898,52.362234 4.918357,52.362101 4.917517,52.36206 4.916336,52.361913 4.91556,52.36177 4.915041,52.361475 4.914011,52.361364 4.913375,52.361232 4.911693,52.361115 4.911381,52.360738 4.910779,52.360598 4.910315,52.360561 4.909896,52.36059 4.909372,52.360627 4.908719,52.360577 4.908295,52.360396 4.907708,52.360006 4.907118,52.359853 4.906885,52.359584 4.906319,52.359404 4.905682,52.359201 4.904656,52.359029 4.903921,52.358053 4.899158,52.357974 4.898744,52.35796 4.898215,52.358069 4.89615,52.35832 4.890871,52.358766 4.889327,52.360223 4.887365,52.360865 4.886177,52.361205 4.885502,52.361253 4.885394,52.361855 4.884041,52.361924 4.882817,52.361945 4.882428,52.36205 4.882062,52.362204 4.88179,52.363275 4.881269,52.363974 4.879701,52.364146 4.879458,52.364232 4.879416,52.364326 4.879371,52.364958 4.879269,52.365703 4.878881,52.366782 4.87754,52.367694 4.877273,52.368481 4.87671,52.369431 4.875709,52.371877 4.874507,52.372185 4.874452,52.37246 4.874596,52.372979 4.875173,52.373407 4.87538))";4.9036735;52.373194;
2;"02";"Historische kernen, linten en fragmenten";"POLYGON((4.758894 52.382062,4.75945 52.382419,4.761814 52.381125,4.761785 52.38099,4.762505 52.38055,4.764812 52.379582,4.767758 52.377787,4.767816 52.377359,4.768845 52.376889,4.770065 52.376068,4.780803 52.369839,4.78901 52.376039,4.7914 52.374768,4.792169 52.374091,4.792748 52.373031,4.792985 52.371452,4.793177 52.367357,4.793211 52.364036,4.787614 52.362896,4.78541 52.362459,4.784229 52.362052,4.783313 52.361646,4.78238 52.361053,4.781429 52.360322,4.77997 52.360963,4.77987 52.361985,4.780195 52.362898,4.780158 52.363667,4.779587 52.364393,4.778509 52.365377,4.776085 52.365606,4.775805 52.365686,4.775336 52.365952,4.774595 52.366128,4.773729 52.366173,4.772445 52.366235,4.771684 52.366153,4.770861 52.366222,4.769573 52.366146,4.768538 52.366323,4.767874 52.366347,4.763354 52.36844,4.761944 52.369117,4.761889 52.369426,4.761016 52.37,4.759653 52.370834,4.759504 52.370693,4.758647 52.371024,4.75876 52.37145,4.758774 52.373566,4.75811 52.376165,4.756597 52.378092,4.757329 52.378114,4.759134 52.379552,4.758996 52.380657,4.758894 52.382062))";"POLYGON((52.382062 4.758894,52.382419 4.75945,52.381125 4.761814,52.38099 4.761785,52.38055 4.762505,52.379582 4.764812,52.377787 4.767758,52.377359 4.767816,52.376889 4.768845,52.376068 4.770065,52.369839 4.780803,52.376039 4.78901,52.374768 4.7914,52.374091 4.792169,52.373031 4.792748,52.371452 4.792985,52.367357 4.793177,52.364036 4.793211,52.362896 4.787614,52.362459 4.78541,52.362052 4.784229,52.361646 4.783313,52.361053 4.78238,52.360322 4.781429,52.360963 4.77997,52.361985 4.77987,52.362898 4.780195,52.363667 4.780158,52.364393 4.779587,52.365377 4.778509,52.365606 4.776085,52.365686 4.775805,52.365952 4.775336,52.366128 4.774595,52.366173 4.773729,52.366235 4.772445,52.366153 4.771684,52.366222 4.770861,52.366146 4.769573,52.366323 4.768538,52.366347 4.767874,52.36844 4.763354,52.369117 4.761944,52.369426 4.761889,52.37 4.761016,52.370834 4.759653,52.370693 4.759504,52.371024 4.758647,52.37145 4.75876,52.373566 4.758774,52.376165 4.75811,52.378092 4.756597,52.378114 4.757329,52.379552 4.759134,52.380657 4.758996,52.382062 4.758894))";4.774909;52.3713635;
