OBJECTNUMMER;Soortnaam_NL;Boomnummer;Soortnaam_WTS;Boomtype;Boomhoogte;Plantjaar;Eigenaar;Beheerder;Categorie;SOORT_KORT;SDVIEW;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
70001;"Gewone esdoorn";529478;"Acer pseudoplatanus";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1950;"Gemeente Amsterdam";"Stadsdeel Zuid";"Acer";"Acer";"K";5;"POINT(4.879856,52.360842)";"POINT(52.360842,4.879856)";4.879856;52.360842;
70002;"Gewone es";529236;"Fraxinus excelsior";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1965;"Gemeente Amsterdam";"Stadsdeel Zuid";"Fraxinus";"Fraxinus";"K";4;"POINT(4.890559,52.349612)";"POINT(52.349612,4.890559)";4.890559;52.349612;
70003;"Italiaanse populier";529235;"Populus nigra `Italica`";"Boom niet vrij uitgroeiend";"Onbekend";1985;"Gemeente Amsterdam";"Stadsdeel Zuid";"Populus";"Populus";"K";1;"POINT(4.88918,52.34847)";"POINT(52.34847,4.88918)";4.88918;52.34847;
70004;"Gewone haagbeuk (cultuurvariëteit)";529234;"Carpinus betulus `Frans Fontaine`";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1995;"Gemeente Amsterdam";"Stadsdeel Zuid";"Carpinus";"Carpinus";"K";4;"POINT(4.904852,52.349868)";"POINT(52.349868,4.904852)";4.904852;52.349868;
70005;"Monumentaaliep";529233;"Ulmus minor `Sarniensis`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1970;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";5;"POINT(4.870861,52.356916)";"POINT(52.356916,4.870861)";4.870861;52.356916;
70006;"Gewone plataan";529232;"Platanus hispanica";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Platanus";"Platanus";"K";5;"POINT(4.877928,52.354972)";"POINT(52.354972,4.877928)";4.877928;52.354972;
70007;"Amerikaanse linde";529231;"Tilia americana";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1946;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";3;"POINT(4.882115,52.358386)";"POINT(52.358386,4.882115)";4.882115;52.358386;
70008;"Winterlinde";529230;"Tilia cordata";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1985;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";4;"POINT(4.89729,52.35088)";"POINT(52.35088,4.89729)";4.89729;52.35088;
70009;"Winterlinde (cultuurvariëteit)";529229;"Tilia cordata `Böhlje`";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1985;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";4;"POINT(4.895921,52.35069)";"POINT(52.35069,4.895921)";4.895921;52.35069;
70010;"Meelbes";529228;"Sorbus aria";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1985;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Sorbus";"K";3;"POINT(4.893003,52.352283)";"POINT(52.352283,4.893003)";4.893003;52.352283;
70011;"Gewone haagbeuk (cultuurvariëteit)";529227;"Carpinus betulus `Frans Fontaine`";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Carpinus";"Carpinus";"K";4;"POINT(4.883322,52.353364)";"POINT(52.353364,4.883322)";4.883322;52.353364;
70012;"Amerikaanse linde";529226;"Tilia americana";"Boom niet vrij uitgroeiend";"Onbekend";1946;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";1;"POINT(4.882511,52.357012)";"POINT(52.357012,4.882511)";4.882511;52.357012;
