OBJECTNUMMER;ABSREL;Stemdistrict;Stemlocatie;Opgeroepenen;Geldig;Blanco;Ongeldig;Opkomstpercentage;Grootste_partij;Grootste_aantal;Grootste_percentage;Tweede_partij;Tweede_aantal;Tweede_percentage;Verschil_aantal;Verschil_percentage;GROENLINKS;PvdA;D66;VVD;Partij_voor_de_Dieren;Forum_voor_Democratie;VOLT;DENK;SP;CDA;PVV;ChristenUnie_SGP;50PLUS;JEZUS_LEEFT;De_Groenen;vandeRegio_Piratenpartij;_GROENLINKS;_PvdA;_D66;_VVD;_Partij_voor_de_Dieren;_Forum_voor_Democratie;_VOLT;_DENK;_SP;_CDA;_PVV;_ChristenUnie_SGP;_50PLUS;_JEZUS_LEEFT;_De_Groenen;_vandeRegio_Piratenpartij;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
176;"ABS";"166";"Muiderkerk";1016;877;3;1;86.7;"GROENLINKS";308;0;"PvdA";164;0;144;0;308;164;115;80;69;30;51;20;15;10;3;2;3;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9244158,52.3616912)";"POINT(52.3616912,4.9244158)";4.9244158;52.3616912;
177;"REL";"166";"Muiderkerk";1016;877;3;1;86.7;"GROENLINKS";0;35.1;"PvdA";0;18.7;0;16.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.1;18.7;13.1;9.1;7.9;3.4;5.8;2.3;1.7;1.1;0.3;0.2;0.3;0;0.6;0.2;"POINT(4.9244158,52.3616912)";"POINT(52.3616912,4.9244158)";4.9244158;52.3616912;
178;"ABS";"167";"BOOST Transvaal ";743;410;0;0;55.2;"GROENLINKS";144;0;"PvdA";87;0;57;0;144;87;44;32;24;9;18;21;10;6;5;4;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9157331,52.3526503)";"POINT(52.3526503,4.9157331)";4.9157331;52.3526503;
179;"REL";"167";"BOOST Transvaal ";743;410;0;0;55.2;"GROENLINKS";0;35.1;"PvdA";0;21.2;0;13.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.1;21.2;10.7;7.8;5.9;2.2;4.4;5.1;2.4;1.5;1.2;1.0;1.0;0.2;0.2;0;"POINT(4.9157331,52.3526503)";"POINT(52.3526503,4.9157331)";4.9157331;52.3526503;
180;"ABS";"168";"QO Amsterdam";2264;588;1;1;26.1;"GROENLINKS";181;0;"D66";100;0;81;0;181;84;100;69;39;26;28;6;8;29;4;3;6;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9209478,52.3382651)";"POINT(52.3382651,4.9209478)";4.9209478;52.3382651;
181;"REL";"168";"QO Amsterdam";2264;588;1;1;26.1;"GROENLINKS";0;30.8;"D66";0;17.0;0;13.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.8;14.3;17.0;11.7;6.6;4.4;4.8;1.0;1.4;4.9;0.7;0.5;1.0;0;0.7;0.2;"POINT(4.9209478,52.3382651)";"POINT(52.3382651,4.9209478)";4.9209478;52.3382651;
182;"ABS";"169";"Het Parkhuis";1236;777;1;3;63.2;"PvdA";239;0;"GROENLINKS";186;0;53;0;186;239;84;77;32;40;28;15;18;23;15;5;11;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9479239,52.3435065)";"POINT(52.3435065,4.9479239)";4.9479239;52.3435065;
183;"REL";"169";"Het Parkhuis";1236;777;1;3;63.2;"PvdA";0;30.8;"GROENLINKS";0;23.9;0;6.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.9;30.8;10.8;9.9;4.1;5.1;3.6;1.9;2.3;3.0;1.9;0.6;1.4;0;0.1;0.4;"POINT(4.9479239,52.3435065)";"POINT(52.3435065,4.9479239)";4.9479239;52.3435065;
184;"ABS";"171";"Gymzaal Laterna Magica";2137;959;3;1;45.1;"PvdA";217;0;"GROENLINKS";175;0;42;0;175;217;154;167;62;48;42;19;22;22;7;10;9;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(5.0079601,52.3500792)";"POINT(52.3500792,5.0079601)";5.0079601;52.3500792;
185;"REL";"171";"Gymzaal Laterna Magica";2137;959;3;1;45.1;"PvdA";0;22.6;"GROENLINKS";0;18.2;0;4.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.2;22.6;16.1;17.4;6.5;5.0;4.4;2.0;2.3;2.3;0.7;1.0;0.9;0.2;0.2;0.1;"POINT(5.0079601,52.3500792)";"POINT(52.3500792,5.0079601)";5.0079601;52.3500792;
186;"ABS";"175";"Panama Amsterdam";1660;776;0;1;46.8;"GROENLINKS";194;0;"PvdA";168;0;26;0;194;168;115;110;58;37;25;7;14;16;10;10;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9304311,52.3749968)";"POINT(52.3749968,4.9304311)";4.9304311;52.3749968;
187;"REL";"175";"Panama Amsterdam";1660;776;0;1;46.8;"GROENLINKS";0;25.0;"PvdA";0;21.6;0;3.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.0;21.6;14.8;14.2;7.5;4.8;3.2;0.9;1.8;2.1;1.3;1.3;1.3;0;0;0.3;"POINT(4.9304311,52.3749968)";"POINT(52.3749968,4.9304311)";4.9304311;52.3749968;
188;"ABS";"201";"Doven Ontmoetings Centrum";1996;687;1;0;34.5;"GROENLINKS";182;0;"PvdA";130;0;52;0;182;130;85;81;61;35;52;7;23;6;8;3;12;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8953211,52.3576209)";"POINT(52.3576209,4.8953211)";4.8953211;52.3576209;
189;"REL";"201";"Doven Ontmoetings Centrum";1996;687;1;0;34.5;"GROENLINKS";0;26.5;"PvdA";0;18.9;0;7.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.5;18.9;12.4;11.8;8.9;5.1;7.6;1.0;3.3;0.9;1.2;0.4;1.7;0;0.3;0;"POINT(4.8953211,52.3576209)";"POINT(52.3576209,4.8953211)";4.8953211;52.3576209;
190;"ABS";"203";"V.B.S.K.  Albert Cuyp";1173;773;2;1;66.2;"GROENLINKS";204;0;"PvdA";157;0;47;0;204;157;104;110;64;25;42;5;12;24;7;2;9;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8976061,52.3567206)";"POINT(52.3567206,4.8976061)";4.8976061;52.3567206;
191;"REL";"203";"V.B.S.K.  Albert Cuyp";1173;773;2;1;66.2;"GROENLINKS";0;26.4;"PvdA";0;20.3;0;6.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.4;20.3;13.5;14.2;8.3;3.2;5.4;0.6;1.6;3.1;0.9;0.3;1.2;0;0.9;0.1;"POINT(4.8976061,52.3567206)";"POINT(52.3567206,4.8976061)";4.8976061;52.3567206;
192;"ABS";"204";"Studio Automat Amsterdam";2227;913;0;3;41.1;"GROENLINKS";216;0;"VVD";153;0;63;0;216;147;139;153;77;38;65;5;18;17;8;9;11;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9021289,52.3565222)";"POINT(52.3565222,4.9021289)";4.9021289;52.3565222;
193;"REL";"204";"Studio Automat Amsterdam";2227;913;0;3;41.1;"GROENLINKS";0;23.7;"VVD";0;16.8;0;6.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.7;16.1;15.2;16.8;8.4;4.2;7.1;0.5;2.0;1.9;0.9;1.0;1.2;0.1;0.9;0.1;"POINT(4.9021289,52.3565222)";"POINT(52.3565222,4.9021289)";4.9021289;52.3565222;
194;"ABS";"210";"NH Museum Quarter";654;540;0;1;82.7;"VVD";133;0;"PvdA";130;0;3;0;79;130;65;133;28;17;34;0;6;32;6;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.886122,52.3558203)";"POINT(52.3558203,4.886122)";4.886122;52.3558203;
195;"REL";"210";"NH Museum Quarter";654;540;0;1;82.7;"VVD";0;24.6;"PvdA";0;24.1;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.6;24.1;12.0;24.6;5.2;3.1;6.3;0;1.1;5.9;1.1;1.5;0.2;0.2;0;0;"POINT(4.886122,52.3558203)";"POINT(52.3558203,4.886122)";4.886122;52.3558203;
196;"ABS";"211";"Amsterdam UMC. locatie VUmc";0;704;1;0;0;"GROENLINKS";183;0;"PvdA";135;0;48;0;183;135;132;93;36;22;24;4;13;31;8;10;10;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8598349,52.3346449)";"POINT(52.3346449,4.8598349)";4.8598349;52.3346449;
197;"REL";"211";"Amsterdam UMC. locatie VUmc";0;704;1;0;0;"GROENLINKS";0;26.0;"PvdA";0;19.2;0;6.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.0;19.2;18.8;13.2;5.1;3.1;3.4;0.6;1.8;4.4;1.1;1.4;1.4;0;0.3;0.1;"POINT(4.8598349,52.3346449)";"POINT(52.3346449,4.8598349)";4.8598349;52.3346449;
198;"ABS";"212";"De Kleine Valk";1258;966;2;1;77.0;"GROENLINKS";219;0;"PvdA";201;0;18;0;219;201;156;129;74;55;57;4;18;15;9;5;12;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.891463,52.3573348)";"POINT(52.3573348,4.891463)";4.891463;52.3573348;
199;"REL";"212";"De Kleine Valk";1258;966;2;1;77.0;"GROENLINKS";0;22.7;"PvdA";0;20.8;0;1.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22.7;20.8;16.1;13.4;7.7;5.7;5.9;0.4;1.9;1.6;0.9;0.5;1.2;0;0.7;0.5;"POINT(4.891463,52.3573348)";"POINT(52.3573348,4.891463)";4.891463;52.3573348;
200;"ABS";"215";"Senioren bewonersruimte";1109;593;1;4;53.9;"GROENLINKS";157;0;"PvdA";125;0;32;0;157;125;78;73;52;19;29;10;9;14;7;2;16;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9043581,52.3554083)";"POINT(52.3554083,4.9043581)";4.9043581;52.3554083;
201;"REL";"215";"Senioren bewonersruimte";1109;593;1;4;53.9;"GROENLINKS";0;26.5;"PvdA";0;21.1;0;5.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.5;21.1;13.2;12.3;8.8;3.2;4.9;1.7;1.5;2.4;1.2;0.3;2.7;0;0.2;0.2;"POINT(4.9043581,52.3554083)";"POINT(52.3554083,4.9043581)";4.9043581;52.3554083;
202;"ABS";"221";"Sportcentrum De Pijp";1680;837;0;5;50.1;"GROENLINKS";192;0;"PvdA";164;0;28;0;192;164;91;92;67;46;37;41;30;24;18;11;17;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8937199,52.3497473)";"POINT(52.3497473,4.8937199)";4.8937199;52.3497473;
203;"REL";"221";"Sportcentrum De Pijp";1680;837;0;5;50.1;"GROENLINKS";0;22.9;"PvdA";0;19.6;0;3.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22.9;19.6;10.9;11.0;8.0;5.5;4.4;4.9;3.6;2.9;2.2;1.3;2.0;0.1;0.2;0.5;"POINT(4.8937199,52.3497473)";"POINT(52.3497473,4.8937199)";4.8937199;52.3497473;
204;"ABS";"222";"Rijn 58";1296;793;1;1;61.3;"GROENLINKS";200;0;"PvdA";155;0;45;0;200;155;109;123;52;34;32;15;21;20;4;11;11;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9048502,52.3465926)";"POINT(52.3465926,4.9048502)";4.9048502;52.3465926;
205;"REL";"222";"Rijn 58";1296;793;1;1;61.3;"GROENLINKS";0;25.2;"PvdA";0;19.5;0;5.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.2;19.5;13.7;15.5;6.6;4.3;4.0;1.9;2.6;2.5;0.5;1.4;1.4;0.1;0.3;0.4;"POINT(4.9048502,52.3465926)";"POINT(52.3465926,4.9048502)";4.9048502;52.3465926;
206;"ABS";"224";"Apollohal";1384;985;0;1;71.2;"VVD";267;0;"PvdA";210;0;57;0;155;210;138;267;29;41;66;0;9;45;4;9;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8844492,52.3480651)";"POINT(52.3480651,4.8844492)";4.8844492;52.3480651;
207;"REL";"224";"Apollohal";1384;985;0;1;71.2;"VVD";0;27.1;"PvdA";0;21.3;0;5.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.7;21.3;14.0;27.1;2.9;4.2;6.7;0;0.9;4.6;0.4;0.9;1.0;0;0.2;0;"POINT(4.8844492,52.3480651)";"POINT(52.3480651,4.8844492)";4.8844492;52.3480651;
208;"ABS";"225";"Gezond in Zuid Paramedisch centrum";809;533;2;2;66.4;"VVD";129;0;"GROENLINKS";109;0;20;0;109;99;84;129;31;13;28;0;12;16;2;2;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8836629,52.3539015)";"POINT(52.3539015,4.8836629)";4.8836629;52.3539015;
209;"REL";"225";"Gezond in Zuid Paramedisch centrum";809;533;2;2;66.4;"VVD";0;24.2;"GROENLINKS";0;20.5;0;3.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.5;18.6;15.8;24.2;5.8;2.4;5.3;0;2.3;3.0;0.4;0.4;1.3;0;0;0.2;"POINT(4.8836629,52.3539015)";"POINT(52.3539015,4.8836629)";4.8836629;52.3539015;
210;"ABS";"227";"IVKO school";1214;568;0;0;46.8;"GROENLINKS";164;0;"PvdA";110;0;54;0;164;110;78;75;31;20;36;6;14;12;3;3;6;1;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9057701,52.3537795)";"POINT(52.3537795,4.9057701)";4.9057701;52.3537795;
211;"REL";"227";"IVKO school";1214;568;0;0;46.8;"GROENLINKS";0;28.9;"PvdA";0;19.4;0;9.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.9;19.4;13.7;13.2;5.5;3.5;6.3;1.1;2.5;2.1;0.5;0.5;1.1;0.2;0.7;0.9;"POINT(4.9057701,52.3537795)";"POINT(52.3537795,4.9057701)";4.9057701;52.3537795;
212;"ABS";"232";"Obrechtkerk";1300;1392;1;2;107.3;"VVD";372;0;"PvdA";264;0;108;0;208;264;213;372;78;50;83;0;19;63;6;18;13;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8753488,52.3557746)";"POINT(52.3557746,4.8753488)";4.8753488;52.3557746;
213;"REL";"232";"Obrechtkerk";1300;1392;1;2;107.3;"VVD";0;26.7;"PvdA";0;19.0;0;7.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.9;19.0;15.3;26.7;5.6;3.6;6.0;0;1.4;4.5;0.4;1.3;0.9;0;0.1;0.3;"POINT(4.8753488,52.3557746)";"POINT(52.3557746,4.8753488)";4.8753488;52.3557746;
214;"ABS";"234";"Boxing Gym Abov";849;403;0;2;47.7;"GROENLINKS";106;0;"PvdA";78;0;28;0;106;78;55;63;28;14;13;6;12;11;3;6;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9075072,52.3492095)";"POINT(52.3492095,4.9075072)";4.9075072;52.3492095;
215;"REL";"234";"Boxing Gym Abov";849;403;0;2;47.7;"GROENLINKS";0;26.3;"PvdA";0;19.4;0;6.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.3;19.4;13.6;15.6;6.9;3.5;3.2;1.5;3.0;2.7;0.7;1.5;1.5;0;0.5;0;"POINT(4.9075072,52.3492095)";"POINT(52.3492095,4.9075072)";4.9075072;52.3492095;
216;"ABS";"237";"Basisschool Elout";1261;731;1;2;58.2;"PvdA";147;0;"VVD";136;0;11;0;133;147;108;136;49;35;42;5;17;24;10;11;7;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8588698,52.3503806)";"POINT(52.3503806,4.8588698)";4.8588698;52.3503806;
217;"REL";"237";"Basisschool Elout";1261;731;1;2;58.2;"PvdA";0;20.1;"VVD";0;18.6;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.2;20.1;14.8;18.6;6.7;4.8;5.7;0.7;2.3;3.3;1.4;1.5;1.0;0.4;0.4;0.1;"POINT(4.8588698,52.3503806)";"POINT(52.3503806,4.8588698)";4.8588698;52.3503806;
218;"ABS";"239";"De Derde Schinkel";1175;622;1;2;53.2;"GROENLINKS";151;0;"VVD";129;0;22;0;151;83;98;129;47;24;23;5;15;22;4;7;12;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8552291,52.3529059)";"POINT(52.3529059,4.8552291)";4.8552291;52.3529059;
219;"REL";"239";"De Derde Schinkel";1175;622;1;2;53.2;"GROENLINKS";0;24.3;"VVD";0;20.7;0;3.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.3;13.3;15.8;20.7;7.6;3.9;3.7;0.8;2.4;3.5;0.6;1.1;1.9;0.2;0.2;0;"POINT(4.8552291,52.3529059)";"POINT(52.3529059,4.8552291)";4.8552291;52.3529059;
220;"ABS";"240";"Flatgebouw Baarsstraat";1264;633;0;2;50.2;"GROENLINKS";138;0;"PvdA";124;0;14;0;138;124;78;92;62;37;34;13;17;7;11;9;8;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8547079,52.349858)";"POINT(52.349858,4.8547079)";4.8547079;52.349858;
221;"REL";"240";"Flatgebouw Baarsstraat";1264;633;0;2;50.2;"GROENLINKS";0;21.8;"PvdA";0;19.6;0;2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.8;19.6;12.3;14.5;9.8;5.8;5.4;2.1;2.7;1.1;1.7;1.4;1.3;0.2;0.3;0;"POINT(4.8547079,52.349858)";"POINT(52.349858,4.8547079)";4.8547079;52.349858;
222;"ABS";"243";"Hervormd Lyceum Zuid";1038;808;0;0;77.8;"VVD";246;0;"PvdA";162;0;84;0;87;162;114;246;36;42;53;2;8;38;8;9;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.879061,52.3481948)";"POINT(52.3481948,4.879061)";4.879061;52.3481948;
223;"REL";"243";"Hervormd Lyceum Zuid";1038;808;0;0;77.8;"VVD";0;30.4;"PvdA";0;20.0;0;10.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.8;20.0;14.1;30.4;4.5;5.2;6.6;0.2;1.0;4.7;1.0;1.1;0.2;0;0.1;0;"POINT(4.879061,52.3481948)";"POINT(52.3481948,4.879061)";4.879061;52.3481948;
224;"ABS";"246";"Huis van de Wijk Olympus / Europaschool";1213;591;1;1;48.9;"GROENLINKS";135;0;"PvdA";123;0;12;0;135;123;49;71;55;33;26;10;30;16;8;10;13;0;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8628571,52.3470885)";"POINT(52.3470885,4.8628571)";4.8628571;52.3470885;
225;"REL";"246";"Huis van de Wijk Olympus / Europaschool";1213;591;1;1;48.9;"GROENLINKS";0;22.8;"PvdA";0;20.8;0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22.8;20.8;8.3;12.0;9.3;5.6;4.4;1.7;5.1;2.7;1.4;1.7;2.2;0;0.8;1.2;"POINT(4.8628571,52.3470885)";"POINT(52.3470885,4.8628571)";4.8628571;52.3470885;
226;"ABS";"249";"Olympiaschool";1378;750;0;1;54.5;"VVD";158;0;"GROENLINKS";150;0;8;0;150;137;115;158;41;31;46;3;15;30;7;4;7;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8622701,52.3433196)";"POINT(52.3433196,4.8622701)";4.8622701;52.3433196;
227;"REL";"249";"Olympiaschool";1378;750;0;1;54.5;"VVD";0;21.1;"GROENLINKS";0;20.0;0;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.0;18.3;15.3;21.1;5.5;4.1;6.1;0.4;2.0;4.0;0.9;0.5;0.9;0;0.7;0.1;"POINT(4.8622701,52.3433196)";"POINT(52.3433196,4.8622701)";4.8622701;52.3433196;
228;"ABS";"250";"Olympisch Stadion";1759;840;1;1;47.9;"VVD";186;0;"GROENLINKS";172;0;14;0;172;141;113;186;38;48;50;6;19;17;22;9;16;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.855118,52.3438002)";"POINT(52.3438002,4.855118)";4.855118;52.3438002;
229;"REL";"250";"Olympisch Stadion";1759;840;1;1;47.9;"VVD";0;22.1;"GROENLINKS";0;20.5;0;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.5;16.8;13.5;22.1;4.5;5.7;6.0;0.7;2.3;2.0;2.6;1.1;1.9;0.1;0.1;0.1;"POINT(4.855118,52.3438002)";"POINT(52.3438002,4.855118)";4.855118;52.3438002;
230;"ABS";"252";"Bibliotheek Olympisch Kwartier";1100;890;5;0;81.4;"VVD";235;0;"PvdA";156;0;79;0;137;156;125;235;43;38;42;10;11;43;13;12;22;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8555849,52.3452422)";"POINT(52.3452422,4.8555849)";4.8555849;52.3452422;
231;"REL";"252";"Bibliotheek Olympisch Kwartier";1100;890;5;0;81.4;"VVD";0;26.4;"PvdA";0;17.5;0;8.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.4;17.5;14.0;26.4;4.8;4.3;4.7;1.1;1.2;4.8;1.5;1.3;2.5;0.1;0.2;0;"POINT(4.8555849,52.3452422)";"POINT(52.3452422,4.8555849)";4.8555849;52.3452422;
232;"ABS";"253";"Gymzaal";2078;941;0;3;45.4;"VVD";253;0;"PvdA";173;0;80;0;125;173;155;253;45;51;59;3;6;49;3;5;9;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8702171,52.3514525)";"POINT(52.3514525,4.8702171)";4.8702171;52.3514525;
233;"REL";"253";"Gymzaal";2078;941;0;3;45.4;"VVD";0;26.9;"PvdA";0;18.4;0;8.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.3;18.4;16.5;26.9;4.8;5.4;6.3;0.3;0.6;5.2;0.3;0.5;1.0;0;0.2;0.3;"POINT(4.8702171,52.3514525)";"POINT(52.3514525,4.8702171)";4.8702171;52.3514525;
234;"ABS";"256";"Stichting Munganga";2587;1172;2;3;45.5;"GROENLINKS";266;0;"PvdA";247;0;19;0;266;247;157;187;92;54;69;2;16;40;16;9;14;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8540389,52.3542868)";"POINT(52.3542868,4.8540389)";4.8540389;52.3542868;
235;"REL";"256";"Stichting Munganga";2587;1172;2;3;45.5;"GROENLINKS";0;22.7;"PvdA";0;21.1;0;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22.7;21.1;13.4;16.0;7.8;4.6;5.9;0.2;1.4;3.4;1.4;0.8;1.2;0.1;0.2;0;"POINT(4.8540389,52.3542868)";"POINT(52.3542868,4.8540389)";4.8540389;52.3542868;
236;"ABS";"262";"HoofdKwartier";1263;1159;1;8;92.5;"GROENLINKS";259;0;"VVD";214;0;45;0;259;182;185;214;74;82;48;7;15;52;11;5;17;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8507621,52.3508803)";"POINT(52.3508803,4.8507621)";4.8507621;52.3508803;
237;"REL";"262";"HoofdKwartier";1263;1159;1;8;92.5;"GROENLINKS";0;22.3;"VVD";0;18.5;0;3.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22.3;15.7;16.0;18.5;6.4;7.1;4.1;0.6;1.3;4.5;0.9;0.4;1.5;0;0.5;0.2;"POINT(4.8507621,52.3508803)";"POINT(52.3508803,4.8507621)";4.8507621;52.3508803;
238;"ABS";"272";"Centrum Karunika";935;590;1;1;63.3;"GROENLINKS";172;0;"PvdA";106;0;66;0;172;106;66;61;47;26;30;9;21;17;13;3;9;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.908231,52.3473822)";"POINT(52.3473822,4.908231)";4.908231;52.3473822;
239;"REL";"272";"Centrum Karunika";935;590;1;1;63.3;"GROENLINKS";0;29.2;"PvdA";0;18.0;0;11.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.2;18.0;11.2;10.3;8.0;4.4;5.1;1.5;3.6;2.9;2.2;0.5;1.5;0.2;0.2;1.4;"POINT(4.908231,52.3473822)";"POINT(52.3473822,4.908231)";4.908231;52.3473822;
240;"ABS";"286";"Thomaskerk";1088;887;1;1;81.7;"VVD";227;0;"PvdA";186;0;41;0;126;186;144;227;38;49;48;0;3;44;3;11;1;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8748772,52.341973)";"POINT(52.341973,4.8748772)";4.8748772;52.341973;
241;"REL";"286";"Thomaskerk";1088;887;1;1;81.7;"VVD";0;25.6;"PvdA";0;21.0;0;4.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.2;21.0;16.2;25.6;4.3;5.5;5.4;0;0.3;5.0;0.3;1.2;0.1;0;0.3;0.5;"POINT(4.8748772,52.341973)";"POINT(52.341973,4.8748772)";4.8748772;52.341973;
242;"ABS";"287";"Revalidatie- en Zorgcentrum Vreugdehof";2796;962;1;3;34.5;"PvdA";198;0;"VVD";197;0;1;0;119;198;94;197;59;97;19;7;29;59;28;24;31;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8842719,52.3338553)";"POINT(52.3338553,4.8842719)";4.8842719;52.3338553;
243;"REL";"287";"Revalidatie- en Zorgcentrum Vreugdehof";2796;962;1;3;34.5;"PvdA";0;20.6;"VVD";0;20.5;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.4;20.6;9.8;20.5;6.1;10.1;2.0;0.7;3.0;6.1;2.9;2.5;3.2;0;0.1;0;"POINT(4.8842719,52.3338553)";"POINT(52.3338553,4.8842719)";4.8842719;52.3338553;
244;"ABS";"289";"NH Amsterdam Zuid";1128;629;1;3;56.1;"VVD";161;0;"PvdA";139;0;22;0;65;139;42;161;28;57;25;1;8;23;25;23;27;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8800399,52.3266646)";"POINT(52.3266646,4.8800399)";4.8800399;52.3266646;
245;"REL";"289";"NH Amsterdam Zuid";1128;629;1;3;56.1;"VVD";0;25.6;"PvdA";0;22.1;0;3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.3;22.1;6.7;25.6;4.5;9.1;4.0;0.2;1.3;3.7;4.0;3.7;4.3;0;0.5;0.3;"POINT(4.8800399,52.3266646)";"POINT(52.3266646,4.8800399)";4.8800399;52.3266646;
246;"ABS";"290";"Zorgcentrum De Buitenhof";1351;679;0;6;50.7;"VVD";182;0;"PvdA";114;0;68;0;63;114;53;182;40;92;19;3;19;35;21;13;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8881962,52.3266608)";"POINT(52.3266608,4.8881962)";4.8881962;52.3266608;
