OBJECTNUMMER;ABSREL;Stemdistrict;Stemlocatie;Opgeroepenen;Geldig;Blanco;Ongeldig;Opkomstpercentage;Grootste_partij;Grootste_aantal;Grootste_percentage;Tweede_partij;Tweede_aantal;Tweede_percentage;Verschil_aantal;Verschil_percentage;GROENLINKS;PvdA;D66;VVD;Partij_voor_de_Dieren;Forum_voor_Democratie;VOLT;DENK;SP;CDA;PVV;ChristenUnie_SGP;50PLUS;JEZUS_LEEFT;De_Groenen;vandeRegio_Piratenpartij;_GROENLINKS;_PvdA;_D66;_VVD;_Partij_voor_de_Dieren;_Forum_voor_Democratie;_VOLT;_DENK;_SP;_CDA;_PVV;_ChristenUnie_SGP;_50PLUS;_JEZUS_LEEFT;_De_Groenen;_vandeRegio_Piratenpartij;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
161;"REL";"154";"Scouting Oost 1";877;458;1;0;52.3;"GROENLINKS";0;24.5;"PvdA";0;24.0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.5;24.0;12.0;10.3;7.2;5.5;3.1;0;3.7;2.2;2.4;2.6;2.2;0;0.2;0.2;"POINT(4.943774,52.3490569)";"POINT(52.3490569,4.943774)";4.943774;52.3490569;
162;"ABS";"156";"Wijkservicepunt Hoekhuis";1137;602;2;6;53.6;"PvdA";145;0;"GROENLINKS";121;0;24;0;121;145;72;50;39;41;26;12;23;23;15;7;21;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9267762,52.3450743)";"POINT(52.3450743,4.9267762)";4.9267762;52.3450743;
163;"REL";"156";"Wijkservicepunt Hoekhuis";1137;602;2;6;53.6;"PvdA";0;24.1;"GROENLINKS";0;20.1;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.1;24.1;12.0;8.3;6.5;6.8;4.3;2.0;3.8;3.8;2.5;1.2;3.5;0.2;0.7;0.3;"POINT(4.9267762,52.3450743)";"POINT(52.3450743,4.9267762)";4.9267762;52.3450743;
164;"ABS";"158";"Meininger Hotel Amsterdam Amstel";1148;992;2;4;86.9;"GROENLINKS";249;0;"PvdA";182;0;67;0;249;182;166;154;48;48;40;15;18;34;11;6;14;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9194448,52.3458449)";"POINT(52.3458449,4.9194448)";4.9194448;52.3458449;
165;"REL";"158";"Meininger Hotel Amsterdam Amstel";1148;992;2;4;86.9;"GROENLINKS";0;25.1;"PvdA";0;18.3;0;6.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.1;18.3;16.7;15.5;4.8;4.8;4.0;1.5;1.8;3.4;1.1;0.6;1.4;0.1;0.1;0.5;"POINT(4.9194448,52.3458449)";"POINT(52.3458449,4.9194448)";4.9194448;52.3458449;
166;"ABS";"160";"Waternet";1077;731;2;0;68.1;"GROENLINKS";147;0;"D66";140;0;7;0;147;129;140;123;42;22;57;6;8;23;4;11;12;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9178922,52.340058)";"POINT(52.340058,4.9178922)";4.9178922;52.340058;
167;"REL";"160";"Waternet";1077;731;2;0;68.1;"GROENLINKS";0;20.1;"D66";0;19.2;0;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.1;17.6;19.2;16.8;5.7;3.0;7.8;0.8;1.1;3.1;0.5;1.5;1.6;0;0.7;0.3;"POINT(4.9178922,52.340058)";"POINT(52.340058,4.9178922)";4.9178922;52.340058;
168;"ABS";"161";"Weesper";973;801;0;1;82.4;"GROENLINKS";207;0;"D66";152;0;55;0;207;141;152;106;46;25;60;4;17;22;2;6;6;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9130728,52.3489005)";"POINT(52.3489005,4.9130728)";4.9130728;52.3489005;
169;"REL";"161";"Weesper";973;801;0;1;82.4;"GROENLINKS";0;25.8;"D66";0;19.0;0;6.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.8;17.6;19.0;13.2;5.7;3.1;7.5;0.5;2.1;2.7;0.2;0.7;0.7;0.1;0.6;0.1;"POINT(4.9130728,52.3489005)";"POINT(52.3489005,4.9130728)";4.9130728;52.3489005;
170;"ABS";"162";"Grand Cafe Frankendael";1017;771;1;3;76.2;"GROENLINKS";193;0;"PvdA";181;0;12;0;193;181;109;71;51;49;39;1;25;29;5;1;11;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9376252,52.3490607)";"POINT(52.3490607,4.9376252)";4.9376252;52.3490607;
171;"REL";"162";"Grand Cafe Frankendael";1017;771;1;3;76.2;"GROENLINKS";0;25.0;"PvdA";0;23.5;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.0;23.5;14.1;9.2;6.6;6.4;5.1;0.1;3.2;3.8;0.6;0.1;1.4;0;0.5;0.3;"POINT(4.9376252,52.3490607)";"POINT(52.3490607,4.9376252)";4.9376252;52.3490607;
