OBJECTNUMMER;SELECTIE;Legenda;Bijschrift;Adres;Foto_put;Foto_object;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
224;"VONDST";"Vondsten";"kegelpop, essenhout, 1700-1800";"Utrechtsestraat 105";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/UT.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8990319,52.3625647)";"POINT(52.3625647,4.8990319)";4.8990319;52.3625647;
225;"VONDST";"Vondsten";"kom, porselein, China, 1750-1800";"Nieuwe Amstelstraat 67";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/NA1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9027741,52.36678)";"POINT(52.36678,4.9027741)";4.9027741;52.36678;
227;"BEERPUT_VONDST";"Beerput en vondsten";"huisraad 1620-1660";"Oudeschans 5-11";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/bp_OS4.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/OS4.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.906151,52.3714453)";"POINT(52.3714453,4.906151)";4.906151;52.3714453;
228;"BEERPUT_VONDST";"Beerput en vondsten";"rookpijp, pijpaarde, 1800-1900";"Houtgracht 59 (Mozes & Aaronkerk)";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/bp_HG.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/HG.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.903281,52.3683058)";"POINT(52.3683058,4.903281)";4.903281;52.3683058;
229;"VONDST";"Vondsten";"bord, majolica, Holland, 1600-1625";"Jodenbreestraat 16";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/JO5.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9016168,52.3691451)";"POINT(52.3691451,4.9016168)";4.9016168;52.3691451;
230;"BEERPUT_VONDST";"Beerput en vondsten";"grape, aardewerk, 1640-1660";"Jodenbreestraat 4-6 (Rembrandthuis)";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/bp_JO8.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/JO8.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9012229,52.3693129)";"POINT(52.3693129,4.9012229)";4.9012229;52.3693129;
231;"VONDST";"Vondsten";"bord, majolica, Holland, 1600-1625";"Jodenbreestraat 10";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/JO4.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9014051,52.3692252)";"POINT(52.3692252,4.9014051)";4.9014051;52.3692252;
232;"VONDST";"Vondsten";"poppenkop, populierenhout, 1600-1650";"Jodenbreestraat 12";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/JO6.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9015138,52.3691794)";"POINT(52.3691794,4.9015138)";4.9015138;52.3691794;
233;"VONDST";"Vondsten";"Chanoekalamp, latoenkoper, 1650-1700";"Zwanenburgwal 168";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/ZWA3.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8989432,52.368569)";"POINT(52.368569,4.8989432)";4.8989432;52.368569;
234;"VONDST";"Vondsten";"kom, faience, Portugal, 1625-1650";"Staalstraat 8";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/STL.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8969061,52.3681647)";"POINT(52.3681647,4.8969061)";4.8969061;52.3681647;
