OBJECTNUMMER;SELECTIE;Legenda;Bijschrift;Adres;Foto_put;Foto_object;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
280;"VONDST";"Vondsten";"bord, porselein, China, 1625-1650";"Valkenburgerstraat";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/VAL4.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9062641,52.3699042)";"POINT(52.3699042,4.9062641)";4.9062641;52.3699042;
282;"VONDST";"Vondsten";"ketel,koper, 1625-1675";"Amstel 304";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/AM3.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9021199,52.361901)";"POINT(52.361901,4.9021199)";4.9021199;52.361901;
283;"VONDST";"Vondsten";"kom, porselein, China, 1600-1650";"Binnen Brouwersstraat 29";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/BBR.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8908088,52.3799216)";"POINT(52.3799216,4.8908088)";4.8908088;52.3799216;
284;"VONDST";"Vondsten";"hoofdijzer, koper, 1575-1625";"Brouwersgracht 300";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/BR2.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.883559,52.3836066)";"POINT(52.3836066,4.883559)";4.883559;52.3836066;
285;"VONDST";"Vondsten";"bal, hout, 1600-1700";"Egelantiersstraat 216";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/EGS6.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.879606,52.3761527)";"POINT(52.3761527,4.879606)";4.879606;52.3761527;
286;"VONDST";"Vondsten";"meubelbeslag, tropisch hout, 1650-1700";"Egelantiersstraat 222";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/EGS8.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8794501,52.3761374)";"POINT(52.3761374,4.8794501)";4.8794501;52.3761374;
287;"VONDST";"Vondsten";"ring, latoenkoper, 1800-1900";"Grote Wittenburgerstraat 37-39";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/GWIT1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.920265,52.3710295)";"POINT(52.3710295,4.920265)";4.920265;52.3710295;
288;"VONDST";"Vondsten";"textiellood, lood, 1600-1700";"Haarlemmerstraat 97";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/HA5.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8906319,52.3804976)";"POINT(52.3804976,4.8906319)";4.8906319;52.3804976;
289;"VONDST";"Vondsten";"miniatuur bord, pijpaarde, 1725-1775";"Haarlemmerdijk 56";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/HAD7.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8879101,52.3824545)";"POINT(52.3824545,4.8879101)";4.8879101;52.3824545;
290;"VONDST";"Vondsten";"snuifdoos, koper, 1750-1800";"Haarlemmerdijk 4";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/HAD8.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8890822,52.3817221)";"POINT(52.3817221,4.8890822)";4.8890822;52.3817221;
291;"VONDST";"Vondsten";"speelschijf, lood, 1600-1650";"Haarlemmerdijk 67";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/HAD9.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.887172,52.3824736)";"POINT(52.3824736,4.887172)";4.887172;52.3824736;
292;"VONDST";"Vondsten";"mesheft, buxushout, 1600-1650";"Haarlemmerdijk 69-71";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/HAD12.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.887068,52.3825232)";"POINT(52.3825232,4.887068)";4.887068;52.3825232;
293;"VONDST";"Vondsten";"knoop, goud, 1700-1750";"Jodenbreestraat 67";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/JO2.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.903703,52.3685538)";"POINT(52.3685538,4.903703)";4.903703;52.3685538;
294;"VONDST";"Vondsten";"mes, heft van ivoor, 1625-1650";"Jodenbreestraat 158";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/JO9.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9030192,52.3685729)";"POINT(52.3685729,4.9030192)";4.9030192;52.3685729;
295;"VONDST";"Vondsten";"lepel, tin, 1750-1800";"Kerkstraat 338";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/KE2.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8989789,52.3628432)";"POINT(52.3628432,4.8989789)";4.8989789;52.3628432;
296;"VONDST";"Vondsten";"lint, zijde, 1700-1800";"Kerkstraat 400";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/KE4.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.900881,52.3631407)";"POINT(52.3631407,4.900881)";4.900881;52.3631407;
297;"VONDST";"Vondsten";"bus met deksel, tin, 1620";"Keizersgracht 152";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/KG18.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8859999,52.3762595)";"POINT(52.3762595,4.8859999)";4.8859999;52.3762595;
298;"VONDST";"Vondsten";"fles, glas, 1650-1700";"Binnenkant 17/Buiten Bantammerstraat";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/KM.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9042261,52.37386)";"POINT(52.37386,4.9042261)";4.9042261;52.37386;
299;"VONDST";"Vondsten";"tap, koper, 1750-1800";"Korte Prinsengracht 6";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/KPR.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8894198,52.3821227)";"POINT(52.3821227,4.8894198)";4.8894198;52.3821227;
300;"VONDST";"Vondsten";"poppenkop, vurenhout, 1750-1800";"Korte Prinsengracht 11";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/KPR1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8900211,52.3817145)";"POINT(52.3817145,4.8900211)";4.8900211;52.3817145;
301;"VONDST";"Vondsten";"ruiterspoor, koper, 1750-1800";"Lauriergracht 64";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/LAU1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8811238,52.3717047)";"POINT(52.3717047,4.8811238)";4.8811238;52.3717047;
302;"VONDST";"Vondsten";"trechterbeker, hoorn, 1600-1800";"Laurierstraat 180";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/LAUS.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8785059,52.3716628)";"POINT(52.3716628,4.8785059)";4.8785059;52.3716628;
303;"VONDST";"Vondsten";"beeld, vurenhout, China, 1700-1750";"Laurierstraat 4";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/LAUS1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8823521,52.372666)";"POINT(52.372666,4.8823521)";4.8823521;52.372666;
304;"VONDST";"Vondsten";"rookpijp, pijpaarde, 1740-1750";"Laurierstraat 55-57";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/LAUS5.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8808372,52.3720671)";"POINT(52.3720671,4.8808372)";4.8808372;52.3720671;
305;"VONDST";"Vondsten";"bord, majolica, 1625-1650";"Laurierstraat 16";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/LAUS6.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8822181,52.3726126)";"POINT(52.3726126,4.8822181)";4.8822181;52.3726126;
306;"VONDST";"Vondsten";"vingerhoed, koper, 1700-1800";"Eerste Leliedwarsstraat 9";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/LE2.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8827488,52.3759352)";"POINT(52.3759352,4.8827488)";4.8827488;52.3759352;
307;"VONDST";"Vondsten";"lint, textiel, 1750-1800";"Lindengracht 75";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/LIN5.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8853829,52.3800971)";"POINT(52.3800971,4.8853829)";4.8853829;52.3800971;
308;"VONDST";"Vondsten";"ellenstok, hout en koper, 1700-1800";"Lange Leidsedwarsstraat 69";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/LLEI.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.885442,52.3635451)";"POINT(52.3635451,4.885442)";4.885442;52.3635451;
309;"VONDST";"Vondsten";"bord, majolica/faience, Holland, 1600-1610";"Eerste Looiersdwarsstraat 10";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/LOD.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8809898,52.3689467)";"POINT(52.3689467,4.8809898)";4.8809898;52.3689467;
310;"VONDST";"Vondsten";"bord, faience, Portugal, 1620-1625";"Nieuwe Leliestraat 90";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NL8.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8806088,52.3753478)";"POINT(52.3753478,4.8806088)";4.8806088;52.3753478;
311;"VONDST";"Vondsten";"ring, goud, 1700-1800";"Nieuwe Nieuwstraat 18";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NN.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.894017,52.3754813)";"POINT(52.3754813,4.894017)";4.894017;52.3754813;
312;"VONDST";"Vondsten";"fles, glas, 1700-1750";"Noorderstraat 80";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NO1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8953211,52.3608443)";"POINT(52.3608443,4.8953211)";4.8953211;52.3608443;
313;"VONDST";"Vondsten";"bord, elzenhout, 1500-1600";"Oude Waal 5";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/OW.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9031231,52.3732993)";"POINT(52.3732993,4.9031231)";4.9031231;52.3732993;
314;"VONDST";"Vondsten";"productieafval, balein, 1600-1700";"Oudezijds Achterburgwal 49";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/OZA3.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8993661,52.3734404)";"POINT(52.3734404,4.8993661)";4.8993661;52.3734404;
315;"VONDST";"Vondsten";"speld, koper, 1600-1700";"Palmstraat 14";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PAL.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8849108,52.3819052)";"POINT(52.3819052,4.8849108)";4.8849108;52.3819052;
316;"VONDST";"Vondsten";"bord, faience, Holland, 1625-1650";"Passeerdersgracht 8";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PAS.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8818352,52.3674933)";"POINT(52.3674933,4.8818352)";4.8818352;52.3674933;
318;"VONDST";"Vondsten";"bord, porselein, China, 1600-1625";"Palmgracht 18";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PG.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8839638,52.3823325)";"POINT(52.3823325,4.8839638)";4.8839638;52.3823325;
319;"VONDST";"Vondsten";"mes, ijzer, 1400-1425";"Pieter Jacobszstraat 26";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PJ.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8945668,52.3716017)";"POINT(52.3716017,4.8945668)";4.8945668;52.3716017;
320;"VONDST";"Vondsten";"kan, faience, Italie, 1625-1650";"Prinsengracht 395";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PR10.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8834679,52.371453)";"POINT(52.371453,4.8834679)";4.8834679;52.371453;
321;"VONDST";"Vondsten";"productieafval, ivoor, 1625-1650";"Prinsengracht 23";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PR15.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8882501,52.3795477)";"POINT(52.3795477,4.8882501)";4.8882501;52.3795477;
322;"VONDST";"Vondsten";"kolfstok, eikenhout, 1600-1700";"Prinsengracht 356";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PR19.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8821218,52.367932)";"POINT(52.367932,4.8821218)";4.8821218;52.367932;
323;"VONDST";"Vondsten";"schotel, porselein, China, 1675-1725";"Prinsengracht 307";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PR24.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8835862,52.3732649)";"POINT(52.3732649,4.8835862)";4.8835862;52.3732649;
324;"VONDST";"Vondsten";"ketel, gietijzer, 1550-1600";"Prinsengracht 209";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PR6.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8859379,52.3771063)";"POINT(52.3771063,4.8859379)";4.8859379;52.3771063;
325;"VONDST";"Vondsten Waterlooplein";"bord, faience, Holland, 1750-1775";"Lange Houtstraat 18";"";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/obj/BP14.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.900892,52.3675429)";"POINT(52.3675429,4.900892)";4.900892;52.3675429;
326;"VONDST";"Vondsten";"riemfragment met haak, leer, 1575-1600";"Rembrandtplein (Hotel Brouwerswapen)";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/REM.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.89763,52.366532)";"POINT(52.366532,4.89763)";4.89763;52.366532;
327;"VONDST";"Vondsten";"mantelspeld, verguld, 1800-1850";"Rozenstraat 188";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/RO10.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8780148,52.3721282)";"POINT(52.3721282,4.8780148)";4.8780148;52.3721282;
328;"VONDST";"Vondsten";"kop, porselein, China, 1700-1750";"Rozenstraat 125-127";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/RO12.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8795602,52.3722312)";"POINT(52.3722312,4.8795602)";4.8795602;52.3722312;
329;"VONDST";"Vondsten";"schaal, porselein, China, 1700-1800";"Rozenstraat 180";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/RO13.jpg";" http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8782909,52.3722045)";"POINT(52.3722045,4.8782909)";4.8782909;52.3722045;
330;"VONDST";"Vondsten";"pispot, latoenkoper, 1750-1800";"Rozenstraat 52";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/RO15.jpg";" http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8816311,52.3730437)";"POINT(52.3730437,4.8816311)";4.8816311;52.3730437;
331;"VONDST";"Vondsten";"kom, tin, 1725-1750";"Rozenstraat 184";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/RO3.jpg";" http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8781521,52.3721663)";"POINT(52.3721663,4.8781521)";4.8781521;52.3721663;
332;"VONDST";"Vondsten";"gewicht, lood, 1800-1900";"Rozenstraat 3";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/RO8.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.882529,52.3730628)";"POINT(52.3730628,4.882529)";4.882529;52.3730628;
333;"VONDST";"Vondsten";"laken met textiellood, 1600-1650";"Rozengracht 168-182";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/ROG1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8777821,52.3728987)";"POINT(52.3728987,4.8777821)";4.8777821;52.3728987;
334;"VONDST";"Vondsten";"kom, majolica, 1625-1650";"Rozengracht 182";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/ROG4.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8776262,52.372872)";"POINT(52.372872,4.8776262)";4.8776262;52.372872;
335;"VONDST";"Vondsten";"bord, faience, Italië, 1575-1600";"Singel 169";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/SIN10.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8897369,52.3742453)";"POINT(52.3742453,4.8897369)";4.8897369;52.3742453;
336;"VONDST";"Vondsten";"textiellood, lood, Amsterdam, 1600-1650";"Singel 175";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/SIN5.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8896558,52.3740775)";"POINT(52.3740775,4.8896558)";4.8896558;52.3740775;
337;"VONDST";"Vondsten";"messchede, leer, 1550-1600";"Slijkstraat 6-12";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/SL.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.896045,52.3697974)";"POINT(52.3697974,4.896045)";4.896045;52.3697974;
338;"VONDST";"Vondsten";"bord, faience, Holland, 1650-1675";"Slootstraat 6";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/SLS.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.879616,52.3767668)";"POINT(52.3767668,4.879616)";4.879616;52.3767668;
339;"VONDST";"Vondsten";"messchede, leer, 1600-1650";"Slootstraat 15";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/SLS1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8793509,52.3765761)";"POINT(52.3765761,4.8793509)";4.8793509;52.3765761;
341;"VONDST";"Vondsten";"mes, ijzer en ivoor, 1650-1675";"Tweede Rozendwarsstraat 19";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/TRD.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.878865,52.3723952)";"POINT(52.3723952,4.878865)";4.878865;52.3723952;
342;"VONDST";"Vondsten";"tazza, opalineglas, 1700-1750";"Tuinstraat 181";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/TUI14.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8803699,52.3765265)";"POINT(52.3765265,4.8803699)";4.8803699;52.3765265;
343;"VONDST";"Vondsten";"textiel, 1600-1800";"Tuinstraat 220";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/TUI15.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8802149,52.37666)";"POINT(52.37666,4.8802149)";4.8802149;52.37666;
344;"VONDST";"Vondsten";"smeltkroes, ijzer, 1800-1900";"Tuinstraat 71-75";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/TUI3.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8831942,52.3771369)";"POINT(52.3771369,4.8831942)";4.8831942;52.3771369;
345;"VONDST";"Vondsten";"zoutvat, tin, 1650-1675";"Tuinstraat 242";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/TUI6.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8792522,52.3764731)";"POINT(52.3764731,4.8792522)";4.8792522;52.3764731;
346;"VONDST";"Vondsten";"kommen, porselein, China, 1700-1725";"Tuinstraat 159-161";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/TUI9.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.880923,52.3766409)";"POINT(52.3766409,4.880923)";4.880923;52.3766409;
347;"VONDST";"Vondsten";"kralen, glas, 1675-1725";"Verversstraat 129-139";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/VER1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8986952,52.3685233)";"POINT(52.3685233,4.8986952)";4.8986952;52.3685233;
348;"VONDST";"Vondsten";"boekomslag, leer, 1700-1800";"Vijzelgracht 57";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/VIJG.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8913729,52.3602606)";"POINT(52.3602606,4.8913729)";4.8913729;52.3602606;
349;"VONDST";"Vondsten";"munt, koper";"Vijzelstraat 7-17/Pieterssteeg 3-7";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/VIJZ.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.893698,52.3664061)";"POINT(52.3664061,4.893698)";4.893698;52.3664061;
350;"VONDST";"Vondsten";"thermometerschaal, koper, 1700-1800";"Vinkenstraat 69";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/VIN11.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8865549,52.382321)";"POINT(52.382321,4.8865549)";4.8865549;52.382321;
351;"VONDST";"Vondsten";"textielloood, Amsterdam, 1600-1650";"Vinkenstraat 14";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/VIN13.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.888387,52.3815238)";"POINT(52.3815238,4.888387)";4.888387;52.3815238;
352;"VONDST";"Vondsten";"meubelfragment, eikenhout, 1675-1725";"Vinkenstraat 121";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/VIN15.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8853319,52.3830077)";"POINT(52.3830077,4.8853319)";4.8853319;52.3830077;
353;"VONDST";"Vondsten";"breischede, hout, 1625-1650";"Vinkenstraat 96";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/VIN7.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8865979,52.3825614)";"POINT(52.3825614,4.8865979)";4.8865979;52.3825614;
354;"VONDST";"Vondsten";"natuurspons, 1800-1975";"Westerstraat 226-230";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/WET1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8807399,52.3781134)";"POINT(52.3781134,4.8807399)";4.8807399;52.3781134;
355;"VONDST";"Vondsten";"baksteen met ingebakken pijp, 1700-1725";"Zwanenburgwal 58";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/ZWA1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.899162,52.368756)";"POINT(52.368756,4.899162)";4.899162;52.368756;
