OBJECTNUMMER;Stemlocatie;Opgeroepenen;Blanco;Ongeldig;Geldig;Opkomstpercentage;Grootste_partij;Grootste_aantal;Grootste_percentage;Tweede_partij;Tweede_aantal;Tweede_percentage;_1__VVD;_2__PvdA;_3__PVV;_4__SP;_5__CDA;_6__D66;_7__ChristenUnie;_8__GroenLinks;_9__SGP;_10__Partij_voor_de_Dieren;_11__50PLUS;_12__OndernemersPartij;_13__VoorNederland;_14__DENK;_15__NIEUWE_WEGEN;_16__Forum_voor_Democratie;_17__De_Burger_Beweging;_18__Vrijzinnige_Partij;_19__GeenPeil;_20__Piratenpartij;_21__Artikel_1;_22__Niet_Stemmers;_23__Libertarische_Partij;_24__Lokaal_in_de_Kamer;_Overig_totaal;__1__VVD;__2__PvdA;__3__PVV;__4__SP;__5__CDA;__6__D66;__7__ChristenUnie;__8__GroenLinks;__9__SGP;__10__Partij_voor_de_Dieren;__11__50PLUS;__12__OndernemersPartij;__13__VoorNederland;__14__DENK;__15__NIEUWE_WEGEN;__16__Forum_voor_Democratie;__17__De_Burger_Beweging;__18__Vrijzinnige_Partij;__19__GeenPeil;__20__Piratenpartij;__21__Artikel_1;__22__Niet_Stemmers;__23__Libertarische_Partij;__24__Lokaal_in_de_Kamer;__Overig_totaal;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"`t Koggeschip Katholieke Basisschool";1512;7;20;1128;76.4;"DENK";471;0;"GroenLinks";126;0;68;55;78;73;33;113;17;126;4;29;22;2;1;471;0;8;0;2;0;6;20;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8025429,52.3829123)";"POINT(52.3829123,4.8025429)";4.8025429;52.3829123;
2;"2e Montessorischool Het Winterkoninkje";1333;2;10;1521;115.0;"GroenLinks";409;0;"D66";317;0;223;86;60;98;26;317;4;409;2;129;20;1;1;60;1;25;3;1;0;12;41;1;1;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.863014,52.3653075)";"POINT(52.3653075,4.863014)";4.863014;52.3653075;
3;"3e Daltonschool hoofdgebouw";1512;1;7;1412;93.9;"D66";342;0;"GroenLinks";297;0;265;104;41;93;26;342;14;297;0;120;8;0;0;32;3;12;0;0;0;16;36;1;2;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.897548,52.3531005)";"POINT(52.3531005,4.897548)";4.897548;52.3531005;
4;"9e Montessorischool De Scholekster";2569;2;4;1485;58.0;"GroenLinks";334;0;"D66";285;0;253;132;86;102;26;285;9;334;6;103;23;1;4;54;1;23;4;1;0;8;27;2;0;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8968489,52.3512923)";"POINT(52.3512923,4.8968489)";4.8968489;52.3512923;
5;"A`DAM Toren (op de 20ste etage)";0;4;9;2991;0;"GroenLinks";864;0;"D66";647;0;325;227;251;132;66;647;37;864;3;235;42;6;3;26;3;45;4;1;4;35;32;1;0;2;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9023502,52.3838393)";"POINT(52.3838393,4.9023502)";4.9023502;52.3838393;
6;"abbs De Zuiderzee";1311;1;0;859;65.6;"D66";209;0;"VVD";167;0;167;63;20;39;28;209;13;156;4;34;7;1;0;63;3;7;0;0;0;8;37;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9875381,52.3627326)";"POINT(52.3627326,4.9875381)";4.9875381;52.3627326;
7;"Academisch Medisch Centrum (AMC)";0;1;5;2151;0;"D66";685;0;"GroenLinks";529;0;308;150;41;94;86;685;45;529;4;87;22;0;6;24;0;22;1;1;2;9;34;1;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9578178,52.2950598)";"POINT(52.2950598,4.9578178)";4.9578178;52.2950598;
8;"Al Wafa Islamitische Basisschool";1451;1;20;843;59.5;"DENK";267;0;"GroenLinks";116;0;74;65;56;64;20;87;7;116;3;45;20;1;2;267;0;7;0;0;0;3;5;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8367202,52.3805853)";"POINT(52.3805853,4.8367202)";4.8367202;52.3805853;
9;"Alexander Roozendaalschool";1649;0;8;906;55.4;"DENK";201;0;"GroenLinks";146;0;91;86;48;58;25;142;15;146;1;34;8;0;0;201;0;14;0;1;0;6;30;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.839534,52.3596579)";"POINT(52.3596579,4.839534)";4.839534;52.3596579;
10;"Altra College Noord";1103;2;2;696;63.5;"PVV";146;0;"GroenLinks";121;0;46;55;146;74;31;78;7;121;2;60;27;0;3;17;0;8;0;0;0;4;16;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9479859,52.3896147)";"POINT(52.3896147,4.9479859)";4.9479859;52.3896147;
11;"Amsta locatie De Poort";3066;4;6;1824;59.8;"D66";455;0;"GroenLinks";382;0;341;146;81;87;35;455;17;382;1;145;19;0;2;46;3;26;1;1;1;9;23;2;1;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8733761,52.3732039)";"POINT(52.3732039,4.8733761)";4.8733761;52.3732039;
12;"Amsta locatie De Werf";1433;2;5;887;62.4;"GroenLinks";206;0;"D66";136;0;120;93;46;85;27;136;8;206;1;78;21;0;1;21;1;10;1;1;0;7;24;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.86848,52.3724524)";"POINT(52.3724524,4.86848)";4.86848;52.3724524;
13;"Andrieskerk";1218;2;4;1065;87.9;"VVD";289;0;"D66";180;0;289;100;85;57;66;180;37;132;3;45;26;2;6;7;1;16;0;0;0;4;6;1;0;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8681028,52.3318373)";"POINT(52.3318373,4.8681028)";4.8681028;52.3318373;
14;"Anne Frankschool";1693;2;3;1743;103.2;"D66";439;0;"VVD";413;0;413;169;61;58;73;439;19;309;4;113;24;1;4;12;0;26;0;0;0;6;9;0;2;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.894007,52.3427931)";"POINT(52.3427931,4.894007)";4.894007;52.3427931;
15;"Annie M.G. Schmidt";3480;0;17;2800;80.9;"D66";733;0;"GroenLinks";669;0;520;218;88;140;70;733;20;669;2;220;20;6;1;20;1;32;4;0;0;18;17;0;0;1;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8606059,52.3603484)";"POINT(52.3603484,4.8606059)";4.8606059;52.3603484;
16;"APG Pensioenbeheer";179;0;0;180;100.6;"D66";32;0;"VVD";31;0;31;19;12;15;5;32;2;21;0;17;6;0;1;7;1;5;0;0;0;4;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8414528,52.3922392)";"POINT(52.3922392,4.8414528)";4.8414528;52.3922392;
17;"Apollohal";778;1;0;948;122.0;"VVD";345;0;"D66";215;0;345;94;32;17;42;215;11;121;2;28;5;1;3;8;0;18;0;0;1;2;1;2;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.884454,52.3480574)";"POINT(52.3480574,4.884454)";4.884454;52.3480574;
18;"Aslan Muziekcentrum";2997;5;6;2127;71.3;"D66";508;0;"GroenLinks";493;0;382;158;118;95;62;508;26;493;1;155;26;1;3;44;0;19;0;1;3;15;17;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8524129,52.3616683)";"POINT(52.3616683,4.8524129)";4.8524129;52.3616683;
19;"ASV De Dijk";523;1;0;308;59.1;"VVD";59;0;"D66";58;0;59;34;17;18;10;58;7;56;0;28;11;1;1;4;0;1;0;0;1;0;1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9598591,52.3847357)";"POINT(52.3847357,4.9598591)";4.9598591;52.3847357;
20;"ASVO school";1067;1;8;1223;115.5;"VVD";361;0;"D66";321;0;361;87;19;44;26;321;6;261;2;59;6;0;1;2;0;12;0;0;2;5;8;1;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9009421,52.3608252)";"POINT(52.3608252,4.9009421)";4.9009421;52.3608252;
21;"Ateliers Westerdok";1333;0;7;1225;92.4;"D66";300;0;"VVD";263;0;263;118;53;55;39;300;10;244;0;62;10;1;6;9;1;19;1;0;0;4;28;1;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8916228,52.3842169)";"POINT(52.3842169,4.8916228)";4.8916228;52.3842169;
22;"Atria Kennisinstituut";888;2;0;893;100.8;"D66";261;0;"VVD";255;0;255;81;17;15;22;261;9;154;0;51;0;2;0;3;0;7;1;0;0;5;9;0;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.892843,52.3656966)";"POINT(52.3656966,4.892843)";4.892843;52.3656966;
23;"Basisschool `t Gouden Ei";2880;3;9;2131;74.4;"GroenLinks";540;0;"D66";421;0;251;225;66;128;38;421;22;540;4;111;28;2;3;144;5;24;2;2;2;17;95;1;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9381549,52.3725669)";"POINT(52.3725669,4.9381549)";4.9381549;52.3725669;
24;"Basisschool Corantijn";1589;3;5;1088;69.0;"D66";329;0;"GroenLinks";199;0;180;75;39;61;16;329;10;199;1;80;7;1;3;48;0;12;1;1;0;5;18;2;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8525722,52.3619467)";"POINT(52.3619467,4.8525722)";4.8525722;52.3619467;
25;"Basisschool De Achtsprong";2129;3;17;901;43.3;"PvdA";166;0;"GroenLinks";121;0;72;166;61;59;18;97;70;121;3;38;28;0;1;42;0;20;0;0;0;8;96;1;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9602082,52.3086478)";"POINT(52.3086478,4.9602082)";4.9602082;52.3086478;
26;"Basisschool De Archipel";1376;0;5;800;58.5;"D66";179;0;"GroenLinks";144;0;112;59;48;40;23;179;20;144;2;31;3;0;2;83;1;7;0;0;0;2;44;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(5.0072629,52.35315)";"POINT(52.35315,5.0072629)";5.0072629;52.35315;
27;"Basisschool De Brink";1521;2;7;1307;86.5;"PvdA";184;0;"GroenLinks";182;0;150;184;113;165;70;140;39;182;4;59;51;1;5;21;0;24;0;2;0;15;81;0;0;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9687889,52.3006064)";"POINT(52.3006064,4.9687889)";4.9687889;52.3006064;
28;"Basisschool De Dapper";1297;3;6;1117;86.8;"DENK";228;0;"GroenLinks";211;0;69;106;66;92;15;160;8;211;1;67;25;0;0;228;2;7;2;0;1;5;52;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9261701,52.3614813)";"POINT(52.3614813,4.9261701)";4.9261701;52.3614813;
29;"Basisschool De Kleine Reus";2199;3;5;1556;71.1;"D66 - VVD";393;0;"GroenLinks";340;0;393;138;48;48;50;393;7;340;0;95;10;0;1;4;2;15;1;0;0;5;5;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8922651,52.3608595)";"POINT(52.3608595,4.8922651)";4.8922651;52.3608595;
30;"Basisschool de Odyssee";1549;0;8;1313;85.3;"DENK";248;0;"VVD";243;0;243;83;116;60;66;219;20;158;1;36;18;2;4;248;0;13;0;0;0;1;19;5;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.7930548,52.3488318)";"POINT(52.3488318,4.7930548)";4.7930548;52.3488318;
31;"Basisschool de Satelliet";973;1;3;713;73.7;"PVV";198;0;"VVD";90;0;90;37;198;72;21;85;5;86;1;32;30;1;11;11;0;21;2;1;0;1;5;0;1;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.893645,52.4150817)";"POINT(52.4150817,4.893645)";4.893645;52.4150817;
32;"Basisschool De Schakel";2697;2;22;1497;56.4;"Artikel 1";293;0;"PvdA";199;0;96;199;122;128;40;163;95;185;2;36;37;2;0;84;1;6;1;0;1;1;293;2;2;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.942096,52.3236624)";"POINT(52.3236624,4.942096)";4.942096;52.3236624;
33;"Basisschool Elout";1520;1;8;1324;87.7;"VVD";303;0;"D66";260;0;303;109;59;78;41;260;18;244;3;75;25;1;2;56;3;20;0;0;0;5;17;3;0;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.858875,52.3503729)";"POINT(52.3503729,4.858875)";4.858875;52.3503729;
34;"Basisschool Klaverblad";1897;5;7;817;43.7;"GroenLinks";166;0;"D66";146;0;82;68;36;53;20;146;38;166;0;51;7;2;1;20;0;14;0;0;0;10;101;1;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.949806,52.3197524)";"POINT(52.3197524,4.949806)";4.949806;52.3197524;
35;"Basisschool Polsstok";1698;2;9;1041;62.0;"GroenLinks";156;0;"Artikel 1";144;0;112;103;60;83;28;131;52;156;3;51;24;1;1;77;1;4;0;0;0;6;144;1;0;3;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.960355,52.3223807)";"POINT(52.3223807,4.960355)";4.960355;52.3223807;
36;"Basisschool Shri Laksmi";1621;0;8;879;54.7;"Artikel 1";138;0;"GroenLinks";108;0;86;98;50;89;18;104;38;108;2;26;18;0;0;88;0;3;1;0;0;8;138;3;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9566481,52.3189894)";"POINT(52.3189894,4.9566481)";4.9566481;52.3189894;
37;"Basisschool Veerkracht";1445;0;9;556;39.1;"DENK";184;0;"GroenLinks";64;0;34;32;40;46;12;46;27;64;1;21;8;0;3;184;3;8;0;0;3;2;22;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8103239,52.3786093)";"POINT(52.3786093,4.8103239)";4.8103239;52.3786093;
38;"Basisschool Witte Tulp - gymgebouw";3516;3;19;2041;58.7;"DENK";493;0;"D66";319;0;256;139;176;123;67;319;39;251;2;39;33;0;14;493;1;17;0;0;0;11;55;5;1;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8000572,52.3531424)";"POINT(52.3531424,4.8000572)";4.8000572;52.3531424;
39;"Batjanburen";1509;2;19;1138;76.8;"DENK";268;0;"GroenLinks";252;0;67;88;52;75;16;155;8;252;2;51;13;2;1;268;2;9;2;0;0;7;67;0;0;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9388759,52.3593451)";"POINT(52.3593451,4.9388759)";4.9388759;52.3593451;
40;"Berlage Lyceum";1393;3;4;945;68.3;"GroenLinks";200;0;"D66";174;0;104;79;39;93;18;174;7;200;0;106;17;2;1;57;1;7;0;0;0;4;33;2;1;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8998239,52.3490111)";"POINT(52.3490111,4.8998239)";4.8998239;52.3490111;
41;"Bibliotheek Olympisch Kwartier";1427;1;16;1494;105.9;"VVD";480;0;"D66";307;0;480;99;51;71;70;307;14;214;1;60;27;0;1;40;1;29;0;1;1;3;19;4;1;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8555901,52.3452345)";"POINT(52.3452345,4.8555901)";4.8555901;52.3452345;
42;"Bijlmerdrieschool";1157;1;6;653;57.0;"GroenLinks";103;0;"Artikel 1";75;0;57;66;58;63;16;59;28;103;2;35;27;1;1;46;1;10;2;1;0;2;75;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.987519,52.3192298)";"POINT(52.3192298,4.987519)";4.987519;52.3192298;
43;"Bijlmersportcentrum";2958;13;36;2096;72.5;"Artikel 1";390;0;"PvdA";316;0;147;316;140;179;47;214;118;268;17;63;54;0;6;101;2;14;3;1;2;5;390;3;3;3;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9574158,52.3154036)";"POINT(52.3154036,4.9574158)";4.9574158;52.3154036;
44;"BIKO";1593;2;17;1286;81.9;"GroenLinks";331;0;"D66";222;0;131;83;60;59;20;222;13;331;0;91;19;0;8;198;1;7;0;0;0;6;36;1;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9231641,52.3555571)";"POINT(52.3555571,4.9231641)";4.9231641;52.3555571;
45;"Bos en Lommerschool";3123;13;41;1817;59.9;"DENK";772;0;"GroenLinks";294;0;118;95;45;98;26;195;23;294;1;50;16;1;2;772;0;11;2;0;4;10;49;3;1;1;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8403509,52.3803145)";"POINT(52.3803145,4.8403509)";4.8403509;52.3803145;
46;"Boven IJ Ziekenhuis";1130;11;0;1057;94.5;"PVV";146;0;"D66";125;0;123;110;146;123;64;125;23;114;3;43;50;2;4;100;0;0;0;0;0;2;22;0;0;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9222271,52.4044463)";"POINT(52.4044463,4.9222271)";4.9222271;52.4044463;
47;"Brede Mgr. Bekkersschool";2570;3;24;1315;52.2;"DENK";323;0;"GroenLinks";162;0;131;94;106;106;61;142;25;162;1;46;40;2;4;323;2;9;3;1;1;2;48;4;0;2;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.959099,52.3918769)";"POINT(52.3918769,4.959099)";4.959099;52.3918769;
48;"Brede School De Kinkerbuurt";4756;4;22;3028;64.2;"GroenLinks";684;0;"D66";529;0;360;244;190;256;62;529;31;684;3;218;57;1;11;221;1;34;1;2;4;23;90;4;1;1;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8657672,52.3646475)";"POINT(52.3646475,4.8657672)";4.8657672;52.3646475;
49;"Brede School de Springplank";3077;4;18;1454;48.0;"DENK";350;0;"GroenLinks";294;0;147;86;61;81;32;268;12;294;3;61;13;1;0;350;1;10;0;0;0;8;21;1;2;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.846411,52.3735472)";"POINT(52.3735472,4.846411)";4.846411;52.3735472;
50;"Brede school Fiep Westendorp";3217;4;20;2057;64.7;"GroenLinks";426;0;"D66";368;0;278;142;125;148;60;368;20;426;5;107;36;3;3;257;1;23;1;1;1;9;37;5;1;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.839256,52.34887)";"POINT(52.34887,4.839256)";4.839256;52.34887;
51;"Brood en Spelen";1322;1;5;895;68.2;"GroenLinks";196;0;"D66";191;0;119;93;84;50;14;191;8;196;3;76;15;0;6;6;1;18;0;0;0;6;9;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8846309,52.3817069)";"POINT(52.3817069,4.8846309)";4.8846309;52.3817069;
52;"BSO de Groeiwereld";1284;3;6;1015;79.8;"DENK";198;0;"GroenLinks";188;0;131;78;63;49;36;173;10;188;0;36;21;0;2;198;0;6;0;0;0;4;18;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8328102,52.3643653)";"POINT(52.3643653,4.8328102)";4.8328102;52.3643653;
53;"Buiksloterkerk";1046;14;2;662;64.8;"GroenLinks";134;0;"D66";96;0;82;75;52;41;34;96;18;134;1;47;17;0;3;0;37;12;0;0;0;2;11;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9160979,52.4017874)";"POINT(52.4017874,4.9160979)";4.9160979;52.4017874;
54;"Burghtschool";910;3;1;963;106.3;"D66";256;0;"VVD";251;0;251;77;27;27;28;256;4;183;0;74;2;0;3;0;2;18;0;0;0;5;5;1;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8907502,52.3782736)";"POINT(52.3782736,4.8907502)";4.8907502;52.3782736;
55;"Buurtcentrum De Bonte Kraai";1801;2;20;1440;81.2;"GroenLinks";261;0;"Artikel 1";210;0;104;190;87;107;34;159;106;261;7;58;21;2;1;63;0;13;3;1;0;11;210;0;0;2;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9800718,52.317227)";"POINT(52.317227,4.9800718)";4.9800718;52.317227;
56;"Buurtcentrum de Driehoek";1097;0;7;1031;94.6;"PVV";232;0;"GroenLinks";155;0;103;97;232;97;46;114;18;155;2;47;42;4;9;23;3;17;1;0;1;4;13;2;1;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9285958,52.3938758)";"POINT(52.3938758,4.9285958)";4.9285958;52.3938758;
57;"Buurtcentrum De Evenaar";1078;3;5;1043;97.5;"PVV";301;0;"SP";138;0;85;68;301;138;40;69;20;128;2;45;58;4;3;39;1;15;1;0;2;7;8;7;2;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8864658,52.4143683)";"POINT(52.4143683,4.8864658)";4.8864658;52.4143683;
58;"Buurtcentrum De Meeuw";1686;3;17;1440;86.6;"GroenLinks";286;0;"DENK";166;0;109;100;155;157;23;159;15;286;5;99;54;0;7;166;0;25;0;4;0;11;63;2;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9177802,52.3844229)";"POINT(52.3844229,4.9177802)";4.9177802;52.3844229;
59;"Buurtcentrum De Valk";1557;1;10;909;59.1;"GroenLinks";217;0;"PVV";102;0;71;69;102;86;20;95;16;217;0;65;31;0;4;92;2;10;0;0;2;7;19;1;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9110982,52.3829848)";"POINT(52.3829848,4.9110982)";4.9110982;52.3829848;
60;"Buurtcentrum Kraaipan";1305;1;4;710;54.8;"GroenLinks";170;0;"D66";129;0;71;50;39;45;9;129;8;170;0;52;12;0;1;81;3;5;1;0;0;6;26;0;2;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9173672,52.351319)";"POINT(52.351319,4.9173672)";4.9173672;52.351319;
61;"Buurtcentrum Oosterpark";1527;2;5;900;59.4;"GroenLinks";228;0;"D66";177;0;106;69;20;44;10;177;14;228;1;80;10;0;0;87;3;9;0;1;1;7;32;1;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9202368,52.3575141)";"POINT(52.3575141,4.9202368)";4.9202368;52.3575141;
62;"Buurthuis De Havelaar";1395;0;6;995;71.8;"GroenLinks";255;0;"D66";220;0;139;69;29;74;22;220;4;255;0;88;21;0;0;31;0;14;3;0;1;10;13;0;2;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.865421,52.3691603)";"POINT(52.3691603,4.865421)";4.865421;52.3691603;
63;"Buurthuis Gein";2895;4;16;1613;56.4;"Artikel 1";232;0;"GroenLinks";212;0;114;188;157;196;51;148;78;212;11;87;63;3;3;36;4;15;0;0;0;11;232;3;0;1;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9870531,52.2959334)";"POINT(52.2959334,4.9870531)";4.9870531;52.2959334;
64;"Buurthuis Jacob Maris";1177;3;11;640;55.6;"GroenLinks";122;0;"D66";98;0;57;54;47;47;13;98;7;122;1;49;13;0;0;96;0;8;1;1;0;1;25;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8552868,52.3656966)";"POINT(52.3656966,4.8552868)";4.8552868;52.3656966;
65;"Cafe Kanis en Meiland";1440;1;1;1200;83.5;"GroenLinks";369;0;"D66";218;0;149;152;47;64;18;218;9;369;0;115;19;1;0;5;1;6;0;0;0;6;20;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.940511,52.376332)";"POINT(52.376332,4.940511)";4.940511;52.376332;
66;"Calvijn College";2440;5;17;1906;79.0;"D66";393;0;"GroenLinks";349;0;288;129;102;91;85;393;45;349;4;93;30;0;5;235;4;25;0;0;0;4;20;2;2;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8315771,52.3561789)";"POINT(52.3561789,4.8315771)";4.8315771;52.3561789;
67;"Centraal Station - Restaurant 1e klas";0;3;13;2670;0;"GroenLinks";776;0;"D66";716;0;346;173;76;93;53;716;27;776;2;201;18;1;7;55;0;41;1;3;1;23;55;0;1;1;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9001162,52.3785712)";"POINT(52.3785712,4.9001162)";4.9001162;52.3785712;
