OBJECTNUMMER;Stemlocatie;Opgeroepenen;Blanco;Ongeldig;Geldig;Opkomstpercentage;Grootste_partij;Grootste_aantal;Grootste_percentage;Tweede_partij;Tweede_aantal;Tweede_percentage;_1__VVD;_2__PvdA;_3__PVV;_4__SP;_5__CDA;_6__D66;_7__ChristenUnie;_8__GroenLinks;_9__SGP;_10__Partij_voor_de_Dieren;_11__50PLUS;_12__OndernemersPartij;_13__VoorNederland;_14__DENK;_15__NIEUWE_WEGEN;_16__Forum_voor_Democratie;_17__De_Burger_Beweging;_18__Vrijzinnige_Partij;_19__GeenPeil;_20__Piratenpartij;_21__Artikel_1;_22__Niet_Stemmers;_23__Libertarische_Partij;_24__Lokaal_in_de_Kamer;_Overig_totaal;__1__VVD;__2__PvdA;__3__PVV;__4__SP;__5__CDA;__6__D66;__7__ChristenUnie;__8__GroenLinks;__9__SGP;__10__Partij_voor_de_Dieren;__11__50PLUS;__12__OndernemersPartij;__13__VoorNederland;__14__DENK;__15__NIEUWE_WEGEN;__16__Forum_voor_Democratie;__17__De_Burger_Beweging;__18__Vrijzinnige_Partij;__19__GeenPeil;__20__Piratenpartij;__21__Artikel_1;__22__Niet_Stemmers;__23__Libertarische_Partij;__24__Lokaal_in_de_Kamer;__Overig_totaal;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
517;"Louis Bouwmeesterschool";2928;5;22;1555;54.0;"GroenLinks";0;14.8;"DENK";0;13.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.7;8.8;13.1;9.3;4.4;10.9;1.5;14.8;0.1;4.9;3.7;0.1;0.1;13.4;0;1;0.3;0;0;0.5;2.2;0.2;0;0.1;1.4;"POINT(4.82005,52.3553435)";"POINT(52.3553435,4.82005)";4.82005;52.3553435;
518;"Lucas Community";1474;10;20;1270;88.2;"PVV";0;16.8;"DENK";0;15.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.4;10.5;16.8;8.9;4.8;10.3;1.7;8.6;0.3;3.1;6;0.2;0.1;15.5;0.3;1.7;0.1;0;0;0.2;1.6;0;0;0;1.1;"POINT(4.8006818,52.3636328)";"POINT(52.3636328,4.8006818)";4.8006818;52.3636328;
519;"Marcanti College";1404;1;4;960;68.7;"GroenLinks";0;23;"D66";0;20.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.7;6.4;7.6;5.9;3.2;20.9;1.3;23;0.1;6.1;1.5;0.1;0.1;7;0;1.7;0;0;0;0.7;1.5;0.2;0;0;1.3;"POINT(4.866142,52.3752104)";"POINT(52.3752104,4.866142)";4.866142;52.3752104;
520;"Marius ten Catehof";1177;1;6;981;83.9;"VVD";0;26.9;"D66";0;17.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.9;8.2;9.5;6.6;6.5;17.6;1.4;9.8;0.1;6.3;3.4;0.3;0.1;0.2;0.1;1.6;0.1;0;0.1;0.4;0.4;0.2;0;0.1;1.5;"POINT(4.8588259,52.3273093)";"POINT(52.3273093,4.8588259)";4.8588259;52.3273093;
521;"Mazzo";1411;1;5;1272;90.6;"D66";0;24.3;"GroenLinks";0;23.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.5;7.2;3.9;5.7;2.8;24.3;0.6;23.5;0.1;9.5;0.2;0;0;1.3;0.2;2;0;0.1;0.1;0.5;0.5;0.1;0;0;1.0;"POINT(4.8791768,52.373181)";"POINT(52.373181,4.8791768)";4.8791768;52.373181;
522;"MC Slotervaart";1463;4;8;1394;96.1;"GroenLinks";0;20.9;"D66";0;19.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.6;9;5.8;4.6;4.3;19.4;1.3;20.9;0;6.6;1.6;0.1;0.6;5.7;0.1;1.5;0.1;0;0;0.5;1.1;0;0;0.2;1.5;"POINT(4.8245962,52.3475615)";"POINT(52.3475615,4.8245962)";4.8245962;52.3475615;
523;"Menno Simonszhuis/Dynamo";824;3;1;765;93.3;"VVD";0;31.1;"D66";0;16.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31.1;9.4;8.5;4.4;5.8;16.9;2.4;8.4;0.1;5.8;2.9;0;0.3;0.3;0.1;2.7;0;0;0.1;0.1;0.5;0.1;0;0.1;1.0;"POINT(4.8665192,52.3267867)";"POINT(52.3267867,4.8665192)";4.8665192;52.3267867;
524;"Mentrum";2750;6;4;2767;101.0;"GroenLinks";0;24.1;"D66";0;23.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.7;8.3;2.7;5.2;2.1;23.8;1.1;24.1;0.2;8.2;0.7;0;0.1;0.7;0.1;1.3;0;0;0;0.5;0.9;0.1;0;0;1.0;"POINT(4.8736508,52.3646819)";"POINT(52.3646819,4.8736508)";4.8736508;52.3646819;
525;"Mixtup";1459;1;6;1282;88.3;"D66";0;24.4;"GroenLinks";0;23.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.3;8.7;3.9;4.5;1.2;24.4;0.5;23.7;0.1;8.8;0.5;0;0.3;0.8;0.2;1.7;0.1;0;0;0.7;0.5;0;0.1;0;1.4;"POINT(4.8904979,52.3574645)";"POINT(52.3574645,4.8904979)";4.8904979;52.3574645;
526;"MKC Zeeburgereiland";1428;0;0;611;42.8;"GroenLinks";0;29.5;"D66";0;25.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.7;6.5;2.8;2.9;1.6;25.4;0.7;29.5;0.2;7.5;0.7;0.2;0.2;1.6;0.5;1.1;0;0;0;1.5;2.3;0;0.2;0;2.6;"POINT(4.9699471,52.3724486)";"POINT(52.3724486,4.9699471)";4.9699471;52.3724486;
