OBJECTNUMMER;SELECTIE;KLASSE;SOORT;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
8380;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.874982 52.424448,4.874935 52.424343,4.874905 52.424352,4.874907 52.424449,4.874925 52.424642,4.874975 52.424514,4.874982 52.424448))";"POLYGON((52.424448 4.874982,52.424343 4.874935,52.424352 4.874905,52.424449 4.874907,52.424642 4.874925,52.424514 4.874975,52.424448 4.874982))";4.8749485;52.4244855;
8381;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842604 52.359648,4.842467 52.359547,4.842485 52.359666,4.842481 52.359728,4.842499 52.359722,4.8426 52.3597,4.842599 52.359667,4.842604 52.359648))";"POLYGON((52.359648 4.842604,52.359547 4.842467,52.359666 4.842485,52.359728 4.842481,52.359722 4.842499,52.3597 4.8426,52.359667 4.842599,52.359648 4.842604))";4.8425405;52.3596305;
8382;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.84269 52.356952,4.842551 52.356871,4.842541 52.356869,4.842548 52.35695,4.842543 52.35697,4.842547 52.356983,4.842538 52.357039,4.842546 52.357038,4.842681 52.356972,4.84269 52.356952))";"POLYGON((52.356952 4.84269,52.356871 4.842551,52.356869 4.842541,52.35695 4.842548,52.35697 4.842543,52.356983 4.842547,52.357039 4.842538,52.357038 4.842546,52.356972 4.842681,52.356952 4.84269))";4.842619;52.356947;
8383;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.892872 52.33431,4.892645 52.334079,4.892642 52.334162,4.892594 52.33415,4.892639 52.334171,4.892847 52.334316,4.892872 52.33431))";"POLYGON((52.33431 4.892872,52.334079 4.892645,52.334162 4.892642,52.33415 4.892594,52.334171 4.892639,52.334316 4.892847,52.33431 4.892872))";4.892738;52.3341905;
8384;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.870998 52.428332,4.87095 52.428365,4.870948 52.428371,4.87075 52.428548,4.870737 52.42855,4.870733 52.428559,4.870535 52.428749,4.870555 52.428747,4.870771 52.428566,4.87097 52.428377,4.870998 52.428332))";"POLYGON((52.428332 4.870998,52.428365 4.87095,52.428371 4.870948,52.428548 4.87075,52.42855 4.870737,52.428559 4.870733,52.428749 4.870535,52.428747 4.870555,52.428566 4.870771,52.428377 4.87097,52.428332 4.870998))";4.8707715;52.4285335;
8385;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842279 52.371051,4.842135 52.370982,4.842129 52.370982,4.842144 52.371049,4.842128 52.37117,4.842132 52.37117,4.842279 52.371051))";"POLYGON((52.371051 4.842279,52.370982 4.842135,52.370982 4.842129,52.371049 4.842144,52.37117 4.842128,52.37117 4.842132,52.371051 4.842279))";4.8422085;52.371069;
8386;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842047 52.371295,4.842043 52.371295,4.8419 52.371417,4.842036 52.371484,4.84204 52.371484,4.842034 52.371418,4.842047 52.371295))";"POLYGON((52.371295 4.842047,52.371295 4.842043,52.371417 4.8419,52.371484 4.842036,52.371484 4.84204,52.371418 4.842034,52.371295 4.842047))";4.8419785;52.3713825;
8387;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.834922 52.384819,4.834909 52.384809,4.834751 52.384723,4.834772 52.384718,4.83471 52.384713,4.834632 52.384714,4.834554 52.38473,4.834708 52.384744,4.834794 52.384803,4.834819 52.38483,4.834842 52.384836,4.834922 52.384819))";"POLYGON((52.384819 4.834922,52.384809 4.834909,52.384723 4.834751,52.384718 4.834772,52.384713 4.83471,52.384714 4.834632,52.38473 4.834554,52.384744 4.834708,52.384803 4.834794,52.38483 4.834819,52.384836 4.834842,52.384819 4.834922))";4.834743;52.3847675;
8388;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842466 52.356765,4.842456 52.356767,4.842316 52.356835,4.842448 52.356934,4.842458 52.356937,4.842453 52.356865,4.842462 52.356836,4.842455 52.356815,4.842466 52.356765))";"POLYGON((52.356765 4.842466,52.356767 4.842456,52.356835 4.842316,52.356934 4.842448,52.356937 4.842458,52.356865 4.842453,52.356836 4.842462,52.356815 4.842455,52.356765 4.842466))";4.842396;52.356844;
8389;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842456 52.35699,4.842447 52.356991,4.84231 52.357059,4.842441 52.357161,4.84245 52.357162,4.842445 52.357082,4.842451 52.357061,4.842447 52.357046,4.842456 52.35699))";"POLYGON((52.35699 4.842456,52.356991 4.842447,52.357059 4.84231,52.357161 4.842441,52.357162 4.84245,52.357082 4.842445,52.357061 4.842451,52.357046 4.842447,52.35699 4.842456))";4.842388;52.357069;
