OBJECTNUMMER;HYDRO_ID;Afbeelding;Toelichting;Link_URL;PDF;PDF2;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
11;38;"";"Oplossingenkaart:";"";"IB20170098_38_ Stadion- en Apollobuurt.pdf";"";"POLYGON((4.8535230 52.3466990,4.8529450 52.3465230,4.8524310 52.3462490,4.8520600 52.3459250,4.8517580 52.3455120,4.8516950 52.3451980,4.8521030 52.3441050,4.8521770 52.3441140,4.8529460 52.3419600,4.8531400 52.3418940,4.8595380 52.3427380,4.8625500 52.3427060,4.8669470 52.3440270,4.8716170 52.3446170,4.8784620 52.3448650,4.8857500 52.3484420,4.8835390 52.3503190,4.8734990 52.3519770,4.8716000 52.3520760,4.8701150 52.3517830,4.8612660 52.3494960,4.8589980 52.3475030,4.8535230 52.3466990))";"POLYGON((52.3466990 4.8535230,52.3465230 4.8529450,52.3462490 4.8524310,52.3459250 4.8520600,52.3455120 4.8517580,52.3451980 4.8516950,52.3441050 4.8521030,52.3441140 4.8521770,52.3419600 4.8529460,52.3418940 4.8531400,52.3427380 4.8595380,52.3427060 4.8625500,52.3440270 4.8669470,52.3446170 4.8716170,52.3448650 4.8784620,52.3484420 4.8857500,52.3503190 4.8835390,52.3519770 4.8734990,52.3520760 4.8716000,52.3517830 4.8701150,52.3494960 4.8612660,52.3475030 4.8589980,52.3466990 4.8535230))";4.8687275;52.346978;
12;37;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.8872870 52.3600580,4.8877760 52.3597880,4.8889070 52.3587730,4.8898550 52.3583650,4.8908700 52.3581990,4.8947910 52.3579350,4.8977970 52.3578380,4.8991390 52.3579090,4.9040910 52.3589220,4.9052220 52.3561580,4.9068550 52.3541130,4.9084320 52.3525620,4.9099140 52.3499900,4.8961620 52.3480860,4.8867090 52.3486150,4.8870190 52.3598390,4.8872870 52.3600580))";"POLYGON((52.3600580 4.8872870,52.3597880 4.8877760,52.3587730 4.8889070,52.3583650 4.8898550,52.3581990 4.8908700,52.3579350 4.8947910,52.3578380 4.8977970,52.3579090 4.8991390,52.3589220 4.9040910,52.3561580 4.9052220,52.3541130 4.9068550,52.3525620 4.9084320,52.3499900 4.9099140,52.3480860 4.8961620,52.3486150 4.8867090,52.3598390 4.8870190,52.3600580 4.8872870))";4.8983165;52.354065;
13;40;"";"Oplossingenkaart:";"";"IB20170091_40_Rivierenbuurt.pdf";"";"POLYGON((4.9099990 52.3497370,4.8961910 52.3478520,4.8868190 52.3482920,4.8865590 52.3481830,4.8864120 52.3479250,4.8859150 52.3443300,4.8856180 52.3422240,4.8857620 52.3421410,4.8859070 52.3422230,4.8865270 52.3421730,4.8864060 52.3411600,4.8853900 52.3412270,4.8852340 52.3398130,4.8879890 52.3392020,4.8913050 52.3377890,4.8920820 52.3377320,4.8949980 52.3358120,4.8987620 52.3379870,4.8992660 52.3381320,4.9027510 52.3372430,4.9028580 52.3374200,4.9054860 52.3367180,4.9063550 52.3370780,4.9066380 52.3379120,4.9074050 52.3387470,4.9083710 52.3391080,4.9090490 52.3392890,4.9102090 52.3397690,4.9121180 52.3402460,4.9135590 52.3412370,4.9140450 52.3423370,4.9133620 52.3435620,4.9126440 52.3456010,4.9117760 52.3475630,4.9099990 52.3497370))";"POLYGON((52.3497370 4.9099990,52.3478520 4.8961910,52.3482920 4.8868190,52.3481830 4.8865590,52.3479250 4.8864120,52.3443300 4.8859150,52.3422240 4.8856180,52.3421410 4.8857620,52.3422230 4.8859070,52.3421730 4.8865270,52.3411600 4.8864060,52.3412270 4.8853900,52.3398130 4.8852340,52.3392020 4.8879890,52.3377890 4.8913050,52.3377320 4.8920820,52.3358120 4.8949980,52.3379870 4.8987620,52.3381320 4.8992660,52.3372430 4.9027510,52.3374200 4.9028580,52.3367180 4.9054860,52.3370780 4.9063550,52.3379120 4.9066380,52.3387470 4.9074050,52.3391080 4.9083710,52.3392890 4.9090490,52.3397690 4.9102090,52.3402460 4.9121180,52.3412370 4.9135590,52.3423370 4.9140450,52.3435620 4.9133620,52.3456010 4.9126440,52.3475630 4.9117760,52.3497370 4.9099990))";4.8996445;52.3427675;
14;39;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.885606 52.344543,4.88547 52.344299,4.884902 52.339859,4.883365 52.339939,4.880511 52.339891,4.877366 52.339913,4.877473 52.340769,4.876309 52.340764,4.876262 52.33973,4.869452 52.339522,4.869259 52.339098,4.863725 52.339133,4.857908 52.338691,4.857419 52.340786,4.857202 52.340888,4.856937 52.338687,4.848304 52.338232,4.848592 52.33859,4.84907 52.339067,4.848763 52.340434,4.849461 52.340824,4.849263 52.34275,4.849799 52.343994,4.850016 52.34437,4.850117 52.34461,4.850269 52.344746,4.850767 52.344854,4.850958 52.344857,4.851101 52.344807,4.851177 52.344717,4.851351 52.343873,4.852059 52.342518,4.852376 52.341775,4.85284 52.341584,4.859517 52.342475,4.863444 52.342414,4.863453 52.342312,4.865226 52.342376,4.865218 52.343045,4.867072 52.343757,4.871492 52.344311,4.876498 52.34451,4.878652 52.344627,4.881401 52.345913,4.884846 52.347633,4.885927 52.347585,4.885963 52.347541,4.885606 52.344543))";"POLYGON((52.344543 4.885606,52.344299 4.88547,52.339859 4.884902,52.339939 4.883365,52.339891 4.880511,52.339913 4.877366,52.340769 4.877473,52.340764 4.876309,52.33973 4.876262,52.339522 4.869452,52.339098 4.869259,52.339133 4.863725,52.338691 4.857908,52.340786 4.857419,52.340888 4.857202,52.338687 4.856937,52.338232 4.848304,52.33859 4.848592,52.339067 4.84907,52.340434 4.848763,52.340824 4.849461,52.34275 4.849263,52.343994 4.849799,52.34437 4.850016,52.34461 4.850117,52.344746 4.850269,52.344854 4.850767,52.344857 4.850958,52.344807 4.851101,52.344717 4.851177,52.343873 4.851351,52.342518 4.852059,52.341775 4.852376,52.341584 4.85284,52.342475 4.859517,52.342414 4.863444,52.342312 4.863453,52.342376 4.865226,52.343045 4.865218,52.343757 4.867072,52.344311 4.871492,52.34451 4.876498,52.344627 4.878652,52.345913 4.881401,52.347633 4.884846,52.347585 4.885927,52.347541 4.885963,52.344543 4.885606))";4.8671385;52.3429255;
15;55;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.941059 52.317112,4.942473 52.316374,4.955362 52.302659,4.944634 52.298994,4.943279 52.29881,4.941776 52.298834,4.940317 52.299274,4.936619 52.300509,4.933241 52.303766,4.929713 52.307319,4.929904 52.307588,4.92966 52.307824,4.929947 52.308093,4.92941 52.308567,4.930229 52.309045,4.930275 52.309313,4.934661 52.312006,4.936644 52.312578,4.935563 52.313881,4.938801 52.314994,4.938889 52.315856,4.938595 52.316301,4.939852 52.316692,4.941059 52.317112))";"POLYGON((52.317112 4.941059,52.316374 4.942473,52.302659 4.955362,52.298994 4.944634,52.29881 4.943279,52.298834 4.941776,52.299274 4.940317,52.300509 4.936619,52.303766 4.933241,52.307319 4.929713,52.307588 4.929904,52.307824 4.92966,52.308093 4.929947,52.308567 4.92941,52.309045 4.930229,52.309313 4.930275,52.312006 4.934661,52.312578 4.936644,52.313881 4.935563,52.314994 4.938801,52.315856 4.938889,52.316301 4.938595,52.316692 4.939852,52.317112 4.941059))";4.942391;52.307954;
16;54;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.961363 52.288543,4.961343 52.288544,4.95454 52.287819,4.951685 52.288867,4.947107 52.294646,4.943561 52.298155,4.955608 52.302364,4.960802 52.296615,4.966042 52.291105,4.965511 52.290836,4.965807 52.290391,4.961313 52.288888,4.961363 52.288543))";"POLYGON((52.288543 4.961363,52.288544 4.961343,52.287819 4.95454,52.288867 4.951685,52.294646 4.947107,52.298155 4.943561,52.302364 4.955608,52.296615 4.960802,52.291105 4.966042,52.290836 4.965511,52.290391 4.965807,52.288888 4.961313,52.288543 4.961363))";4.9548065;52.2950845;
17;52;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.983451 52.311913,4.987808 52.307321,4.987034 52.30714,4.986012 52.307404,4.985672 52.307611,4.983111 52.306591,4.981757 52.306171,4.984694 52.30309,4.985082 52.30315,4.985952 52.303302,4.986584 52.303185,4.987213 52.303336,4.987017 52.303662,4.986627 52.30381,4.986868 52.304048,4.987353 52.303901,4.98818 52.303696,4.989295 52.30364,4.989638 52.303314,4.990173 52.303227,4.991335 52.30329,4.992355 52.303175,4.99279 52.303147,4.996899 52.304706,4.998549 52.304533,4.99996 52.303914,5.000797 52.3024,5.000659 52.301656,5.000819 52.299874,5.000751 52.296604,4.995516 52.296497,4.978887 52.296412,4.978016 52.296289,4.977 52.296226,4.976031 52.296045,4.972255 52.295407,4.970948 52.295165,4.969255 52.294832,4.967077 52.294468,4.966399 52.294436,4.965428 52.294492,4.964748 52.294608,4.964019 52.294814,4.963387 52.295019,4.956429 52.302663,4.983451 52.311913))";"POLYGON((52.311913 4.983451,52.307321 4.987808,52.30714 4.987034,52.307404 4.986012,52.307611 4.985672,52.306591 4.983111,52.306171 4.981757,52.30309 4.984694,52.30315 4.985082,52.303302 4.985952,52.303185 4.986584,52.303336 4.987213,52.303662 4.987017,52.30381 4.986627,52.304048 4.986868,52.303901 4.987353,52.303696 4.98818,52.30364 4.989295,52.303314 4.989638,52.303227 4.990173,52.30329 4.991335,52.303175 4.992355,52.303147 4.99279,52.304706 4.996899,52.304533 4.998549,52.303914 4.99996,52.3024 5.000797,52.301656 5.000659,52.299874 5.000819,52.296604 5.000751,52.296497 4.995516,52.296412 4.978887,52.296289 4.978016,52.296226 4.977,52.296045 4.976031,52.295407 4.972255,52.295165 4.970948,52.294832 4.969255,52.294468 4.967077,52.294436 4.966399,52.294492 4.965428,52.294608 4.964748,52.294814 4.964019,52.295019 4.963387,52.302663 4.956429,52.311913 4.983451))";4.978629;52.3031675;
18;53;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.963584 52.294664,4.965674 52.294225,4.966933 52.294289,4.968773 52.294563,4.970564 52.294896,4.973613 52.295501,4.975888 52.295807,4.978695 52.296262,4.981895 52.296273,5.000753 52.296425,5.001011 52.294702,4.999056 52.29098,4.997276 52.289369,4.995142 52.28951,4.99359 52.289476,4.99034 52.289762,4.983691 52.290572,4.983547 52.290453,4.982732 52.289558,4.975199 52.286411,4.972403 52.284737,4.963584 52.294664))";"POLYGON((52.294664 4.963584,52.294225 4.965674,52.294289 4.966933,52.294563 4.968773,52.294896 4.970564,52.295501 4.973613,52.295807 4.975888,52.296262 4.978695,52.296273 4.981895,52.296425 5.000753,52.294702 5.001011,52.29098 4.999056,52.289369 4.997276,52.28951 4.995142,52.289476 4.99359,52.289762 4.99034,52.290572 4.983691,52.290453 4.983547,52.289558 4.982732,52.286411 4.975199,52.284737 4.972403,52.294664 4.963584))";4.9823025;52.290574;
19;34;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.973287 52.367661,4.973254 52.367657,4.972754 52.367532,4.972734 52.367531,4.972738 52.36754,4.971999 52.367934,4.971985 52.367961,4.969978 52.368185,4.969509 52.36854,4.969041 52.368681,4.961428 52.368511,4.958165 52.368524,4.958464 52.36976,4.957536 52.373253,4.956926 52.376057,4.95669 52.376293,4.956529 52.377077,4.956521 52.37791,4.956979 52.378625,4.958558 52.380105,4.961519 52.379355,4.96098 52.378758,4.964612 52.376869,4.963646 52.3762,4.962799 52.375388,4.962455 52.374864,4.962151 52.374268,4.962733 52.374223,4.962959 52.374937,4.963536 52.375652,4.965003 52.37668,4.973592 52.372169,4.974022 52.371908,4.977536 52.369946,4.979682 52.369122,4.978947 52.368716,4.978208 52.368689,4.977587 52.368711,4.973781 52.368555,4.973511 52.368459,4.973287 52.367661))";"POLYGON((52.367661 4.973287,52.367657 4.973254,52.367532 4.972754,52.367531 4.972734,52.36754 4.972738,52.367934 4.971999,52.367961 4.971985,52.368185 4.969978,52.36854 4.969509,52.368681 4.969041,52.368511 4.961428,52.368524 4.958165,52.36976 4.958464,52.373253 4.957536,52.376057 4.956926,52.376293 4.95669,52.377077 4.956529,52.37791 4.956521,52.378625 4.956979,52.380105 4.958558,52.379355 4.961519,52.378758 4.96098,52.376869 4.964612,52.3762 4.963646,52.375388 4.962799,52.374864 4.962455,52.374268 4.962151,52.374223 4.962733,52.374937 4.962959,52.375652 4.963536,52.37668 4.965003,52.372169 4.973592,52.371908 4.974022,52.369946 4.977536,52.369122 4.979682,52.368716 4.978947,52.368689 4.978208,52.368711 4.977587,52.368555 4.973781,52.368459 4.973511,52.367661 4.973287))";4.9681065;52.373811;
20;32;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.917744 52.379674,4.922713 52.38024,4.937426 52.377752,4.93867 52.377709,4.940886 52.377623,4.948616 52.377818,4.948699 52.377272,4.948703 52.376915,4.948432 52.376723,4.947968 52.376532,4.947463 52.376506,4.938103 52.376209,4.938379 52.375711,4.937952 52.375733,4.937323 52.376326,4.93511 52.376222,4.935103 52.376864,4.920195 52.37947,4.917826 52.37927,4.917744 52.379674))";"POLYGON((52.379674 4.917744,52.38024 4.922713,52.377752 4.937426,52.377709 4.93867,52.377623 4.940886,52.377818 4.948616,52.377272 4.948699,52.376915 4.948703,52.376723 4.948432,52.376532 4.947968,52.376506 4.947463,52.376209 4.938103,52.375711 4.938379,52.375733 4.937952,52.376326 4.937323,52.376222 4.93511,52.376864 4.935103,52.37947 4.920195,52.37927 4.917826,52.379674 4.917744))";4.9332285;52.3779685;
