OBJECTNUMMER;HYDRO_ID;Afbeelding;Toelichting;Link_URL;PDF;PDF2;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
21;31;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.91247 52.378749,4.939756 52.374004,4.939948 52.374171,4.938421 52.37533,4.938849 52.375332,4.940064 52.374219,4.940377 52.374102,4.940573 52.373794,4.943251 52.374136,4.944527 52.374735,4.948992 52.37518,4.94919 52.374729,4.949426 52.374444,4.94955 52.373684,4.94928 52.373445,4.938996 52.372337,4.938966 52.371457,4.951618 52.372907,4.951855 52.372385,4.947237 52.371868,4.947356 52.37163,4.951508 52.37205,4.951628 52.371646,4.940142 52.370415,4.939753 52.37039,4.938744 52.370267,4.938707 52.370172,4.937969 52.370098,4.937889 52.370312,4.936725 52.370235,4.936147 52.369829,4.934825 52.3698,4.934478 52.369585,4.934171 52.369204,4.933982 52.36868,4.934073 52.367467,4.932636 52.367414,4.933592 52.368845,4.93366 52.369772,4.933572 52.370771,4.933329 52.371816,4.932541 52.372931,4.931325 52.373948,4.929998 52.374586,4.927816 52.375148,4.924704 52.375587,4.921551 52.376027,4.914041 52.377115,4.911244 52.377104,4.9112 52.377627,4.912244 52.378011,4.91247 52.378749))";"POLYGON((52.378749 4.91247,52.374004 4.939756,52.374171 4.939948,52.37533 4.938421,52.375332 4.938849,52.374219 4.940064,52.374102 4.940377,52.373794 4.940573,52.374136 4.943251,52.374735 4.944527,52.37518 4.948992,52.374729 4.94919,52.374444 4.949426,52.373684 4.94955,52.373445 4.94928,52.372337 4.938996,52.371457 4.938966,52.372907 4.951618,52.372385 4.951855,52.371868 4.947237,52.37163 4.947356,52.37205 4.951508,52.371646 4.951628,52.370415 4.940142,52.37039 4.939753,52.370267 4.938744,52.370172 4.938707,52.370098 4.937969,52.370312 4.937889,52.370235 4.936725,52.369829 4.936147,52.3698 4.934825,52.369585 4.934478,52.369204 4.934171,52.36868 4.933982,52.367467 4.934073,52.367414 4.932636,52.368845 4.933592,52.369772 4.93366,52.370771 4.933572,52.371816 4.933329,52.372931 4.932541,52.373948 4.931325,52.374586 4.929998,52.375148 4.927816,52.375587 4.924704,52.376027 4.921551,52.377115 4.914041,52.377104 4.911244,52.377627 4.9112,52.378011 4.912244,52.378749 4.91247))";4.9315325;52.3730745;
22;33;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.95485 52.372133,4.955814 52.368737,4.955664 52.368261,4.95555 52.367927,4.955125 52.367712,4.954427 52.367638,4.953651 52.367563,4.953456 52.367539,4.946377 52.367398,4.946386 52.367236,4.950928 52.367268,4.951057 52.367174,4.950137 52.366935,4.932757 52.36676,4.932115 52.366756,4.932309 52.367087,4.939392 52.367164,4.939415 52.367393,4.934307 52.367397,4.934213 52.368918,4.934444 52.369205,4.935023 52.369397,4.938171 52.369456,4.938091 52.369694,4.93875 52.369672,4.938871 52.36934,4.952933 52.369463,4.953168 52.369203,4.953557 52.369157,4.953709 52.369538,4.953072 52.371033,4.954036 52.371869,4.95438 52.372465,4.95485 52.372133),(4.939652 52.367166,4.945944 52.367234,4.945943 52.367394,4.93965 52.367393,4.939652 52.367166))";"POLYGON((52.372133 4.95485,52.368737 4.955814,52.368261 4.955664,52.367927 4.95555,52.367712 4.955125,52.367638 4.954427,52.367563 4.953651,52.367539 4.953456,52.367398 4.946377,52.367236 4.946386,52.367268 4.950928,52.367174 4.951057,52.366935 4.950137,52.36676 4.932757,52.366756 4.932115,52.367087 4.932309,52.367164 4.939392,52.367393 4.939415,52.367397 4.934307,52.368918 4.934213,52.369205 4.934444,52.369397 4.935023,52.369456 4.938171,52.369694 4.938091,52.369672 4.93875,52.36934 4.938871,52.369463 4.952933,52.369203 4.953168,52.369157 4.953557,52.369538 4.953709,52.371033 4.953072,52.371869 4.954036,52.372465 4.95438,52.372133 4.95485),(52.367166 4.939652,52.367234 4.945944,52.367394 4.945943,52.367393 4.93965,52.367166 4.939652))";4.9439695;52.3696035;
23;57;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.961424 52.382569,4.959437 52.38353,4.956364 52.384185,4.953793 52.384296,4.951918 52.38408,4.950241 52.384021,4.946608 52.384092,4.944199 52.3842,4.942814 52.383846,4.939012 52.383847,4.93751 52.383953,4.936619 52.38436,4.931692 52.383558,4.926708 52.382875,4.926439 52.382646,4.912518 52.380977,4.91247 52.381246,4.910962 52.381234,4.910878 52.381614,4.910392 52.381641,4.908684 52.381753,4.905748 52.38117,4.903861 52.381693,4.907614 52.383574,4.908016 52.38297,4.908255 52.382834,4.909418 52.383674,4.910257 52.383227,4.910602 52.384076,4.911465 52.383898,4.914661 52.385913,4.916511 52.38684,4.924718 52.390509,4.926606 52.390904,4.9285 52.391221,4.932066 52.391439,4.934156 52.39137,4.940352 52.39086,4.941373 52.390645,4.944352 52.388673,4.945964 52.387593,4.947415 52.386587,4.946599 52.385889,4.946816 52.38574,4.950817 52.385615,4.952078 52.385678,4.953576 52.386177,4.956155 52.386052,4.958343 52.385521,4.962798 52.383724,4.961424 52.382569))";"POLYGON((52.382569 4.961424,52.38353 4.959437,52.384185 4.956364,52.384296 4.953793,52.38408 4.951918,52.384021 4.950241,52.384092 4.946608,52.3842 4.944199,52.383846 4.942814,52.383847 4.939012,52.383953 4.93751,52.38436 4.936619,52.383558 4.931692,52.382875 4.926708,52.382646 4.926439,52.380977 4.912518,52.381246 4.91247,52.381234 4.910962,52.381614 4.910878,52.381641 4.910392,52.381753 4.908684,52.38117 4.905748,52.381693 4.903861,52.383574 4.907614,52.38297 4.908016,52.382834 4.908255,52.383674 4.909418,52.383227 4.910257,52.384076 4.910602,52.383898 4.911465,52.385913 4.914661,52.38684 4.916511,52.390509 4.924718,52.390904 4.926606,52.391221 4.9285,52.391439 4.932066,52.39137 4.934156,52.39086 4.940352,52.390645 4.941373,52.388673 4.944352,52.387593 4.945964,52.386587 4.947415,52.385889 4.946599,52.38574 4.946816,52.385615 4.950817,52.385678 4.952078,52.386177 4.953576,52.386052 4.956155,52.385521 4.958343,52.383724 4.962798,52.382569 4.961424))";4.9333345;52.386201;
24;58;"";"Oplossingenkaart:";"";"IB20190079_58b_Waterlandpleinbuurt.pdf";"";"POLYGON((4.9689360 52.3871260,4.9666340 52.3900340,4.9643780 52.3924040,4.9615760 52.3958120,4.9598590 52.3974410,4.9584380 52.3986250,4.9563840 52.3999540,4.9549670 52.4008110,4.9539540 52.4001240,4.9528750 52.4004940,4.9491570 52.3957400,4.9464430 52.3964510,4.9440940 52.3936370,4.9402070 52.3946890,4.9350900 52.3930210,4.9343940 52.3929730,4.9336170 52.3929700,4.9245990 52.3951650,4.9225500 52.3918610,4.9214470 52.3906080,4.9193260 52.3890540,4.9147840 52.3866890,4.9131530 52.3857990,4.9125850 52.3854550,4.9120810 52.3850730,4.9112630 52.3842080,4.9138370 52.3858490,4.9152690 52.3866910,4.9165250 52.3872900,4.9172040 52.3874710,4.9191860 52.3884000,4.9241670 52.3906490,4.9241640 52.3909460,4.9245500 52.3911260,4.9248420 52.3910970,4.9251820 52.3910690,4.9263470 52.3912230,4.9274140 52.3914050,4.9292090 52.3915900,4.9308120 52.3916860,4.9328040 52.3917530,4.9342130 52.3916990,4.9403880 52.3911860,4.9409730 52.3910700,4.9416050 52.3909540,4.9454180 52.3885010,4.9473260 52.3871990,4.9481570 52.3866380,4.9474350 52.3860110,4.9506430 52.3859040,4.9518570 52.3859680,4.9534540 52.3865090,4.9553010 52.3864260,4.9563710 52.3863710,4.9584640 52.3858730,4.9597810 52.3854030,4.9598290 52.3853780,4.9610890 52.3854930,4.9625850 52.3856810,4.9643300 52.3861100,4.9660960 52.3865310,4.9677430 52.3869350,4.9681310 52.3869760,4.9689360 52.3871260))";"POLYGON((52.3871260 4.9689360,52.3900340 4.9666340,52.3924040 4.9643780,52.3958120 4.9615760,52.3974410 4.9598590,52.3986250 4.9584380,52.3999540 4.9563840,52.4008110 4.9549670,52.4001240 4.9539540,52.4004940 4.9528750,52.3957400 4.9491570,52.3964510 4.9464430,52.3936370 4.9440940,52.3946890 4.9402070,52.3930210 4.9350900,52.3929730 4.9343940,52.3929700 4.9336170,52.3951650 4.9245990,52.3918610 4.9225500,52.3906080 4.9214470,52.3890540 4.9193260,52.3866890 4.9147840,52.3857990 4.9131530,52.3854550 4.9125850,52.3850730 4.9120810,52.3842080 4.9112630,52.3858490 4.9138370,52.3866910 4.9152690,52.3872900 4.9165250,52.3874710 4.9172040,52.3884000 4.9191860,52.3906490 4.9241670,52.3909460 4.9241640,52.3911260 4.9245500,52.3910970 4.9248420,52.3910690 4.9251820,52.3912230 4.9263470,52.3914050 4.9274140,52.3915900 4.9292090,52.3916860 4.9308120,52.3917530 4.9328040,52.3916990 4.9342130,52.3911860 4.9403880,52.3910700 4.9409730,52.3909540 4.9416050,52.3885010 4.9454180,52.3871990 4.9473260,52.3866380 4.9481570,52.3860110 4.9474350,52.3859040 4.9506430,52.3859680 4.9518570,52.3865090 4.9534540,52.3864260 4.9553010,52.3863710 4.9563710,52.3858730 4.9584640,52.3854030 4.9597810,52.3853780 4.9598290,52.3854930 4.9610890,52.3856810 4.9625850,52.3861100 4.9643300,52.3865310 4.9660960,52.3869350 4.9677430,52.3869760 4.9681310,52.3871260 4.9689360))";4.9401045;52.3925025;
25;59;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.924823 52.395389,4.926842 52.397418,4.932966 52.402048,4.936247 52.40432,4.939475 52.407127,4.94357 52.405923,4.947863 52.404364,4.951231 52.40286,4.954748 52.40097,4.953878 52.400373,4.95305 52.400668,4.952806 52.400726,4.952563 52.400636,4.95242 52.400427,4.949014 52.395986,4.946237 52.396719,4.943932 52.393945,4.940278 52.394943,4.935144 52.393288,4.933736 52.393224,4.924823 52.395389))";"POLYGON((52.395389 4.924823,52.397418 4.926842,52.402048 4.932966,52.40432 4.936247,52.407127 4.939475,52.405923 4.94357,52.404364 4.947863,52.40286 4.951231,52.40097 4.954748,52.400373 4.953878,52.400668 4.95305,52.400726 4.952806,52.400636 4.952563,52.400427 4.95242,52.395986 4.949014,52.396719 4.946237,52.393945 4.943932,52.394943 4.940278,52.393288 4.935144,52.393224 4.933736,52.395389 4.924823))";4.9397905;52.4001685;
26;60;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.9323700 52.4025560,4.9264720 52.3977060,4.9264530 52.3977120,4.9262400 52.3975290,4.9250920 52.3963510,4.9245140 52.3958140,4.9231920 52.3939540,4.9222160 52.3924880,4.9217590 52.3916660,4.9211240 52.3909860,4.9195630 52.3897670,4.9186880 52.3897990,4.9198420 52.3909450,4.9203560 52.3919100,4.9212710 52.3935900,4.9222430 52.3955200,4.9229290 52.3967350,4.9224580 52.3972690,4.9212190 52.3986190,4.9215650 52.3990480,4.9225560 52.3990520,4.9227900 52.3989820,4.9230000 52.3990070,4.9234470 52.4007380,4.9238680 52.4014290,4.9249390 52.4031220,4.9257050 52.4041940,4.9257740 52.4050510,4.9256830 52.4062870,4.9256430 52.4063830,4.9260230 52.4072640,4.9269490 52.4079800,4.9278360 52.4086740,4.9289160 52.4094150,4.9294540 52.4101540,4.9299550 52.4106310,4.9340950 52.4086970,4.9387760 52.4072890,4.9323700 52.4025560))";"POLYGON((52.4025560 4.9323700,52.3977060 4.9264720,52.3977120 4.9264530,52.3975290 4.9262400,52.3963510 4.9250920,52.3958140 4.9245140,52.3939540 4.9231920,52.3924880 4.9222160,52.3916660 4.9217590,52.3909860 4.9211240,52.3897670 4.9195630,52.3897990 4.9186880,52.3909450 4.9198420,52.3919100 4.9203560,52.3935900 4.9212710,52.3955200 4.9222430,52.3967350 4.9229290,52.3972690 4.9224580,52.3986190 4.9212190,52.3990480 4.9215650,52.3990520 4.9225560,52.3989820 4.9227900,52.3990070 4.9230000,52.4007380 4.9234470,52.4014290 4.9238680,52.4031220 4.9249390,52.4041940 4.9257050,52.4050510 4.9257740,52.4062870 4.9256830,52.4063830 4.9256430,52.4072640 4.9260230,52.4079800 4.9269490,52.4086740 4.9278360,52.4094150 4.9289160,52.4101540 4.9294540,52.4106310 4.9299550,52.4086970 4.9340950,52.4072890 4.9387760,52.4025560 4.9323700))";4.928737;52.400192;
27;61;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.927233 52.409165,4.926596 52.408699,4.925845 52.407982,4.925265 52.407623,4.924981 52.407015,4.924813 52.406373,4.924765 52.405267,4.924594 52.40491,4.9246 52.404303,4.924316 52.403661,4.923855 52.403052,4.923511 52.402516,4.922993 52.401871,4.922533 52.401228,4.922422 52.400728,4.922427 52.400229,4.922201 52.39955,4.921155 52.399225,4.920095 52.400077,4.919335 52.400324,4.918049 52.400604,4.916881 52.400885,4.915652 52.401165,4.914081 52.40091,4.913442 52.400842,4.913206 52.400906,4.911399 52.400827,4.911291 52.400149,4.910416 52.400038,4.910003 52.400572,4.909185 52.400676,4.909005 52.401174,4.90438 52.402867,4.903673 52.403471,4.903668 52.403935,4.904305 52.404329,4.905522 52.404977,4.907146 52.405946,4.908697 52.408057,4.910551 52.409206,4.91143 52.40896,4.91183 52.409603,4.911069 52.40985,4.911584 52.410922,4.911697 52.411208,4.911927 52.411494,4.912213 52.411994,4.912264 52.412708,4.912432 52.413387,4.912487 52.413744,4.912655 52.414315,4.912882 52.414993,4.913107 52.415636,4.913571 52.415995,4.913913 52.416674,4.91391 52.41696,4.914256 52.417353,4.914312 52.417603,4.91636 52.416969,4.918763 52.415944,4.922338 52.414389,4.925738 52.412761,4.929255 52.411063,4.928678 52.410454,4.928161 52.409738,4.927872 52.409381,4.927233 52.409165))";"POLYGON((52.409165 4.927233,52.408699 4.926596,52.407982 4.925845,52.407623 4.925265,52.407015 4.924981,52.406373 4.924813,52.405267 4.924765,52.40491 4.924594,52.404303 4.9246,52.403661 4.924316,52.403052 4.923855,52.402516 4.923511,52.401871 4.922993,52.401228 4.922533,52.400728 4.922422,52.400229 4.922427,52.39955 4.922201,52.399225 4.921155,52.400077 4.920095,52.400324 4.919335,52.400604 4.918049,52.400885 4.916881,52.401165 4.915652,52.40091 4.914081,52.400842 4.913442,52.400906 4.913206,52.400827 4.911399,52.400149 4.911291,52.400038 4.910416,52.400572 4.910003,52.400676 4.909185,52.401174 4.909005,52.402867 4.90438,52.403471 4.903673,52.403935 4.903668,52.404329 4.904305,52.404977 4.905522,52.405946 4.907146,52.408057 4.908697,52.409206 4.910551,52.40896 4.91143,52.409603 4.91183,52.40985 4.911069,52.410922 4.911584,52.411208 4.911697,52.411494 4.911927,52.411994 4.912213,52.412708 4.912264,52.413387 4.912432,52.413744 4.912487,52.414315 4.912655,52.414993 4.912882,52.415636 4.913107,52.415995 4.913571,52.416674 4.913913,52.41696 4.91391,52.417353 4.914256,52.417603 4.914312,52.416969 4.91636,52.415944 4.918763,52.414389 4.922338,52.412761 4.925738,52.411063 4.929255,52.410454 4.928678,52.409738 4.928161,52.409381 4.927872,52.409165 4.927233))";4.9164665;52.408407;
28;65;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.877613 52.423087,4.878719 52.423413,4.880293 52.423455,4.882502 52.424178,4.883781 52.424576,4.885939 52.424692,4.889498 52.424743,4.892765 52.424684,4.895394 52.42441,4.898375 52.423923,4.9013 52.423114,4.902882 52.422586,4.905227 52.42149,4.907396 52.420571,4.909742 52.419404,4.913492 52.417885,4.912634 52.416348,4.912289 52.415848,4.911947 52.415133,4.911601 52.414632,4.911205 52.413631,4.910805 52.412809,4.91046 52.412344,4.910524 52.411774,4.910938 52.411241,4.910769 52.410669,4.910602 52.409955,4.909614 52.409523,4.908859 52.40927,4.909547 52.408861,4.908459 52.408196,4.907569 52.409872,4.906632 52.41026,4.90511 52.410789,4.903288 52.412065,4.902287 52.412882,4.901054 52.413697,4.900228 52.414443,4.899816 52.414905,4.899165 52.415687,4.897874 52.416395,4.896476 52.416318,4.895943 52.416283,4.894911 52.416031,4.892572 52.415893,4.890189 52.415531,4.889598 52.415521,4.886748 52.415065,4.886223 52.415063,4.885989 52.415097,4.883868 52.416802,4.877268 52.422694,4.877613 52.423087))";"POLYGON((52.423087 4.877613,52.423413 4.878719,52.423455 4.880293,52.424178 4.882502,52.424576 4.883781,52.424692 4.885939,52.424743 4.889498,52.424684 4.892765,52.42441 4.895394,52.423923 4.898375,52.423114 4.9013,52.422586 4.902882,52.42149 4.905227,52.420571 4.907396,52.419404 4.909742,52.417885 4.913492,52.416348 4.912634,52.415848 4.912289,52.415133 4.911947,52.414632 4.911601,52.413631 4.911205,52.412809 4.910805,52.412344 4.91046,52.411774 4.910524,52.411241 4.910938,52.410669 4.910769,52.409955 4.910602,52.409523 4.909614,52.40927 4.908859,52.408861 4.909547,52.408196 4.908459,52.409872 4.907569,52.41026 4.906632,52.410789 4.90511,52.412065 4.903288,52.412882 4.902287,52.413697 4.901054,52.414443 4.900228,52.414905 4.899816,52.415687 4.899165,52.416395 4.897874,52.416318 4.896476,52.416283 4.895943,52.416031 4.894911,52.415893 4.892572,52.415531 4.890189,52.415521 4.889598,52.415065 4.886748,52.415063 4.886223,52.415097 4.885989,52.416802 4.883868,52.422694 4.877268,52.423087 4.877613))";4.895385;52.4164625;
29;64;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.886791 52.414907,4.889649 52.415343,4.890194 52.415347,4.892623 52.415707,4.89497 52.415858,4.896374 52.415562,4.897787 52.415097,4.898922 52.414272,4.899841 52.413578,4.904945 52.409861,4.906385 52.408652,4.906843 52.407874,4.906092 52.406228,4.901857 52.404177,4.900591 52.40271,4.899555 52.401528,4.898957 52.400908,4.897958 52.4,4.897032 52.399378,4.896333 52.399185,4.896103 52.398993,4.895639 52.398706,4.894161 52.398795,4.893074 52.398648,4.891985 52.398739,4.891678 52.398262,4.891212 52.398308,4.887928 52.399863,4.889848 52.402011,4.886022 52.403469,4.881795 52.405972,4.876633 52.408661,4.871228 52.412014,4.865831 52.414559,4.866748 52.415942,4.866046 52.416129,4.867516 52.416897,4.866947 52.417263,4.86758 52.418014,4.868156 52.418552,4.869139 52.419376,4.870065 52.419951,4.871051 52.420491,4.873202 52.421142,4.874948 52.421577,4.876918 52.422656,4.883525 52.416785,4.885804 52.414962,4.886187 52.414901,4.886791 52.414907))";"POLYGON((52.414907 4.886791,52.415343 4.889649,52.415347 4.890194,52.415707 4.892623,52.415858 4.89497,52.415562 4.896374,52.415097 4.897787,52.414272 4.898922,52.413578 4.899841,52.409861 4.904945,52.408652 4.906385,52.407874 4.906843,52.406228 4.906092,52.404177 4.901857,52.40271 4.900591,52.401528 4.899555,52.400908 4.898957,52.4 4.897958,52.399378 4.897032,52.399185 4.896333,52.398993 4.896103,52.398706 4.895639,52.398795 4.894161,52.398648 4.893074,52.398739 4.891985,52.398262 4.891678,52.398308 4.891212,52.399863 4.887928,52.402011 4.889848,52.403469 4.886022,52.405972 4.881795,52.408661 4.876633,52.412014 4.871228,52.414559 4.865831,52.415942 4.866748,52.416129 4.866046,52.416897 4.867516,52.417263 4.866947,52.418014 4.86758,52.418552 4.868156,52.419376 4.869139,52.419951 4.870065,52.420491 4.871051,52.421142 4.873202,52.421577 4.874948,52.422656 4.876918,52.416785 4.883525,52.414962 4.885804,52.414901 4.886187,52.414907 4.886791))";4.886342;52.410452;
30;25;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.8773130 52.3666660,4.8746596 52.3658010,4.8717488 52.3649884,4.8676012 52.3639396,4.8576330 52.3614220,4.8573790 52.3606810,4.8553890 52.3581980,4.8544740 52.3567200,4.8519040 52.3488950,4.8502840 52.3450850,4.8511960 52.3450530,4.8512370 52.3452270,4.8514080 52.3456100,4.8517080 52.3460400,4.8521640 52.3464210,4.8529230 52.3469260,4.8532450 52.3469680,4.8587140 52.3477460,4.8609530 52.3497060,4.8706040 52.3522260,4.8715260 52.3524420,4.8735370 52.3523140,4.8838610 52.3505250,4.8854110 52.3493240,4.8862470 52.3493050,4.8862930 52.3499170,4.8863320 52.3556210,4.8865830 52.3598730,4.8870040 52.3602120,4.8844980 52.3615220,4.8839130 52.3617140,4.8823710 52.3618170,4.8815980 52.3621650,4.8813160 52.3630790,4.8809510 52.3633970,4.8800280 52.3636320,4.8795100 52.3638290,4.8791260 52.3642470,4.8790130 52.3645430,4.8788960 52.3652740,4.8785270 52.3658140,4.8781230 52.3661410,4.8774417 52.3665743))";"POLYGON((52.3666660 4.8773130,52.3658010 4.8746596,52.3649884 4.8717488,52.3639396 4.8676012,52.3614220 4.8576330,52.3606810 4.8573790,52.3581980 4.8553890,52.3567200 4.8544740,52.3488950 4.8519040,52.3450850 4.8502840,52.3450530 4.8511960,52.3452270 4.8512370,52.3456100 4.8514080,52.3460400 4.8517080,52.3464210 4.8521640,52.3469260 4.8529230,52.3469680 4.8532450,52.3477460 4.8587140,52.3497060 4.8609530,52.3522260 4.8706040,52.3524420 4.8715260,52.3523140 4.8735370,52.3505250 4.8838610,52.3493240 4.8854110,52.3493050 4.8862470,52.3499170 4.8862930,52.3556210 4.8863320,52.3598730 4.8865830,52.3602120 4.8870040,52.3615220 4.8844980,52.3617140 4.8839130,52.3618170 4.8823710,52.3621650 4.8815980,52.3630790 4.8813160,52.3633970 4.8809510,52.3636320 4.8800280,52.3638290 4.8795100,52.3642470 4.8791260,52.3645430 4.8790130,52.3652740 4.8788960,52.3658140 4.8785270,52.3661410 4.8781230,52.3665743 4.8774417))";4.868649;52.3558525;
31;41;"";"Oplossingenkaart:";"";"IB20180002_41A_Kenniskwartier Zuidas.pdf";"";"POLYGON((4.8901930 52.3368050,4.8855940 52.3384500,4.8823270 52.3389590,4.8769700 52.3388890,4.8688260 52.3381870,4.8582680 52.3380460,4.8571750 52.3375370,4.8479630 52.3370870,4.8479510 52.3363610,4.8470090 52.3354470,4.8479620 52.3345090,4.8486180 52.3337870,4.8450030 52.3318220,4.8448900 52.3311060,4.8449490 52.3297600,4.8471910 52.3301060,4.8476540 52.3305880,4.8482810 52.3305910,4.8519880 52.3304800,4.8524660 52.3304110,4.8563780 52.3305180,4.8561790 52.3292860,4.8563310 52.3219560,4.8952410 52.3225580,4.8946910 52.3232210,4.8946080 52.3237450,4.8945990 52.3245270,4.8937330 52.3240390,4.8919630 52.3240550,4.8911410 52.3246100,4.8908510 52.3334720,4.8929600 52.3335520,4.8942320 52.3322190,4.8963640 52.3322390,4.8974490 52.3330600,4.8901930 52.3368050))";"POLYGON((52.3368050 4.8901930,52.3384500 4.8855940,52.3389590 4.8823270,52.3388890 4.8769700,52.3381870 4.8688260,52.3380460 4.8582680,52.3375370 4.8571750,52.3370870 4.8479630,52.3363610 4.8479510,52.3354470 4.8470090,52.3345090 4.8479620,52.3337870 4.8486180,52.3318220 4.8450030,52.3311060 4.8448900,52.3297600 4.8449490,52.3301060 4.8471910,52.3305880 4.8476540,52.3305910 4.8482810,52.3304800 4.8519880,52.3304110 4.8524660,52.3305180 4.8563780,52.3292860 4.8561790,52.3219560 4.8563310,52.3225580 4.8952410,52.3232210 4.8946910,52.3237450 4.8946080,52.3245270 4.8945990,52.3240390 4.8937330,52.3240550 4.8919630,52.3246100 4.8911410,52.3334720 4.8908510,52.3335520 4.8929600,52.3322190 4.8942320,52.3322390 4.8963640,52.3330600 4.8974490,52.3368050 4.8901930))";4.8711745;52.3304505;
32;28;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.896368 52.379152,4.897353 52.378633,4.897415 52.378672,4.897728 52.378502,4.897665 52.378435,4.898592 52.377669,4.898684 52.377659,4.899059 52.377499,4.898846 52.377137,4.898792 52.377118,4.899309 52.376828,4.899408 52.376854,4.899843 52.376865,4.90065 52.377049,4.901023 52.377108,4.90124 52.37708,4.901753 52.377082,4.901907 52.377187,4.902343 52.377104,4.902313 52.377027,4.902549 52.376781,4.902895 52.37645,4.902973 52.376402,4.903491 52.375929,4.903568 52.375948,4.903741 52.37574,4.903744 52.375445,4.903916 52.375417,4.904103 52.375446,4.904564 52.375857,4.904485 52.375895,4.904656 52.376038,4.905139 52.37585,4.904708 52.37542,4.904802 52.375393,4.90491 52.375431,4.905208 52.375251,4.905161 52.375185,4.905662 52.374911,4.905772 52.374778,4.905418 52.374548,4.905589 52.374444,4.905944 52.374684,4.906147 52.374579,4.905716 52.374311,4.905731 52.374255,4.90617 52.373961,4.906248 52.373971,4.906663 52.374278,4.906805 52.374183,4.906387 52.373962,4.906389 52.373858,4.906904 52.373594,4.907382 52.37389,4.90757 52.373777,4.907138 52.373537,4.907108 52.373461,4.907623 52.373197,4.908102 52.373503,4.908258 52.373409,4.90781 52.37315,4.907704 52.372921,4.907938 52.372846,4.907613 52.372645,4.907425 52.372797,4.90628 52.372336,4.905755 52.372039,4.901424 52.370242,4.901596 52.370024,4.901073 52.369679,4.900915 52.369869,4.900862 52.369795,4.898246 52.367454,4.89568 52.367539,4.89375 52.367364,4.893629 52.367303,4.8932 52.367012,4.892733 52.367036,4.891739 52.367049,4.890008 52.367287,4.888149 52.368654,4.888696 52.372181,4.889474 52.3745,4.894536 52.378926,4.895167 52.379519,4.895306 52.379614,4.895525 52.379597,4.896368 52.379152))";"POLYGON((52.379152 4.896368,52.378633 4.897353,52.378672 4.897415,52.378502 4.897728,52.378435 4.897665,52.377669 4.898592,52.377659 4.898684,52.377499 4.899059,52.377137 4.898846,52.377118 4.898792,52.376828 4.899309,52.376854 4.899408,52.376865 4.899843,52.377049 4.90065,52.377108 4.901023,52.37708 4.90124,52.377082 4.901753,52.377187 4.901907,52.377104 4.902343,52.377027 4.902313,52.376781 4.902549,52.37645 4.902895,52.376402 4.902973,52.375929 4.903491,52.375948 4.903568,52.37574 4.903741,52.375445 4.903744,52.375417 4.903916,52.375446 4.904103,52.375857 4.904564,52.375895 4.904485,52.376038 4.904656,52.37585 4.905139,52.37542 4.904708,52.375393 4.904802,52.375431 4.90491,52.375251 4.905208,52.375185 4.905161,52.374911 4.905662,52.374778 4.905772,52.374548 4.905418,52.374444 4.905589,52.374684 4.905944,52.374579 4.906147,52.374311 4.905716,52.374255 4.905731,52.373961 4.90617,52.373971 4.906248,52.374278 4.906663,52.374183 4.906805,52.373962 4.906387,52.373858 4.906389,52.373594 4.906904,52.37389 4.907382,52.373777 4.90757,52.373537 4.907138,52.373461 4.907108,52.373197 4.907623,52.373503 4.908102,52.373409 4.908258,52.37315 4.90781,52.372921 4.907704,52.372846 4.907938,52.372645 4.907613,52.372797 4.907425,52.372336 4.90628,52.372039 4.905755,52.370242 4.901424,52.370024 4.901596,52.369679 4.901073,52.369869 4.900915,52.369795 4.900862,52.367454 4.898246,52.367539 4.89568,52.367364 4.89375,52.367303 4.893629,52.367012 4.8932,52.367036 4.892733,52.367049 4.891739,52.367287 4.890008,52.368654 4.888149,52.372181 4.888696,52.3745 4.889474,52.378926 4.894536,52.379519 4.895167,52.379614 4.895306,52.379597 4.895525,52.379152 4.896368))";4.8982085;52.373306;
