OBJECTNUMMER;Nummer;Naam;Beschrijving;Prioriteit;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
11;"45";"Admiraal de Ruijterweg e.o.";"Adm. de Ruijterweg kent zelf geen grote (gemodelleerde) problemen. Water verzamelt vooral binnenin de aangrenzende woonblokken (privaat terrein). In de omgeving staat water tegen de gevel in de Kijkduinstraat, Bos en Lommerweg en de Jan van Galenstraat.";"Zeer urgent";"POLYGON((4.85163 52.382974,4.853507 52.381972,4.854683 52.382737,4.854667 52.384479,4.855828 52.384502,4.85604 52.381436,4.855655 52.381089,4.856634 52.380511,4.857084 52.380192,4.85795 52.379257,4.858749 52.379393,4.859539 52.377642,4.85997 52.376745,4.860481 52.37513,4.862134 52.375295,4.862278 52.374939,4.859952 52.3746,4.860631 52.372306,4.862618 52.371901,4.862603 52.371201,4.861482 52.371368,4.861321 52.371196,4.861766 52.368915,4.859251 52.368776,4.858754 52.371456,4.858365 52.372795,4.857809 52.374448,4.857041 52.374359,4.856967 52.374687,4.857711 52.374775,4.856896 52.377245,4.856644 52.377955,4.856227 52.378726,4.855736 52.379259,4.854755 52.379968,4.853758 52.380534,4.850628 52.382268,4.85163 52.382974))";"POLYGON((52.382974 4.85163,52.381972 4.853507,52.382737 4.854683,52.384479 4.854667,52.384502 4.855828,52.381436 4.85604,52.381089 4.855655,52.380511 4.856634,52.380192 4.857084,52.379257 4.85795,52.379393 4.858749,52.377642 4.859539,52.376745 4.85997,52.37513 4.860481,52.375295 4.862134,52.374939 4.862278,52.3746 4.859952,52.372306 4.860631,52.371901 4.862618,52.371201 4.862603,52.371368 4.861482,52.371196 4.861321,52.368915 4.861766,52.368776 4.859251,52.371456 4.858754,52.372795 4.858365,52.374448 4.857809,52.374359 4.857041,52.374687 4.856967,52.374775 4.857711,52.377245 4.856896,52.377955 4.856644,52.378726 4.856227,52.379259 4.855736,52.379968 4.854755,52.380534 4.853758,52.382268 4.850628,52.382974 4.85163))";4.856628;52.376632;
12;"53";"Willemspark gebied";"";"Urgent";"POLYGON((4.867729 52.355764,4.877582 52.358626,4.878786 52.356799,4.872865 52.354835,4.865197 52.352954,4.864863 52.353409,4.86858 52.354377,4.867729 52.355764))";"POLYGON((52.355764 4.867729,52.358626 4.877582,52.356799 4.878786,52.354835 4.872865,52.352954 4.865197,52.353409 4.864863,52.354377 4.86858,52.355764 4.867729))";4.8718295;52.355783;
13;"60";"Beethovenstraat t.h.v. Brahmsstraat e.o.";"Voornamelijk het tramverkeer op de Beethovenstraat wordt gestremd door water op straat.";"Urgent";"POLYGON((4.878057 52.349937,4.878322 52.349767,4.877534 52.349125,4.877003 52.346305,4.876411 52.346313,4.876411 52.347051,4.877052 52.349259,4.878057 52.349937))";"POLYGON((52.349937 4.878057,52.349767 4.878322,52.349125 4.877534,52.346305 4.877003,52.346313 4.876411,52.347051 4.876411,52.349259 4.877052,52.349937 4.878057))";4.8773715;52.348114;
14;"61";"Minervaplein, Stadionweg e.o.";"Er staat veel water op straat op de Stadionweg, een belangrijke ontsluitingsweg. Het verkeer wordt hier gestremd.";"Zeer urgent";"POLYGON((4.876338 52.346697,4.86877 52.346414,4.866056 52.346069,4.859502 52.345316,4.85943 52.345565,4.865178 52.346328,4.868183 52.346769,4.872472 52.346918,4.876334 52.347041,4.876338 52.346697))";"POLYGON((52.346697 4.876338,52.346414 4.86877,52.346069 4.866056,52.345316 4.859502,52.345565 4.85943,52.346328 4.865178,52.346769 4.868183,52.346918 4.872472,52.347041 4.876334,52.346697 4.876338))";4.867889;52.3461715;
15;"50";"Eerste en Tweede Schinkelstraat";"";"Zeer urgent";"POLYGON((4.85347 52.353783,4.855745 52.354296,4.856068 52.35357,4.853287 52.352996,4.85347 52.353783))";"POLYGON((52.353783 4.85347,52.354296 4.855745,52.35357 4.856068,52.352996 4.853287,52.353783 4.85347))";4.8546825;52.353639;
16;"49";"Theophile de Bock-, Jacob Marisstraat, Sloterkade (binnentuinen)";"";"Zeer urgent";"POLYGON((4.85241 52.354763,4.853136 52.354723,4.853037 52.354167,4.8524 52.354196,4.85241 52.354763))";"POLYGON((52.354763 4.85241,52.354723 4.853136,52.354167 4.853037,52.354196 4.8524,52.354763 4.85241))";4.852773;52.354458;
17;"51";"Stolwijkstraat e.o.";"De Stolwijk- en Woestduinstraat zijn brede straten met veel verharding. Er staat hier veel water op straat, maar niet tegen de gevel. Dit geldt ook voor de Aalsmeerweg. Verkeer op ontsluitingsweg Heemstedestraat wordt belemmerd door water.";"Urgent";"POLYGON((4.847571 52.351702,4.849651 52.351733,4.849618 52.350042,4.849034 52.349194,4.848262 52.349555,4.847527 52.34953,4.847571 52.351702))";"POLYGON((52.351702 4.847571,52.351733 4.849651,52.350042 4.849618,52.349194 4.849034,52.349555 4.848262,52.34953 4.847527,52.351702 4.847571))";4.848594;52.3504565;
18;"64";"Henri Zagwijnstraat e.o.";"Vooral op de Prinses Irenestraat wordt er veel water (op straat en soms tegen de gevel) gemodelleerd. Daar wordt nu een brede waterbergende groenstrook aangelegd.";"Zeer urgent";"POLYGON((4.869659 52.342679,4.869808 52.34169,4.876585 52.341885,4.876622 52.341735,4.8688 52.341477,4.868733 52.342642,4.869659 52.342679))";"POLYGON((52.342679 4.869659,52.34169 4.869808,52.341885 4.876585,52.341735 4.876622,52.341477 4.8688,52.342642 4.868733,52.342679 4.869659))";4.8726825;52.342071;
19;"63";"Parnassusweg t.h.v. Peter van Anrooystraat";"De Parnassusweg is een belangrijke ontsluitingsweg waar veel water op straat staat na hevige regenval. ";"Urgent";"POLYGON((4.868066 52.342971,4.868398 52.342941,4.868552 52.34169,4.868132 52.341688,4.868066 52.342971))";"POLYGON((52.342971 4.868066,52.342941 4.868398,52.34169 4.868552,52.341688 4.868132,52.342971 4.868066))";4.868314;52.3423225;
20;"58";"Van Ostadestraat e.o.";"Ontsluitingsweg Ceintuurbaan wordt gestremd door water op straat, evenals Ferdinand Bolstraat waar water tegen de gevel staat tussen Van Ostade- en Rustenburgerstraat. In de Rustenburgerstraat, richting Amsteldijk, staat het water van gevel tot gevel.";"Zeer urgent";"POLYGON((4.904598 52.353087,4.903017 52.352804,4.903459 52.351516,4.897801 52.350802,4.897487 52.35161,4.894529 52.351211,4.8944 52.35175,4.890898 52.351244,4.886895 52.350811,4.886901 52.351379,4.886937 52.35301,4.893926 52.353974,4.894331 52.353386,4.894709 52.353436,4.894983 52.353175,4.899536 52.354109,4.899705 52.353878,4.901457 52.35426,4.901781 52.353904,4.905653 52.35505,4.906911 52.353629,4.904598 52.353087))";"POLYGON((52.353087 4.904598,52.352804 4.903017,52.351516 4.903459,52.350802 4.897801,52.35161 4.897487,52.351211 4.894529,52.35175 4.8944,52.351244 4.890898,52.350811 4.886895,52.351379 4.886901,52.35301 4.886937,52.353974 4.893926,52.353386 4.894331,52.353436 4.894709,52.353175 4.894983,52.354109 4.899536,52.353878 4.899705,52.35426 4.901457,52.353904 4.901781,52.35505 4.905653,52.353629 4.906911,52.353087 4.904598))";4.896908;52.352919;
21;"80";"Ben Viljoenstraat, Danie Theronstraat";"De Ben Viljoenstraat staat blank, met water tegen de gevels aan de noordzijde. In de Danie Theronstraat is er ook kans op water tegen de gevels, maar er is veel groen aanwezig en de entrees liggen hoger dan de straat.";"Zeer urgent";"POLYGON((4.914853 52.353173,4.916695 52.352853,4.91664 52.352615,4.916086 52.352696,4.915672 52.351493,4.915204 52.351575,4.915639 52.352748,4.914744 52.352917,4.914853 52.353173))";"POLYGON((52.353173 4.914853,52.352853 4.916695,52.352615 4.91664,52.352696 4.916086,52.351493 4.915672,52.351575 4.915204,52.352748 4.915639,52.352917 4.914744,52.353173 4.914853))";4.9157245;52.352326;
22;"81";"Wibautstraat t.h.v. President Steynstraat (onderdoorgang spoor)";"Een dip in het maaiveld bij de onderdoorgang zorgt ervoor dat het water uit de omgeving zich hier verzamelt. Dit leidt tot stremming van verkeer op een belangrijke ontsluitingsweg. Er moet onderzocht worden of er een lokale pomp is (niet gemodelleerd).";"Urgent";"POLYGON((4.913604 52.352264,4.914087 52.351713,4.914917 52.351223,4.915455 52.350869,4.915709 52.350745,4.915256 52.350457,4.913429 52.351496,4.91316 52.352054,4.913604 52.352264))";"POLYGON((52.352264 4.913604,52.351713 4.914087,52.351223 4.914917,52.350869 4.915455,52.350745 4.915709,52.350457 4.915256,52.351496 4.913429,52.352054 4.91316,52.352264 4.913604))";4.9144395;52.3513535;
23;"74";"Domselaerstraat";"Het water staat tegen de gevels van huizen aan de noordzijde van de straat. De straat loopt schuin af richting die kant. Ook komt er veel water in de laag gelegen binnentuinen van deze huizen. Het deel van de Dapperstraat aan deze kant loopt ook onder.";"Zeer urgent";"POLYGON((4.925654 52.359928,4.9291 52.360763,4.929413 52.360317,4.925902 52.359434,4.925654 52.359928))";"POLYGON((52.359928 4.925654,52.360763 4.9291,52.360317 4.929413,52.359434 4.925902,52.359928 4.925654))";4.9275385;52.3600915;
24;"75";"Oetewalerstraat";"De gehele zuidkant van deze straat (incl. achtertuinen) bevindt zich in een laag gelegen gebied, waardoor het water vanuit de Woltera van Reesstraat, het Oetewalerpad en de Linnaeusstraat hiernaartoe stroomt. Souterrains lopen risico. ";"Zeer urgent";"POLYGON((4.926769 52.358284,4.926391 52.35883,4.928514 52.359328,4.928742 52.359105,4.927931 52.358622,4.926769 52.358284))";"POLYGON((52.358284 4.926769,52.35883 4.926391,52.359328 4.928514,52.359105 4.928742,52.358622 4.927931,52.358284 4.926769))";4.9275715;52.358799;
25;"72";"Java-, Bali-, 1e en 2e Atjehstraat (tussen Celebes- en Sumatratstraat)";"Smalle straten staan vol met water. Water staat tegen de gevel. Sommige panden hebben geen drempel. In de Javastraat liggen de winkelpanden lager dan de straat. Grootste risico is in de 2de Atjehstraat en de Javastraat.";"Extreem urgent";"POLYGON((4.931542 52.363954,4.935073 52.364253,4.935312 52.36385,4.938174 52.363879,4.938177 52.363646,4.93543 52.363618,4.935636 52.363001,4.935954 52.362178,4.934674 52.361856,4.93211 52.361404,4.931473 52.3627,4.931542 52.363954))";"POLYGON((52.363954 4.931542,52.364253 4.935073,52.36385 4.935312,52.363879 4.938174,52.363646 4.938177,52.363618 4.93543,52.363001 4.935636,52.362178 4.935954,52.361856 4.934674,52.361404 4.93211,52.3627 4.931473,52.363954 4.931542))";4.93483;52.3628215;
26;"69";"Zeeburgerdijk (onderdoorgang spoor)";"Water stroomt vanaf alle kanten naar laaggelegen onderdoorgang. Risico van water tegen de gevel bij aangrenzende panden (Zeeburgerdijk en kruising Borneo-/Celebesstraat). Huidige lokale pompcapaciteit is niet gemodelleerd. ";"Urgent";"POLYGON((4.929851 52.366238,4.933067 52.366251,4.933475 52.3656,4.93291 52.365455,4.931893 52.365255,4.931799 52.364997,4.931473 52.365,4.931532 52.365552,4.930784 52.365614,4.929697 52.365928,4.929851 52.366238))";"POLYGON((52.366238 4.929851,52.366251 4.933067,52.3656 4.933475,52.365455 4.93291,52.365255 4.931893,52.364997 4.931799,52.365 4.931473,52.365552 4.931532,52.365614 4.930784,52.365928 4.929697,52.366238 4.929851))";4.931591;52.365617;
27;"70";"Molukkenstraat,";"Op de Molukkenstraat (tussen Zeeburgerdijk en Insulindeweg) staat het water aan beide kanten tegen de gevel (behalve op het Javaplein).";"Zeer urgent";"POLYGON((4.939263 52.365386,4.939718 52.365377,4.939878 52.36196,4.939294 52.361873,4.939263 52.365386))";"POLYGON((52.365386 4.939263,52.365377 4.939718,52.36196 4.939878,52.361873 4.939294,52.365386 4.939263))";4.9395755;52.3636225;
28;"85";"Middenweg (tussen Kruislaan en Hugo de Vrieslaan)";"Doorgang wordt belemmerd door water op straat en laaggelegen panden aan de zuidwestzijde lopen onder.";"Zeer urgent";"POLYGON((4.934981 52.35078,4.935363 52.350996,4.940073 52.34805,4.939693 52.347834,4.93748 52.349206,4.936958 52.348889,4.935641 52.349693,4.936151 52.350016,4.935649 52.350334,4.934981 52.35078))";"POLYGON((52.35078 4.934981,52.350996 4.935363,52.34805 4.940073,52.347834 4.939693,52.349206 4.93748,52.348889 4.936958,52.349693 4.935641,52.350016 4.936151,52.350334 4.935649,52.35078 4.934981))";4.937532;52.349408;
29;"1";"Lindengracht en Willemstraat";"Aan de zuidkant van de Lindengracht tussen Noorderkerkstraat en de 2de Lindendwarsstraat staat water tegen de gevels. Willemstraat staat blank, ook na straatvernieuwing.";"Zeer urgent";"POLYGON((4.8862687 52.3814236,4.8861120 52.3815939,4.8814279 52.3808799,4.8813077 52.3806898,4.8853161 52.3812920,4.8856081 52.3805186,4.8807420 52.3798100,4.8806060 52.3794600,4.8879020 52.3805470,4.8874025 52.3807924,4.8858301 52.3805924,4.8855391 52.3813319))";"POLYGON((52.3814236 4.8862687,52.3815939 4.8861120,52.3808799 4.8814279,52.3806898 4.8813077,52.3812920 4.8853161,52.3805186 4.8856081,52.3798100 4.8807420,52.3794600 4.8806060,52.3805470 4.8879020,52.3807924 4.8874025,52.3805924 4.8858301,52.3813319 4.8855391))";4.884259;52.38051995;
30;"68";"Piet Heinkade / Kattenburgerstraat";"Kruispunt en tunnel staan blank.";"Extreem urgent";"POLYGON((4.918031 52.37704,4.925779 52.375891,4.925718 52.375564,4.917932 52.376661,4.918031 52.37704))";"POLYGON((52.37704 4.918031,52.375891 4.925779,52.375564 4.925718,52.376661 4.917932,52.37704 4.918031))";4.9218605;52.376295;
31;"87";"Diemerparklaan";"";"Urgent";"POLYGON((4.9972940 52.3568990,4.9959060 52.3558855,4.9961666 52.3557378,4.9976090 52.3567600,4.9972940 52.3568990))";"POLYGON((52.3568990 4.9972940,52.3558855 4.9959060,52.3557378 4.9961666,52.3567600 4.9976090,52.3568990 4.9972940))";4.9967625;52.3563114;
32;"91";"AMC";"Veel water op straat en tegen de gevel bij de parkeerplaatsen en entree. Grote onzekerheid omdat het lokale rioolstelsel (privaat) niet is meegenomen in de modellering. In gesprek met de gebouwbeheerder bepalen of dit wel een knelpunt is.";"Extreem urgent";"POLYGON((4.953731 52.294893,4.95663 52.295858,4.957249 52.295117,4.958745 52.295595,4.960635 52.293679,4.95913 52.293069,4.959809 52.292375,4.957684 52.291745,4.955993 52.291706,4.954764 52.291929,4.954305 52.292579,4.955398 52.292969,4.953731 52.294893))";"POLYGON((52.294893 4.953731,52.295858 4.95663,52.295117 4.957249,52.295595 4.958745,52.293679 4.960635,52.293069 4.95913,52.292375 4.959809,52.291745 4.957684,52.291706 4.955993,52.291929 4.954764,52.292579 4.954305,52.292969 4.955398,52.294893 4.953731))";4.957188;52.293775;
33;"90";"Paasheuvelweg";"Veel water op straat en tegen de gevels. Veel verharding en de locatie ligt laag ten opzichte van de omgeving.";"Urgent";"POLYGON((4.950588 52.297186,4.952877 52.297857,4.953476 52.297186,4.953795 52.296811,4.953945 52.296594,4.954109 52.296314,4.951894 52.295714,4.950588 52.297186))";"POLYGON((52.297186 4.950588,52.297857 4.952877,52.297186 4.953476,52.296811 4.953795,52.296594 4.953945,52.296314 4.954109,52.295714 4.951894,52.297186 4.950588))";4.9523535;52.2967785;
34;"88";"Hoogoorddreef (tussen Lemelerbergweg en Haaksbergweg)";"Er staat water tegen de gevel bij het industrieterrein ter hoogte van Hoogoorddreef 72-90. Hier staat ook veel water op straat, net zoals verderop ten oosten op de Hoogoorddreef. Het verkeer vanuit Bijlmer Centrum is hierdoor gestremd.";"Urgent";"POLYGON((4.944433 52.309965,4.944628 52.309644,4.935902 52.306722,4.935568 52.306999,4.944433 52.309965))";"POLYGON((52.309965 4.944433,52.309644 4.944628,52.306722 4.935902,52.306999 4.935568,52.309965 4.944433))";4.940103;52.3083365;
35;"89";"Hondsrugweg (tussen Hettenheuvelweg en Laarderhoogtweg)";"";"Urgent";"POLYGON((4.945787 52.306315,4.948347 52.30335,4.948001 52.303081,4.947824 52.303306,4.946359 52.305001,4.945299 52.306153,4.945787 52.306315))";"POLYGON((52.306315 4.945787,52.30335 4.948347,52.303081 4.948001,52.303306 4.947824,52.305001 4.946359,52.306153 4.945299,52.306315 4.945787))";4.946828;52.304691;
36;"67";"Buitenveldert";"Er staat veel water op straat door de hele wijk heen. De oostkant van de Van Boshuizenstraat staat blank. In sommige straten staat er water tegen de gevels, wat vooral garages in kan lopen.";"Urgent";"POLYGON((4.878408 52.328131,4.882249 52.328195,4.885975 52.328187,4.8876 52.328646,4.889928 52.328774,4.890628 52.328634,4.890697 52.325995,4.890911 52.324821,4.891112 52.323477,4.877649 52.323181,4.868646 52.32319,4.86832 52.327849,4.873015 52.327965,4.878408 52.328131))";"POLYGON((52.328131 4.878408,52.328195 4.882249,52.328187 4.885975,52.328646 4.8876,52.328774 4.889928,52.328634 4.890628,52.325995 4.890697,52.324821 4.890911,52.323477 4.891112,52.323181 4.877649,52.32319 4.868646,52.327849 4.86832,52.327965 4.873015,52.328131 4.878408))";4.879721;52.3259705;
37;"3";"2e Laurierdwarsstraat (tussen Laurierstraat en Lauriergracht)";"Er is hier veel water op straat en tegen de gevel. Het is een lager gelegen straat tussen de Lauriersstraat en Lauriersgracht (brug).";"Urgent";"POLYGON((4.87901 52.371768,4.879201 52.371817,4.879646 52.371187,4.879472 52.371161,4.87901 52.371768))";"POLYGON((52.371768 4.87901,52.371817 4.879201,52.371187 4.879646,52.371161 4.879472,52.371768 4.87901))";4.879333;52.371482;
38;"5";"Lijnbaansstraat";"Smalle straat staat vol met water. Water staat tegen de gevel. Sommige panden hebben geen drempel.";"Urgent";"POLYGON((4.878373 52.369386,4.879838 52.369852,4.879803 52.369902,4.880043 52.369984,4.880172 52.369868,4.878418 52.369309,4.878373 52.369386))";"POLYGON((52.369386 4.878373,52.369852 4.879838,52.369902 4.879803,52.369984 4.880043,52.369868 4.880172,52.369309 4.878418,52.369386 4.878373))";4.8792775;52.3696395;
39;"4";"Hazenstraat (binnenterrein van nr. 28)";"Privaat terrein, onzeker of dit een knelpunt is.";"Urgent";"POLYGON((4.87947 52.37055,4.879596 52.370578,4.879724 52.370409,4.879576 52.370356,4.87947 52.37055))";"POLYGON((52.37055 4.87947,52.370578 4.879596,52.370409 4.879724,52.370356 4.879576,52.37055 4.87947))";4.879602;52.37046;
40;"8";"Begijnhof";"Er staat veel water tegen de gevel volgens het model, maar het plaatselijke rioolstelsel is onbekend (en dus niet gemodelleerd).";"Extreem urgent";"POLYGON((4.889615 52.368968,4.88957 52.369059,4.8897 52.369605,4.889881 52.369879,4.890355 52.36998,4.890718 52.369952,4.890422 52.369156,4.889615 52.368968))";"POLYGON((52.368968 4.889615,52.369059 4.88957,52.369605 4.8897,52.369879 4.889881,52.36998 4.890355,52.369952 4.890718,52.369156 4.890422,52.368968 4.889615))";4.890149;52.369467;
41;"10";"Fokke Simonszstraat";"Water staat van gevel tot gevel, met name in de buurt van de Reguliersgracht.";"Zeer urgent";"POLYGON((4.8913440 52.3604460,4.8935152 52.3602236,4.8948675 52.3601008,4.8960052 52.3600173,4.8959674 52.3602372,4.8937389 52.3604111,4.8913102 52.3606275,4.8912582 52.3604591))";"POLYGON((52.3604460 4.8913440,52.3602236 4.8935152,52.3601008 4.8948675,52.3600173 4.8960052,52.3602372 4.8959674,52.3604111 4.8937389,52.3606275 4.8913102,52.3604591 4.8912582))";4.8936367;52.3603154;
42;"78";"Beukenweg, Maritzstraat";"Het regenwater stroomt vanuit de omringende straten en verzamelt zich onder en ten zuiden van het spoorviaduct, omdat de weg hier net iets lager ligt dan de omgeving. Het verkeer op een doorgaande weg wordt daardoor gestremd.";"Zeer urgent";"MULTIPOLYGON(((4.918137 52.356654,4.918171 52.356663,4.918631 52.356792,4.920409 52.354465,4.91997 52.354346,4.918137 52.356654)),((4.918024 52.356796,4.918535 52.356915,4.918631 52.356792,4.918171 52.356663,4.918137 52.356654,4.918024 52.356796)))";"MULTIPOLYGON(((52.356654 4.918137,52.356663 4.918171,52.356792 4.918631,52.354465 4.920409,52.354346 4.91997,52.356654 4.918137)),((52.356796 4.918024,52.356915 4.918535,52.356792 4.918631,52.356663 4.918171,52.356654 4.918137,52.356796 4.918024)))";4.9192215;52.3556235;
43;"77";"Oosterparkbuurt";"Er staat veel water op straat, voornamelijk in de 3e Oosterparkstraat (ook water tegen enkele gevels). In enkele achtertuinen in de wijk komt er water tegen de gevels. Op het Beukenplein kunnen winkels en cafe&#096;s aan de oostzijde overlast ervaren.";"Urgent";"POLYGON((4.911519 52.356596,4.917611 52.35823,4.918086 52.357517,4.9216 52.358483,4.921674 52.358446,4.92188 52.357933,4.923133 52.358282,4.923327 52.358104,4.918631 52.356792,4.918535 52.356915,4.918024 52.356796,4.918137 52.356654,4.913586 52.355363,4.91209 52.355801,4.911519 52.356596))";"POLYGON((52.356596 4.911519,52.35823 4.917611,52.357517 4.918086,52.358483 4.9216,52.358446 4.921674,52.357933 4.92188,52.358282 4.923133,52.358104 4.923327,52.356792 4.918631,52.356915 4.918535,52.356796 4.918024,52.356654 4.918137,52.355363 4.913586,52.355801 4.91209,52.356596 4.911519))";4.917428;52.356916;
44;"65";"Zuidplein, Strawinskylaan e.o.";"Het laaggelegen fietspad langs de Strawinskylaan staat blank. Ook wordt er water tegen de gevel van de Amsterdam International Community School gemodelleerd. Op het Zuidplein kunnen er plassen ontstaan tussen de verhoogde groenstroken.";"Zeer urgent";"POLYGON((4.868953 52.341041,4.8735 52.341159,4.873501 52.3411,4.87372 52.339763,4.87282 52.339733,4.872674 52.340922,4.868977 52.340833,4.868953 52.341041))";"POLYGON((52.341041 4.868953,52.341159 4.8735,52.3411 4.873501,52.339763 4.87372,52.339733 4.87282,52.340922 4.872674,52.340833 4.868977,52.341041 4.868953))";4.8713415;52.340439;
45;"42";"Slatuinenweg";"Polderrioleringsgebied dat onderloopt. Dit gebied is zeer afhankelijk van het functioneren van het rioolgemaal.";"Extreem urgent";"POLYGON((4.862975 52.371045,4.864107 52.370614,4.86406 52.370525,4.864237 52.369557,4.863508 52.368735,4.862736 52.36914,4.862953 52.369634,4.862734 52.370186,4.862749 52.370861,4.862975 52.371045))";"POLYGON((52.371045 4.862975,52.370614 4.864107,52.370525 4.86406,52.369557 4.864237,52.368735 4.863508,52.36914 4.862736,52.369634 4.862953,52.370186 4.862734,52.370861 4.862749,52.371045 4.862975))";4.8634905;52.369883;
46;"66";"VU ziekenhuis";"";"Extreem urgent";"POLYGON((4.858446 52.33679,4.861694 52.336754,4.861696 52.33562,4.861669 52.335027,4.862042 52.335029,4.862004 52.333295,4.857987 52.333277,4.857988 52.335435,4.858103 52.33621,4.858446 52.33679))";"POLYGON((52.33679 4.858446,52.336754 4.861694,52.33562 4.861696,52.335027 4.861669,52.335029 4.862042,52.333295 4.862004,52.333277 4.857987,52.335435 4.857988,52.33621 4.858103,52.33679 4.858446))";4.8600195;52.3350265;
47;"33";"OLVG West (voorm. St Lucas Andreas) / Jan Tooropstraat";"Diep gelegen parkeerplaatsen rondom en onder het gebouw staan onder water. Grote onzekerheid omdat het lokale rioolstelsel (privaat) niet is meegenomen in modellering. In gesprek met de gebouwbeheerder bepalen of dit daadwerkelijk een knelpunt is.";"Extreem urgent";"POLYGON((4.838218 52.372355,4.841117 52.371916,4.841256 52.370774,4.841155 52.370394,4.840202 52.370556,4.839842 52.369853,4.83737 52.370246,4.838218 52.372355))";"POLYGON((52.372355 4.838218,52.371916 4.841117,52.370774 4.841256,52.370394 4.841155,52.370556 4.840202,52.369853 4.839842,52.370246 4.83737,52.372355 4.838218))";4.839318;52.371097;
48;"76";"Ruyschstraat - `s Gravezandeplein - tussen Wibautstraat en Oosterpark";"Er staat veel water op straat, wat kan leiden tot verkeershinder. Dit kan problemen veroorzaken voor OLVG locatie Oost, bijvoorbeeld voor de ambulancedienst.";"Urgent";"POLYGON((4.910357 52.357683,4.913281 52.35837,4.915135 52.358876,4.915292 52.359071,4.915604 52.359228,4.916399 52.359465,4.916466 52.359335,4.915603 52.359035,4.91547 52.35879,4.913413 52.358211,4.913248 52.358142,4.910521 52.35744,4.910357 52.357683))";"POLYGON((52.357683 4.910357,52.35837 4.913281,52.358876 4.915135,52.359071 4.915292,52.359228 4.915604,52.359465 4.916399,52.359335 4.916466,52.359035 4.915603,52.35879 4.91547,52.358211 4.913413,52.358142 4.913248,52.35744 4.910521,52.357683 4.910357))";4.9134165;52.3584455;
49;"22";"Coentunnel Circuit";"Onderdoorgang A10 fietsroute komt blank te staan (fietsverbinding Noord en Zaandam).";"Urgent";"POLYGON((4.873474 52.422639,4.874065 52.422034,4.87442 52.421579,4.875197 52.421787,4.875158 52.421326,4.874611 52.421174,4.873875 52.421249,4.873193 52.421802,4.87274 52.422454,4.872543 52.423221,4.873021 52.423457,4.873474 52.422639))";"POLYGON((52.422639 4.873474,52.422034 4.874065,52.421579 4.87442,52.421787 4.875197,52.421326 4.875158,52.421174 4.874611,52.421249 4.873875,52.421802 4.873193,52.422454 4.87274,52.423221 4.872543,52.423457 4.873021,52.422639 4.873474))";4.873875;52.4223085;
50;"16";"IJdoornlaan e.o. (tussen Zuiderzeeweg en  Waterlandplein)";"Laaggelegen hoofdontsluitingsweg van Noord, waar zich veel water op de rijbaan verzamelt. Verkeersstremming op hoofdroute. Loopt door tot de brandweerkazerne. Water staat niet tegen de gevel.";"Extreem urgent";"POLYGON((4.955384 52.391818,4.957126 52.392467,4.958726 52.392839,4.959027 52.392373,4.957888 52.392055,4.959886 52.389295,4.959187 52.389085,4.957226 52.391832,4.955713 52.391455,4.955384 52.391818))";"POLYGON((52.391818 4.955384,52.392467 4.957126,52.392839 4.958726,52.392373 4.959027,52.392055 4.957888,52.389295 4.959886,52.389085 4.959187,52.391832 4.957226,52.391455 4.955713,52.391818 4.955384))";4.95764;52.390955;
51;"18";"Kamperfoelieweg";"Brede straat, vlakprofiel veel verharding, vooral veel water op straat. Geen groot knelpunt.";"Urgent";"POLYGON((4.911116 52.399161,4.911483 52.399293,4.911874 52.399128,4.912538 52.39881,4.913893 52.397472,4.91457 52.396048,4.914655 52.395299,4.914685 52.394337,4.913905 52.392752,4.91328 52.392975,4.913908 52.394334,4.913933 52.395498,4.913433 52.39697,4.912508 52.398037,4.911116 52.399161))";"POLYGON((52.399161 4.911116,52.399293 4.911483,52.399128 4.911874,52.39881 4.912538,52.397472 4.913893,52.396048 4.91457,52.395299 4.914655,52.394337 4.914685,52.392752 4.913905,52.392975 4.91328,52.394334 4.913908,52.395498 4.913933,52.39697 4.913433,52.398037 4.912508,52.399161 4.911116))";4.9129055;52.3960155;
52;"17";"Buikslotermeerplein";"Laaggelegen gebied, regenwater verzamelt zich vanuit de hoger gelegen omgeving (Waddenweg). Winkels en ondergrondse P-garage hebben risico op waterschade.";"Urgent";"POLYGON((4.935104 52.398839,4.93605 52.399437,4.940138 52.397901,4.93764 52.395309,4.936891 52.394612,4.935693 52.395077,4.936839 52.396443,4.934243 52.397563,4.935104 52.398839))";"POLYGON((52.398839 4.935104,52.399437 4.93605,52.397901 4.940138,52.395309 4.93764,52.394612 4.936891,52.395077 4.935693,52.396443 4.936839,52.397563 4.934243,52.398839 4.935104))";4.9371955;52.3970175;
