OBJECTNUMMER;Nummer;Naam;Beschrijving;Prioriteit;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
80;"71";"Insulindeweg";"Hoofdontsluitingsroute staat onder water, waarbij de kruising met de Molukkenstraat ook blank staat. Water staat niet tegen de panden, maar geen verkeer mogelijk.";"Urgent";"POLYGON((4.936275 52.361404,4.946028 52.362763,4.94618 52.362295,4.941633 52.361679,4.936338 52.360942,4.936275 52.361404))";"POLYGON((52.361404 4.936275,52.362763 4.946028,52.362295 4.94618,52.361679 4.941633,52.360942 4.936338,52.361404 4.936275))";4.9412325;52.3618455;
81;"84";"Laplacestraat, Johann Keplerstraat, Copernicusstraat, Galileiplantsoen";"De buurt loopt af vanaf de Linnaeuskade naar het Galileïplantsoen. Vooral in de Johann Kepler-, Laplace- en de Copernicusstraat blijft het water staan. Alle straten zijn breed en hebben groen met kansen om dit watervertragend/-bergend in te richten. ";"Zeer urgent";"POLYGON((4.936906 52.356646,4.938399 52.355731,4.938854 52.356025,4.93922 52.35582,4.938765 52.355511,4.940114 52.354625,4.939245 52.354103,4.938568 52.354539,4.9379 52.354991,4.935167 52.353424,4.934823 52.353613,4.937478 52.355246,4.93604 52.356157,4.936906 52.356646))";"POLYGON((52.356646 4.936906,52.355731 4.938399,52.356025 4.938854,52.35582 4.93922,52.355511 4.938765,52.354625 4.940114,52.354103 4.939245,52.354539 4.938568,52.354991 4.9379,52.353424 4.935167,52.353613 4.934823,52.355246 4.937478,52.356157 4.93604,52.356646 4.936906))";4.9374735;52.355028;
82;"83";"Linnaeusdwarsstraat";"Aan het einde van de straat staat het water van gevel tot gevel. Er ligt hier een polderriool waarmee rekening moet worden gehouden.";"Zeer urgent";"POLYGON((4.933188 52.354352,4.933674 52.354049,4.932467 52.353307,4.931989 52.353596,4.933188 52.354352))";"POLYGON((52.354352 4.933188,52.354049 4.933674,52.353307 4.932467,52.353596 4.931989,52.354352 4.933188))";4.9328365;52.3538225;
83;"86";"Betondorp";"Veel water op straat en tegen de gevels. Veel verharding en de buurt ligt laag ten opzichte van de omgeving.";"Zeer urgent";"POLYGON((4.945333 52.343227,4.946189 52.343743,4.951439 52.340552,4.950181 52.339813,4.943718 52.338046,4.940789 52.338586,4.940858 52.338787,4.93957 52.339453,4.939426 52.339866,4.939887 52.340324,4.940881 52.341141,4.943614 52.342692,4.943843 52.343164,4.944096 52.343393,4.945333 52.343227))";"POLYGON((52.343227 4.945333,52.343743 4.946189,52.340552 4.951439,52.339813 4.950181,52.338046 4.943718,52.338586 4.940789,52.338787 4.940858,52.339453 4.93957,52.339866 4.939426,52.340324 4.939887,52.341141 4.940881,52.342692 4.943614,52.343164 4.943843,52.343393 4.944096,52.343227 4.945333))";4.9454375;52.3408875;
84;"79";"Weesperzijde - tussen Burman- en Graaf Florisstraat";"De achtertuinen en binnenplaatsen bij de huizenblokken liggen lager dan de straat. Door openingen in de blokken kan water uit omgeving hier naartoe stromen, waardoor er water tegen de (achter)gevels van enkele panden staat.";"Zeer urgent";"POLYGON((4.908834 52.354426,4.911313 52.355055,4.912776 52.352618,4.91121 52.352053,4.908834 52.354426))";"POLYGON((52.354426 4.908834,52.355055 4.911313,52.352618 4.912776,52.352053 4.91121,52.354426 4.908834))";4.91081;52.353547;
85;"7";"Nieuwezijds Voorburgwal";"Op de Nieuwezijds en in de Spuistraat en de Wijdesteeg staat veel water op straat en op verschillende locaties tegen de gevel. Een aantal souterrains en winkels zonder drempel en een parkeerplaats hebben veel kans op wateroverlast.";"Zeer urgent";"POLYGON((4.890964 52.372273,4.891017 52.370913,4.890572 52.370842,4.889921 52.370044,4.889596 52.369486,4.889498 52.368929,4.889184 52.368917,4.889281 52.369559,4.889425 52.370019,4.889713 52.370329,4.890082 52.371175,4.890146 52.371514,4.889584 52.371487,4.889371 52.370554,4.888919 52.37062,4.889046 52.371099,4.889177 52.37186,4.889618 52.371994,4.889541 52.371629,4.889752 52.371653,4.890094 52.371702,4.890389 52.371737,4.890377 52.372253,4.890964 52.372273))";"POLYGON((52.372273 4.890964,52.370913 4.891017,52.370842 4.890572,52.370044 4.889921,52.369486 4.889596,52.368929 4.889498,52.368917 4.889184,52.369559 4.889281,52.370019 4.889425,52.370329 4.889713,52.371175 4.890082,52.371514 4.890146,52.371487 4.889584,52.370554 4.889371,52.37062 4.888919,52.371099 4.889046,52.37186 4.889177,52.371994 4.889618,52.371629 4.889541,52.371653 4.889752,52.371702 4.890094,52.371737 4.890389,52.372253 4.890377,52.372273 4.890964))";4.889973;52.370588;
86;"9";"Rokin";"Er is potentieel veel water tegen de gevels. De berekening is echter achterhaald wegens nieuwe inrichting.";"Zeer urgent";"POLYGON((4.892601 52.371992,4.893442 52.371963,4.89277 52.36951,4.891915 52.36953,4.892359 52.370797,4.892515 52.371468,4.892601 52.371992))";"POLYGON((52.371992 4.892601,52.371963 4.893442,52.36951 4.89277,52.36953 4.891915,52.370797 4.892359,52.371468 4.892515,52.371992 4.892601))";4.8926835;52.370744;
87;"12";"Omgeving Artis";"Veel water op straat in de Plantage Middenlaan, Plantage Kerklaan en de Henri Polaklaan en her en der water tegen de gevel. In de Plantage Westermanlaan komt er veel water tegen de gevel.";"Zeer urgent";"POLYGON((4.910281 52.368155,4.912459 52.367451,4.913002 52.367975,4.913377 52.367839,4.912164 52.366483,4.917747 52.364525,4.917493 52.364245,4.913189 52.365736,4.912476 52.364886,4.911198 52.365324,4.911343 52.365481,4.912076 52.365236,4.912637 52.365843,4.909346 52.367033,4.90963 52.367401,4.911751 52.366652,4.912273 52.367216,4.910129 52.367963,4.910281 52.368155))";"POLYGON((52.368155 4.910281,52.367451 4.912459,52.367975 4.913002,52.367839 4.913377,52.366483 4.912164,52.364525 4.917747,52.364245 4.917493,52.365736 4.913189,52.364886 4.912476,52.365324 4.911198,52.365481 4.911343,52.365236 4.912076,52.365843 4.912637,52.367033 4.909346,52.367401 4.90963,52.366652 4.911751,52.367216 4.912273,52.367963 4.910129,52.368155 4.910281))";4.9135515;52.366193;
88;"6";"Spuistraat (tussen Lijnbaanssteeg en Raadhuisstraat)";"Er staat water aan beide kanten tegen de gevel bij een laaggelegen deel van de Spuistraat.";"Urgent";"POLYGON((4.891803 52.375819,4.892018 52.375715,4.891614 52.375339,4.890997 52.374827,4.890535 52.374297,4.890353 52.373965,4.889977 52.373379,4.889592 52.373384,4.889932 52.374206,4.890295 52.374592,4.890764 52.375022,4.891259 52.375432,4.891803 52.375819))";"POLYGON((52.375819 4.891803,52.375715 4.892018,52.375339 4.891614,52.374827 4.890997,52.374297 4.890535,52.373965 4.890353,52.373379 4.889977,52.373384 4.889592,52.374206 4.889932,52.374592 4.890295,52.375022 4.890764,52.375432 4.891259,52.375819 4.891803))";4.89081;52.374592;
89;"11";"Waterlooplein";"Winkels hebben kans op wateroverlast. Water is mede afkomstig van de hoger gelegen Jodenbreestraat.";"Zeer urgent";"POLYGON((4.900964 52.369063,4.903223 52.368147,4.903223 52.36814,4.903117 52.368034,4.900872 52.368967,4.900964 52.369063))";"POLYGON((52.369063 4.900964,52.368147 4.903223,52.36814 4.903223,52.368034 4.903117,52.368967 4.900872,52.369063 4.900964))";4.9020525;52.3685415;
90;"2";"Westerstraat";"Er staat veel water tegen de gevel in 2de Anjeliersdwarsstraat (gevel tot gevel). In de Westerstraat nabij Noordermarkt en aan de zuidkant is er veel water op straat en tegen de gevel.";"Urgent";"POLYGON((4.886477 52.37904,4.886417 52.378829,4.881546 52.377918,4.881806 52.377425,4.881619 52.377403,4.881317 52.377875,4.87966 52.377566,4.879562 52.377872,4.882529 52.378383,4.886228 52.37907,4.886477 52.37904))";"POLYGON((52.37904 4.886477,52.378829 4.886417,52.377918 4.881546,52.377425 4.881806,52.377403 4.881619,52.377875 4.881317,52.377566 4.87966,52.377872 4.879562,52.378383 4.882529,52.37907 4.886228,52.37904 4.886477))";4.8830245;52.3782295;
91;"19";"Banne (Schepenbuurt)";"Er zijn een paar locaties waar water tegen de gevel staat. Verder staat er vooral water in de groenstroken.";"Zeer urgent";"POLYGON((4.913976 52.410285,4.919483 52.414832,4.923563 52.413057,4.92832 52.410899,4.926841 52.409531,4.924854 52.407782,4.923739 52.406116,4.913976 52.410285))";"POLYGON((52.410285 4.913976,52.414832 4.919483,52.413057 4.923563,52.410899 4.92832,52.409531 4.926841,52.407782 4.924854,52.406116 4.923739,52.410285 4.913976))";4.921153;52.410467;
92;"101";"Oostpoort";"Deze wijk wordt ingeklemd door het treinstation, spoorlijnen en Oostpoort. Er verzamelt zich veel water, maar er is veel groen. De vraag is of er een verbinding is tussen HWA-riool en Ringvaart en in hoeverre water vanuit Oostpoort naar Tuinwijk stroomt.";"Urgent";"POLYGON((4.9306346 52.3600070,4.9302484 52.3594623,4.9298836 52.3591331,4.9301572 52.3588628,4.9305595 52.3581339,4.9271585 52.3573738,4.9272228 52.3571772,4.9339176 52.3586187,4.9327589 52.3593133,4.9320294 52.3598506,4.9315466 52.3606302,4.9309028 52.3605320))";"POLYGON((52.3600070 4.9306346,52.3594623 4.9302484,52.3591331 4.9298836,52.3588628 4.9301572,52.3581339 4.9305595,52.3573738 4.9271585,52.3571772 4.9272228,52.3586187 4.9339176,52.3593133 4.9327589,52.3598506 4.9320294,52.3606302 4.9315466,52.3605320 4.9309028))";4.93054305;52.3588967;

