OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
221;"Tram";"13 | 50";"13|50";3;"POINT(4.835503,52.373119)";"POINT(52.373119,4.835503)";4.835503;52.373119;
222;"Tram";"7 | 50";"07|50";3;"POINT(4.837885,52.378829)";"POINT(52.378829,4.837885)";4.837885;52.378829;
223;"Tram";"2 | 50";"02|50";3;"POINT(4.834339,52.351497)";"POINT(52.351497,4.834339)";4.834339;52.351497;
224;"Tram";"24 | 50";"24|50";3;"POINT(4.857276,52.338386)";"POINT(52.338386,4.857276)";4.857276;52.338386;
225;"Tram";"4 | 50 | 51";"04|50|51";3;"POINT(4.890729,52.336998)";"POINT(52.336998,4.890729)";4.890729;52.336998;
226;"Tram";"5 | 24 | 51";"05|24|51";3;"POINT(4.868325,52.334812)";"POINT(52.334812,4.868325)";4.868325;52.334812;
227;"Tram";"5 | 51";"05|51";3;"POINT(4.868971,52.325397)";"POINT(52.325397,4.868971)";4.868971;52.325397;
228;"Tram";"2 | 4 | 11 | 12 | 13 | 14 | 17 | 24 | 26 | 51 | 52 | 53 | 54";"02|04|11|12|13|14|17|24|26|51|52|53|54";3;"POINT(4.899778,52.378019)";"POINT(52.378019,4.899778)";4.899778;52.378019;
229;"Tram";"14 | 51 | 53 | 54";"14|51|53|54";3;"POINT(4.902406,52.367341)";"POINT(52.367341,4.902406)";4.902406;52.367341;
230;"Tram";"1 | 7 | 19 | 51 | 53 | 54";"01|07|19|51|53|54";3;"POINT(4.907983,52.361165)";"POINT(52.361165,4.907983)";4.907983;52.361165;
231;"Tram";"12 | 51 | 53 | 54";"12|51|53|54";3;"POINT(4.918302,52.346655)";"POINT(52.346655,4.918302)";4.918302;52.346655;
232;"Metro";"53";"53";5;"POINT(4.956452,52.330262)";"POINT(52.330262,4.956452)";4.956452;52.330262;
233;"Tram";"26";"26";3;"POINT(4.968966,52.368931)";"POINT(52.368931,4.968966)";4.968966;52.368931;
234;"Tram";"13 | 17";"13|17";3;"POINT(4.884111,52.374027)";"POINT(52.374027,4.884111)";4.884111;52.374027;
235;"Tram";"24";"24";3;"POINT(4.891992,52.362785)";"POINT(52.362785,4.891992)";4.891992;52.362785;
236;"Metro";"4 | 52";"04|52";5;"POINT(4.891992,52.34021)";"POINT(52.34021,4.891992)";4.891992;52.34021;
237;"Metro";"52";"52";5;"POINT(4.918657,52.388894)";"POINT(52.388894,4.918657)";4.918657;52.388894;
238;"Metro";"52";"52";5;"POINT(4.932234,52.401869)";"POINT(52.401869,4.932234)";4.932234;52.401869;
239;"Metro";"4 | 14 | 24 | 52";"04|14|24|52";5;"POINT(4.892383,52.369792)";"POINT(52.369792,4.892383)";4.892383;52.369792;
240;"Metro";"1 | 7 | 19 | 24 | 52";"01|07|19|24|52";5;"POINT(4.890948,52.359624)";"POINT(52.359624,4.890948)";4.890948;52.359624;
241;"Metro";"3 | 12 | 24 | 52";"03|12|24|52";5;"POINT(4.891112,52.352782)";"POINT(52.352782,4.891112)";4.891112;52.352782;

