OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
51;"Metro";"51";"51";5;"POINT(4.832557,52.282385)";"POINT(52.282385,4.832557)";4.832557;52.282385;
52;"Metro";"51";"51";5;"POINT(4.830764,52.27454)";"POINT(52.27454,4.830764)";4.830764;52.27454;
53;"Tram";"3 | 12 | 24 | 52";"03|12|24|52";3;"POINT(4.891112,52.352782)";"POINT(52.352782,4.891112)";4.891112;52.352782;
54;"Tram";"19";"19";3;"POINT(4.851314,52.382566)";"POINT(52.382566,4.851314)";4.851314;52.382566;
55;"Tram";"19";"19";3;"POINT(4.846421,52.38588)";"POINT(52.38588,4.846421)";4.846421;52.38588;
56;"Metro";"51";"51";5;"POINT(4.845444,52.283235)";"POINT(52.283235,4.845444)";4.845444;52.283235;
57;"Tram";"12";"12";3;"POINT(4.891167,52.347337)";"POINT(52.347337,4.891167)";4.891167;52.347337;
58;"Tram";"4 | 52";"04|52";3;"POINT(4.891992,52.34021)";"POINT(52.34021,4.891992)";4.891992;52.34021;
59;"Tram";"4";"04";3;"POINT(4.900816,52.344521)";"POINT(52.344521,4.900816)";4.900816;52.344521;
60;"Tram";"4";"04";3;"POINT(4.896595,52.342991)";"POINT(52.342991,4.896595)";4.896595;52.342991;
61;"Tram";"4";"04";3;"POINT(4.893045,52.341902)";"POINT(52.341902,4.893045)";4.893045;52.341902;
62;"Tram";"5";"05";3;"POINT(4.867284,52.301247)";"POINT(52.301247,4.867284)";4.867284;52.301247;
63;"Tram";"13";"13";3;"POINT(4.855365,52.370912)";"POINT(52.370912,4.855365)";4.855365;52.370912;
64;"Tram";"19";"19";3;"POINT(4.858565,52.374682)";"POINT(52.374682,4.858565)";4.858565;52.374682;
65;"Tram";"5 | 13 | 17 | 19";"05|13|17|19";3;"POINT(4.875889,52.372172)";"POINT(52.372172,4.875889)";4.875889;52.372172;
66;"Tram";"3 | 5 | 12 | 24";"03|05|12|24";3;"POINT(4.88236,52.35285)";"POINT(52.35285,4.88236)";4.88236;52.35285;
67;"Tram";"19";"19";3;"POINT(4.854874,52.380555)";"POINT(52.380555,4.854874)";4.854874;52.380555;
68;"Metro";"51";"51";5;"POINT(4.83824,52.284215)";"POINT(52.284215,4.83824)";4.83824;52.284215;
69;"Tram";"12";"12";3;"POINT(4.895131,52.346931)";"POINT(52.346931,4.895131)";4.895131;52.346931;
70;"Tram";"12";"12";3;"POINT(4.899977,52.346689)";"POINT(52.346689,4.899977)";4.899977;52.346689;
71;"Tram";"12";"12";3;"POINT(4.891548,52.350189)";"POINT(52.350189,4.891548)";4.891548;52.350189;
72;"Tram";"2 | 11 | 12 | 13 | 17";"02|11|12|13|17";3;"POINT(4.890517,52.373153)";"POINT(52.373153,4.890517)";4.890517;52.373153;
73;"Tram";"13";"13";3;"POINT(4.812453,52.376421)";"POINT(52.376421,4.812453)";4.812453;52.376421;
74;"Tram";"7";"07";3;"POINT(4.832248,52.379713)";"POINT(52.379713,4.832248)";4.832248;52.379713;
75;"Tram";"7";"07";3;"POINT(4.826829,52.380563)";"POINT(52.380563,4.826829)";4.826829;52.380563;
76;"Tram";"13";"13";3;"POINT(4.827318,52.374403)";"POINT(52.374403,4.827318)";4.827318;52.374403;
77;"Tram";"13";"13";3;"POINT(4.844122,52.369426)";"POINT(52.369426,4.844122)";4.844122;52.369426;
78;"Tram";"7";"07";3;"POINT(4.848647,52.373173)";"POINT(52.373173,4.848647)";4.848647;52.373173;
79;"Tram";"13";"13";3;"POINT(4.806468,52.376937)";"POINT(52.376937,4.806468)";4.806468;52.376937;
80;"Tram";"13";"13";3;"POINT(4.803274,52.377253)";"POINT(52.377253,4.803274)";4.803274;52.377253;
81;"Tram";"7 | 13";"07|13";3;"POINT(4.850266,52.370031)";"POINT(52.370031,4.850266)";4.850266;52.370031;
82;"Tram";"13";"13";3;"POINT(4.838209,52.36964)";"POINT(52.36964,4.838209)";4.838209;52.36964;
83;"Tram";"7";"07";3;"POINT(4.818878,52.372841)";"POINT(52.372841,4.818878)";4.818878;52.372841;
84;"Tram";"4 | 14";"04|14";3;"POINT(4.896578,52.366236)";"POINT(52.366236,4.896578)";4.896578;52.366236;
85;"Tram";"14";"14";3;"POINT(4.911175,52.36662)";"POINT(52.36662,4.911175)";4.911175;52.36662;
86;"Tram";"14";"14";3;"POINT(4.915418,52.365154)";"POINT(52.365154,4.915418)";4.915418;52.365154;
87;"Tram";"7 | 13";"07|13";3;"POINT(4.819025,52.375687)";"POINT(52.375687,4.819025)";4.819025;52.375687;
88;"Tram";"3 | 14";"03|14";3;"POINT(4.951403,52.365164)";"POINT(52.365164,4.951403)";4.951403;52.365164;
89;"Tram";"14";"14";3;"POINT(4.905703,52.367814)";"POINT(52.367814,4.905703)";4.905703;52.367814;
90;"Tram";"19";"19";3;"POINT(4.923985,52.361911)";"POINT(52.361911,4.923985)";4.923985;52.361911;
91;"Tram";"1 | 3 | 19";"01|03|19";3;"POINT(4.9253,52.36001)";"POINT(52.36001,4.9253)";4.9253;52.36001;
92;"Tram";"3 | 14";"03|14";3;"POINT(4.947757,52.364865)";"POINT(52.364865,4.947757)";4.947757;52.364865;
93;"Tram";"13";"13";3;"POINT(4.83811,52.37148)";"POINT(52.37148,4.83811)";4.83811;52.37148;
94;"Tram";"7";"07|14";3;"POINT(4.845753,52.377869)";"POINT(52.377869,4.845753)";4.845753;52.377869;
95;"Tram";"3 | 14";"03|14";3;"POINT(4.943728,52.362205)";"POINT(52.362205,4.943728)";4.943728;52.362205;
96;"Tram";"3 | 14";"03|14";3;"POINT(4.940099,52.361689)";"POINT(52.361689,4.940099)";4.940099;52.361689;
97;"Tram";"19";"19";3;"POINT(4.930968,52.353481)";"POINT(52.353481,4.930968)";4.930968;52.353481;
98;"Tram";"19";"19";3;"POINT(4.935169,52.350851)";"POINT(52.350851,4.935169)";4.935169;52.350851;
99;"Tram";"14";"14";3;"POINT(4.927677,52.365917)";"POINT(52.365917,4.927677)";4.927677;52.365917;
100;"Tram";"14";"14";3;"POINT(4.932681,52.365804)";"POINT(52.365804,4.932681)";4.932681;52.365804;
101;"Tram";"14";"14";3;"POINT(4.937672,52.364319)";"POINT(52.364319,4.937672)";4.937672;52.364319;
102;"Tram";"4 | 14 | 24";"04|14|24";3;"POINT(4.894056,52.373808)";"POINT(52.373808,4.894056)";4.894056;52.373808;
103;"Tram";"4 | 14 | 24 | 52";"04|14|24|52";3;"POINT(4.892383,52.369792)";"POINT(52.369792,4.892383)";4.892383;52.369792;
104;"Tram";"24";"24";3;"POINT(4.89322,52.36648)";"POINT(52.36648,4.89322)";4.89322;52.36648;
105;"Tram";"24";"24";3;"POINT(4.890706,52.357064)";"POINT(52.357064,4.890706)";4.890706;52.357064;
106;"Tram";"24";"24";3;"POINT(4.857702,52.341118)";"POINT(52.341118,4.857702)";4.857702;52.341118;
107;"Tram";"3 | 5 | 12";"03|05|12";3;"POINT(4.87973,52.356539)";"POINT(52.356539,4.87973)";4.87973;52.356539;
108;"Tram";"17";"17";3;"POINT(4.786916,52.35554)";"POINT(52.35554,4.786916)";4.786916;52.35554;
109;"Tram";"17";"17";3;"POINT(4.791589,52.356484)";"POINT(52.356484,4.791589)";4.791589;52.356484;
110;"Tram";"17";"17";3;"POINT(4.7991,52.357996)";"POINT(52.357996,4.7991)";4.7991;52.357996;
111;"Tram";"17";"17";3;"POINT(4.803208,52.35941)";"POINT(52.35941,4.803208)";4.803208;52.35941;
112;"Tram";"17";"17";3;"POINT(4.807562,52.359614)";"POINT(52.359614,4.807562)";4.807562;52.359614;
113;"Tram";"5 | 7 | 17 | 19";"05|07|17|19";3;"POINT(4.877957,52.368799)";"POINT(52.368799,4.877957)";4.877957;52.368799;
114;"Tram";"3 | 13 | 19";"03|13|19";3;"POINT(4.870338,52.370878)";"POINT(52.370878,4.870338)";4.870338;52.370878;
115;"Tram";"2";"02";3;"POINT(4.856601,52.351502)";"POINT(52.351502,4.856601)";4.856601;52.351502;
116;"Tram";"2";"02";3;"POINT(4.845334,52.351576)";"POINT(52.351576,4.845334)";4.845334;52.351576;
117;"Tram";"2";"02";3;"POINT(4.816064,52.346455)";"POINT(52.346455,4.816064)";4.816064;52.346455;
118;"Tram";"2";"02";3;"POINT(4.810925,52.346352)";"POINT(52.346352,4.810925)";4.810925;52.346352;
119;"Tram";"2";"02";3;"POINT(4.803959,52.344988)";"POINT(52.344988,4.803959)";4.803959;52.344988;
120;"Tram";"2";"02";3;"POINT(4.870705,52.35601)";"POINT(52.35601,4.870705)";4.870705;52.35601;
121;"Tram";"2";"02";3;"POINT(4.863509,52.353218)";"POINT(52.353218,4.863509)";4.863509;52.353218;
122;"Tram";"2";"02";3;"POINT(4.840882,52.351543)";"POINT(52.351543,4.840882)";4.840882;52.351543;
123;"Tram";"2";"02";3;"POINT(4.824631,52.346686)";"POINT(52.346686,4.824631)";4.824631;52.346686;
124;"Tram";"2";"02";3;"POINT(4.827482,52.349156)";"POINT(52.349156,4.827482)";4.827482;52.349156;
125;"Tram";"2";"02";3;"POINT(4.84994,52.351301)";"POINT(52.351301,4.84994)";4.84994;52.351301;
126;"Tram";"2 | 3 | 5 | 12";"02|03|05|12";3;"POINT(4.878568,52.358141)";"POINT(52.358141,4.878568)";4.878568;52.358141;
127;"Tram";"5";"05";3;"POINT(4.876776,52.342896)";"POINT(52.342896,4.876776)";4.876776;52.342896;
128;"Tram";"5 | 24";"05|24";3;"POINT(4.876907,52.347089)";"POINT(52.347089,4.876907)";4.876907;52.347089;
129;"Tram";"24";"24";3;"POINT(4.872533,52.346728)";"POINT(52.346728,4.872533)";4.872533;52.346728;
130;"Tram";"26";"26";3;"POINT(5.004306,52.350942)";"POINT(52.350942,5.004306)";5.004306;52.350942;
131;"Tram";"19";"19";3;"POINT(4.927082,52.357205)";"POINT(52.357205,4.927082)";4.927082;52.357205;
132;"Tram";"26";"26";3;"POINT(4.913026,52.377239)";"POINT(52.377239,4.913026)";4.913026;52.377239;
133;"Tram";"26";"26";3;"POINT(4.921583,52.376114)";"POINT(52.376114,4.921583)";4.921583;52.376114;
134;"Tram";"26";"26";3;"POINT(4.961515,52.372018)";"POINT(52.372018,4.961515)";4.961515;52.372018;
135;"Tram";"26";"26";3;"POINT(4.98044,52.362985)";"POINT(52.362985,4.98044)";4.98044;52.362985;
136;"Tram";"26";"26";3;"POINT(4.990814,52.357576)";"POINT(52.357576,4.990814)";4.990814;52.357576;
137;"Tram";"26";"26";3;"POINT(4.995227,52.355229)";"POINT(52.355229,4.995227)";4.995227;52.355229;
138;"Tram";"26";"26";3;"POINT(4.999645,52.352878)";"POINT(52.352878,4.999645)";4.999645;52.352878;
139;"Tram";"3";"03";3;"POINT(4.885244,52.388059)";"POINT(52.388059,4.885244)";4.885244;52.388059;
140;"Tram";"1 | 3";"01|03";3;"POINT(4.917045,52.358581)";"POINT(52.358581,4.917045)";4.917045;52.358581;
141;"Tram";"3 | 5";"03|05";3;"POINT(4.878628,52.378386)";"POINT(52.378386,4.878628)";4.878628;52.378386;
142;"Tram";"4 | 12";"04|12";3;"POINT(4.90491,52.346237)";"POINT(52.346237,4.90491)";4.90491;52.346237;
143;"Tram";"3";"03";3;"POINT(4.909563,52.357315)";"POINT(52.357315,4.909563)";4.909563;52.357315;
144;"Tram";"4";"04";3;"POINT(4.903214,52.35168)";"POINT(52.35168,4.903214)";4.903214;52.35168;
145;"Tram";"12";"12";3;"POINT(4.910983,52.347088)";"POINT(52.347088,4.910983)";4.910983;52.347088;
146;"Tram";"1 | 3";"01|03";3;"POINT(4.932961,52.36093)";"POINT(52.36093,4.932961)";4.932961;52.36093;
147;"Tram";"3";"03";3;"POINT(4.872753,52.37465)";"POINT(52.37465,4.872753)";4.872753;52.37465;
148;"Tram";"3";"03";3;"POINT(4.875346,52.378534)";"POINT(52.378534,4.875346)";4.875346;52.378534;
149;"Tram";"4";"04";3;"POINT(4.904198,52.34906)";"POINT(52.34906,4.904198)";4.904198;52.34906;
150;"Tram";"3";"03";3;"POINT(4.913607,52.358348)";"POINT(52.358348,4.913607)";4.913607;52.358348;
151;"Tram";"3 | 4";"03|04";3;"POINT(4.901248,52.354815)";"POINT(52.354815,4.901248)";4.901248;52.354815;
152;"Tram";"3";"03";3;"POINT(4.894586,52.353247)";"POINT(52.353247,4.894586)";4.894586;52.353247;
153;"Tram";"4";"04";3;"POINT(4.898301,52.363831)";"POINT(52.363831,4.898301)";4.898301;52.363831;
154;"Tram";"4";"04";3;"POINT(4.898988,52.362114)";"POINT(52.362114,4.898988)";4.898988;52.362114;
155;"Tram";"1 | 4 | 7 | 19";"01|04|07|19";3;"POINT(4.898761,52.359516)";"POINT(52.359516,4.898761)";4.898761;52.359516;
156;"Metro";"5 | 50 | 51 | 52";"05|50|51|52";5;"POINT(4.873149,52.340157)";"POINT(52.340157,4.873149)";4.873149;52.340157;
157;"Metro";"5 | 51";"05|51";5;"POINT(4.868842,52.331422)";"POINT(52.331422,4.868842)";4.868842;52.331422;
158;"Tram";"5";"05";3;"POINT(4.868701,52.338095)";"POINT(52.338095,4.868701)";4.868701;52.338095;
159;"Metro";"5 | 51";"05|51";5;"POINT(4.869154,52.321623)";"POINT(52.321623,4.869154)";4.869154;52.321623;
160;"Tram";"24";"24";3;"POINT(4.856897,52.34395)";"POINT(52.34395,4.856897)";4.856897;52.34395;
161;"Metro";"5 | 51";"05|51";5;"POINT(4.870291,52.316557)";"POINT(52.316557,4.870291)";4.870291;52.316557;
162;"Metro";"5 | 51";"05|51";5;"POINT(4.872233,52.312364)";"POINT(52.312364,4.872233)";4.872233;52.312364;
163;"Metro";"5 | 51";"05|51";5;"POINT(4.872513,52.308276)";"POINT(52.308276,4.872513)";4.872513;52.308276;
164;"Metro";"5 | 51";"05|51";5;"POINT(4.871977,52.303246)";"POINT(52.303246,4.871977)";4.871977;52.303246;
165;"Metro";"51";"51";5;"POINT(4.869946,52.300079)";"POINT(52.300079,4.869946)";4.869946;52.300079;
166;"Metro";"51";"51";5;"POINT(4.867644,52.29634)";"POINT(52.29634,4.867644)";4.867644;52.29634;
167;"Metro";"1 | 17 | 50";"01|17|50";5;"POINT(4.834378,52.357886)";"POINT(52.357886,4.834378)";4.834378;52.357886;
168;"Metro";"50";"50";5;"POINT(4.850835,52.395174)";"POINT(52.395174,4.850835)";4.850835;52.395174;
169;"Metro";"50 | 54";"50|54";5;"POINT(4.989232,52.296339)";"POINT(52.296339,4.989232)";4.989232;52.296339;
170;"Metro";"50 | 51";"50|51";5;"POINT(4.917807,52.331746)";"POINT(52.331746,4.917807)";4.917807;52.331746;
171;"Metro";"50 | 54";"50|54";5;"POINT(4.974169,52.295611)";"POINT(52.295611,4.974169)";4.974169;52.295611;
172;"Metro";"19 | 50";"19|50";5;"POINT(4.83889,52.388595)";"POINT(52.388595,4.83889)";4.83889;52.388595;
173;"Metro";"13 | 50";"13|50";5;"POINT(4.835503,52.373119)";"POINT(52.373119,4.835503)";4.835503;52.373119;
174;"Metro";"7 | 50";"07|50";5;"POINT(4.837885,52.378829)";"POINT(52.378829,4.837885)";4.837885;52.378829;
175;"Metro";"50";"50";5;"POINT(4.834486,52.346535)";"POINT(52.346535,4.834486)";4.834486;52.346535;
176;"Metro";"2 | 50";"02|50";5;"POINT(4.834339,52.351497)";"POINT(52.351497,4.834339)";4.834339;52.351497;
177;"Metro";"50";"50";5;"POINT(4.833954,52.364858)";"POINT(52.364858,4.833954)";4.833954;52.364858;
178;"Metro";"24 | 50";"24|50";5;"POINT(4.857276,52.338386)";"POINT(52.338386,4.857276)";4.857276;52.338386;
179;"Metro";"4 | 50 | 51";"04|50|51";5;"POINT(4.890729,52.336998)";"POINT(52.336998,4.890729)";4.890729;52.336998;
180;"Metro";"50 | 54";"50|54";5;"POINT(4.941473,52.318416)";"POINT(52.318416,4.941473)";4.941473;52.318416;
181;"Metro";"50 | 54";"50|54";5;"POINT(4.947196,52.312124)";"POINT(52.312124,4.947196)";4.947196;52.312124;
182;"Metro";"50 | 54";"50|54";5;"POINT(4.952107,52.306792)";"POINT(52.306792,4.952107)";4.952107;52.306792;
183;"Metro";"50 | 54";"50|54";5;"POINT(4.959985,52.298174)";"POINT(52.298174,4.959985)";4.959985;52.298174;
184;"Metro";"50 | 54";"50|54";5;"POINT(4.936492,52.323599)";"POINT(52.323599,4.936492)";4.936492;52.323599;
185;"Metro";"5 | 24 | 51";"05|24|51";5;"POINT(4.868325,52.334812)";"POINT(52.334812,4.868325)";4.868325;52.334812;
186;"Metro";"51";"51";5;"POINT(4.864067,52.290732)";"POINT(52.290732,4.864067)";4.864067;52.290732;
187;"Metro";"5 | 51";"05|51";5;"POINT(4.868971,52.325397)";"POINT(52.325397,4.868971)";4.868971;52.325397;
188;"Metro";"51 | 53 | 54";"51|53|54";5;"POINT(4.920971,52.340034)";"POINT(52.340034,4.920971)";4.920971;52.340034;
189;"Metro";"2 | 4 | 11 | 12 | 13 | 14 | 17 | 24 | 26 | 51 | 52 | 53 | 54";"02|04|11|12|13|14|17|24|26|51|52|53|54";5;"POINT(4.899778,52.378019)";"POINT(52.378019,4.899778)";4.899778;52.378019;
190;"Metro";"14 | 51 | 53 | 54";"14|51|53|54";5;"POINT(4.902406,52.367341)";"POINT(52.367341,4.902406)";4.902406;52.367341;
191;"Metro";"1 | 7 | 19 | 51 | 53 | 54";"01|07|19|51|53|54";5;"POINT(4.907983,52.361165)";"POINT(52.361165,4.907983)";4.907983;52.361165;
192;"Metro";"51 | 53 | 54";"51|53|54";5;"POINT(4.912128,52.354325)";"POINT(52.354325,4.912128)";4.912128;52.354325;
193;"Tram";"24";"24";3;"POINT(4.858529,52.345264)";"POINT(52.345264,4.858529)";4.858529;52.345264;
194;"Tram";"24";"24";3;"POINT(4.866262,52.346332)";"POINT(52.346332,4.866262)";4.866262;52.346332;
195;"Tram";"5 | 24";"05|24";3;"POINT(4.877281,52.349091)";"POINT(52.349091,4.877281)";4.877281;52.349091;
196;"Metro";"51 | 53 | 54";"51|53|54";5;"POINT(4.901306,52.371912)";"POINT(52.371912,4.901306)";4.901306;52.371912;
197;"Metro";"12 | 51 | 53 | 54";"12|51|53|54";5;"POINT(4.918302,52.346655)";"POINT(52.346655,4.918302)";4.918302;52.346655;
198;"Metro";"50 | 53 | 54";"50|53|54";5;"POINT(4.930305,52.32967)";"POINT(52.32967,4.930305)";4.930305;52.32967;
199;"Metro";"53";"53";5;"POINT(4.966764,52.328616)";"POINT(52.328616,4.966764)";4.966764;52.328616;
200;"Metro";"53";"53";5;"POINT(4.973049,52.323623)";"POINT(52.323623,4.973049)";4.973049;52.323623;
201;"Metro";"53";"53";5;"POINT(4.979459,52.31661)";"POINT(52.31661,4.979459)";4.979459;52.31661;
202;"Metro";"53";"53";5;"POINT(4.984554,52.311027)";"POINT(52.311027,4.984554)";4.984554;52.311027;
203;"Metro";"53";"53";5;"POINT(4.946234,52.326729)";"POINT(52.326729,4.946234)";4.946234;52.326729;
204;"Tram";"7 | 17";"07|17";3;"POINT(4.859681,52.364717)";"POINT(52.364717,4.859681)";4.859681;52.364717;
205;"Tram";"7";"07";3;"POINT(4.852487,52.367166)";"POINT(52.367166,4.852487)";4.852487;52.367166;
206;"Tram";"13 | 19";"13|19";3;"POINT(4.859972,52.371491)";"POINT(52.371491,4.859972)";4.859972;52.371491;
207;"Metro";"51";"51";5;"POINT(4.857169,52.281033)";"POINT(52.281033,4.857169)";4.857169;52.281033;
208;"Tram";"7 | 17";"07|17";3;"POINT(4.862706,52.364803)";"POINT(52.364803,4.862706)";4.862706;52.364803;
209;"Metro";"51";"51";5;"POINT(4.861379,52.286964)";"POINT(52.286964,4.861379)";4.861379;52.286964;
210;"Metro";"51";"51";5;"POINT(4.859283,52.284445)";"POINT(52.284445,4.859283)";4.859283;52.284445;
211;"Metro";"51";"51";5;"POINT(4.851712,52.28056)";"POINT(52.28056,4.851712)";4.851712;52.28056;
212;"Tram";"5 | 50 | 51 | 52";"05|50|51|52";3;"POINT(4.873149,52.340157)";"POINT(52.340157,4.873149)";4.873149;52.340157;
213;"Tram";"5 | 51";"05|51";3;"POINT(4.868842,52.331422)";"POINT(52.331422,4.868842)";4.868842;52.331422;
214;"Tram";"5 | 51";"05|51";3;"POINT(4.869154,52.321623)";"POINT(52.321623,4.869154)";4.869154;52.321623;
215;"Tram";"5 | 51";"05|51";3;"POINT(4.870291,52.316557)";"POINT(52.316557,4.870291)";4.870291;52.316557;
216;"Tram";"5 | 51";"05|51";3;"POINT(4.872233,52.312364)";"POINT(52.312364,4.872233)";4.872233;52.312364;
217;"Tram";"5 | 51";"05|51";3;"POINT(4.872513,52.308276)";"POINT(52.308276,4.872513)";4.872513;52.308276;
218;"Tram";"5 | 51";"05|51";3;"POINT(4.871977,52.303246)";"POINT(52.303246,4.871977)";4.871977;52.303246;
219;"Tram";"1 | 17 | 50";"01|17|50";3;"POINT(4.834378,52.357886)";"POINT(52.357886,4.834378)";4.834378;52.357886;
220;"Tram";"19 | 50";"19|50";3;"POINT(4.83889,52.388595)";"POINT(52.388595,4.83889)";4.83889;52.388595;
