OBJECTNUMMER;Volgnummer;Adres;Soort_tuin;Sinds;Oppervlakte_m2;Stadsdeel;Foto;Weblink;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
476;884;"Da Costakade 310";"Sedumdak";2017;50;"West";"247_da costadade310k.jpg";"";"SEDUMDAK";"POINT(4.8722367,52.371633)";"POINT(52.371633,4.8722367)";4.8722367;52.371633;
477;885;"Da Costakade 319";"Sedumdak";2017;54;"West";"254k.jpg";"";"SEDUMDAK";"POINT(4.8727581,52.37201)";"POINT(52.37201,4.8727581)";4.8727581;52.37201;
478;886;"Durgerdammerdijk 1013";"Sedumdak";2016;75;"Noord";"";"";"SEDUMDAK";"POINT(4.9793185,52.3745149)";"POINT(52.3745149,4.9793185)";4.9793185;52.3745149;
479;888;"Marnixkade 50F";"Sedumdak";2016;80;"Centrum";"";"";"SEDUMDAK";"POINT(4.8794548,52.3802818)";"POINT(52.3802818,4.8794548)";4.8794548;52.3802818;
480;887;"Silodam 463";"Sedumdak";2017;67;"West";"";"";"SEDUMDAK";"POINT(4.8903244,52.3916515)";"POINT(52.3916515,4.8903244)";4.8903244;52.3916515;
481;889;"Stadhouderskade 561";"Sedumdak";2017;111;"Zuid";"";"";"SEDUMDAK";"POINT(4.8946757,52.3580311)";"POINT(52.3580311,4.8946757)";4.8946757;52.3580311;
482;890;"Weesperzijde 1096";"Sedumdak";2017;96;"Oost";"";"";"SEDUMDAK";"POINT(4.9135062,52.3469896)";"POINT(52.3469896,4.9135062)";4.9135062;52.3469896;
483;891;"Westerdok 101";"Sedumdak";2017;20;"Centrum";"";"";"SEDUMDAK";"POINT(4.891474,52.38754)";"POINT(52.38754,4.891474)";4.891474;52.38754;
484;892;"Zeeburgerpad 144";"Sedumdak";2017;60;"Oost";"";"";"SEDUMDAK";"POINT(4.944248,52.3667938)";"POINT(52.3667938,4.944248)";4.944248;52.3667938;
485;893;" Zeeburgerpad 145";"Sedumdak";2017;70;"Oost";"zeeburgerpad 145k.jpg";"";"SEDUMDAK";"POINT(4.9440271,52.3668063)";"POINT(52.3668063,4.9440271)";4.9440271;52.3668063;
486;894;"Zeeburgerpad 146";"Sedumdak";2017;49;"Oost";"";"";"SEDUMDAK";"POINT(4.9437652,52.3667803)";"POINT(52.3667803,4.9437652)";4.9437652;52.3667803;
487;896;"Valschermkade/Vliegtuigstraat";"Muur";2017;0;"Zuid";"hoek valschermkade.jpg";"";"MUUR";"POINT(4.8455648,52.3402509)";"POINT(52.3402509,4.8455648)";4.8455648;52.3402509;
488;895;"Panamakade 214";"Muur";2015;20;"Oost";"pananma.jpg";"";"MUUR";"POINT(4.9388817,52.3724071)";"POINT(52.3724071,4.9388817)";4.9388817;52.3724071;
