OBJECTNUMMER;Regel;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
47;"Verbodsgebied in- en uitstappen";"NIET_INUITSTAP";"POLYGON((4.898547 52.373863,4.898669 52.373837,4.898706 52.373871,4.898605 52.373910,4.898383 52.373968,4.898279 52.374004,4.898197 52.373947,4.898185 52.373944,4.898186 52.373941,4.898323 52.373923))";"POLYGON((52.373863 4.898547,52.373837 4.898669,52.373871 4.898706,52.373910 4.898605,52.373968 4.898383,52.374004 4.898279,52.373947 4.898197,52.373944 4.898185,52.373941 4.898186,52.373923 4.898323))";4.8984504;52.37391345;
48;"Verbodsgebied in- en uitstappen ";"NIET_INUITSTAP";"POLYGON((4.899132 52.374801,4.899116 52.374800,4.899122 52.374781,4.899260 52.374735,4.899483 52.374683,4.899648 52.374657,4.899679 52.374687,4.899716 52.374723,4.899614 52.374768,4.899551 52.374744,4.899324 52.374798,4.899318 52.374828,4.899210 52.374869,4.899172 52.374829,4.899157 52.374833))";"POLYGON((52.374801 4.899132,52.374800 4.899116,52.374781 4.899122,52.374735 4.899260,52.374683 4.899483,52.374657 4.899648,52.374687 4.899679,52.374723 4.899716,52.374768 4.899614,52.374744 4.899551,52.374798 4.899324,52.374828 4.899318,52.374869 4.899210,52.374829 4.899172,52.374833 4.899157))";4.89942095;52.3747565;
49;"Verbodsgebied in- en uitstappen ";"NIET_INUITSTAP";"POLYGON((4.896961 52.372635,4.897100 52.372592,4.897121 52.372613,4.896985 52.372661,4.896637 52.372776,4.896611 52.372748))";"POLYGON((52.372635 4.896961,52.372592 4.897100,52.372613 4.897121,52.372661 4.896985,52.372776 4.896637,52.372748 4.896611))";4.8968711;52.37267745;
50;"Verboden voor fietstaxi`s tussen 20h en 3h";"NIET";"POLYGON((4.894513 52.372876,4.893979 52.373136,4.896289 52.374625,4.897570 52.375395,4.899087 52.376448,4.899066 52.376456,4.899145 52.376509,4.899239 52.376532,4.899425 52.376637,4.899507 52.376625,4.899916 52.376352,4.900018 52.376377,4.900740 52.375806,4.901009 52.375602,4.901180 52.375355,4.900999 52.374865,4.900607 52.374426,4.900498 52.374431,4.900284 52.374503,4.900205 52.374523,4.900146 52.374539,4.900064 52.374563,4.899691 52.374696,4.899717 52.374724,4.899614 52.374768,4.899549 52.374746,4.899325 52.374797,4.899319 52.374830,4.899210 52.374868,4.899172 52.374832,4.899156 52.374834,4.899115 52.374778,4.898881 52.374535,4.898740 52.374364,4.898453 52.374120,4.898190 52.373944,4.898018 52.373879,4.897079 52.373149,4.896606 52.372746,4.895674 52.371998,4.895624 52.371988,4.894515 52.372348,4.894135 52.372496,4.894092 52.372512,4.894105 52.372531,4.894138 52.372568,4.894187 52.372622,4.894205 52.372613,4.894233 52.372639,4.894227 52.372652,4.894369 52.372770))";"POLYGON((52.372876 4.894513,52.373136 4.893979,52.374625 4.896289,52.375395 4.897570,52.376448 4.899087,52.376456 4.899066,52.376509 4.899145,52.376532 4.899239,52.376637 4.899425,52.376625 4.899507,52.376352 4.899916,52.376377 4.900018,52.375806 4.900740,52.375602 4.901009,52.375355 4.901180,52.374865 4.900999,52.374426 4.900607,52.374431 4.900498,52.374503 4.900284,52.374523 4.900205,52.374539 4.900146,52.374563 4.900064,52.374696 4.899691,52.374724 4.899717,52.374768 4.899614,52.374746 4.899549,52.374797 4.899325,52.374830 4.899319,52.374868 4.899210,52.374832 4.899172,52.374834 4.899156,52.374778 4.899115,52.374535 4.898881,52.374364 4.898740,52.374120 4.898453,52.373944 4.898190,52.373879 4.898018,52.373149 4.897079,52.372746 4.896606,52.371998 4.895674,52.371988 4.895624,52.372348 4.894515,52.372496 4.894135,52.372512 4.894092,52.372531 4.894105,52.372568 4.894138,52.372622 4.894187,52.372613 4.894205,52.372639 4.894233,52.372652 4.894227,52.372770 4.894369))";4.89758445;52.37430445;
51;"Fietstaxi’s wel toegestaan";"WEL";"POLYGON((4.899648 52.374656,4.900018 52.374520,4.900267 52.374455,4.900943 52.374236,4.900976 52.374303,4.900605 52.374425,4.900501 52.374430,4.900286 52.374503,4.900149 52.374538,4.900066 52.374562,4.899690 52.374695))";"POLYGON((52.374656 4.899648,52.374520 4.900018,52.374455 4.900267,52.374236 4.900943,52.374303 4.900976,52.374425 4.900605,52.374430 4.900501,52.374503 4.900286,52.374538 4.900149,52.374562 4.900066,52.374695 4.899690))";4.9003172;52.37445895;
52;"Verboden voor fietstaxi`s tussen 20h en 3h";"NIET";"POLYGON((4.896163 52.371811,4.896801 52.371581,4.897064 52.371467,4.897856 52.372234,4.898691 52.372982,4.898867 52.373164,4.899034 52.373313,4.899720 52.373142,4.900054 52.373055,4.900186 52.373038,4.900178 52.373138,4.900313 52.373148,4.900283 52.373612,4.900301 52.373768,4.900335 52.373912,4.900417 52.374119,4.900572 52.374355,4.900266 52.374454,4.900021 52.374518,4.899647 52.374655,4.899489 52.374539,4.899335 52.374384,4.898934 52.374058,4.898707 52.373872,4.898669 52.373836,4.897126 52.372599))";"POLYGON((52.371811 4.896163,52.371581 4.896801,52.371467 4.897064,52.372234 4.897856,52.372982 4.898691,52.373164 4.898867,52.373313 4.899034,52.373142 4.899720,52.373055 4.900054,52.373038 4.900186,52.373138 4.900178,52.373148 4.900313,52.373612 4.900283,52.373768 4.900301,52.373912 4.900335,52.374119 4.900417,52.374355 4.900572,52.374454 4.900266,52.374518 4.900021,52.374655 4.899647,52.374539 4.899489,52.374384 4.899335,52.374058 4.898934,52.373872 4.898707,52.373836 4.898669,52.372599 4.897126))";4.8983724;52.37305515;
53;" Fietstaxi’s wel toegestaan ";"WEL";"POLYGON((4.895893 52.371724,4.895709 52.371801,4.895544 52.371902,4.894017 52.372396,4.894094 52.372511,4.894497 52.372359,4.895625 52.371987,4.895799 52.371946,4.895883 52.371899,4.895976 52.371876,4.896064 52.371862,4.896166 52.371809,4.896807 52.371577,4.897063 52.371466,4.898486 52.371096,4.898428 52.371039,4.897012 52.371403,4.896704 52.371497,4.896057 52.371726))";"POLYGON((52.371724 4.895893,52.371801 4.895709,52.371902 4.895544,52.372396 4.894017,52.372511 4.894094,52.372359 4.894497,52.371987 4.895625,52.371946 4.895799,52.371899 4.895883,52.371876 4.895976,52.371862 4.896064,52.371809 4.896166,52.371577 4.896807,52.371466 4.897063,52.371096 4.898486,52.371039 4.898428,52.371403 4.897012,52.371497 4.896704,52.371726 4.896057))";4.89625665;52.37176955;
55;"Niet wachten en instappen - wel uitstappen";"NIET_INUITSTAP";"POLYGON((4.903216 52.377051,4.902710 52.377171,4.902638 52.377191,4.902594 52.377187,4.902474 52.377147,4.902372 52.377070,4.902444 52.376918,4.902382 52.376892,4.902428 52.376851,4.902088 52.376696,4.902025 52.376683,4.901934 52.376769,4.901914 52.376774,4.901637 52.376732,4.901204 52.376681,4.901135 52.376667,4.901081 52.376648,4.900910 52.376612,4.900792 52.376600,4.900482 52.376514,4.900075 52.376392,4.900021 52.376371,4.899918 52.376346,4.899568 52.376586,4.899508 52.376622,4.899420 52.376635,4.899244 52.376531,4.899140 52.376502,4.899058 52.376454,4.899025 52.376512,4.898483 52.376824,4.898064 52.377129,4.898053 52.377163,4.898032 52.377179,4.897787 52.377316,4.897571 52.377442,4.897549 52.377428,4.897174 52.377668,4.897004 52.377866,4.896825 52.378105,4.896660 52.378269,4.896594 52.378330,4.896527 52.378381,4.896349 52.378494,4.896295 52.378523,4.896190 52.378588,4.895878 52.378764,4.895717 52.378839,4.895379 52.378986,4.895292 52.379027,4.895141 52.379130,4.895232 52.379169,4.895330 52.379185,4.895741 52.379466,4.896138 52.379727,4.896337 52.379858,4.896274 52.380019,4.896793 52.380555,4.896889 52.380613,4.896985 52.380640,4.896831 52.380922,4.897233 52.381354,4.898316 52.380956,4.898645 52.381182,4.897953 52.381530,4.898017 52.381584,4.899256 52.380975,4.899120 52.380873,4.899762 52.380554,4.899933 52.380682,4.900177 52.380589,4.899972 52.380380,4.900544 52.380174,4.900527 52.380152,4.902714 52.379343,4.905129 52.378474,4.903536 52.376947))";"POLYGON((52.377051 4.903216,52.377171 4.902710,52.377191 4.902638,52.377187 4.902594,52.377147 4.902474,52.377070 4.902372,52.376918 4.902444,52.376892 4.902382,52.376851 4.902428,52.376696 4.902088,52.376683 4.902025,52.376769 4.901934,52.376774 4.901914,52.376732 4.901637,52.376681 4.901204,52.376667 4.901135,52.376648 4.901081,52.376612 4.900910,52.376600 4.900792,52.376514 4.900482,52.376392 4.900075,52.376371 4.900021,52.376346 4.899918,52.376586 4.899568,52.376622 4.899508,52.376635 4.899420,52.376531 4.899244,52.376502 4.899140,52.376454 4.899058,52.376512 4.899025,52.376824 4.898483,52.377129 4.898064,52.377163 4.898053,52.377179 4.898032,52.377316 4.897787,52.377442 4.897571,52.377428 4.897549,52.377668 4.897174,52.377866 4.897004,52.378105 4.896825,52.378269 4.896660,52.378330 4.896594,52.378381 4.896527,52.378494 4.896349,52.378523 4.896295,52.378588 4.896190,52.378764 4.895878,52.378839 4.895717,52.378986 4.895379,52.379027 4.895292,52.379130 4.895141,52.379169 4.895232,52.379185 4.895330,52.379466 4.895741,52.379727 4.896138,52.379858 4.896337,52.380019 4.896274,52.380555 4.896793,52.380613 4.896889,52.380640 4.896985,52.380922 4.896831,52.381354 4.897233,52.380956 4.898316,52.381182 4.898645,52.381530 4.897953,52.381584 4.898017,52.380975 4.899256,52.380873 4.899120,52.380554 4.899762,52.380682 4.899933,52.380589 4.900177,52.380380 4.899972,52.380174 4.900544,52.380152 4.900527,52.379343 4.902714,52.378474 4.905129,52.376947 4.903536))";4.90014005;52.3789584;
57;"Eénrichtingsverkeer";"WEL";"POLYGON((4.895660 52.371981,4.895769 52.371955,4.895761 52.371974,4.896244 52.372351,4.896688 52.372722,4.896650 52.372736,4.896190 52.372360,4.895714 52.371997))";"POLYGON((52.371981 4.895660,52.371955 4.895769,52.371974 4.895761,52.372351 4.896244,52.372722 4.896688,52.372736 4.896650,52.372360 4.896190,52.371997 4.895714))";4.89617895;52.3723399;
58;"Eénrichtingsverkeer";"WEL";"POLYGON((4.897743 52.373611,4.897001 52.373030,4.896678 52.372761,4.896721 52.372746,4.897040 52.373007,4.898141 52.373877,4.898202 52.373910,4.898258 52.373930,4.898184 52.373941,4.898082 52.373890))";"POLYGON((52.373611 4.897743,52.373030 4.897001,52.372761 4.896678,52.372746 4.896721,52.373007 4.897040,52.373877 4.898141,52.373910 4.898202,52.373930 4.898258,52.373941 4.898184,52.373890 4.898082))";4.8974731;52.3733355;
59;"Eénrichtingsverkeer";"WEL";"POLYGON((4.898309 52.373993,4.898364 52.373975,4.898370 52.373995,4.898589 52.374152,4.898699 52.374238,4.898842 52.374385,4.898874 52.374433,4.899078 52.374631,4.899192 52.374743,4.899205 52.374752,4.899162 52.374766,4.898857 52.374466,4.898797 52.374388,4.898642 52.374239,4.898447 52.374089))";"POLYGON((52.373993 4.898309,52.373975 4.898364,52.373995 4.898370,52.374152 4.898589,52.374238 4.898699,52.374385 4.898842,52.374433 4.898874,52.374631 4.899078,52.374743 4.899192,52.374752 4.899205,52.374766 4.899162,52.374466 4.898857,52.374388 4.898797,52.374239 4.898642,52.374089 4.898447))";4.8987622;52.37436355;
60;"Eénrichtingsverkeer";"WEL";"POLYGON((4.896084 52.371849,4.896146 52.371818,4.896148 52.371838,4.896583 52.372200,4.897061 52.372605,4.897024 52.372615,4.896462 52.372145,4.896120 52.371861))";"POLYGON((52.371849 4.896084,52.371818 4.896146,52.371838 4.896148,52.372200 4.896583,52.372605 4.897061,52.372615 4.897024,52.372145 4.896462,52.371861 4.896120))";4.89657735;52.37221015;
61;"Eénrichtingsverkeer";"WEL";"POLYGON((4.897050 52.372638,4.897086 52.372624,4.897859 52.373237,4.898637 52.373843,4.898583 52.373854,4.898578 52.373839,4.897813 52.373242))";"POLYGON((52.372638 4.897050,52.372624 4.897086,52.373237 4.897859,52.373843 4.898637,52.373854 4.898583,52.373839 4.898578,52.373242 4.897813))";4.89784835;52.3732325;
62;"Eénrichtingsverkeer";"WEL";"POLYGON((4.898634 52.373899,4.898677 52.373881,4.898940 52.374084,4.899166 52.374272,4.899591 52.374655,4.899611 52.374662,4.899530 52.374675,4.899533 52.374658,4.899525 52.374645,4.899136 52.374292,4.898875 52.374080,4.898653 52.373908))";"POLYGON((52.373899 4.898634,52.373881 4.898677,52.374084 4.898940,52.374272 4.899166,52.374655 4.899591,52.374662 4.899611,52.374675 4.899530,52.374658 4.899533,52.374645 4.899525,52.374292 4.899136,52.374080 4.898875,52.373908 4.898653))";4.8991275;52.37427205;

