OBJECTNUMMER;Soortnaam_NL;Boomnummer;Soortnaam_WTS;Boomtype;Boomhoogte;Plantjaar;Eigenaar;Beheerder;Categorie;SOORT_KORT;SDVIEW;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
11;"Appel (cultuurvariëteit)";589660;"Malus domestica cv.";"Boom niet vrij uitgroeiend";"6 tot 12 m.";1959;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Malus";"K";3;"POINT(4.899426,52.340109)";"POINT(52.340109,4.899426)";4.899426;52.340109;
12;"Kobushi-magnolia";589659;"Magnolia kobus";"Boom niet vrij uitgroeiend";"6 tot 12 m.";2002;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Magnolia";"K";3;"POINT(4.903999,52.342466)";"POINT(52.342466,4.903999)";4.903999;52.342466;
13;"Amerikaanse linde";589658;"Tilia americana";"Boom niet vrij uitgroeiend";"12 tot 18 m.";1948;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.904656,52.339588)";"POINT(52.339588,4.904656)";4.904656;52.339588;
14;"Gewone plataan";589657;"Platanus hispanica";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1993;"Gemeente Amsterdam";"Stadsdeel Zuid";"Platanus";"Platanus";"K";3;"POINT(4.883452,52.340545)";"POINT(52.340545,4.883452)";4.883452;52.340545;
15;"Els (cultuurvariëteit)";589656;"Alnus spaethii `Spaeth`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";2004;"Gemeente Amsterdam";"Stadsdeel Zuid";"Alnus";"Alnus";"K";3;"POINT(4.854732,52.33417)";"POINT(52.33417,4.854732)";4.854732;52.33417;
16;"Papierberk";589655;"Betula papyrifera";"Boom niet vrij uitgroeiend";"6 tot 9 m.";2014;"Gemeente Amsterdam";"Stadsdeel Zuid";"Betula";"Betula";"K";2;"POINT(4.868929,52.358203)";"POINT(52.358203,4.868929)";4.868929;52.358203;
17;"Dubbelbloemige paardenkastanje";589654;"Aesculus hippocastanum `Baumannii`";"Boom niet vrij uitgroeiend";"tot 6 m.";2014;"Gemeente Amsterdam";"Stadsdeel Zuid";"Aesculus";"Aesculus";"K";1;"POINT(4.868554,52.358254)";"POINT(52.358254,4.868554)";4.868554;52.358254;
18;"Gewone plataan";589652;"Platanus hispanica";"Boom niet vrij uitgroeiend";"6 tot 9 m.";2014;"Gemeente Amsterdam";"Stadsdeel Zuid";"Platanus";"Platanus";"K";2;"POINT(4.866169,52.358655)";"POINT(52.358655,4.866169)";4.866169;52.358655;
19;"Gewone esdoorn (cultuurvariëteit)";589651;"Acer pseudoplatanus `Negenia`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1958;"Gemeente Amsterdam";"Stadsdeel Zuid";"Acer";"Acer";"K";5;"POINT(4.875411,52.343233)";"POINT(52.343233,4.875411)";4.875411;52.343233;
20;"Zomereik";589650;"Quercus robur";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1974;"Gemeente Amsterdam";"Stadsdeel Zuid";"Quercus";"Quercus";"K";3;"POINT(4.876312,52.341074)";"POINT(52.341074,4.876312)";4.876312;52.341074;
21;"Zomereik";589649;"Quercus robur";"Boom niet vrij uitgroeiend";"6 tot 9 m.";1974;"Gemeente Amsterdam";"Stadsdeel Zuid";"Quercus";"Quercus";"K";2;"POINT(4.876375,52.341083)";"POINT(52.341083,4.876375)";4.876375;52.341083;
22;"Gewone plataan";589648;"Platanus hispanica";"Boom niet vrij uitgroeiend";"9 tot 12 m.";2014;"Gemeente Amsterdam";"Stadsdeel Zuid";"Platanus";"Platanus";"K";3;"POINT(4.859443,52.357252)";"POINT(52.357252,4.859443)";4.859443;52.357252;
23;"Gewone plataan";589647;"Platanus hispanica";"Boom niet vrij uitgroeiend";"6 tot 9 m.";2014;"Gemeente Amsterdam";"Stadsdeel Zuid";"Platanus";"Platanus";"K";2;"POINT(4.858468,52.357015)";"POINT(52.357015,4.858468)";4.858468;52.357015;
24;"Gewone plataan";589646;"Platanus hispanica";"Boom niet vrij uitgroeiend";"tot 6 m.";2014;"Gemeente Amsterdam";"Stadsdeel Zuid";"Platanus";"Platanus";"K";1;"POINT(4.858694,52.357068)";"POINT(52.357068,4.858694)";4.858694;52.357068;
25;"Zomerlinde";589645;"Tilia platyphyllos";"Boom niet vrij uitgroeiend";"12 tot 18 m.";1975;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.899172,52.338371)";"POINT(52.338371,4.899172)";4.899172;52.338371;
26;"Zomerlinde";589644;"Tilia platyphyllos";"Boom niet vrij uitgroeiend";"12 tot 18 m.";1975;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.899229,52.338871)";"POINT(52.338871,4.899229)";4.899229;52.338871;
27;"Zilverlinde";589643;"Tilia tomentosa";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1971;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";4;"POINT(4.88848,52.330307)";"POINT(52.330307,4.88848)";4.88848;52.330307;
28;"Rode paardenkastanje";589642;"Aesculus carnea";"Boom niet vrij uitgroeiend";"tot 6 m.";2001;"Gemeente Amsterdam";"Stadsdeel Zuid";"Aesculus";"Aesculus";"K";1;"POINT(4.888876,52.330323)";"POINT(52.330323,4.888876)";4.888876;52.330323;
29;"Zachte berk";589641;"Betula pubescens";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1967;"Gemeente Amsterdam";"Stadsdeel Zuid";"Betula";"Betula";"K";3;"POINT(4.859639,52.330976)";"POINT(52.330976,4.859639)";4.859639;52.330976;
30;"Zwarte els";589640;"Alnus glutinosa";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1994;"Gemeente Amsterdam";"Stadsdeel Zuid";"Alnus";"Alnus";"K";3;"POINT(4.859309,52.330721)";"POINT(52.330721,4.859309)";4.859309;52.330721;
31;"Zomereik";589639;"Quercus robur";"Boom niet vrij uitgroeiend";"6 tot 9 m.";1983;"Gemeente Amsterdam";"Stadsdeel Zuid";"Quercus";"Quercus";"K";2;"POINT(4.876285,52.341072)";"POINT(52.341072,4.876285)";4.876285;52.341072;
32;"Veldesdoorn";589638;"Acer campestre";"Boom vrij uitgroeiend";"9 tot 12 m.";1969;"Gemeente Amsterdam";"Stadsdeel Zuid";"Acer";"Acer";"K";3;"POINT(4.893355,52.330281)";"POINT(52.330281,4.893355)";4.893355;52.330281;
33;"Witte paardenkastanje";589637;"Aesculus hippocastanum";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1997;"Gemeente Amsterdam";"Stadsdeel Zuid";"Aesculus";"Aesculus";"K";3;"POINT(4.881831,52.343857)";"POINT(52.343857,4.881831)";4.881831;52.343857;
34;"Witte paardenkastanje";589636;"Aesculus hippocastanum";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1990;"Gemeente Amsterdam";"Stadsdeel Zuid";"Aesculus";"Aesculus";"K";4;"POINT(4.88181,52.34379)";"POINT(52.34379,4.88181)";4.88181;52.34379;
35;"Witte paardenkastanje";589635;"Aesculus hippocastanum";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1990;"Gemeente Amsterdam";"Stadsdeel Zuid";"Aesculus";"Aesculus";"K";3;"POINT(4.881799,52.34372)";"POINT(52.34372,4.881799)";4.881799;52.34372;
36;"Honingboom";589634;"Styphnolobium japonicum";"Boom niet vrij uitgroeiend";"tot 6 m.";2014;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Styphnolobium";"K";1;"POINT(4.875404,52.359912)";"POINT(52.359912,4.875404)";4.875404;52.359912;
37;"Moeraseik";589633;"Quercus palustris";"Boom niet vrij uitgroeiend";"9 tot 12 m.";2014;"Gemeente Amsterdam";"Stadsdeel Zuid";"Quercus";"Quercus";"E";3;"POINT(4.875407,52.360905)";"POINT(52.360905,4.875407)";4.875407;52.360905;
38;"Gewone esdoorn";589632;"Acer pseudoplatanus";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Acer";"Acer";"K";3;"POINT(4.851078,52.336179)";"POINT(52.336179,4.851078)";4.851078;52.336179;
39;"Veldesdoorn (cultuurvariëteit)";589631;"Acer campestre `Elsrijk`";"Boom niet vrij uitgroeiend";"6 tot 9 m.";2006;"Gemeente Amsterdam";"Stadsdeel Zuid";"Acer";"Acer";"K";2;"POINT(4.878589,52.326304)";"POINT(52.326304,4.878589)";4.878589;52.326304;
40;"Veldesdoorn (cultuurvariëteit)";589630;"Acer campestre `Elsrijk`";"Boom niet vrij uitgroeiend";"6 tot 9 m.";2006;"Gemeente Amsterdam";"Stadsdeel Zuid";"Acer";"Acer";"K";2;"POINT(4.878704,52.326312)";"POINT(52.326312,4.878704)";4.878704;52.326312;
41;"Veldesdoorn (cultuurvariëteit)";589629;"Acer campestre `Elsrijk`";"Boom niet vrij uitgroeiend";"tot 6 m.";2006;"Gemeente Amsterdam";"Stadsdeel Zuid";"Acer";"Acer";"K";1;"POINT(4.87923,52.325724)";"POINT(52.325724,4.87923)";4.87923;52.325724;
42;"Veldesdoorn (cultuurvariëteit)";589628;"Acer campestre `Elsrijk`";"Boom niet vrij uitgroeiend";"tot 6 m.";2006;"Gemeente Amsterdam";"Stadsdeel Zuid";"Acer";"Acer";"K";1;"POINT(4.879124,52.325723)";"POINT(52.325723,4.879124)";4.879124;52.325723;
43;"Hollandse iep (cultuurvariëteit)";589627;"Ulmus hollandica `Christine Buisman`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";2007;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";3;"POINT(4.895327,52.325751)";"POINT(52.325751,4.895327)";4.895327;52.325751;
44;"Hollandse iep (cultuurvariëteit)";589626;"Ulmus hollandica `Christine Buisman`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";2007;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";3;"POINT(4.895628,52.32627)";"POINT(52.32627,4.895628)";4.895628;52.32627;
45;"Hollandse iep (cultuurvariëteit)";589625;"Ulmus hollandica `Christine Buisman`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";2007;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";3;"POINT(4.895668,52.326367)";"POINT(52.326367,4.895668)";4.895668;52.326367;
46;"Hollandse iep (cultuurvariëteit)";589624;"Ulmus hollandica `Christine Buisman`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";2007;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";3;"POINT(4.895743,52.326481)";"POINT(52.326481,4.895743)";4.895743;52.326481;
47;"Hollandse iep (cultuurvariëteit)";589623;"Ulmus hollandica `Christine Buisman`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";2007;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";3;"POINT(4.895837,52.326687)";"POINT(52.326687,4.895837)";4.895837;52.326687;
48;"Gewone plataan";589622;"Platanus hispanica";"Boom niet vrij uitgroeiend";"6 tot 9 m.";2014;"Gemeente Amsterdam";"Stadsdeel Zuid";"Platanus";"Platanus";"K";2;"POINT(4.856036,52.356502)";"POINT(52.356502,4.856036)";4.856036;52.356502;
49;"Zachte berk";589621;"Betula pubescens";"Boom niet vrij uitgroeiend";"6 tot 9 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Betula";"Betula";"K";2;"POINT(4.872469,52.322392)";"POINT(52.322392,4.872469)";4.872469;52.322392;
