OBJECTNUMMER;Locatienummer;Soort;Restrictie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
266;266;"Losloopgebied";"";"POLYGON((4.820521 52.343262,4.820512 52.343204,4.820493 52.343166,4.820486 52.34313,4.820488 52.343097,4.82047 52.342962,4.820491 52.342809,4.820183 52.342794,4.819976 52.342793,4.819704 52.342771,4.819712 52.342877,4.819807 52.342882,4.819866 52.34289,4.819923 52.342905,4.820056 52.342963,4.820126 52.343007,4.820191 52.34306,4.820253 52.343121,4.820348 52.343262,4.820521 52.343262))";"POLYGON((52.343262 4.820521,52.343204 4.820512,52.343166 4.820493,52.34313 4.820486,52.343097 4.820488,52.342962 4.82047,52.342809 4.820491,52.342794 4.820183,52.342793 4.819976,52.342771 4.819704,52.342877 4.819712,52.342882 4.819807,52.34289 4.819866,52.342905 4.819923,52.342963 4.820056,52.343007 4.820126,52.34306 4.820191,52.343121 4.820253,52.343262 4.820348,52.343262 4.820521))";4.8201175;52.3430095;
267;267;"Losloopgebied";"";"POLYGON((4.841723 52.351977,4.841725 52.351701,4.841152 52.351697,4.841099 52.351712,4.841065 52.351728,4.841047 52.351747,4.841038 52.351767,4.841032 52.351906,4.841017 52.351929,4.840952 52.351956,4.841164 52.351957,4.841164 52.351973,4.841723 52.351977))";"POLYGON((52.351977 4.841723,52.351701 4.841725,52.351697 4.841152,52.351712 4.841099,52.351728 4.841065,52.351747 4.841047,52.351767 4.841038,52.351906 4.841032,52.351929 4.841017,52.351956 4.840952,52.351957 4.841164,52.351973 4.841164,52.351977 4.841723))";4.8413435;52.35183;
269;269;"Losloopgebied";"";"POLYGON((4.899216 52.340796,4.899197 52.340648,4.899028 52.340655,4.899029 52.340662,4.899024 52.340657,4.897837 52.34072,4.897855 52.34086,4.898247 52.340842,4.898246 52.340821,4.898391 52.340815,4.898386 52.340765,4.898252 52.340772,4.898248 52.340747,4.898519 52.340735,4.898524 52.340758,4.898421 52.340763,4.898429 52.340833,4.899216 52.340796))";"POLYGON((52.340796 4.899216,52.340648 4.899197,52.340655 4.899028,52.340662 4.899029,52.340657 4.899024,52.34072 4.897837,52.34086 4.897855,52.340842 4.898247,52.340821 4.898246,52.340815 4.898391,52.340765 4.898386,52.340772 4.898252,52.340747 4.898248,52.340735 4.898519,52.340758 4.898524,52.340763 4.898421,52.340833 4.898429,52.340796 4.899216))";4.8985315;52.340747;
270;270;"Losloopgebied";"";"POLYGON((4.810943 52.351023,4.810908 52.350957,4.810868 52.350917,4.810824 52.350861,4.810253 52.350748,4.81013 52.350983,4.810888 52.351136,4.810943 52.351023))";"POLYGON((52.351023 4.810943,52.350957 4.810908,52.350917 4.810868,52.350861 4.810824,52.350748 4.810253,52.350983 4.81013,52.351136 4.810888,52.351023 4.810943))";4.8105415;52.350935;
272;2974;"Losloopgebied";"";"MULTIPOLYGON(((4.933633 52.366349,4.933622 52.366306,4.933615 52.366296,4.93359 52.366273,4.933551 52.366249,4.933501 52.366228,4.933469 52.366218,4.933426 52.366208,4.933365 52.3662,4.932892 52.366193,4.932893 52.366184,4.932846 52.366183,4.932845 52.366191,4.932393 52.366187,4.932392 52.366283,4.932327 52.366282,4.932329 52.366348,4.932451 52.366345,4.932512 52.366337)),((4.932292 52.366294,4.932292 52.366255,4.932086 52.366219,4.932015 52.366211,4.932022 52.366218,4.932014 52.36622,4.931991 52.366183,4.931963 52.366166,4.931931 52.36616,4.931859 52.366158,4.931885 52.3662,4.931916 52.366194,4.931921 52.366201,4.931879 52.366212,4.931985 52.366388,4.932061 52.366364,4.932117 52.366351,4.932158 52.366348,4.932288 52.366348)))";"MULTIPOLYGON(((52.366349 4.933633,52.366306 4.933622,52.366296 4.933615,52.366273 4.93359,52.366249 4.933551,52.366228 4.933501,52.366218 4.933469,52.366208 4.933426,52.3662 4.933365,52.366193 4.932892,52.366184 4.932893,52.366183 4.932846,52.366191 4.932845,52.366187 4.932393,52.366283 4.932392,52.366282 4.932327,52.366348 4.932329,52.366345 4.932451,52.366337 4.932512)),((52.366294 4.932292,52.366255 4.932292,52.366219 4.932086,52.366211 4.932015,52.366218 4.932022,52.36622 4.932014,52.366183 4.931991,52.366166 4.931963,52.36616 4.931931,52.366158 4.931859,52.3662 4.931885,52.366194 4.931916,52.366201 4.931921,52.366212 4.931879,52.366388 4.931985,52.366364 4.932061,52.366351 4.932117,52.366348 4.932158,52.366348 4.932288)))";4.932751;52.366266;
273;273;"Losloopgebied";"";"POLYGON((4.90637 52.340266,4.906177 52.340259,4.905805 52.34027,4.903496 52.340379,4.902639 52.340428,4.902639 52.340435,4.902068 52.340456,4.902073 52.340507,4.902237 52.34049,4.903023 52.340447,4.905892 52.340315,4.906033 52.340272,4.906257 52.340272,4.906367 52.34028,4.90637 52.340266))";"POLYGON((52.340266 4.90637,52.340259 4.906177,52.34027 4.905805,52.340379 4.903496,52.340428 4.902639,52.340435 4.902639,52.340456 4.902068,52.340507 4.902073,52.34049 4.902237,52.340447 4.903023,52.340315 4.905892,52.340272 4.906033,52.340272 4.906257,52.34028 4.906367,52.340266 4.90637))";4.904224;52.340376;
275;275;"Losloopgebied";"";"POLYGON((4.836523 52.351678,4.836511 52.351667,4.836492 52.351658,4.836455 52.351651,4.835101 52.351642,4.834884 52.351643,4.834903 52.351706,4.834921 52.351725,4.834964 52.351744,4.835072 52.351749,4.836521 52.351763,4.836523 52.351678))";"POLYGON((52.351678 4.836523,52.351667 4.836511,52.351658 4.836492,52.351651 4.836455,52.351642 4.835101,52.351643 4.834884,52.351706 4.834903,52.351725 4.834921,52.351744 4.834964,52.351749 4.835072,52.351763 4.836521,52.351678 4.836523))";4.8357085;52.3516955;
277;277;"Losloopgebied";"";"POLYGON((4.903941 52.348902,4.901953 52.348624,4.901928 52.348709,4.903915 52.348984,4.903941 52.348902))";"POLYGON((52.348902 4.903941,52.348624 4.901953,52.348709 4.901928,52.348984 4.903915,52.348902 4.903941))";4.9029395;52.348797;
280;280;"Losloopgebied";"";"POLYGON((4.946954 52.351902,4.946942 52.351898,4.946936 52.351899,4.946845 52.351846,4.945492 52.352707,4.945584 52.352762,4.945607 52.352748,4.945612 52.352754,4.946011 52.3525,4.946002 52.352495,4.946047 52.352466,4.946058 52.352472,4.946267 52.352338,4.946257 52.352333,4.946302 52.352303,4.946313 52.35231,4.946518 52.352178,4.946511 52.352173,4.946555 52.352143,4.946567 52.352149,4.946954 52.351902))";"POLYGON((52.351902 4.946954,52.351898 4.946942,52.351899 4.946936,52.351846 4.946845,52.352707 4.945492,52.352762 4.945584,52.352748 4.945607,52.352754 4.945612,52.3525 4.946011,52.352495 4.946002,52.352466 4.946047,52.352472 4.946058,52.352338 4.946267,52.352333 4.946257,52.352303 4.946302,52.35231 4.946313,52.352178 4.946518,52.352173 4.946511,52.352143 4.946555,52.352149 4.946567,52.351902 4.946954))";4.946228;52.352297;
283;2964;"Losloopgebied";"";"MULTIPOLYGON(((4.982697 52.361643,4.982637 52.361617,4.980542 52.362733,4.980627 52.362765,4.982674 52.361677,4.982657 52.361663)),((4.980153 52.363067,4.980003 52.363009,4.977959 52.364087,4.977929 52.364094,4.97789 52.364095,4.977832 52.364071,4.977771 52.364035,4.977652 52.364075,4.977025 52.363628,4.977015 52.363605,4.977019 52.363588,4.977036 52.363567,4.977078 52.36355,4.976877 52.363432,4.974779 52.36195,4.974624 52.361874,4.974477 52.362001,4.977356 52.364031,4.977534 52.364132,4.977708 52.364252,4.977768 52.364239,4.977804 52.364246,4.977901 52.364323,4.977973 52.364282,4.977983 52.364267,4.978341 52.364061,4.978738 52.363841,4.979418 52.363478,4.979396 52.363464)))";"MULTIPOLYGON(((52.361643 4.982697,52.361617 4.982637,52.362733 4.980542,52.362765 4.980627,52.361677 4.982674,52.361663 4.982657)),((52.363067 4.980153,52.363009 4.980003,52.364087 4.977959,52.364094 4.977929,52.364095 4.97789,52.364071 4.977832,52.364035 4.977771,52.364075 4.977652,52.363628 4.977025,52.363605 4.977015,52.363588 4.977019,52.363567 4.977036,52.36355 4.977078,52.363432 4.976877,52.36195 4.974779,52.361874 4.974624,52.362001 4.974477,52.364031 4.977356,52.364132 4.977534,52.364252 4.977708,52.364239 4.977768,52.364246 4.977804,52.364323 4.977901,52.364282 4.977973,52.364267 4.977983,52.364061 4.978341,52.363841 4.978738,52.363478 4.979418,52.363464 4.979396)))";4.978592;52.362963;
