"�..OBJECTNUMMER";"Zaaknaam";"Adres";"Producten";"Horeca_soort";"Dagen";"Tijden";"Website";"BOERENMARKT";"NATUURWINKEL";"HORECA";"WKT_LNG_LAT";"WKT_LAT_LNG";"LNG";"LAT";"X"
107;"Weijers Gezondheidswinkel";"Tussen Meer 83, 1068 EZ Amsterdam";"";"";"";"";"gezondheidswinkel.winkelcentrumosdorp.nl/";0;1;"0";"POINT(4.8007152,52.3580939)";"POINT(52.3580939,4.8007152)";4.8007152;52.3580939;NA
108;"BioMarkt Natuurvoeding";"Weteringschans 133, 1017 HS Amsterdam";"";"";"";"";"http://www.biomarkt.nl";0;1;"0";"POINT(4.8891652,52.360192)";"POINT(52.360192,4.8891652)";4.8891652;52.360192;NA
109;"Daily Delis Eet & Drinkwinkel";"Christiaan Huygensplein 36, 1098 RC Amsterdam";"";"";"";"";"http://www.dailydelis.nl";0;1;"0";"POINT(4.9394848,52.3495947)";"POINT(52.3495947,4.9394848)";4.9394848;52.3495947;NA
110;"Avondmarkt De";"De Wittenkade 94, 1051 AK Amsterdam";"";"";"";"";"http://www.deavondmarkt.nl";0;1;"0";"POINT(4.8764651,52.3830916)";"POINT(52.3830916,4.8764651)";4.8764651;52.3830916;NA
111;"Bakkerswinkel De";"Polonceau-kade 1, 1014 DA Amsterdam";"";"";"";"";"http://www.debakkerswinkel.nl";0;1;"0";"POINT(4.874625,52.3858916)";"POINT(52.3858916,4.874625)";4.874625;52.3858916;NA
112;"Bakkerswinkel De";"Roelof Hartstraat 68, 1071 VM Amsterdam";"";"";"";"";"http://www.debakkerswinkel.nl";0;1;"0";"POINT(4.885205,52.3520934)";"POINT(52.3520934,4.885205)";4.885205;52.3520934;NA
113;"Bakkerswinkel De";"Warmoesstraat 69, 1012 HX Amsterdam";"";"";"";"";"http://www.debakkerswinkel.nl";0;1;"0";"POINT(4.897815,52.374993)";"POINT(52.374993,4.897815)";4.897815;52.374993;NA
114;"Delicious Food";"Westerstraat 24, 1015 MJ Amsterdam";"";"";"";"";"http://www.deliciousfood.nl";0;1;"0";"POINT(4.885555,52.3789946)";"POINT(52.3789946,4.885555)";4.885555;52.3789946;NA
115;"Natuurwinkel De";"Haarlemmerdijk 174, 1013 JK Amsterdam";"";"";"";"";"http://www.denatuurwinkel.com";0;1;"0";"POINT(4.8848851,52.3840949)";"POINT(52.3840949,4.8848851)";4.8848851;52.3840949;NA
116;"Natuurwinkel De";"Eerste Constantijn Huygensstraat 49, 1054 BS Amsterdam";"";"";"";"";"http://www.denatuurwinkel.com";0;1;"0";"POINT(4.8748848,52.363793)";"POINT(52.363793,4.8748848)";4.8748848;52.363793;NA
117;"Natuurwinkel De";"Elandsgracht 118, 1016 VB Amsterdam";"";"";"";"";"http://www.denatuurwinkel.com";0;1;"0";"POINT(4.8793552,52.3692938)";"POINT(52.3692938,4.8793552)";4.8793552;52.3692938;NA
118;"Natuurwinkel De";"Scheldestraat 53, 1078 GG Amsterdam";"";"";"";"";"http://www.denatuurwinkel.com";0;1;"0";"POINT(4.8912451,52.3458945)";"POINT(52.3458945,4.8912451)";4.8912451;52.3458945;NA
119;"Natuurwinkel De";"Eerste van Swindenstraat 30, 1093 GD Amsterdam";"";"";"";"";"http://www.denatuurwinkel.com";0;1;"0";"POINT(4.925895,52.3621947)";"POINT(52.3621947,4.925895)";4.925895;52.3621947;NA
120;"Natuurwinkel De";"Van Woustraat 80, 1073 LP Amsterdam";"";"";"";"";"http://www.denatuurwinkel.com";0;1;"0";"POINT(4.9007652,52.3551947)";"POINT(52.3551947,4.9007652)";4.9007652;52.3551947;NA
121;"Natuurwinkel De";"Marathonweg 21, 1076 SZ Amsterdam";"";"";"";"";"http://www.denatuurwinkel.com";0;1;"0";"POINT(4.861685,52.3482939)";"POINT(52.3482939,4.861685)";4.861685;52.3482939;NA
122;"Natuurwinkel De";"Osdorpplein 620, 1068 TB Amsterdam";"";"";"";"";"http://www.denatuurwinkel.com";0;1;"0";"POINT(4.8048251,52.3581931)";"POINT(52.3581931,4.8048251)";4.8048251;52.3581931;NA
123;"Natuurwinkel De";"Waterlooplein 129, 1011 PG Amsterdam";"";"";"";"";"http://www.denatuurwinkel.com";0;1;"0";"POINT(4.9021451,52.3685919)";"POINT(52.3685919,4.9021451)";4.9021451;52.3685919;NA
124;"Natuurwinkel De";"Jan Pieter Heijestraat 105, 1053 GM Amsterdam";"";"";"";"";"http://www.denatuurwinkel.com";0;1;"0";"POINT(4.8636849,52.3634917)";"POINT(52.3634917,4.8636849)";4.8636849;52.3634917;NA
125;"Ekodis Natuurmarkt";"Beukenplein 73, 1092 BB Amsterdam";"";"";"";"";"http://www.ekodis.nl";0;1;"0";"POINT(4.9186451,52.3566939)";"POINT(52.3566939,4.9186451)";4.9186451;52.3566939;NA
126;"Erica Kruiderijen";"Centraal Station Westtunnel, 1012 AA Amsterdam";"";"";"";"";"http://www.ericakruiderijen.nl";0;1;"0";"POINT(4.8995349,52.379193)";"POINT(52.379193,4.8995349)";4.8995349;52.379193;NA
127;"Estafette De Biologische Eetwinkel";"Tweede Hugo de Grootstraat 9, 1052 LA Amsterdam";"";"";"";"";"http://www.estafettewinkel.nl";0;1;"0";"POINT(4.8744552,52.3740927)";"POINT(52.3740927,4.8744552)";4.8744552;52.3740927;NA
128;"Estafette De Biologische Eetwinkel";"Oostelijke Handelskade 1043, 1019 BW Amsterdam";"";"";"";"";"http://www.estafettewinkel.nl";0;1;"0";"POINT(4.9372251,52.3741919)";"POINT(52.3741919,4.9372251)";4.9372251;52.3741919;NA
129;"G&W Gezondheidswinkel";"Buikslotermeerplein 257, 1025 XC Amsterdam";"";"";"";"";"http://www.gezondheidswinkel.nl";0;1;"0";"POINT(4.9397452,52.3982932)";"POINT(52.3982932,4.9397452)";4.9397452;52.3982932;NA
130;"Jacob Hooy";"Kloveniersburgwal 10, 1012 CT Amsterdam";"";"";"";"";"http://www.gezondheidswinkel.nl";0;1;"0";"POINT(4.8991949,52.3719946)";"POINT(52.3719946,4.8991949)";4.8991949;52.3719946;NA
131;"Golden Temple KIT BV";"Oosteinde 5, 1017 WT Amsterdam";"";"";"";"";"http://www.goldentemple.com";0;1;"0";"POINT(4.9015448,52.3595931)";"POINT(52.3595931,4.9015448)";4.9015448;52.3595931;NA
132;"Marqt";"Overtoom 21, 1054 HA Amsterdam";"";"";"";"";"http://www.marqt.com";0;1;"0";"POINT(4.8779352,52.3632933)";"POINT(52.3632933,4.8779352)";4.8779352;52.3632933;NA
133;"Organic Food For You";"Vijzelstraat 129, 1017 HJ Amsterdam";"";"";"";"";"http://www.organicfoodforyou.nl";0;1;"0";"POINT(4.8921049,52.3624922)";"POINT(52.3624922,4.8921049)";4.8921049;52.3624922;NA
134;"Organic Food For You";"Cornelis Schuytstraat 26, 1071 JJ Amsterdam";"";"";"";"";"http://www.organicfoodforyou.nl";0;1;"0";"POINT(4.871135,52.3550917)";"POINT(52.3550917,4.871135)";4.871135;52.3550917;NA
135;"RAW Superfoods";"Sint Nicolaasstraat 27B, 1012 NJ Amsterdam";"";"";"";"";"http://www.rawsuperfoods.com";0;1;"0";"POINT(4.892945,52.3748938)";"POINT(52.3748938,4.892945)";4.892945;52.3748938;NA
136;"Simon Lévelt Bijenkorf";"Dam 1, 1012 JS Amsterdam";"";"";"";"";"http://www.simonlevelt.com";0;1;"0";"POINT(4.8938048,52.3732916)";"POINT(52.3732916,4.8938048)";4.8938048;52.3732916;NA
137;"Simon Lévelt";"Ferdinand Bolstraat 154, 1072 LS Amsterdam";"";"";"";"";"http://www.simonlevelt.com";0;1;"0";"POINT(4.891185,52.3521926)";"POINT(52.3521926,4.891185)";4.891185;52.3521926;NA
138;"Simon Lévelt";"Prinsengracht 180, 1016 HB Amsterdam";"";"";"";"";"http://www.simonlevelt.com";0;1;"0";"POINT(4.882735,52.3741919)";"POINT(52.3741919,4.882735)";4.882735;52.3741919;NA
139;"Simon Lévelt";"Stationsplein 15, 1012 AB Amsterdam";"";"";"";"";"http://www.simonlevelt.com";0;1;"0";"POINT(4.899915,52.3783919)";"POINT(52.3783919,4.899915)";4.899915;52.3783919;NA
140;"Simon Lévelt";"Kinkerstraat 109, 1053 DK Amsterdam";"";"";"";"";"http://www.simonlevelt.com";0;1;"0";"POINT(4.869385,52.3662917)";"POINT(52.3662917,4.869385)";4.869385;52.3662917;NA
141;"Simon Lévelt";"Jodenbreestraat 20, 1011 NK Amsterdam";"";"";"";"";"http://www.simonlevelt.com";0;1;"0";"POINT(4.901685,52.3691947)";"POINT(52.3691947,4.901685)";4.901685;52.3691947;NA
142;"Zonnemeer `t";"Nieuwe Kerkstraat 8D, 1018 EA Amsterdam";"";"";"";"";"http://www.zonnemeer.nl";0;1;"0";"POINT(4.9036748,52.3636939)";"POINT(52.3636939,4.9036748)";4.9036748;52.3636939;NA
143;"Aanzet De";"Frans Halsstraat 27, 1072 BK Amsterdam";"";"";"";"";"0";1;0;"";"POINT(52.3571936,4.8890049)";"4.8890049";52.3571936;NA;NA
144;"Belly Natuurvoeding De";"Nieuwe Leliestraat 174, 1015 HG Amsterdam";"";"";"";"";"0";1;0;"";"POINT(52.3747946,4.8782651)";"4.8782651";52.3747946;NA;NA
145;"Bert Tabak Natuurvoeding";"Rijnstraat 133, 1079 HB Amsterdam";"";"";"";"";"0";1;0;"";"POINT(52.3434912,4.906605)";"4.906605";52.3434912;NA;NA
146;"Bio-Tuurlijk";"Aalsmeerweg 8, 1059 AJ Amsterdam";"";"";"";"";"0";1;0;"";"POINT(52.3506934,4.8492548)";"4.8492548";52.3506934;NA;NA
147;"Deshima Freshop";"Weteringschans 65, 1017 RX Amsterdam";"";"";"";"";"0";1;0;"";"POINT(52.361592,4.8860352)";"4.8860352";52.361592;NA;NA
148;"Krits Natuurvoeding";"Amstelveenseweg 176, 1075 XP Amsterdam";"";"";"";"";"0";1;0;"";"POINT(52.3527915,4.8559248)";"4.8559248";52.3527915;NA;NA
149;"Tom Andrea Biologische producten, groothandel";"Hasebroekstraat 96, 1053 CZ Amsterdam";"";"";"";"";"0";1;0;"";"POINT(52.3656928,4.862365)";"4.862365";52.3656928;NA;NA
150;"Veldt`s Reformwinkels vd";"Westerstraat 107, 1015 LX Amsterdam";"";"";"";"";"0";1;0;"";"POINT(52.3782927,4.8835952)";"4.8835952";52.3782927;NA;NA
151;"Veldt`s Reformwinkels vd";"Kinkerstraat 112, 1053 ED Amsterdam";"";"";"";"";"0";1;0;"";"POINT(52.3667914,4.8703349)";"4.8703349";52.3667914;NA;NA
152;"Warmoesmarkt";"Warmoesstraat 135, 1012 JB Amsterdam";"";"";"";"";"0";1;0;"";"POINT(52.3737914,4.896105)";"4.896105";52.3737914;NA;NA
153;"Buikslotermeerplein";"Buikslotermeerplein";"";"";"Zaterdag ";"9.30 tot 17.00 uur";"http://www.biologischeboerenmarkten.nl/noord.html";1;NA;"";"POINT(4.9353878,52.3994338)";"POINT(52.3994338,4.9353878)";4.9353878;52.3994338;NA
154;"Pure Markt";"Park Frankendael";"";"";"Iedere laatste zondag van de maand";"11.00 -18.00 uur";"http://www.puremarkt.nl/locaties_puremarkt.html";1;0;"0";"POINT(4.929889,52.3509642)";"POINT(52.3509642,4.929889)";4.929889;52.3509642;NA
155;"BAK";"van Diemenstraat 408";"biologische en lokale produkten";"restaurant";"";"";"www.bakrestaurant.nl";NA;NA;"1";"POINT(4.886904,52.390248)";"POINT(52.390248,4.886904)";4.886904;52.390248;NA
156;"SLA";"Westerstraat 34";"";"Saladebar";"";"";"www.ilovesla.com";NA;NA;"1";"POINT(4.885257,52.378926)";"POINT(52.378926,4.885257)";4.885257;52.378926;NA
157;"SLA";"Ceintuurbaan 149";"";"Saladebar";"";"";"www.ilovesla.com";NA;NA;"1";"POINT(4.893894,52.3533446)";"POINT(52.3533446,4.893894)";4.893894;52.3533446;NA
159;"A. van Wees distilleerderij de Ooievaar";"Driehoekstraat 10";"genevers en likeuren";"Proeflokaal";"";"";"www.de-ooievaar.nl";NA;NA;"";"POINT(4.8832719,52.3826071)";"POINT(52.3826071,4.8832719)";4.8832719;52.3826071;NA
160;"Boeletuin";"Gustav Mahlerlaan 3005";"";"";"";"";"Open per 15 maart 2015";NA;NA;"h";"POINT(4.8624051,52.3355528)";"POINT(52.3355528,4.8624051)";4.8624051;52.3355528;NA
161;"Boeletuin";"Gustav Mahlerlaan 3005";"horeca, honingverkoop";"beheerder N. v Dijk (06 - 25 09 11 86)";"open per 15 maart 2015";"";"";NA;NA;"1";"POINT(4.8624961,52.3356063)";"POINT(52.3356063,4.8624961)";4.8624961;52.3356063;NA
162;"Zorgboerderij Ons Verlangen";"Broekergouw 5";"melktappunt";"";"";"";"www.zorgboerderijamsterdam.com";NA;NA;"";"POINT(4.9719841,52.4134871)";"POINT(52.4134871,4.9719841)";4.9719841;52.4134871;NA
163;"de popup Melksalon";"Oude Spiegelstraat 6";"melk";"";"";"";"www.demelksalon.nl/pop-up-amsterdam/";NA;NA;"1";"POINT(4.8874299,52.3703047)";"POINT(52.3703047,4.8874299)";4.8874299;52.3703047;NA
164;"Boerderij Panta Rei";"Korte Dwarsweg 8, Ouderkerk aan de Amstel";"melktappunt";"";"";"";"";NA;NA;"";"POINT(4.9252918,52.303723)";"POINT(52.303723,4.9252918)";4.9252918;52.303723;NA
165;"Zuidermrkt";"Jacob Obrechtstraat";"";"";"";"";"www.zuidermrkt.nl";1;NA;"";"POINT(4.8756921,52.3555762)";"POINT(52.3555762,4.8756921)";4.8756921;52.3555762;NA
166;"";"";"";"";"";"";"www.vleesvangijs.nl";NA;NA;"";"POINT(4.90643,52.3038947)";"POINT(52.3038947,4.90643)";4.90643;52.3038947;NA
167;"Vlees van Gijs";"Binnenweg 4 Ouderkerk aan de Amstel";"vlees van Blonde D&#039;Aquitaine-ras";"";"";"";"www.vleesvangijs.nl";NA;NA;"";"POINT(4.9067738,52.3035132)";"POINT(52.3035132,4.9067738)";4.9067738;52.3035132;NA
168;"De Groene Griffioen";"Lange Muiderweg 18a Weesp";"bioloigische melk, vlees en kaas. Tevens afhaalpunt groenten - en fruittassen";"";"";"";"www.degroenegriffioen.nl";NA;NA;"";"POINT(5.0580928,52.3159377)";"POINT(52.3159377,5.0580928)";5.0580928;52.3159377;NA
169;"Noord-hollands Hof";"Oudelandsdijk 11, Spijkerboor";"zuivel, vlees, groenten";"";"elke dag";"24/7";"www.noordhollandshof.nl";0;0;"0";"POINT(4.810043,52.529009)";"POINT(52.529009,4.810043)";4.810043;52.529009;NA
170;"The colour Kitchen Langerlust";"Provincialeweg 24";"";"";"";"";"www.langerlust.nl";NA;NA;"1";"POINT(5.0035531,52.3092925)";"POINT(52.3092925,5.0035531)";5.0035531;52.3092925;NA
171;"Tuinderij de Knotwilg";"";"";"";"";"";"www.tuinderijdeknotwilg.nl";NA;NA;"";"POINT(4.8909213,52.5249975)";"POINT(52.5249975,4.8909213)";4.8909213;52.5249975;NA
172;"Tuinderij de Knotwilg";"";"groente en fruit";"";"";"";"www.tuinderijdeknotwilg.nl";0;0;"0";"POINT(4.8906745,52.525474)";"POINT(52.525474,4.8906745)";4.8906745;52.525474;NA
