"�..OBJECTNUMMER";"Zaaknaam";"Adres";"Producten";"Horeca_soort";"Dagen";"Tijden";"Website";"BOERENMARKT";"NATUURWINKEL";"HORECA";"WKT_LNG_LAT";"WKT_LAT_LNG";"LNG";"LAT";"X"
25;"Fruitbedrijf Olmenhorst";"Lisserweg 481 Lisserbroek";"Aardappelen, eieren, fruit, groenten, geitenvlees, zuivel, groente/fruitpakketten";"";"";"";"http://www.olmenhorst.nl";0;0;"0";"POINT(4.5927589,52.2546698)";"POINT(52.2546698,4.5927589)";4.5927589;52.2546698;NA
26;"Fruitbedrijf Tromp";"Nekkerweg 70 Zuidoosterbeemster";"Appels, peren, pruimen, tafeldruiven, vruchtensap";"";"";"";"0";0;0;"1";"POINT(52.5181586,4.9235489)";"4.9235489";52.5181586;NA;NA
27;"Fruitteeltbedrijf Kuijk";"Zuiderweg 70a Zuidoosterbeemster";"Appels, stoofperen, groenten, goudrenetten, kersen, pruimen, rode bessen, aardbeien";"";"";"";"0";0;0;"1";"POINT(52.5168006,4.9302542)";"4.9302542";52.5168006;NA;NA
28;"Geitenboerderij Ridammerhoeve";"Nieuwemeerlaan 4 Amstelveen";"Geitenzuivel, Goudsekaas, kruidenkaas, verse kaas, yoghurt, karnemelk, boter, ijs, geitenvlees, eieren";"";"";"";"http://www.geitenboerderij.nl";0;0;"0";"POINT(4.8245318,52.3129469)";"POINT(52.3129469,4.8245318)";4.8245318;52.3129469;NA
29;"Geitenmelkerij Schouten";"Laanweg 5 Zuidschermer";"Geitenkaas, geitenmelk, kaas, zuivelpakket, geitenvlees";"";"";"";"0";0;0;"1";"POINT(52.5960623,4.8061469)";"4.8061469";52.5960623;NA;NA
30;"IJs- en activiteitenboerderij G. van Herk";"Oud Loosdrechtsedijk 38a Loosdrecht";"Boerderij-ijs, boeren Goudse kaas, perensap, appelsap, vruchtensap, scharreleieren";"";"";"";"www.ijsboerderijvanherk.nl";0;0;"0";"POINT(5.1193688,52.2074706)";"POINT(52.2074706,5.1193688)";5.1193688;52.2074706;NA
31;"Imkerij `t Schuurtje";"Oud Loosdrechtsedijk 115 Loosdrecht";"Honing, honingproducten, mosterd, producten uit de regio";"";"";"";"http://www.imkerij.nl";0;0;"0";"POINT(5.095885,52.206742)";"POINT(52.206742,5.095885)";5.095885;52.206742;NA
32;"Kaas- en klompenboerderij De Irene Hoeve";"Hoogedijk 1 Katwoude";"Handgemaakte kaas, producten uit de regio";"";"";"";"0";0;0;"1";"POINT(52.4680983,5.0333378)";"5.0333378";52.4680983;NA;NA
33;"Kaasboerderij Aan de Molensloot";"Akersluis 6 Amsterdam";"Kaas, biologisch groenteabonnement, meel";"";"";"";"0";0;0;"1";"POINT(52.3424651,4.793525)";"4.793525";52.3424651;NA;NA
34;"Kaasboerderij Alida Hoeve";"Zeddeweg 1 Volendam";"Edammer en Goudse boerenkaas";"";"";"";"http://www.henriwillig.com";0;0;"0";"POINT(5.0450971,52.4900176)";"POINT(52.4900176,5.0450971)";5.0450971;52.4900176;NA
35;"Kaasboerderij De Reijanahoeve";"Gooilandseweg 11a Weesp";"Boeren Goudse kaas, natuurgraan, meelproducten, eieren, diversen uit de regio";"";"";"";"0";0;0;"1";"POINT(52.2867247,5.0921552)";"5.0921552";52.2867247;NA;NA
36;"Kaasboerderij Groot";"Rijperweg 114 Middenbeemster";"Boerenkaas, kruidenkaas, streekbier, zuivel, eieren";"";"";"";"http://www.boerenkaas.nl";0;0;"0";"POINT(4.919389,52.5463225)";"POINT(52.5463225,4.919389)";4.919389;52.5463225;NA
37;"Kaasboerderij Huis ter Lucht";"Jaagpad 15 De Kwakel";"Boeren Leidse Kaas, boerenboter, eieren, jam, fruitsapjes, snoepjes, honing, appels, peren, aardappels";"";"";"";"http://www.huisterlucht.nl";0;0;"0";"POINT(4.7556021,52.2179343)";"POINT(52.2179343,4.7556021)";4.7556021;52.2179343;NA
38;"Kaasboerderij Klompenmakerij Clara Maria";"Bovenkerkerweg 106 Amstelveen";"Boerenkazen, honing, eieren";"";"";"";"http://www.claramaria.nl";0;0;"0";"POINT(4.8370588,52.2663695)";"POINT(52.2663695,4.8370588)";4.8370588;52.2663695;NA
39;"Kaasboerderij Zeilzicht";"Westdijk 15 Zuidschermer";"Boerenkaas, kruidenkaas, zuivel, producten uit de streek";"";"";"";"0";0;0;"1";"POINT(52.6084334,4.7674911)";"4.7674911";52.6084334;NA;NA
41;"Keuper";"Westdijk 31 Westbeemster";"Fruit";"";"";"";"0";0;0;"1";"POINT(52.5651251,4.8639071)";"4.8639071";52.5651251;NA;NA
42;"Knoflookkwekerij Kruiswijk";"Rijperweg 129 Middenbeemster";"Verse knoflook (jun-dec), vers gemalen knoflook (hele jaar)";"";"";"";"0";0;0;"1";"POINT(52.5409018,4.946233)";"4.946233";52.5409018;NA;NA
43;"Korenmolen De Zandhaas";"Wustelaan 83 Santpoort-Noord";"Meelproducten, biologische groenten, eieren";"";"";"";"http://www.molendezandhaas.nl";0;0;"0";"POINT(4.641103,52.4274489)";"POINT(52.4274489,4.641103)";4.641103;52.4274489;NA
44;"Kroon-Noordam";"Huigerslootdijk 65 Weteringbrug";"Varkens- en rundvlees, aardappelen, fruit, groenten, eieren";"";"";"";"0";0;0;"1";"POINT(52.2203032,4.6389091)";"4.6389091";52.2203032;NA;NA
45;"Land en Boschzicht";"Leeuwenlaan 36 `s-Graveland";"Aardappelen, eieren, fruit, gevogelte, groenten, kaas, vlees, wijnen, dranken, zuivel";"";"";"";"www.landenboschzigt.nl";0;0;"0";"POINT(5.13501,52.2374884)";"POINT(52.2374884,5.13501)";5.13501;52.2374884;NA
46;"Landwinkel De Kastanjeboom";"Zevenhuizerstraat 281 Bunschoten-Spakenburg";"Kruidenkazen, karnemelk, ijs, vla, kwark, yoghurt, boter, melk, eieren, advocaat";"";"";"";"http://www.dekastanjeboom.nl";0;0;"0";"POINT(5.3892572,52.2172782)";"POINT(52.2172782,5.3892572)";5.3892572;52.2172782;NA
47;"Landwinkel Vondels Landleeuw";"Hoofdweg 1666 Abbenes";"Aardappelen, uien, kaas, zuivel";"";"";"";"http://www.groenehartlandwinkel.nl";0;0;"0";"POINT(4.5987751,52.2390715)";"POINT(52.2390715,4.5987751)";4.5987751;52.2390715;NA
48;"Lindenhoff";"Rijksstraatweg 21 Baambrugge";"Zuivel, groenten, vlees";"";"";"";"www.lindenhoff.nl";0;0;"0";"POINT(4.993356,52.2564704)";"POINT(52.2564704,4.993356)";4.993356;52.2564704;NA
49;"Pompoenboerderij Bergman";"Middenweg 44 Noordbeemster";"Pompoen, sierkalebassen";"";"";"";"0";0;0;"1";"POINT(52.5822569,4.9341342)";"4.9341342";52.5822569;NA;NA
