OBJECTNUMMER;Topocode;Naam;Adres;Onderzoek;Jaar;Periode;Beschrijving;Webpagina;Foto;Bijschrift;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
162;"ML7";"Schepen in de Lastage";"Waalseilandsgracht";"Archeologische Begeleiding";"1976";"1976";"De Oude Waal was tot de aanleg van het Waalseiland in 1642 een haven die schepen een veilige luwte bood tegen het woelige IJ-water. In de 15de en 16de eeuw werd dit de havenwijk (De Lastage) waar schuiten en schepen werden gebouwd. ";"http://www.mapsbma.nl/documents/TX_MetroOostlijn_10.pdf";"http://www.archeologischekaart.amsterdam/Vindplaatsen/ML7-60.jpg";"strohaak, ijzer en grenenhout, 1500-1600";"Vindplaats";"POLYGON((4.9035001123605 52.374730594179,4.903509 52.374791,4.903492 52.375028,4.903488 52.375048,4.90367 52.37506,4.903678 52.374914,4.903679709072 52.374742523112))";"POLYGON((52.374730594179 4.9035001123605,52.374791 4.903509,52.375028 4.903492,52.375048 4.903488,52.37506 4.90367,52.374914 4.903678,52.374742523112 4.903679709072))";4.903594;52.37488235;
164;"ML8";"Schepen in de Lastage";"Waalseilandsgracht/Binnenkant";"Archeologische Begeleiding";"1976";"1976";"De Oude Waal was tot de aanleg van het Waalseiland in 1642 een haven die schepen een veilige luwte bood tegen het woelige IJ-water. In de 15de en 16de eeuw werd dit de havenwijk (De Lastage) waar schuiten en schepen werden gebouwd. ";"http://www.mapsbma.nl/documents/TX_MetroOostlijn_10.pdf";"http://www.archeologischekaart.amsterdam/Vindplaatsen/ML8-676.jpg";"schietlood, lood";"Vindplaats";"POLYGON((4.9034502356077 52.374391601334,4.9035001123605 52.374730594179,4.903679709072 52.374742523112,4.903681 52.374613,4.9036320549588 52.374362367634))";"POLYGON((52.374391601334 4.9034502356077,52.374730594179 4.9035001123605,52.374742523112 4.903679709072,52.374613 4.903681,52.374362367634 4.9036320549588))";4.9035754;52.37453905;
166;"ML9";"Schepen in de Lastage";"Waalseilandsgracht";"Archeologische Begeleiding";"1976";"1976";"De Oude Waal was tot de aanleg van het Waalseiland in 1642 een haven die schepen een veilige luwte bood tegen het woelige IJ-water. In de 15de en 16de eeuw werd dit de havenwijk (De Lastage) waar schuiten en schepen werden gebouwd. ";"http://www.mapsbma.nl/documents/TX_MetroOostlijn_10.pdf";"http://www.archeologischekaart.amsterdam/Vindplaatsen/ML9-3.jpg";"katrol, pokhout, 1550-1600";"Vindplaats";"POLYGON((4.9033315342124 52.374079058457,4.903391 52.374207,4.90345 52.37439,4.90345 52.374392,4.903632 52.374362,4.903623 52.374316,4.9034947791107 52.374047301813))";"POLYGON((52.374079058457 4.9033315342124,52.374207 4.903391,52.37439 4.90345,52.374392 4.90345,52.374362 4.903632,52.374316 4.903623,52.374047301813 4.9034947791107))";4.90349195;52.37420715;
167;"ML10";"Schepen in de Lastage";"Waalseiland";"Archeologische Begeleiding";"1976";"1976";"De Oude Waal was tot de aanleg van het Waalseiland in 1642 een haven die schepen een veilige luwte bood tegen het woelige IJ-water. In de 15de en 16de eeuw werd dit de havenwijk (De Lastage) waar schuiten en schepen werden gebouwd. ";"http://www.mapsbma.nl/documents/TX_MetroOostlijn_10.pdf";"http://www.archeologischekaart.amsterdam/Vindplaatsen/ML10-2.jpg";"bootshaak, ijzer, 1400-1500";"Vindplaats";"POLYGON((4.9034947791107 52.374047301813,4.903487 52.374031,4.903353 52.373772,4.903298 52.373694,4.903117 52.373745,4.903254 52.373947,4.903325 52.374065,4.9033315342124 52.374079058457))";"POLYGON((52.374047301813 4.9034947791107,52.374031 4.903487,52.373772 4.903353,52.373694 4.903298,52.373745 4.903117,52.373947 4.903254,52.374065 4.903325,52.374079058457 4.9033315342124))";4.903316;52.37387335;
169;"ML11";"Wonen in de Nieuwmarktbuurt";"Lastageweg/Oude Waal";"Archeologische Begeleiding";"1976";"1976";"De eerste bewoners vestigden zich hier in de 15de eeuw aan de Oude Waal buiten de stadsmuur. De bewoningsgeschiedenis van de Nieuwmarktbuurt wordt onder meer weerspiegelt in uiteenlopende voorwerpen van persoonlijke aard.";"http://www.mapsbma.nl/documents/TX_MetroOostlijn_10.pdf";"http://www.archeologischekaart.amsterdam/Vindplaatsen/ML11-273.jpg";"breeuwbeitel, ijzer, 1500-1550";"Vindplaats";"POLYGON((4.903298 52.373694,4.903253 52.373632,4.90306 52.373446,4.9029805204114 52.373385652826,4.9028231449172 52.373462896761,4.90298 52.373617,4.903117 52.373745))";"POLYGON((52.373694 4.903298,52.373632 4.903253,52.373446 4.90306,52.373385652826 4.9029805204114,52.373462896761 4.9028231449172,52.373617 4.90298,52.373745 4.903117))";4.90307065;52.37355105;
171;"ML12";"Wonen in de Nieuwmarktbuurt";"Ridderstraat";"Archeologische Begeleiding";"1976";"1976";"De eerste bewoners vestigden zich hier in de 15de eeuw aan de Oude Waal buiten de stadsmuur. De bewoningsgeschiedenis van de Nieuwmarktbuurt wordt onder meer weerspiegelt in uiteenlopende voorwerpen van persoonlijke aard.";"http://www.mapsbma.nl/documents/TX_MetroOostlijn_10.pdf";"http://www.archeologischekaart.amsterdam/Vindplaatsen/ML12-56.jpg";"hamerbijl, ijzer, 1450-1500";"Vindplaats";"POLYGON((4.9029805204114 52.373385652826,4.9025924136944 52.373090971586,4.9024469919348 52.373170446268,4.902752 52.373393,4.9028231449172 52.373462896761))";"POLYGON((52.373385652826 4.9029805204114,52.373090971586 4.9025924136944,52.373170446268 4.9024469919348,52.373393 4.902752,52.373462896761 4.9028231449172))";4.902724;52.37326495;
173;"ML13";"Wonen in de Nieuwmarktbuurt";"Recht Boomsloot";"Archeologische Begeleiding";"1976";"1976";"De eerste bewoners vestigden zich hier in de 15de eeuw aan de Oude Waal buiten de stadsmuur. De bewoningsgeschiedenis van de Nieuwmarktbuurt wordt onder meer weerspiegelt in uiteenlopende voorwerpen van persoonlijke aard.";"http://www.mapsbma.nl/documents/TX_MetroOostlijn_10.pdf";"http://www.archeologischekaart.amsterdam/Vindplaatsen/ML13-35.jpg";"passer, messing, 1550-1600";"Vindplaats";"POLYGON((4.902084212932 52.37289778558,4.902334 52.373088,4.902447 52.37317,4.902592 52.373091,4.9022316595878 52.372817141287))";"POLYGON((52.37289778558 4.902084212932,52.373088 4.902334,52.37317 4.902447,52.373091 4.902592,52.372817141287 4.9022316595878))";4.90234805;52.37298075;
174;"ML14";"Wonen in de Nieuwmarktbuurt";"Brandewijnsteeg/Recht Boomsloot";"Archeologische Begeleiding";"1976";"1976";"De eerste bewoners vestigden zich hier in de 15de eeuw aan de Oude Waal buiten de stadsmuur. De bewoningsgeschiedenis van de Nieuwmarktbuurt wordt onder meer weerspiegelt in uiteenlopende voorwerpen van persoonlijke aard.";"http://www.mapsbma.nl/documents/TX_MetroOostlijn_10.pdf";"http://www.archeologischekaart.amsterdam/Vindplaatsen/ML14-99.jpg";"hamer, ijzer en grenenhout, 1700-1800";"Vindplaats";"POLYGON((4.9022316595878 52.372817141287,4.902117 52.37273,4.901917 52.372544,4.901904 52.372527,4.901721 52.372594,4.901856 52.372724,4.902084212932 52.37289778558))";"POLYGON((52.372817141287 4.9022316595878,52.37273 4.902117,52.372544 4.901917,52.372527 4.901904,52.372594 4.901721,52.372724 4.901856,52.37289778558 4.902084212932))";4.90198635;52.37269845;
177;"MZ1";"Wonen in de Nieuwmarktbuurt";"Koningsstraat/Lange Keizersdwarsstraat";"Archeologische Begeleiding";"1977";"1977";"De eerste bewoners vestigden zich hier in de 15de eeuw aan de Oude Waal buiten de stadsmuur. De bewoningsgeschiedenis van de Nieuwmarktbuurt wordt onder meer weerspiegelt in uiteenlopende voorwerpen van persoonlijke aard.";"http://www.mapsbma.nl/documents/TX_MetroOostlijn_10.pdf";"http://www.archeologischekaart.amsterdam/Vindplaatsen/MZ1-141.jpg";"kan, steengoed, Raeren België, 1550-1575";"Vindplaats";"POLYGON((4.9014154903377 52.372263736887,4.901454 52.372316,4.901679 52.372554,4.901721 52.372594,4.901904 52.372527,4.901698 52.372284,4.9016503604848 52.372208080454))";"POLYGON((52.372263736887 4.9014154903377,52.372316 4.901454,52.372554 4.901679,52.372594 4.901721,52.372527 4.901904,52.372284 4.901698,52.372208080454 4.9016503604848))";4.9016695;52.37238945;
178;"MZ2";"Wonen in de Nieuwmarktbuurt";"Lange keizersdwarsstraat/Keizersstraat";"Archeologische Begeleiding";"1977";"1977";"De eerste bewoners vestigden zich hier in de 15de eeuw aan de Oude Waal buiten de stadsmuur. De bewoningsgeschiedenis van de Nieuwmarktbuurt wordt onder meer weerspiegelt in uiteenlopende voorwerpen van persoonlijke aard.";"http://www.mapsbma.nl/documents/TX_MetroOostlijn_10.pdf";"http://www.archeologischekaart.amsterdam/Vindplaatsen/MZ2-49.jpg";"tas, geitenleer, 1450-1500";"Vindplaats";"POLYGON((4.9016503604848 52.372208080454,4.901447 52.371884,4.9014439502787 52.371878859041,4.9011974873396 52.371934773021,4.901342 52.372164,4.9014154903377 52.372263736887))";"POLYGON((52.372208080454 4.9016503604848,52.371884 4.901447,52.371878859041 4.9014439502787,52.371934773021 4.9011974873396,52.372164 4.901342,52.372263736887 4.9014154903377))";4.9014337;52.37205755;
180;"MZ3";"Wonen in de Nieuwmarktbuurt";"Keizersstraat/Dijkdwarsstraat";"Archeologische Begeleiding";"1977";"1977";"De eerste bewoners vestigden zich hier in de 15de eeuw aan de Oude Waal buiten de stadsmuur. De bewoningsgeschiedenis van de Nieuwmarktbuurt wordt onder meer weerspiegelt in uiteenlopende voorwerpen van persoonlijke aard.";"http://www.mapsbma.nl/documents/TX_MetroOostlijn_10.pdf";"http://www.archeologischekaart.amsterdam/Vindplaatsen/MZ3-303.jpg";"bril, glas en koper, 1700-1800";"Vindplaats";"POLYGON((4.9010175104741 52.371656675155,4.901062 52.371733,4.901197 52.371934,4.901197 52.371935,4.901444 52.371879,4.901307 52.371648,4.901280196072 52.371598829881))";"POLYGON((52.371656675155 4.9010175104741,52.371733 4.901062,52.371934 4.901197,52.371935 4.901197,52.371879 4.901444,52.371648 4.901307,52.371598829881 4.901280196072))";4.90124105;52.37175435;
184;"MZ5";"Wonen in de Nieuwmarktbuurt";"Sint Antoniesbreestraat/Rotterdammersloot";"Archeologische Begeleiding";"1977";"1977";"De eerste bewoners vestigden zich hier in de 15de eeuw aan de Oude Waal buiten de stadsmuur. De bewoningsgeschiedenis van de Nieuwmarktbuurt wordt onder meer weerspiegelt in uiteenlopende voorwerpen van persoonlijke aard.";"http://www.mapsbma.nl/documents/TX_MetroOostlijn_10.pdf";"http://www.archeologischekaart.amsterdam/Vindplaatsen/MZ5-305.jpg";"penning, lood, Constantinopel (Istanbul Turkije), 1687";"Vindplaats";"POLYGON((4.9006762763522 52.371077156315,4.900728 52.37116,4.900879 52.371419,4.901149 52.371359,4.9009544945605 52.37101525765))";"POLYGON((52.371077156315 4.9006762763522,52.37116 4.900728,52.371419 4.900879,52.371359 4.901149,52.37101525765 4.9009544945605))";4.9009225;52.371205;
186;"MZ6";"Wonen in de Nieuwmarktbuurt";"Sint Antoniesbreestraat 31-39";"Archeologische Begeleiding";"1977";"1977";"De eerste bewoners vestigden zich hier in de 15de eeuw aan de Oude Waal buiten de stadsmuur. De bewoningsgeschiedenis van de Nieuwmarktbuurt wordt onder meer weerspiegelt in uiteenlopende voorwerpen van persoonlijke aard.";"http://www.mapsbma.nl/documents/TX_MetroOostlijn_10.pdf";"http://www.archeologischekaart.amsterdam/Vindplaatsen/MZ6-20.jpg";"olijfoliekruik, aardewerk, Iberië, 1575-1600";"Vindplaats";"POLYGON((4.9004732701541 52.37074696061,4.900487 52.370774,4.9006762763522 52.371077156315,4.9009544945605 52.37101525765,4.9007637387566 52.370678141895))";"POLYGON((52.37074696061 4.9004732701541,52.370774 4.900487,52.371077156315 4.9006762763522,52.37101525765 4.9009544945605,52.370678141895 4.9007637387566))";4.90072345;52.3708636;
188;"MZ7";"Wonen in de Nieuwmarktbuurt";"Sint Antoniesbreestraat 60-72/Nieuwe Hoogstraat 33-35";"Archeologische Begeleiding";"1977";"1977";"De eerste bewoners vestigden zich hier in de 15de eeuw aan de Oude Waal buiten de stadsmuur. De bewoningsgeschiedenis van de Nieuwmarktbuurt wordt onder meer weerspiegelt in uiteenlopende voorwerpen van persoonlijke aard.";"http://www.mapsbma.nl/documents/TX_MetroOostlijn_10.pdf";"http://www.archeologischekaart.amsterdam/Vindplaatsen/MZ7-322.jpg";"knijpschaar, ijzer, 1500-1550";"Vindplaats";"POLYGON((4.900340430802 52.370417455556,4.900344 52.370426,4.900389 52.370581,4.900473 52.370747,4.900764 52.370678,4.900758 52.370668,4.90064 52.370503,4.90061 52.370418,4.9005994340912 52.370381162102))";"POLYGON((52.370417455556 4.900340430802,52.370426 4.900344,52.370581 4.900389,52.370747 4.900473,52.370678 4.900764,52.370668 4.900758,52.370503 4.90064,52.370418 4.90061,52.370381162102 4.9005994340912))";4.900562;52.3705527;
