OBJECTNUMMER;Topocode;Naam;Adres;Onderzoek;Jaar;Periode;Beschrijving;Webpagina;Foto;Bijschrift;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"MART";"De 15de-eeuwse IJ oever";"Martelaarsgracht 4-12";"Archeologische Opgraving";"2003";"mei 2003";"Vier meter onder de huidige Martelaarsgracht ligt de 15de-eeuwse IJ oever. Langs dit havenfront werden toen schepen geteerd en gebreeuwd.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/15-aanplempingen-ij/";"http://www.mapsbma.nl/foto/MART.jpg";"Proefsleuf ter hoogte van het aangeplempte IJ";"Vindplaats";"POLYGON((4.896598 52.378122,4.896604 52.378092,4.89641 52.378062,4.896402 52.378096,4.896598 52.378122))";"POLYGON((52.378122 4.896598,52.378092 4.896604,52.378062 4.89641,52.378096 4.896402,52.378122 4.896598))";4.89651295;52.3780791;
2;"NZK10";"De 13de-eeuwse versterking";"Nieuwendijk 138";"Archeologische Opgraving";"2006";"februari 2006";"In de bodem zitten de massieve muurresten van een eind 13de-eeuwse versterking bij de Amstelmonding. Het was historisch niet bekend dat Amsterdam toen een kasteel had. De vraag is wie de bouwheer was: Gijsbrecht van Amstel of graaf Floris V.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/37-noordoosthoek/";"http://www.mapsbma.nl/foto/NZK10.jpg";"De westmuur met de torenfundering ";"Vindplaats";"POLYGON((4.894646 52.376009,4.894723 52.376001,4.894757 52.37608,4.894916 52.376056,4.894929 52.376085,4.895098 52.376058,4.895424 52.375989,4.895265 52.375879,4.89501 52.375939,4.894972 52.375896,4.894934 52.375902,4.89493 52.375886,4.894878 52.375895,4.894856 52.375817,4.89476 52.375835,4.894656 52.375838,4.894656 52.375795,4.894709 52.375796,4.894707 52.375746,4.894717 52.375743,4.894716 52.375727,4.894723 52.375706,4.894766 52.375701,4.894743 52.375662,4.894727 52.375666,4.894572 52.375678,4.894567 52.375793,4.894483 52.37579,4.894482 52.375845,4.894474 52.375909,4.894573 52.376183,4.894708 52.376183,4.894646 52.376009))";"POLYGON((52.376009 4.894646,52.376001 4.894723,52.37608 4.894757,52.376056 4.894916,52.376085 4.894929,52.376058 4.895098,52.375989 4.895424,52.375879 4.895265,52.375939 4.89501,52.375896 4.894972,52.375902 4.894934,52.375886 4.89493,52.375895 4.894878,52.375817 4.894856,52.375835 4.89476,52.375838 4.894656,52.375795 4.894656,52.375796 4.894709,52.375746 4.894707,52.375743 4.894717,52.375727 4.894716,52.375706 4.894723,52.375701 4.894766,52.375662 4.894743,52.375666 4.894727,52.375678 4.894572,52.375793 4.894567,52.37579 4.894483,52.375845 4.894482,52.375909 4.894474,52.376183 4.894573,52.376183 4.894708,52.376009 4.894646))";4.89495895;52.3759104;
3;"DAM4";"14de-eeuwse aanplempingen in het Damrak";"Dam 2-4";"Archeologische Begeleiding";"2009";"september-november 2009";"Bij de aanleg van een diepe kelder tot 6,5 m onder maaiveld werden de grondlagen bereikt waarmee in de 14de eeuw de oever van het Damrak vanaf de Nieuwendijk werd verbreed.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/water-gewonnen/";"http://www.mapsbma.nl/foto/DAM4.jpg";"Profielopname op 4,5 m onder de straat";"Vindplaats";"POLYGON((4.892737 52.373653,4.892926 52.373583,4.893199 52.373452,4.893036 52.37334,4.893018 52.373334,4.892616 52.373488,4.892609 52.373514,4.892737 52.373653))";"POLYGON((52.373653 4.892737,52.373583 4.892926,52.373452 4.893199,52.37334 4.893036,52.373334 4.893018,52.373488 4.892616,52.373514 4.892609,52.373653 4.892737))";4.89291405;52.3734805;
4;"OZV8";"Een 17de-eeuwse suikerbakkerij";"Oudezijds Voorburgwal 28";"Archeologische Opgraving";"2007";"oktober 2007";"Uit de muurresten die de archeologen op dit perceel documenteerden bleek dat hier in de 17de eeuw rietsuikerstroop tot kristalsuiker werd geraffineerd. Nu maken de brouwers van De Prael hier hun bier.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/48-sporen/";"http://www.mapsbma.nl/foto/OZV8.jpg";"Documentatie  van de funderingen";"Vindplaats";"POLYGON((4.899057 52.375458,4.899297 52.375381,4.899259 52.375337,4.899209 52.375353,4.899177 52.37535,4.899135 52.375302,4.89903 52.375335,4.899053 52.375359,4.898991 52.375379,4.899057 52.375458))";"POLYGON((52.375458 4.899057,52.375381 4.899297,52.375337 4.899259,52.375353 4.899209,52.37535 4.899177,52.375302 4.899135,52.375335 4.89903,52.375359 4.899053,52.375379 4.898991,52.375458 4.899057))";4.89915395;52.3753668;
5;"WA16";"Eind-14de-eeuwse slietenfundering";"Warmoesstraat 87/Oudekerksplein 36";"Archeologische Begeleiding";"2006";"maart 2006";"Het huidige pand heeft nog de oorspronkelijke fundering uit de late middeleeuwen. Toen werden geen heipalen maar korte stammetjes van 8-10 cm doorsnede gebruikt. In dit geval waren er drie lagen van deze slieten die kruislings op elkaar waren gelegd.";"";"http://www.mapsbma.nl/foto/WA16.jpg";"De stammetjes onder de oudste bouwmuur";"Vindplaats";"POLYGON((4.897523 52.374681,4.897609 52.374656,4.897522 52.374633,4.897449 52.374605,4.897233 52.374675,4.897332 52.374744,4.897523 52.374681))";"POLYGON((52.374681 4.897523,52.374656 4.897609,52.374633 4.897522,52.374605 4.897449,52.374675 4.897233,52.374744 4.897332,52.374681 4.897523))";4.8974309;52.37466115;
6;"OZA9";"Kerkhof Minderbroedersklooster (1464-1578)";"Oudezijds Achterburgwal 57";"Archeologische Begeleiding";"2008";"juli 2008";"Aan de Nieuwmarkt lag tot 1578 het Minderbroedersklooster. Het kloosterkerkhof bevond zich langs de Oudezijds Achterburgwal. In de kelder van dit pand waren nog skeletten aanwezig, waaruit bleek dat hier zowel mannen als vrouwen waren begraven.";"";"http://www.mapsbma.nl/foto/OZA9.jpg";"Een aantal grafkisten waren nog grotendeels intact";"Vindplaats";"POLYGON((4.898904 52.373077,4.898801 52.373106,4.898761 52.37307,4.898872 52.373033,4.898904 52.373077))";"POLYGON((52.373077 4.898904,52.373106 4.898801,52.37307 4.898761,52.373033 4.898872,52.373077 4.898904))";4.89884255;52.37305705;
7;"MON";"Minderbroedersklooster (1464-1578)";"Monnikenstraat 2, 2A/Bloedstraat 11-15/Gordijnensteeg 1-27";"Archeologische Opgraving";"2001";"november-december 2001";"Op de zijgevel van het 17de-eeuwse woonhuis aan de Bloedstraat tekent zich nog het silhouet van het hoofdgebouw van het 16de-eeuwse Minderbroedersklooster af. Op de voorgrond zijn de fundamenten van de refter of eetzaal zichtbaar.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-6/?reload=true";"http://www.mapsbma.nl/foto/MON.jpg";"Fundering van de refter langs de Bloedstraat ";"Vindplaats";"POLYGON((4.899589 52.372993,4.899536 52.372871,4.899164 52.372945,4.899308 52.373195,4.899324 52.373189,4.899412 52.373168,4.899399 52.373141,4.899418 52.373136,4.899379 52.373072,4.899382 52.37307,4.899371 52.373034,4.899589 52.372993))";"POLYGON((52.372993 4.899589,52.372871 4.899536,52.372945 4.899164,52.373195 4.899308,52.373189 4.899324,52.373168 4.899412,52.373141 4.899399,52.373136 4.899418,52.373072 4.899379,52.37307 4.899382,52.373034 4.899371,52.372993 4.899589))";4.8993864;52.3730189;
8;"OZV6";"Agnietenklooster (1397-1578)";"Oudezijds Voorburgwal 229-231";"Archeologische Opgraving";"2004";"augustus 2004";"Dit perceel maakte oorspronkelijk deel uit van de open binnenplaats van het Agnietenklooster. In 1578 werden alle kloosters in Amsterdam onteigend en heringericht. Toen is dit perceel bebouwd met bakstenen afkomstig uit afgebroken kloostergebouwen.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/22-purperhoedenveem/";"http://www.mapsbma.nl/foto/OZV6.jpg";"Een impressie van het klooster in de 16de eeuw";"Vindplaats";"POLYGON((4.894817 52.370069,4.895115 52.370039,4.895086 52.369971,4.894797 52.369999,4.894817 52.370069))";"POLYGON((52.370069 4.894817,52.370039 4.895115,52.369971 4.895086,52.369999 4.894797,52.370069 4.894817))";4.8949661;52.3700072;
9;"OTM";"Huizen na 1500 in de Amstelbocht";"Oude Turfmarkt 129-139";"Archeologische Opgraving";"2004";"december 2004-januari 2005";"Rond 1500 is de Amstelbocht met veenzoden, rietmatten, mest en afval uit de stad verbreed om ruimte te bieden voor woonhuizen. Deze waren vanwege de slappe ondergrond stevig gefundeerd op zware roosterconstructies.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/31-amstelbocht/";"http://www.mapsbma.nl/foto/OTM.jpg";"Een van de woonhuizen in de Amstelbocht";"Vindplaats";"MULTIPOLYGON(((4.893653 52.368367,4.893713 52.36831,4.894003 52.368095,4.893766 52.367985,4.893519 52.368169,4.893417 52.368268,4.893653 52.368367)),((4.893653 52.368367,4.893465 52.368549,4.893564 52.368589,4.893765 52.368414,4.893653 52.368367)))";"MULTIPOLYGON(((52.368367 4.893653,52.36831 4.893713,52.368095 4.894003,52.367985 4.893766,52.368169 4.893519,52.368268 4.893417,52.368367 4.893653)),((52.368367 4.893653,52.368549 4.893465,52.368589 4.893564,52.368414 4.893765,52.368367 4.893653)))";4.89372015;52.3682734;
10;"OZV7";"Middeleeuwse houtbouw versteend";"Oudezijds Voorburgwal 262-266/Pieter Jacobszstraat 32-44";"Archeologische Opgraving";"2005";"juli–augustus 2005";"De eerste huizen op deze locatie waren gemaakt van hout en gefundeerd op liggende stammetjes. Vanaf de 15de eeuw werden deze vervangen door een bebouwing van baksteen, maar daarbij bleef de oorspronkelijke perceelsindeling ongewijzigd.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/49-bewoning-tussen/";"http://www.mapsbma.nl/foto/OZV7.jpg";"Opeenvolgende funderingen van Pieter Jacobszstraat 44";"Vindplaats";"POLYGON((4.895064 52.37146,4.895028 52.371426,4.894691 52.371505,4.894563 52.371527,4.894633 52.371685,4.894999 52.371601,4.894976 52.371559,4.895124 52.371521,4.895064 52.37146))";"POLYGON((52.37146 4.895064,52.371426 4.895028,52.371505 4.894691,52.371527 4.894563,52.371685 4.894633,52.371601 4.894999,52.371559 4.894976,52.371521 4.895124,52.37146 4.895064))";4.8948536;52.3715426;
11;"JA2";"Middeleeuwse bebouwing in het Blaauwlakenblok";"Sint Jansstraat 31-35/Leidekkersteeg 8-14";"Archeologische Opgraving";"2001";"april–mei 2001";"Het terrein tussen de St Janstraat en de Leidekkersteeg werd vanaf eind 14de eeuw bewoond. In de 15de eeuw werd in het huis een plavuizenvloer aangelegd met witte en donkergroene plavuizen van ca. 13 x 13 x 3 cm.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-3/?reload=true";"http://www.mapsbma.nl/foto/JA2.jpg";"De vloer uit groene en witte plavuizen (13 x 13 cm) ";"Vindplaats";"POLYGON((4.896191 52.373104,4.89643 52.373034,4.896301 52.372889,4.896133 52.372942,4.89622 52.373048,4.896162 52.373066,4.896191 52.373104))";"POLYGON((52.373104 4.896191,52.373034 4.89643,52.372889 4.896301,52.372942 4.896133,52.373048 4.89622,52.373066 4.896162,52.373104 4.896191))";4.8962915;52.37298265;
12;"KA8";"Huiskerk De Papegaai (1672)";"Kalverstraat 58";"Archeologische Begeleiding";"2004";"januari 2004";"Onder de vloer van de huidige Petrus en Pauluskerk uit 1899 waren fundamenten uit verschillende bouwfasen van de oorspronkelijke 17de-eeuwse katholieke huiskerk aanwezig.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/16-schuilkerk/";"http://www.mapsbma.nl/foto/KA8.jpg";"Fundering van de bouwfase uit 1710 ";"Vindplaats";"POLYGON((4.891429 52.371301,4.891838 52.37132,4.891887 52.371305,4.891873 52.371253,4.891876 52.371249,4.891863 52.37122,4.891867 52.371219,4.891864 52.371213,4.891409 52.371116,4.891209 52.371093,4.891177 52.3711,4.89116 52.371131,4.891185 52.371164,4.891158 52.371211,4.891309 52.371246,4.891288 52.371286,4.891368 52.371304,4.891429 52.371301))";"POLYGON((52.371301 4.891429,52.37132 4.891838,52.371305 4.891887,52.371253 4.891873,52.371249 4.891876,52.37122 4.891863,52.371219 4.891867,52.371213 4.891864,52.371116 4.891409,52.371093 4.891209,52.3711 4.891177,52.371131 4.89116,52.371164 4.891185,52.371211 4.891158,52.371246 4.891309,52.371286 4.891288,52.371304 4.891368,52.371301 4.891429))";4.89153245;52.37119355;
13;"EKS";"Zerken en graven van de Nieuwezijds Kapel";"Enge Kapelsteeg 4-6/Wijde kapelsteeg 3/Rokin 78a";"Archeologische Begeleiding";"2005";"maart-april 2005";"Onder de vloer van de huidige kerkruimte uit 1921 zijn de plattegrond en de zerkenvloer van de vroegere middeleeuwse kerk teruggevonden. De begravingen dateren van na 1578 maar de kerk gaat terug tot 1345, het jaar van het Mirakel van Amsterdam.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/7-zerken-graven/";"http://www.mapsbma.nl/foto/EKS.jpg";"De zerkenvloer en enkele basementen van de 15de-eeuwse kapel";"Vindplaats";"POLYGON((4.891811 52.370413,4.892023 52.370377,4.891989 52.370296,4.89204 52.370288,4.892003 52.370203,4.892193 52.370172,4.892173 52.370129,4.891985 52.370159,4.891927 52.370031,4.891666 52.370062,4.891684 52.370105,4.891697 52.370102,4.891768 52.370262,4.891768 52.370268,4.891753 52.370274,4.891753 52.370282,4.891764 52.370289,4.891778 52.370287,4.891799 52.370336,4.891779 52.370339,4.891811 52.370413))";"POLYGON((52.370413 4.891811,52.370377 4.892023,52.370296 4.891989,52.370288 4.89204,52.370203 4.892003,52.370172 4.892193,52.370129 4.892173,52.370159 4.891985,52.370031 4.891927,52.370062 4.891666,52.370105 4.891684,52.370102 4.891697,52.370262 4.891768,52.370268 4.891768,52.370274 4.891753,52.370282 4.891753,52.370289 4.891764,52.370287 4.891778,52.370336 4.891799,52.370339 4.891779,52.370413 4.891811))";4.89193965;52.37020935;
14;"SP3";"Stadsuitbreiding uit de 15de eeuw";"Spuistraat 256-258";"Archeologische Opgraving";"2007";"december 2007-januari 2008";"In 1425 kwam het gebied tussen Spuistraat (toen Nieuwezijds Achterburgwal) en Singel bij de stad. In de bodem van dit perceel waren resten van veenzoden, klei, mest en afval waarmee de grond bouwrijp werd gemaakt voor de eerste bebouwing rond 1520.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/47-spuistraat/";"http://www.mapsbma.nl/foto/SP3.jpg";"Profiel toont ophogingen vanaf de 15de eeuw";"Vindplaats";"POLYGON((4.888999 52.370694,4.888974 52.370585,4.888794 52.37058,4.888748 52.370583,4.888767 52.370692,4.888754 52.370692,4.888757 52.370718,4.888843 52.370715,4.888841 52.370692,4.888914 52.370691,4.888917 52.370703,4.888999 52.370694))";"POLYGON((52.370694 4.888999,52.370585 4.888974,52.37058 4.888794,52.370583 4.888748,52.370692 4.888767,52.370692 4.888754,52.370718 4.888757,52.370715 4.888843,52.370692 4.888841,52.370691 4.888914,52.370703 4.888917,52.370694 4.888999))";4.88888355;52.37063665;
15;"NJ";"Kelderwoningen uit de 18de eeuw";"Nieuwe Jonkerstraat 4/Nieuwe Ridderstraat 5";"Archeologische Opgraving";"2007";"april 2007";"De Nieuwe Jonkerstraat werd eind 16de eeuw aangelegd in het scheeps- en havenkwartier de Lastage. In de 19de eeuw werden de opslagruimten onder de huizen in deze drukbevolkte buurt verbouwd tot kelderwoninkjes.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/44-kelderwoningen/";"http://www.mapsbma.nl/foto/NJ.jpg";"De kelderwoning Jonkerstraat 10";"Vindplaats";"POLYGON((4.901896 52.373645,4.902011 52.373584,4.902081 52.373632,4.902261 52.373533,4.902113 52.373434,4.901826 52.373595,4.901896 52.373645))";"POLYGON((52.373645 4.901896,52.373584 4.902011,52.373632 4.902081,52.373533 4.902261,52.373434 4.902113,52.373595 4.901826,52.373645 4.901896))";4.9020536;52.37352625;
16;"ZEE";"Stal voor slachtvee (1769-1938)";"Zeeburgerdijk t.o. 633-641";"Archeologische Opgraving";"2002";"november-december 2002";"Het slachtvee dat over de Zuiderzee naar Amsterdam werd aangevoerd werd vanaf 1769 tijdelijk ondergebracht in deze stallen voordat het werd verhandeld op de nabij gelegen veemarkt aan de Cruquiusweg.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-2/?reload=true";"http://www.mapsbma.nl/foto/ZEE.jpg";"Het gebouw was onderverdeeld in kleine hokken ";"Vindplaats";"POLYGON((4.955375 52.365797,4.954812 52.365795,4.95481 52.365975,4.955374 52.365977,4.955375 52.365797))";"POLYGON((52.365797 4.955375,52.365795 4.954812,52.365975 4.95481,52.365977 4.955374,52.365797 4.955375))";4.95510245;52.36587205;
17;"ARM";"Een Engelse propaganda penning uit 1779";"Oudezijds Armsteeg 6-14";"Archeologische Opgraving";"2008";"augustus-september 2008";"In een 18de-eeuwse beerput van één van de opgegraven huizen aan deze steeg zat een unieke herdenkingspenning uit de Amerikaanse Onafhankelijkheidsoorlog, de Rhode Island Ship Token. Van deze penning zijn wereldwijd ca. 15 exemplaren bekend.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/60-wonen-achter/";"http://www.mapsbma.nl/foto/ARM.jpg";"De Rhode Island Ship Token ";"Vindplaats";"POLYGON((4.899279 52.375649,4.899474 52.375577,4.899333 52.375429,4.899305 52.375426,4.899108 52.37549,4.89915 52.375529,4.899157 52.375527,4.899279 52.375649))";"POLYGON((52.375649 4.899279,52.375577 4.899474,52.375429 4.899333,52.375426 4.899305,52.37549 4.899108,52.375529 4.89915,52.375527 4.899157,52.375649 4.899279))";4.89930105;52.37552515;
18;"AFR1";"Mammoetslagtand uit het zand";"Afrikahaven";"Archeologische Begeleiding";"2000";"februari 1998 – juni 2000";"Bij de havenaanleg werd op 12 m diepte de zandlaag van de IJstijd toendra blootgelegd. Op de toendra steppe leefden rond 100.000 v. Chr grote zoogdieren, zoals mammoeten en wolharige neushoorns, en groepjes rondtrekkende steentijd jagers-verzamelaars.";"http://www.mapsbma.nl/documents/RA_AFR1_10.pdf";"http://www.mapsbma.nl/foto/AFR1.jpg";"Een slagtandfragment uit het Pleistocene zand ";"Vindplaats";"POLYGON((4.748554 52.427511,4.743045 52.428149,4.74702 52.414914,4.747025 52.414915,4.747869 52.412101,4.752929 52.412675,4.752471 52.41448,4.752025 52.415959,4.750526 52.420831,4.750531 52.420831,4.75029 52.421632,4.748704 52.427053,4.748579 52.427157,4.748524 52.427345,4.748554 52.427511))";"POLYGON((52.427511 4.748554,52.428149 4.743045,52.414914 4.74702,52.414915 4.747025,52.412101 4.747869,52.412675 4.752929,52.41448 4.752471,52.415959 4.752025,52.420831 4.750526,52.420831 4.750531,52.421632 4.75029,52.427053 4.748704,52.427157 4.748579,52.427345 4.748524,52.427511 4.748554))";4.74799705;52.4201113;
19;"AMD2";"Buitenhuis Rust en Werk";"Amsteldijk 67";"Archeologische Begeleiding";"2009";"juli 2009";"Langs de Amstel verrezen in de 17de eeuw statige buitenhuizen met uitgebreide tuincomplexen. Op deze plek werd in 1620 het landgoed ‘Rust en Werk’ aangelegd. In 1887 werd het buitenhuis gesloopt om plaats te maken voor de nieuwe stedelijke bebouwing.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/39-rust-werk/";"http://www.mapsbma.nl/foto/AMD2.jpg";"Buitenhuis Rust en Werk vlak voor de sloop in 1887 ";"Vindplaats";"POLYGON((4.905973 52.353906,4.906022 52.353923,4.906205 52.353686,4.906143 52.353671,4.906105 52.353689,4.906071 52.35369,4.906055 52.353715,4.906106 52.35373,4.905973 52.353906))";"POLYGON((52.353906 4.905973,52.353923 4.906022,52.353686 4.906205,52.353671 4.906143,52.353689 4.906105,52.35369 4.906071,52.353715 4.906055,52.35373 4.906106,52.353906 4.905973))";4.90609905;52.3537833;
20;"VDI";"Het IJ bij het Blaauwhoofd (1613)";"Van Diemenstraat 2-18";"Archeologische Verkenning";"2006";"november 2006";"Bij het Barentszplein lag het Blaauwhoofd, het eerste bolwerk van de stadswal van 1613. Vanaf de stenen muur stortte men regelmatig afval in het water, zoals deze 19de-eeuwse kruiken van jeneverstokers Wijnand Fockink, Erven Het Loosje en F.H. Koggink.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/17-saillant/";"http://www.mapsbma.nl/foto/VDI.jpg";"19de-eeuws steengoed uit de stort in het IJ ";"Vindplaats";"POLYGON((4.889622 52.390257,4.889512 52.389939,4.891007 52.389757,4.891084 52.389772,4.89095 52.390091,4.890884 52.390091,4.889622 52.390257))";"POLYGON((52.390257 4.889622,52.389939 4.889512,52.389757 4.891007,52.389772 4.891084,52.390091 4.89095,52.390091 4.890884,52.390257 4.889622))";4.8903079;52.3899943;
21;"HAP";"Een 17de-eeuws woonblok";"Haarlemmerplein 18-30";"Archeologische Opgraving";"2000";"december 1999-januari 2000";"Het Haarlemmerplein werd bij de stadsvergroting van 1613 aangelegd als verkeersknooppunt achter de Haarlemmerpoort. De stadswijk rond het plein had een middenklasse bewoning, zo blijkt uit het huisraad uit de beerputten van het noordelijke woonblok.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-15/?reload=true";"http://www.mapsbma.nl/foto/HAP.jpg";"Een selectie van vondsten uit enkele beerputten ";"Vindplaats";"POLYGON((4.884793 52.384829,4.884473 52.384619,4.883813 52.384988,4.883907 52.385123,4.883934 52.385145,4.883962 52.385159,4.883991 52.385168,4.884022 52.385174,4.88409 52.385177,4.884119 52.385176,4.884168 52.385166,4.884204 52.385155,4.884234 52.38514,4.884793 52.384829))";"POLYGON((52.384829 4.884793,52.384619 4.884473,52.384988 4.883813,52.385123 4.883907,52.385145 4.883934,52.385159 4.883962,52.385168 4.883991,52.385174 4.884022,52.385177 4.88409,52.385176 4.884119,52.385166 4.884168,52.385155 4.884204,52.38514 4.884234,52.384829 4.884793))";4.88431305;52.3848845;
22;"KAR";"Herberg De Kleine Karthuizer (1600-1733)";"Karthuizersstraat 2-6";"Archeologische Opgraving";"2001";"maart–april 2001";"Van 1392 tot 1578 stond hier het Karthuizerklooster. Op de fundering van de kloosteromgang werd rond 1600 herberg ‘De Kleine Karthuizer’ gebouwd, die ca. 150 jaar in gebruik bleef. De beerput bevatte veel voorwerpen om mee te eten, drinken en roken.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-7/?reload=true";"http://www.mapsbma.nl/foto/KAR.jpg";"Glaswerk uit de beerput van de herberg";"Vindplaats";"POLYGON((4.881941 52.378941,4.881818 52.378928,4.881777 52.379072,4.88189 52.379087,4.881941 52.378941))";"POLYGON((52.378941 4.881941,52.378928 4.881818,52.379072 4.881777,52.379087 4.88189,52.378941 4.881941))";4.8818691;52.3789946;
23;"LIND";"Een pestkerkhof";"Lindengracht 217-219";"Archeologische Opgraving";"2000";"augustus 2000";"Tijdens de pestepidemie van 1602 werd buiten de stad een kerkhof ingericht ter hoogte van het voormalige Karthuizerklooster. Na de stadsuitbreiding van 1613 kwam het kerkhof midden in de Jordaan te liggen.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-e/?reload=true";"http://www.mapsbma.nl/foto/LIND.jpg";"Pestlijders werden begraven buiten de muur van het voormalige klooster";"Vindplaats";"POLYGON((4.881805 52.37957,4.881811 52.379571,4.881777 52.379662,4.881664 52.379647,4.881692 52.379555,4.881805 52.37957))";"POLYGON((52.37957 4.881805,52.379571 4.881811,52.379662 4.881777,52.379647 4.881664,52.379555 4.881692,52.37957 4.881805))";4.88174745;52.3795954;
24;"TICH";"Huizen op een middeleeuws klooster in de Jordaan";"Tichelstraat 13-19";"Archeologische Opgraving";"1999";"augustus 1999";"Op dit perceel liggen woonhuizen die rond 1750 werden gebouwd op het terrein van het Karthuizerklooster uit 1392 dat in 1578 werd opgeheven.  De oudste bewoningsporen hangen samen met een boerderijterp en dateren uit de 13de eeuw.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-b/?reload=true";"http://www.mapsbma.nl/foto/TICH.jpg";"De vloer van het souterrain was bekleed met plavuizen";"Vindplaats";"POLYGON((4.880993 52.379037,4.880832 52.379006,4.88072 52.379244,4.88093 52.379274,4.880915 52.379312,4.881082 52.379337,4.881119 52.379196,4.880938 52.37917,4.880946 52.379153,4.880939 52.379152,4.880993 52.379037))";"POLYGON((52.379037 4.880993,52.379006 4.880832,52.379244 4.88072,52.379274 4.88093,52.379312 4.880915,52.379337 4.881082,52.379196 4.881119,52.37917 4.880938,52.379153 4.880946,52.379152 4.880939,52.379037 4.880993))";4.88092945;52.37915865;
