OBJECTNUMMER;GebouwGenoot;Gebouwnaam;Adres;Gebouwtype;Genootschap;Categorie_id;Categorie;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
128;"Heilige Vincentiuskerk";"Heilige Vincentiuskerk";"Jacob van Lennepkade 211";"Kerk(zaal) maakt deel uit van woningbouwcomplex";"";2;"Rooms Katholieke kerk";"";"POINT(4.8626802,52.3624884)";"POINT(52.3624884,4.8626802)";4.8626802;52.3624884;
129;"Molukse Evangelische Kerk";"Molukse Evangelische Kerk";"Jacques Perkstraat 1";"Kerk";"";5;"Christelijke kerk overig";"";"POINT(4.8179972,52.3769194)";"POINT(52.3769194,4.8179972)";4.8179972;52.3769194;
130;"Universele Kerk van Gods Rijk (UKGR) - Migrantenkerk";"Universele Kerk van Gods Rijk (UKGR)";"Jan Evertsenstraat 18";"Woonhuis";"Migrantenkerk";1;"Evangelische- of Pinksterkerk";"";"POINT(4.8583891,52.371472)";"POINT(52.371472,4.8583891)";4.8583891;52.371472;
131;"Stichting el Mohammadi";"Stichting el Mohammadi";"Jan Evertsenstraat 201";"Woonhuis";"";6;"Marokkaanse Moskee";"";"POINT(4.8412378,52.3691146)";"POINT(52.3691146,4.8412378)";4.8412378;52.3691146;
132;"Stichting el Tawheed";"Stichting el Tawheed";"Jan Hanzenstraat 114";"Woonhuis";"";6;"Marokkaanse Moskee";"";"POINT(4.8640292,52.3676612)";"POINT(52.3676612,4.8640292)";4.8640292;52.3676612;
133;"Jeruzalemkerk";"Jeruzalemkerk";"Jan Maijenstraat 14";"Kerk";"";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.8520029,52.3713461)";"POINT(52.3713461,4.8520029)";4.8520029;52.3713461;
134;"Christengemeente van het nieuwe verbond (GKPB) (VPE) [Indonesisch]";"Christengemeente van het nieuwe verbond (GKPB) (VPE) [Indonesisch]";"Jan Rebelstraat 2";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://gkpb.nl/";"POINT(4.7865908,52.3601767)";"POINT(52.3601767,4.7865908)";4.7865908;52.3601767;
135;"Elthetokerk";"Elthetokerk";"Javastraat 118";"Kerk(zaal) maakt deel uit van woningbouwcomplex";"";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.9372771,52.3636099)";"POINT(52.3636099,4.9372771)";4.9372771;52.3636099;
136;"Nieuw-Apostolische Kerk";"Nieuw-Apostolische Kerk";"Johan Braakensiekhof 1";"Samenkomstfunctie";"";5;"Christelijke kerk overig";"";"POINT(4.8174512,52.3531119)";"POINT(52.3531119,4.8174512)";4.8174512;52.3531119;
137;"Moskee Imam Malik";"Moskee Imam Malik";"Johan Huizingalaan 146";"Winkel";"";6;"Marokkaanse Moskee";"";"POINT(4.8266609,52.3595358)";"POINT(52.3595358,4.8266609)";4.8266609;52.3595358;
