OBJECTNUMMER;GebouwGenoot;Gebouwnaam;Adres;Gebouwtype;Genootschap;Categorie_id;Categorie;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
197;"Russisch-Orthodoxe Kerk H. Maria van Egypte";"Russisch-Orthodoxe Kerk H. Maria van Egypte";"Muiderstraat 10";"Onbekend";"";5;"Christelijke kerk overig";"";"POINT(4.906008,52.3674704)";"POINT(52.3674704,4.906008)";4.906008;52.3674704;
198;"Russisch Katholieke Kerk";"Russisch Katholieke Kerk";"Nieuwe Keizersgracht 94";"Onbekend";"";2;"Rooms Katholieke kerk";"http://reliwiki.nl/index.php?title=Amsterdam,_Nieuwe_Keizersgracht_94_-_St_Elisabeth";"POINT(4.9065912,52.3651167)";"POINT(52.3651167,4.9065912)";4.9065912;52.3651167;
199;"Nidchei JisrJechann";"Nidchei JisrJechann";"Nieuwe Kerkstraat 149";"Woonhuis";"";9;"Joodse synagoge";"";"POINT(4.9090021,52.3648688)";"POINT(52.3648688,4.9090021)";4.9090021;52.3648688;
200;"Uilenburgersynagoge - Asjkenazisch Joods / Huis van Vernieuwing";"Uilenburgersynagoge";"Nieuwe Uilenburgerstraat 91";"Synagoge";"Asjkenazisch Joods / Huis van Vernieuwing";9;"Joodse synagoge";"";"POINT(4.9052741,52.3701979)";"POINT(52.3701979,4.9052741)";4.9052741;52.3701979;
201;"Sint Augustinuskerk";"Sint Augustinuskerk";"Nieuwendammerdijk 227";"Kerk";"";2;"Rooms Katholieke kerk";"";"POINT(4.9353921,52.391545)";"POINT(52.391545,4.9353921)";4.9353921;52.391545;
202;"Noorderkerk - Protestantsekerk Nederland";"Noorderkerk";"Noordermarkt 44";"Kerk";"Protestantsekerk Nederland";3;"Protestantse Kerk Nederland (PKN)";" www.noorderkerk.nl";"POINT(4.8863151,52.3795325)";"POINT(52.3795325,4.8863151)";4.8863151;52.3795325;
203;"Willem de Zwijgerkerk";"Willem de Zwijgerkerk";"Olympiakade 8";"Kerk";"";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.8630688,52.3494307)";"POINT(52.3494307,4.8630688)";4.8630688;52.3494307;
204;"Turkse Sleymaniye Moskee";"Turkse Sleymaniye Moskee";"Ookmeerweg 206";"Bedrijfspand";"";7;"Turkse Moskee";"";"POINT(4.7999861,52.3652236)";"POINT(52.3652236,4.7999861)";4.7999861;52.3652236;
205;"Oosterparkkerk - Gereformeerde kerk vrijgemaakt (GKV)";"Oosterparkkerk";"Oosterpark 4";"Kerk";"Gereformeerde kerk vrijgemaakt (GKV)";4;"Gereformeerde kerk";"";"POINT(4.915807,52.3600127)";"POINT(52.3600127,4.915807)";4.915807;52.3600127;
206;"Sint Lucaskerk";"Sint Lucaskerk";"Osdorper Ban 130";"Kerk";"";2;"Rooms Katholieke kerk";"";"POINT(4.7955859,52.3615958)";"POINT(52.3615958,4.7955859)";4.7955859;52.3615958;
207;"Koninkrijkszaal - Jehova`s getuigen";"Koninkrijkszaal";"Osdorper Ban 154";"Samenkomstfunctie";"Jehova`s getuigen";5;"Christelijke kerk overig";"";"POINT(4.788326,52.3599936)";"POINT(52.3599936,4.788326)";4.788326;52.3599936;
208;"De Sloterkerk - Protestantse Kerk";"De Sloterkerk";"Osdorperweg 28";"Kerk";"Protestantse Kerk";3;"Protestantse Kerk Nederland (PKN)";"www.osdorpsloten.nl";"POINT(4.7976348,52.3421294)";"POINT(52.3421294,4.7976348)";4.7976348;52.3421294;
209;"Haci Bayram";"Haci Bayram";"Osdorperweg 386";"School";"";7;"Turkse Moskee";"";"POINT(4.7893002,52.3584715)";"POINT(52.3584715,4.7893002)";4.7893002;52.3584715;
210;"Koningskerk - Evangelische Broedergemeente";"Koningskerk";"Ostwaldstraat 5";"Kerk";"Evangelische Broedergemeente";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9357722,52.3484274)";"POINT(52.3484274,4.9357722)";4.9357722;52.3484274;
211;"Oude kerk";"Oude kerk";"Oudekerksplein 1";"Kerk";"";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.8986342,52.3744666)";"POINT(52.3744666,4.8986342)";4.8986342;52.3744666;
212;"Allemanskapel van Sint Joris - Oecumenische groepen en gemeenschappen";"Allemanskapel van Sint Joris";"Oudezijds Achterburgwal 100";"Woonhuis";"Oecumenische groepen en gemeenschappen";5;"Christelijke kerk overig";"";"POINT(4.8980071,52.3727652)";"POINT(52.3727652,4.8980071)";4.8980071;52.3727652;
213;"Stichting Dzogchen Nederland";"Stichting Dzogchen Nederland";"Overbrakerpad 2";"Onbekend";"";11;"Boeddhistische tempel";"http://www.dzogchen.nl";"POINT(4.8639371,52.3878905)";"POINT(52.3878905,4.8639371)";4.8639371;52.3878905;
214;"C3 Church";"C3 Church";"Paasheuvelweg 24";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://www.c3amsterdam.nl/index.php";"POINT(4.9520118,52.2966544)";"POINT(52.2966544,4.9520118)";4.9520118;52.2966544;
215;"Universal Christian Faith Ministries";"Universal Christian Faith Ministries";"Paasheuvelweg 34H";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://universalchristianfaith.com/";"POINT(4.9531791,52.2972342)";"POINT(52.2972342,4.9531791)";4.9531791;52.2972342;
216;"Love Christian Centre";"Love Christian Centre";"Paasheuvelweg 36";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://www.lccamsterdam.org/aboutus/?id=5";"POINT(4.952225,52.2972914)";"POINT(52.2972914,4.952225)";4.952225;52.2972914;
217;"Boeddhistisch Centrum Amsterdam Triratna - Triratna Boeddhistische Beweging";"Boeddhistisch Centrum Amsterdam Triratna";"Palmstraat 63";"Onbekend";"Triratna Boeddhistische Beweging";11;"Boeddhistische tempel";"http://www.bcatriratna.nl/";"POINT(4.8835022,52.3815428)";"POINT(52.3815428,4.8835022)";4.8835022;52.3815428;
218;"Petrus en Pauluskerk - Oud-Katholieke Kerk";"Petrus en Pauluskerk";"Pieter Baststraat 3";"Kerk";"Oud-Katholieke Kerk";5;"Christelijke kerk overig";"";"POINT(4.884578,52.3539435)";"POINT(52.3539435,4.884578)";4.884578;52.3539435;
219;"Sint Pauluskerk - Ook Pools";"Sint Pauluskerk";"Pieter Calandlaan 194";"Kerk";"Ook Pools";2;"Rooms Katholieke kerk";"";"POINT(4.800904,52.3524291)";"POINT(52.3524291,4.800904)";4.800904;52.3524291;
220;"Vredeskerk";"Vredeskerk";"Pijnackerstraat 11";"Kerk";"";2;"Rooms Katholieke kerk";"";"POINT(4.8899658,52.3498694)";"POINT(52.3498694,4.8899658)";4.8899658;52.3498694;
221;"Bethelkerk - CityChangers Amsterdam (VPE)";"Bethelkerk";"Plejadenplein 44";"Kerk";"CityChangers Amsterdam (VPE)";1;"Evangelische- of Pinksterkerk";"";"POINT(4.8856661,52.4144026)";"POINT(52.4144026,4.8856661)";4.8856661;52.4144026;
222;"Bethelkerk";"Bethelkerk";"Plejadenplein 44";"Kerk";"";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.8859341,52.4142768)";"POINT(52.4142768,4.8859341)";4.8859341;52.4142768;
223;"Indonesian Full Gospel Fellowship";"Indonesian Full Gospel Fellowship";"Poeldijkstraat 8";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://www.ifgf.org/";"POINT(4.8445561,52.3506247)";"POINT(52.3506247,4.8445561)";4.8445561;52.3506247;
224;"Sint Jan de Doperkerk";"Sint Jan de Doperkerk";"Poeldijkstraat 8A";"Kerk(zaal) maakt deel uit van woningbouwcomplex";"";2;"Rooms Katholieke kerk";"";"POINT(4.8437092,52.3507277)";"POINT(52.3507277,4.8437092)";4.8437092;52.3507277;
225;"Sint Augustinuskerk";"Sint Augustinuskerk";"Postjesweg 123";"Kerk maakt deel uit van verzorgingstehuis";"";2;"Rooms Katholieke kerk";"";"POINT(4.8514612,52.3639838)";"POINT(52.3639838,4.8514612)";4.8514612;52.3639838;
226;"Herdenkingskerk - Baptisme (Unie van Baptisten Gemeenten in Nederland)";"Herdenkingskerk";"Postjesweg 150";"Kerk";"Baptisme (Unie van Baptisten Gemeenten in Nederland)";1;"Evangelische- of Pinksterkerk";"http://www.baptisten.nl";"POINT(4.8362529,52.364514)";"POINT(52.364514,4.8362529)";4.8362529;52.364514;
227;"Herdenkingskerk - Communidade Christa em Amsterdam";"Herdenkingskerk";"Postjesweg 150";"Kerk";"Communidade Christa em Amsterdam";5;"Christelijke kerk overig";"http://www.cca-online.nl/contato.html";"POINT(4.8357398,52.3644568)";"POINT(52.3644568,4.8357398)";4.8357398;52.3644568;
228;"Herdenkingskerk - Vergadering van gelovigen (Darbisten)";"Herdenkingskerk";"Postjesweg 150";"Kerk";"Vergadering van gelovigen (Darbisten)";1;"Evangelische- of Pinksterkerk";"http://vergadering.nu/vergamsterdam.htm";"POINT(4.835252,52.3644568)";"POINT(52.3644568,4.835252)";4.835252;52.3644568;
229;"El Ouma Moskee";"El Ouma Moskee";"Postjesweg 179";"Moskee";"";6;"Marokkaanse Moskee";"";"POINT(4.8380101,52.3636061)";"POINT(52.3636061,4.8380101)";4.8380101;52.3636061;
230;"Stichting Karma Kagyu Centrum Amsterdam - Tibetaans Diamantweg-boeddhisme (Vajrayana)";"Stichting Karma Kagyu Centrum Amsterdam";"Pretoriusstraat 73";"Onbekend";"Tibetaans Diamantweg-boeddhisme (Vajrayana)";11;"Boeddhistische tempel";"http://www.diamantweg-boeddhisme.nl/content/view/13/37/";"POINT(4.9217212,52.3545996)";"POINT(52.3545996,4.9217212)";4.9217212;52.3545996;
231;"Sint Nicolaaskerk (H. Nicolaas binnen de Veste) - Ook Spaans";"Sint Nicolaaskerk (H. Nicolaas binnen de Veste)";"Prins Hendrikkade 76";"Kerk";"Ook Spaans";2;"Rooms Katholieke kerk";"";"POINT(4.901005,52.3765647)";"POINT(52.3765647,4.901005)";4.901005;52.3765647;
232;"Westerkerk";"Westerkerk";"Westermarkt 60";"Kerk";"";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.8841379,52.374642)";"POINT(52.374642,4.8841379)";4.8841379;52.374642;
233;"Thomaskerk - Oecumenisch";"Thomaskerk";"Prinses Irenestraat 36";"Kerk";"Oecumenisch";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.874882,52.3419654)";"POINT(52.3419654,4.874882)";4.874882;52.3419654;
234;"Nyingma Centrum Nederland - Nyingma traditie van de Tibetaanse lama Tarthang Tulku";"Nyingma Centrum Nederland";"Reguliersgracht 25";"Onbekend";"Nyingma traditie van de Tibetaanse lama Tarthang Tulku";11;"Boeddhistische tempel";"http://www.nyingma.nl/site/page.php";"POINT(4.896209,52.3639685)";"POINT(52.3639685,4.896209)";4.896209;52.3639685;
235;"De Drie stromen";"De Drie stromen";"Renswoudestraat 75";"Kerk";"";5;"Christelijke kerk overig";"";"POINT(4.9758871,52.2975699)";"POINT(52.2975699,4.9758871)";4.9758871;52.2975699;
236;"De Drie stromen";"De Drie stromen";"Renswoudestraat 75";"Kerk";"";2;"Rooms Katholieke kerk";"";"POINT(4.9759219,52.2973639)";"POINT(52.2973639,4.9759219)";4.9759219;52.2973639;
237;"De Drie stromen - Presbyterian Church of Ghana";"De Drie stromen";"Renswoudestraat 75";"Kerk";"Presbyterian Church of Ghana";5;"Christelijke kerk overig";"";"POINT(4.9762881,52.2975737)";"POINT(52.2975737,4.9762881)";4.9762881;52.2975737;
238;"De Drie stromen - Zevende-dags adventisten";"De Drie stromen";"Renswoudestraat 75";"Kerk";"Zevende-dags adventisten";5;"Christelijke kerk overig";"http://www.adventist.nl/locatie/";"POINT(4.9762409,52.2973982)";"POINT(52.2973982,4.9762409)";4.9762409;52.2973982;
239;"Noord Kuba Camii - Islamitische Stichting Nederland";"Noord Kuba Camii";"Ribesstraat 75";"Onbekend";"Islamitische Stichting Nederland";7;"Turkse Moskee";"http://islamitischestichtingnederland.nl/onze-diensten/vestigingsadressen/";"POINT(4.9130361,52.3940665)";"POINT(52.3940665,4.9130361)";4.9130361;52.3940665;
240;"First Church of Christ Scientist";"First Church of Christ Scientist";"Richard Wagnerstraat 32";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.8791759,52.3462836)";"POINT(52.3462836,4.8791759)";4.8791759;52.3462836;
241;"Kruiskerk Hoop voor Noord - Christelijke Gereformeerde Kerken in Nederland (CGK)";"Kruiskerk Hoop voor Noord";"Rode Kruisstraat 20";"Kerk";"Christelijke Gereformeerde Kerken in Nederland (CGK)";4;"Gereformeerde kerk";"http://www.hoopvoornoord.nl/nl/home";"POINT(4.9296701,52.3951918)";"POINT(52.3951918,4.9296701)";4.9296701;52.3951918;
242;"Fatih Moskee";"Fatih Moskee";"Rozengracht 150";"Kerk";"";7;"Turkse Moskee";"";"POINT(4.8785179,52.3729903)";"POINT(52.3729903,4.8785179)";4.8785179;52.3729903;
243;"Radha Krishna Mandir - Mandir";"Radha Krishna Mandir";"Saaftingestraat 310";"Tempel";"Mandir";10;"Hindoeistische tempel";"";"POINT(4.7900102,52.3613783)";"POINT(52.3613783,4.7900102)";4.7900102;52.3613783;
244;"Guru Nanak Gurudwara - Radha Krishna tempel";"Guru Nanak Gurudwara";"Schakelstraat 21";"Tempel";"Radha Krishna tempel";12;"Sikh tempel";"";"POINT(4.8490221,52.3907553)";"POINT(52.3907553,4.8490221)";4.8490221;52.3907553;
246;"Koninkrijkszaal - Jehova`s getuigen";"Koninkrijkszaal";"Simon Stevinstraat 1";"Samenkomstfunctie";"Jehova`s getuigen";5;"Christelijke kerk overig";"";"POINT(4.928128,52.353871)";"POINT(52.353871,4.928128)";4.928128;52.353871;
247;"Oude Lutherse kerk - Evangelisch Luthers";"Oude Lutherse kerk";"Singel 411";"Kerk";"Evangelisch Luthers";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.889158,52.3683173)";"POINT(52.3683173,4.889158)";4.889158;52.3683173;
248;"Heilige Franciscus Xaveriuskerk (Krijtberg) - Paters Jezuïeten";"Heilige Franciscus Xaveriuskerk (Krijtberg)";"Singel 446";"Kerk";"Paters Jezuïeten";2;"Rooms Katholieke kerk";"";"POINT(4.888325,52.3679091)";"POINT(52.3679091,4.888325)";4.888325;52.3679091;
249;"Mashid Alkaram - Pakistaanse Moskee";"Mashid Alkaram";"Sint Willibrordusstraat 55";"Woonhuis";"Pakistaanse Moskee";8;"Surinaamse / Pakistaanse Moskee";"";"POINT(4.9026272,52.3543898)";"POINT(52.3543898,4.9026272)";4.9026272;52.3543898;
250;"Gereja Utusan Kristus (Christus Afgezanten Kerk) - Indonesisch";"Gereja Utusan Kristus (Christus Afgezanten Kerk)";"Slimmeweg 18";"Industriefunctie";"Indonesisch";1;"Evangelische- of Pinksterkerk";"";"POINT(4.7961452,52.3438498)";"POINT(52.3438498,4.7961452)";4.7961452;52.3438498;
251;"Chinese CAMA gemeente";"Chinese CAMA gemeente";"Slotermeerlaan 160";"Onbekend";"";5;"Christelijke kerk overig";"http://www.cama4u.nl";"POINT(4.8219941,52.3836638)";"POINT(52.3836638,4.8219941)";4.8219941;52.3836638;
252;"Sint Pancratiuskerk";"Sint Pancratiuskerk";"Sloterweg 1186";"Kerk";"";2;"Rooms Katholieke kerk";"";"POINT(4.7997692,52.3416373)";"POINT(52.3416373,4.7997692)";4.7997692;52.3416373;
253;"Petruskerk - Nederlands Hervormde kerk - PKN Radiogemeente?";"Petruskerk";"Spaarndammerdijk 681";"Kerk";"Nederlands Hervormde kerk - PKN Radiogemeente?";5;"Christelijke kerk overig";"";"POINT(4.8463828,52.3866965)";"POINT(52.3866965,4.8463828)";4.8463828;52.3866965;
256;"Emir Sultan,  Islamitische stichting Nederland";"Emir Sultan,  Islamitische stichting Nederland";"Spelderholt 167";"Onbekend";"";7;"Turkse Moskee";"http://islamitischestichtingnederland.nl/onze-diensten/vestigingsadressen/";"POINT(4.9441612,52.4004943)";"POINT(52.4004943,4.9441612)";4.9441612;52.4004943;
257;"Sint Dominicuskerk - Oecumenische gemeente (Basisbeweging Nederland [BBN])";"Sint Dominicuskerk";"Spuistraat 12";"Kerk";"Oecumenische gemeente (Basisbeweging Nederland [BBN])";5;"Christelijke kerk overig";"";"POINT(4.8936698,52.3771254)";"POINT(52.3771254,4.8936698)";4.8936698;52.3771254;
258;"Stichting Dhammadipa, Vipassana-meditatiecentrum - Theravada traditie in de lijn van Mahasi Sayadaw";"Stichting Dhammadipa, Vipassana-meditatiecentrum";"Sint Pieterspoortsteeg 29";"Onbekend";"Theravada traditie in de lijn van Mahasi Sayadaw";11;"Boeddhistische tempel";"http://www.dhammadipa.nl/";"POINT(4.8945119,52.3713957)";"POINT(52.3713957,4.8945119)";4.8945119;52.3713957;
259;"Winners Worship Harvest Center";"Winners Worship Harvest Center";"Theophile de Bockstraat 100";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://winnersharvest.com/";"POINT(4.8461511,52.3550955)";"POINT(52.3550955,4.8461511)";4.8461511;52.3550955;
260;"Maitreya Instituut";"Maitreya Instituut";"Tilanusstraat 8A";"Onbekend";"";11;"Boeddhistische tempel";"http://www.maitreya.nl/amsterdam-dharma-centrum-cursus-boeddhisme-boeddhistisch-tibetaans.htm";"POINT(4.9104841,52.358113)";"POINT(52.358113,4.9104841)";4.9104841;52.358113;
261;"Pinkstergemeenschap - Pinkstergemeenschap";"Pinkstergemeenschap";"Tt. vasumweg 4D";"Industriefunctie";"Pinkstergemeenschap";1;"Evangelische- of Pinksterkerk";"";"POINT(4.8986409,52.4018904)";"POINT(52.4018904,4.8986409)";4.8986409;52.4018904;
262;"De Opgang - Protestantse Kerk ";"De Opgang";"Tussen Meer 68";"Kerk(zaal) maakt deel uit van woningbouwcomplex";"Protestantse Kerk ";3;"Protestantse Kerk Nederland (PKN)";"www.osdorpsloten.nl";"POINT(4.797879,52.3580405)";"POINT(52.3580405,4.797879)";4.797879;52.3580405;
263;"Anna-Bonifatiuskerk";"Anna-Bonifatiuskerk";"Tweede Oosterparkstraat 246";"Pastorie voormalige kerk";"";2;"Rooms Katholieke kerk";"";"POINT(4.9221952,52.3584296)";"POINT(52.3584296,4.9221952)";4.9221952;52.3584296;
264;"Yeni, Stichting Islamitisch Centrum Amsterdam";"Yeni, Stichting Islamitisch Centrum Amsterdam";"Tweede van Swindenstraat 208";"Onbekend";"";7;"Turkse Moskee";"";"POINT(4.929888,52.3625418)";"POINT(52.3625418,4.929888)";4.929888;52.3625418;
265;"European Zen Center - Meester Kosen Thibaut, opvolger van meester Taisen Deshimaru (Japans)";"European Zen Center";"Valckenierstraat 35";"Onbekend";"Meester Kosen Thibaut, opvolger van meester Taisen Deshimaru (Japans)";11;"Boeddhistische tempel";"http://www.zen-deshimaru.nl/zen.aspx";"POINT(4.9100001,52.3621642)";"POINT(52.3621642,4.9100001)";4.9100001;52.3621642;
266;"De Goede Herderkerk";"De Goede Herderkerk";"Van Boshuizenstraat 420";"Kerk";"";2;"Rooms Katholieke kerk";"";"POINT(4.8789928,52.3250434)";"POINT(52.3250434,4.8789928)";4.8789928;52.3250434;
267;"Pelgrimskerk - Zevende-dags adventisten";"Pelgrimskerk";"Van Boshuizenstraat 560";"Kerk";"Zevende-dags adventisten";5;"Christelijke kerk overig";"http://www.adventist.nl/locatie/";"POINT(4.874861,52.3251845)";"POINT(52.3251845,4.874861)";4.874861;52.3251845;
268;"Pelgrimskerk";"Pelgrimskerk";"Van Boshuizenstraat 560";"Kerk";"";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.8754399,52.3252074)";"POINT(52.3252074,4.8754399)";4.8754399;52.3252074;
269;"Pinksterkerk - Pinkstergemeenten";"Pinksterkerk";"Van Boshuizenstraat 652";"Kerk";"Pinkstergemeenten";1;"Evangelische- of Pinksterkerk";"";"POINT(4.8710301,52.3249022)";"POINT(52.3249022,4.8710301)";4.8710301;52.3249022;
270;"Stichting Islamitisch Centrum Amsterdam-Noord (SICN) / Sehzade Moskee";"Stichting Islamitisch Centrum Amsterdam-Noord (SICN) / Sehzade Moskee";"van der Pekstraat 80";"Woonhuis";"";7;"Turkse Moskee";"";"POINT(4.910238,52.3892447)";"POINT(52.3892447,4.910238)";4.910238;52.3892447;
271;"Internationale Gemeenschap voor Krishna Bewustzijn (ISKCON)";"Internationale Gemeenschap voor Krishna Bewustzijn (ISKCON)";"van Hilligaertstraat 17";"Onbekend";"";10;"Hindoeistische tempel";"http://www.harekrishna.nl/amsterdam/";"POINT(4.8876922,52.3498427)";"POINT(52.3498427,4.8876922)";4.8876922;52.3498427;
272;"Moskee An Nour";"Moskee An Nour";"Van Kinsbergenstraat 55";"Kerk";"";6;"Marokkaanse Moskee";"";"POINT(4.8594658,52.3685919)";"POINT(52.3685919,4.8594658)";4.8594658;52.3685919;
273;"Regenbooggemeente - Protestantse Kerk ";"Regenbooggemeente";"Van Ollefenstraat 9";"Kerk";"Protestantse Kerk ";3;"Protestantse Kerk Nederland (PKN)";"www.regenbooggemeente.nl";"POINT(4.825341,52.3547751)";"POINT(52.3547751,4.825341)";4.825341;52.3547751;
274;"Oranjekerk";"Oranjekerk";"Van Ostadestraat 151";"Kerk";"";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.8954971,52.3527686)";"POINT(52.3527686,4.8954971)";4.8954971;52.3527686;
275;"Moskee Arrahman";"Moskee Arrahman";"Van Ostadestraat 393";"Woonhuis";"";6;"Marokkaanse Moskee";"";"POINT(4.9044292,52.3546721)";"POINT(52.3546721,4.9044292)";4.9044292;52.3546721;
276;"Yan Chuen Church - Yan Chuen Church";"Yan Chuen Church";"Van Slingelandtstraat 31";"Industriefunctie";"Yan Chuen Church";1;"Evangelische- of Pinksterkerk";"";"POINT(4.8656428,52.3827597)";"POINT(52.3827597,4.8656428)";4.8656428;52.3827597;
277;"Centrum voor Leven in Aandacht - Zenmeester Thich Nhat Hanh";"Centrum voor Leven in Aandacht";"van Walbeeckstraat 66";"Onbekend";"Zenmeester Thich Nhat Hanh";11;"Boeddhistische tempel";"http://www.aandacht.net/sanghas/sanghas-in-nl/noord-holland/amsterdam";"POINT(4.8512208,52.3619124)";"POINT(52.3619124,4.8512208)";4.8512208;52.3619124;
278;"Nieuwe Weteringkerk - Vrije Evangelische Gemeenten";"Nieuwe Weteringkerk";"Veluwelaan 20";"Kerk";"Vrije Evangelische Gemeenten";1;"Evangelische- of Pinksterkerk";"";"POINT(4.8969972,52.339131)";"POINT(52.339131,4.8969972)";4.8969972;52.339131;
279;"Vondelkerk - Liberty church  - Christelijke gemeenschap ";"Vondelkerk - Liberty church ";"Vondelstraat 120B";"Kerk";"Christelijke gemeenschap ";1;"Evangelische- of Pinksterkerk";"http://www.libertychurch.amsterdam/";"POINT(4.8739092,52.3613593)";"POINT(52.3613593,4.8739092)";4.8739092;52.3613593;
280;"Koninkrijkszaal - Jehova`s getuigen";"Koninkrijkszaal";"Voorburgstraat 246";"Samenkomstfunctie";"Jehova`s getuigen";5;"Christelijke kerk overig";"";"POINT(4.8444388,52.3487097)";"POINT(52.3487097,4.8444388)";4.8444388;52.3487097;
281;"Waalse Kerk - Classis Waalse Hervormde kerk";"Waalse Kerk";"Walenpleintje 159";"Kerk";"Classis Waalse Hervormde kerk";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.8971288,52.3710829)";"POINT(52.3710829,4.8971288)";4.8971288;52.3710829;
282;"Moskee Es Salam";"Moskee Es Salam";"Waterschapstraat 1";"Moskee";"";6;"Marokkaanse Moskee";"";"POINT(4.7867649,52.3581282)";"POINT(52.3581282,4.7867649)";4.7867649;52.3581282;
283;"Al Kabir Moskee Amsterdam - Raad van Marokkaanse Moskeeën Noord-Holland (RVM)";"Al Kabir Moskee Amsterdam";"Weesperzijde 74";"Boekbinderij/autobedrijf";"Raad van Marokkaanse Moskeeën Noord-Holland (RVM)";6;"Marokkaanse Moskee";"";"POINT(4.9099171,52.3534934)";"POINT(52.3534934,4.9099171)";4.9099171;52.3534934;
284;"Zen meditatie Amsterdam - Japanse /Vietnamese traditie, Centrum de Ruimte";"Zen meditatie Amsterdam";"Weesperzijde 79A";"Onbekend";"Japanse /Vietnamese traditie, Centrum de Ruimte";11;"Boeddhistische tempel";"http://www.zenmeditatieamsterdam.nl (Japanse / Vietnamese traditie)";"POINT(4.9106691,52.3529402)";"POINT(52.3529402,4.9106691)";4.9106691;52.3529402;
285;"Joodse Gemeente Amsterdam (NIHS) - Asjkenazisch Orthodox-Joodse Gemeenschap";"Joodse Gemeente Amsterdam (NIHS)";"Weldam 1";"Bedrijfspand";"Asjkenazisch Orthodox-Joodse Gemeenschap";9;"Joodse synagoge";"";"POINT(4.8610909,52.3317687)";"POINT(52.3317687,4.8610909)";4.8610909;52.3317687;
286;"Tituskapel - Gereformeerde kerk vrijgemaakt (GKV)";"Tituskapel";"Wijnand Nuijenstraat 1";"Kerk";"Gereformeerde kerk vrijgemaakt (GKV)";4;"Gereformeerde kerk";"";"POINT(4.8410108,52.3659941)";"POINT(52.3659941,4.8410108)";4.8410108;52.3659941;
287;"De Bron (Rehobothkerk) - Nederlands Gereformeerde kerk (NGK) / Christelijke Gereformeerde Kerken in Nederland (CGK)";"De Bron (Rehobothkerk)";"Willem Kloosstraat 1";"Kerk";"Nederlands Gereformeerde kerk (NGK) / Christelijke Gereformeerde Kerken in Nederland (CGK)";4;"Gereformeerde kerk";" https://www.gemeentedebron.nl/ ";"POINT(4.8227141,52.375569)";"POINT(52.375569,4.8227141)";4.8227141;52.375569;
288;"Moskee Badr - Raad van Marokkaanse Moskeeën Noord-Holland (RVM)";"Moskee Badr";"Willem Leevendstraat 7";"School";"Raad van Marokkaanse Moskeeën Noord-Holland (RVM)";6;"Marokkaanse Moskee";"";"POINT(4.84671,52.3839499)";"POINT(52.3839499,4.84671)";4.84671;52.3839499;
289;"Sjoel, NIHS West";"Sjoel, NIHS West";"Willem Schoutenstraat 8";"Onbekend";"";9;"Joodse synagoge";"http://nihs.nl/synagoges/nihs-synagoges/";"POINT(4.8546631,52.367478)";"POINT(52.367478,4.8546631)";4.8546631;52.367478;
290;"Koninkrijkszaal - Jehova`s getuigen";"Koninkrijkszaal";"Wiltzanghlaan 90";"Samenkomstfunctie";"Jehova`s getuigen";5;"Christelijke kerk overig";"";"POINT(4.8400209,52.3820769)";"POINT(52.3820769,4.8400209)";4.8400209;52.3820769;
291;"Vaidiek Arya Samaj (Buurthuis Gein)";"Vaidiek Arya Samaj (Buurthuis Gein)";"Wisseloord 83";"Onbekend";"";10;"Hindoeistische tempel";"http://www.vasamsterdam.nl/";"POINT(4.9870531,52.2959334)";"POINT(52.2959334,4.9870531)";4.9870531;52.2959334;
292;"Living World Outreach Ministry";"Living World Outreach Ministry";"Witbolstraat 11";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"https://nl-nl.facebook.com/thelivinghouse";"POINT(4.9083731,52.3945662)";"POINT(52.3945662,4.9083731)";4.9083731;52.3945662;
293;"Christ Worship Center";"Christ Worship Center";"Witbolstraat 9B";"Industriefunctie";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9088142,52.3945967)";"POINT(52.3945967,4.9088142)";4.9088142;52.3945967;
294;"Volle Evangelie Gemeente Maawar Saron";"Volle Evangelie Gemeente Maawar Saron";"Woestduinstraat 16-22";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"https://nl-nl.facebook.com/mawarsaronamsterdam";"POINT(4.8474362,52.3539816)";"POINT(52.3539816,4.8474362)";4.8474362;52.3539816;
