OBJECTNUMMER;Functie;Functie_gecorrigeerd;VOT_ID;Adres;Aantal_adressen;Gebruiksdoel;WOZ_gebruik;Hoofdfunctie;Hoofdfunctie_ID;Gebruiksoppervlakte;Footprint;Oppervlakte_gecorrigeerd;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
11645;"overige gebruiksfunctie";0;"0363010012063294";"Hornweg 71";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";2743;0;0;"POINT(4.8091,52.4001)";"POINT(52.4001,4.8091)";4.8091;52.4001;
11646;"productie (fabriek)";0;"0363010012090129";"Hornweg 8A";0;"bijeenkomstfunctie";"productie (fabriek)";"Bedrijven";"B";103;0;0;"POINT(4.787909,52.41442)";"POINT(52.41442,4.787909)";4.787909;52.41442;
11647;"winkelfunctie";0;"0363010012132120";"Hortensiastraat 20";0;"winkelfunctie";"";"Detailhandel";"D";128;0;0;"POINT(4.914598,52.394528)";"POINT(52.394528,4.914598)";4.914598;52.394528;
11648;"cafetaria / snackbar";0;"0363010000673345";"Hortensiastraat 31/H";0;"winkelfunctie";"cafetaria / snackbar";"Horeca";"H";68;0;0;"POINT(4.914719,52.394259)";"POINT(52.394259,4.914719)";4.914719;52.394259;
11649;"hogeschool / universiteit";0;"0363010000673347";"Hortusplantsoen 1";0;"onderwijsfunctie";"hogeschool / universiteit";"Onderwijs";"O";4132;0;0;"POINT(4.905576,52.366235)";"POINT(52.366235,4.905576)";4.905576;52.366235;
11650;"kantoor";0;"0363010000673354";"Hortusplantsoen 8/H";0;"industriefunctie";"kantoor";"Kantoren";"K";236;0;0;"POINT(4.907193,52.366089)";"POINT(52.366089,4.907193)";4.907193;52.366089;
11651;"basisschool";0;"0363010000673393";"Houdringe 2";0;"onderwijsfunctie";"basisschool";"Onderwijs";"O";1964;0;0;"POINT(4.945845,52.400616)";"POINT(52.400616,4.945845)";4.945845;52.400616;
11652;"café / bar / restaurant";0;"0363010012115085";"Houthavenkade 103";0;"bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";493;0;0;"POINT(4.880013,52.395985)";"POINT(52.395985,4.880013)";4.880013;52.395985;
11653;"winkel";0;"0363010012107546";"Houthavenkade 140";0;"overige gebruiksfunctie";"winkel";"Detailhandel";"D";1923;0;0;"POINT(4.876683,52.3942)";"POINT(52.3942,4.876683)";4.876683;52.3942;
11654;"kantoor";0;"0363010012084882";"Houthavenkade 23A";0;"winkelfunctie";"kantoor";"Kantoren";"K";22;0;0;"POINT(4.877854,52.394628)";"POINT(52.394628,4.877854)";4.877854;52.394628;
