OBJECTNUMMER;Functie;Functie_gecorrigeerd;VOT_ID;Adres;Aantal_adressen;Gebruiksdoel;WOZ_gebruik;Hoofdfunctie;Hoofdfunctie_ID;Gebruiksoppervlakte;Footprint;Oppervlakte_gecorrigeerd;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"kerk";0;"0363010010902423";"Aakstraat 60";0;"bijeenkomstfunctie";"kerk";"Religie";"R";0;0;0;"POINT(4.91271,52.40757)";"POINT(52.40757,4.91271)";4.91271;52.40757;
2;"kantoor";0;"0363010012111639";"Aalbersestraat 244";0;"kantoorfunctie";"kantoor";"Kantoren";"K";239;0;0;"POINT(4.798443,52.379368)";"POINT(52.379368,4.798443)";4.798443;52.379368;
3;"wijk- / buurtcentrum";0;"0363010000557297";"Aalbersestraat 248A";0;"bijeenkomstfunctie";"wijk- / buurtcentrum";"Wijk / buurtcentrum";"G";347;0;0;"POINT(4.798156,52.379941)";"POINT(52.379941,4.798156)";4.798156;52.379941;
4;"cafetaria / snackbar";0;"0363010000557315";"Aalbersestraat 258";0;"bijeenkomstfunctie";"cafetaria / snackbar";"Horeca";"H";76;0;0;"POINT(4.798218,52.380813)";"POINT(52.380813,4.798218)";4.798218;52.380813;
5;"cafetaria / snackbar";0;"0363010000557316";"Aalbersestraat 260";0;"bijeenkomstfunctie";"cafetaria / snackbar";"Horeca";"H";0;0;0;"POINT(4.798217,52.380858)";"POINT(52.380858,4.798217)";4.798217;52.380858;
6;"winkel";0;"0363010001010004";"Aalbersestraat 273";0;"winkelfunctie";"winkel";"Detailhandel";"D";1075;0;0;"POINT(4.797498,52.381942)";"POINT(52.381942,4.797498)";4.797498;52.381942;
7;"winkel";0;"0363010001004477";"Aalbersestraat 275";0;"winkelfunctie";"winkel";"Detailhandel";"D";0;0;0;"POINT(4.797497,52.382014)";"POINT(52.382014,4.797497)";4.797497;52.382014;
8;"winkel";0;"0363010000557349";"Aalbersestraat 276";0;"kantoorfunctie";"winkel";"Detailhandel";"D";139;0;0;"POINT(4.798194,52.381523)";"POINT(52.381523,4.798194)";4.798194;52.381523;
9;"café / bar / restaurant";0;"0363010012097276";"Aalbersestraat 290";0;"bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";146;0;0;"POINT(4.798171,52.382143)";"POINT(52.382143,4.798171)";4.798171;52.382143;
10;"kantoor";0;"0363010012117414";"Aalbersestraat 74D";0;"kantoorfunctie";"kantoor";"Kantoren";"K";76;0;0;"POINT(4.798077,52.377065)";"POINT(52.377065,4.798077)";4.798077;52.377065;
11;"café / bar / restaurant";0;"0363010000557400";"Aalsmeerweg 1";0;"bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";115;0;0;"POINT(4.849691,52.350851)";"POINT(52.350851,4.849691)";4.849691;52.350851;
12;"atelier / werkruimte";0;"0363010000557762";"Aalsmeerweg 103/H";0;"industriefunctie";"atelier / werkruimte";"Atelier / werkruimte";"F";1716;0;0;"POINT(4.847776,52.347822)";"POINT(52.347822,4.847776)";4.847776;52.347822;
13;"kantoor";0;"0363010000557787";"Aalsmeerweg 108A";0;"woonfunctie|industriefunctie";"kantoor";"Kantoren";"K";179;0;0;"POINT(4.846721,52.3477)";"POINT(52.3477,4.846721)";4.846721;52.3477;
14;"winkel";0;"0363010000557843";"Aalsmeerweg 124";0;"winkelfunctie";"winkel";"Detailhandel";"D";64;0;0;"POINT(4.846697,52.347278)";"POINT(52.347278,4.846697)";4.846697;52.347278;
15;"kantoor";0;"0363010000993641";"Aalsmeerweg 133";0;"winkelfunctie";"kantoor";"Kantoren";"K";55;0;0;"POINT(4.847065,52.347136)";"POINT(52.347136,4.847065)";4.847065;52.347136;
16;"cafetaria / snackbar";0;"0363010000557445";"Aalsmeerweg 14/H";0;"bijeenkomstfunctie";"cafetaria / snackbar";"Horeca";"H";75;0;0;"POINT(4.849254,52.35057)";"POINT(52.35057,4.849254)";4.849254;52.35057;
17;"winkel";0;"0363010000557461";"Aalsmeerweg 18/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";106;0;0;"POINT(4.849241,52.350462)";"POINT(52.350462,4.849241)";4.849241;52.350462;
18;"kinderdagverblijf";0;"0363010000557465";"Aalsmeerweg 19/H";0;"bijeenkomstfunctie";"dagverblijf";"Onderwijs";"O";121;0;0;"POINT(4.849712,52.350356)";"POINT(52.350356,4.849712)";4.849712;52.350356;
19;"cafetaria / snackbar";0;"0363010000557473";"Aalsmeerweg 21/H";0;"winkelfunctie";"cafetaria / snackbar";"Horeca";"H";99;0;0;"POINT(4.849712,52.35032)";"POINT(52.35032,4.849712)";4.849712;52.35032;
20;"winkel";0;"0363010000557477";"Aalsmeerweg 22/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";54;0;0;"POINT(4.849242,52.350354)";"POINT(52.350354,4.849242)";4.849242;52.350354;
21;"kinderdagverblijf";0;"0363010000557481";"Aalsmeerweg 23/H";0;"bijeenkomstfunctie";"dagverblijf";"Onderwijs";"O";124;0;0;"POINT(4.849698,52.350257)";"POINT(52.350257,4.849698)";4.849698;52.350257;
22;"kinderdagverblijf";0;"0363010000557485";"Aalsmeerweg 24/H";0;"winkelfunctie";"crèche / peuterspeelzaal";"Onderwijs";"O";50;0;0;"POINT(4.849243,52.350291)";"POINT(52.350291,4.849243)";4.849243;52.350291;
23;"winkel";0;"0363010000557489";"Aalsmeerweg 25/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";124;0;0;"POINT(4.849714,52.350204)";"POINT(52.350204,4.849714)";4.849714;52.350204;
24;"kinderdagverblijf";0;"0363010000557497";"Aalsmeerweg 27/H";0;"bijeenkomstfunctie";"dagverblijf";"Onderwijs";"O";132;0;0;"POINT(4.8497,52.350141)";"POINT(52.350141,4.8497)";4.8497;52.350141;
25;"winkel";0;"0363010000557509";"Aalsmeerweg 30/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";121;0;0;"POINT(4.84923,52.350138)";"POINT(52.350138,4.84923)";4.84923;52.350138;
26;"winkel";0;"0363010000557520";"Aalsmeerweg 33/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";100;0;0;"POINT(4.849673,52.34997)";"POINT(52.34997,4.849673)";4.849673;52.34997;
27;"café / bar / restaurant";0;"0363010000557524";"Aalsmeerweg 34/H";0;"bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";47;0;0;"POINT(4.849217,52.350013)";"POINT(52.350013,4.849217)";4.849217;52.350013;
28;"café / bar / restaurant";0;"0363010000557532";"Aalsmeerweg 36/H";0;"kantoorfunctie";"café / bar / restaurant";"Horeca";"H";40;0;0;"POINT(4.849203,52.349959)";"POINT(52.349959,4.849203)";4.849203;52.349959;
29;"café / bar / restaurant";0;"0363010000557540";"Aalsmeerweg 38/H";0;"bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";88;0;0;"POINT(4.849189,52.349896)";"POINT(52.349896,4.849189)";4.849189;52.349896;
30;"cafetaria / snackbar";0;"0363010000557544";"Aalsmeerweg 39/H";0;"kantoorfunctie";"cafetaria / snackbar";"Horeca";"H";52;0;0;"POINT(4.84963,52.349826)";"POINT(52.349826,4.84963)";4.84963;52.349826;
31;"winkel";0;"0363010000557405";"Aalsmeerweg 4/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";50;0;0;"POINT(4.849236,52.35084)";"POINT(52.35084,4.849236)";4.849236;52.35084;
32;"kantoor";0;"0363010000557548";"Aalsmeerweg 40/H";0;"woonfunctie";"kantoor";"Kantoren";"K";57;0;0;"POINT(4.849146,52.34985)";"POINT(52.34985,4.849146)";4.849146;52.34985;
33;"cafetaria / snackbar";0;"0363010000557552";"Aalsmeerweg 41/H";0;"bijeenkomstfunctie";"cafetaria / snackbar";"Horeca";"H";105;0;0;"POINT(4.849587,52.349754)";"POINT(52.349754,4.849587)";4.849587;52.349754;
34;"winkel";0;"0363010000557568";"Aalsmeerweg 45/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";61;0;0;"POINT(4.84953,52.349654)";"POINT(52.349654,4.84953)";4.84953;52.349654;
35;"winkel";0;"0363010000557598";"Aalsmeerweg 53/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";67;0;0;"POINT(4.849356,52.349447)";"POINT(52.349447,4.849356)";4.849356;52.349447;
36;"winkel";0;"0363010011122376";"Aalsmeerweg 54/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";200;0;0;"POINT(4.848654,52.349273)";"POINT(52.349273,4.848654)";4.848654;52.349273;
37;"winkel";0;"0363010000557606";"Aalsmeerweg 55/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";45;0;0;"POINT(4.849283,52.349393)";"POINT(52.349393,4.849283)";4.849283;52.349393;
38;"winkel";0;"0363010000557642";"Aalsmeerweg 65/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";129;0;0;"POINT(4.848848,52.34895)";"POINT(52.34895,4.848848)";4.848848;52.34895;
39;"winkel";0;"0363010000557650";"Aalsmeerweg 67/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";0;0;0;"POINT(4.848805,52.348905)";"POINT(52.348905,4.848805)";4.848805;52.348905;
40;"kantoor";0;"0363010000557686";"Aalsmeerweg 78";0;"winkelfunctie";"kantoor";"Kantoren";"K";49;0;0;"POINT(4.8479,52.348506)";"POINT(52.348506,4.8479)";4.8479;52.348506;
41;"winkel";0;"0363010000794676";"Aalsmeerweg 79";0;"woonfunctie";"winkel";"Detailhandel";"D";84;0;0;"POINT(4.84837,52.348454)";"POINT(52.348454,4.84837)";4.84837;52.348454;
42;"winkel";0;"0363010000557421";"Aalsmeerweg 8/H";0;"winkelfunctie|woonfunctie";"winkel";"Detailhandel";"D";24;0;0;"POINT(4.849252,52.350741)";"POINT(52.350741,4.849252)";4.849252;52.350741;
43;"kantoor";0;"0363010000557707";"Aalsmeerweg 85";0;"kantoorfunctie";"kantoor";"Kantoren";"K";51;0;0;"POINT(4.848138,52.348237)";"POINT(52.348237,4.848138)";4.848138;52.348237;
44;"cafetaria / snackbar";0;"0363010001026049";"Aalsmeerweg 91H";0;"bijeenkomstfunctie";"cafetaria / snackbar";"Horeca";"H";67;0;0;"POINT(4.848007,52.34812)";"POINT(52.34812,4.848007)";4.848007;52.34812;
45;"bijeenkomstfunctie";0;"0363010000557738";"Aalsmeerweg 96/H";0;"bijeenkomstfunctie";"";"Onduidelijke functie";"Q";100;0;0;"POINT(4.847464,52.348117)";"POINT(52.348117,4.847464)";4.847464;52.348117;
46;"bijeenkomstfunctie";0;"0363010012074256";"Aambeeldstraat 10";0;"bijeenkomstfunctie";"bedrijf";"Onduidelijke functie";"Q";990;0;0;"POINT(4.928247,52.384525)";"POINT(52.384525,4.928247)";4.928247;52.384525;
47;"opslag / distributie";0;"0363010012123892";"Aambeeldstraat 12";0;"industriefunctie";"opslag / distributie";"Opslag en distributie";"E";3405;0;0;"POINT(4.928234,52.384318)";"POINT(52.384318,4.928234)";4.928234;52.384318;
48;"overige gebruiksfunctie";0;"0363010012074254";"Aambeeldstraat 14";0;"overige gebruiksfunctie";"";"Onduidelijke functie";"Q";106;0;0;"POINT(4.928059,52.384245)";"POINT(52.384245,4.928059)";4.928059;52.384245;
49;"opslag / distributie";0;"0363010012074259";"Aambeeldstraat 18";0;"kantoorfunctie";"opslag / distributie";"Opslag en distributie";"E";217;0;0;"POINT(4.928252,52.384039)";"POINT(52.384039,4.928252)";4.928252;52.384039;
50;"opslag / distributie";0;"0363010012074258";"Aambeeldstraat 20";0;"kantoorfunctie";"opslag / distributie";"Opslag en distributie";"E";514;0;0;"POINT(4.928505,52.383735)";"POINT(52.383735,4.928505)";4.928505;52.383735;
51;"industriefunctie";0;"0363010012074257";"Aambeeldstraat 22";0;"industriefunctie";"";"Bedrijven";"B";4044;0;0;"POINT(4.928623,52.383699)";"POINT(52.383699,4.928623)";4.928623;52.383699;
52;"cultuur";0;"0363010012074250";"Aambeeldstraat 24";0;"bijeenkomstfunctie";"cultuur";"Cultuur";"C";585;0;0;"POINT(4.929008,52.383386)";"POINT(52.383386,4.929008)";4.929008;52.383386;
53;"industriefunctie";0;"0363010012074249";"Aambeeldstraat 26";0;"industriefunctie";"bedrijf";"Bedrijven";"B";897;0;0;"POINT(4.929404,52.383469)";"POINT(52.383469,4.929404)";4.929404;52.383469;
54;"opslag / distributie";0;"0363010012074248";"Aambeeldstraat 28";0;"kantoorfunctie";"opslag / distributie";"Opslag en distributie";"E";589;0;0;"POINT(4.929696,52.383569)";"POINT(52.383569,4.929696)";4.929696;52.383569;
55;"industriefunctie";0;"0363010001035971";"Aambeeldstraat 3";0;"industriefunctie";"bedrijf";"Bedrijven";"B";2751;0;0;"POINT(4.926028,52.384633)";"POINT(52.384633,4.926028)";4.926028;52.384633;
56;"café / bar / restaurant";0;"0363010012074253";"Aambeeldstraat 30";0;"bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";1110;0;0;"POINT(4.930136,52.383705)";"POINT(52.383705,4.930136)";4.930136;52.383705;
57;"opslag / distributie";0;"0363010012074252";"Aambeeldstraat 32";0;"industriefunctie";"opslag / distributie";"Opslag en distributie";"E";2155;0;0;"POINT(4.930309,52.383984)";"POINT(52.383984,4.930309)";4.930309;52.383984;
58;"opslag / distributie";0;"0363010012074251";"Aambeeldstraat 34";0;"industriefunctie";"opslag / distributie";"Opslag en distributie";"E";2155;0;0;"POINT(4.930571,52.384255)";"POINT(52.384255,4.930571)";4.930571;52.384255;
59;"café / bar / restaurant";0;"0363010012099852";"Aambeeldstraat 36";0;"bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";350;0;0;"POINT(4.930929,52.383717)";"POINT(52.383717,4.930929)";4.930929;52.383717;
60;"showroom / werkplaats / garage";0;"0363010001035972";"Aambeeldstraat 5";0;"industriefunctie";"showroom / werkplaats / garage";"Detailhandel";"D";1020;0;0;"POINT(4.926308,52.384535)";"POINT(52.384535,4.926308)";4.926308;52.384535;
61;"showroom / werkplaats / garage";0;"0363010001035973";"Aambeeldstraat 7";0;"industriefunctie";"showroom / werkplaats / garage";"Detailhandel";"D";944;0;0;"POINT(4.926779,52.384429)";"POINT(52.384429,4.926779)";4.926779;52.384429;
62;"kantoorfunctie";0;"0363010000557862";"Aambeeldstraat 8";0;"kantoorfunctie";"overig bedrijf";"Kantoren";"K";1762;0;0;"POINT(4.926329,52.383933)";"POINT(52.383933,4.926329)";4.926329;52.383933;
63;"showroom / werkplaats / garage";0;"0363010001035974";"Aambeeldstraat 9";0;"industriefunctie";"showroom / werkplaats / garage";"Detailhandel";"D";981;1;0;"POINT(4.92719,52.384494)";"POINT(52.384494,4.92719)";4.92719;52.384494;
64;"overige gebruiksfunctie";0;"0363010001166729";"Aaron Coplandstraat 10";0;"overige gebruiksfunctie";"bedrijf";"Bedrijven";"B";274;0;0;"POINT(4.871412,52.337043)";"POINT(52.337043,4.871412)";4.871412;52.337043;
65;"kantoor";0;"0363010001166727";"Aaron Coplandstraat 6";0;"winkelfunctie";"kantoor";"Kantoren";"K";37;0;0;"POINT(4.87138,52.33725)";"POINT(52.33725,4.87138)";4.87138;52.33725;
66;"industriefunctie";0;"0363010001025158";"Abberdaan 10";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";422;0;0;"POINT(4.790087,52.392439)";"POINT(52.392439,4.790087)";4.790087;52.392439;
67;"industriefunctie";0;"0363010001001102";"Abberdaan 114";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";1233;0;0;"POINT(4.787757,52.39196)";"POINT(52.39196,4.787757)";4.787757;52.39196;
68;"industriefunctie";0;"0363010000998511";"Abberdaan 162";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.786597,52.391963)";"POINT(52.391963,4.786597)";4.786597;52.391963;
69;"industriefunctie";0;"0363010000998512";"Abberdaan 164";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.786596,52.392026)";"POINT(52.392026,4.786596)";4.786596;52.392026;
70;"industriefunctie";0;"0363010000998513";"Abberdaan 166";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.78661,52.39208)";"POINT(52.39208,4.78661)";4.78661;52.39208;
71;"industriefunctie";0;"0363010000998514";"Abberdaan 168";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";175;0;0;"POINT(4.786624,52.392143)";"POINT(52.392143,4.786624)";4.786624;52.392143;
72;"industriefunctie";0;"0363010000998515";"Abberdaan 170";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.786608,52.392205)";"POINT(52.392205,4.786608)";4.786608;52.392205;
73;"industriefunctie";0;"0363010000998516";"Abberdaan 172";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.786607,52.392268)";"POINT(52.392268,4.786607)";4.786607;52.392268;
74;"industriefunctie";0;"0363010000998517";"Abberdaan 174";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.786401,52.392276)";"POINT(52.392276,4.786401)";4.786401;52.392276;
75;"industriefunctie";0;"0363010000998518";"Abberdaan 176";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.786417,52.392204)";"POINT(52.392204,4.786417)";4.786417;52.392204;
76;"industriefunctie";0;"0363010000998519";"Abberdaan 178";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.786403,52.392141)";"POINT(52.392141,4.786403)";4.786403;52.392141;
77;"industriefunctie";0;"0363010000998520";"Abberdaan 180";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.786404,52.392079)";"POINT(52.392079,4.786404)";4.786404;52.392079;
78;"industriefunctie";0;"0363010000998521";"Abberdaan 182";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.78639,52.392016)";"POINT(52.392016,4.78639)";4.78639;52.392016;
79;"industriefunctie";0;"0363010000998522";"Abberdaan 184";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";204;0;0;"POINT(4.786406,52.391962)";"POINT(52.391962,4.786406)";4.786406;52.391962;
80;"industriefunctie";0;"0363010000998523";"Abberdaan 186";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.785906,52.391959)";"POINT(52.391959,4.785906)";4.785906;52.391959;
81;"industriefunctie";0;"0363010000998524";"Abberdaan 188";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.785891,52.392013)";"POINT(52.392013,4.785891)";4.785891;52.392013;
82;"industriefunctie";0;"0363010000998525";"Abberdaan 190";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.785919,52.392085)";"POINT(52.392085,4.785919)";4.785919;52.392085;
83;"industriefunctie";0;"0363010000998526";"Abberdaan 192";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.785904,52.392139)";"POINT(52.392139,4.785904)";4.785904;52.392139;
84;"industriefunctie";0;"0363010000998527";"Abberdaan 194";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.785903,52.392202)";"POINT(52.392202,4.785903)";4.785903;52.392202;
85;"industriefunctie";0;"0363010000998528";"Abberdaan 196";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.785917,52.392265)";"POINT(52.392265,4.785917)";4.785917;52.392265;
86;"industriefunctie";0;"0363010000998529";"Abberdaan 198";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.785696,52.392273)";"POINT(52.392273,4.785696)";4.785696;52.392273;
87;"industriefunctie";0;"0363010000998530";"Abberdaan 200";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.785697,52.392201)";"POINT(52.392201,4.785697)";4.785697;52.392201;
88;"industriefunctie";0;"0363010000998531";"Abberdaan 202";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.785698,52.392156)";"POINT(52.392156,4.785698)";4.785698;52.392156;
89;"industriefunctie";0;"0363010000998532";"Abberdaan 204";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";200;0;0;"POINT(4.785684,52.392084)";"POINT(52.392084,4.785684)";4.785684;52.392084;
90;"industriefunctie";0;"0363010000998533";"Abberdaan 206";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";400;0;0;"POINT(4.7857,52.392021)";"POINT(52.392021,4.7857)";4.7857;52.392021;
91;"industriefunctie";0;"0363010000998534";"Abberdaan 208";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";102;1;0;"POINT(4.785686,52.391949)";"POINT(52.391949,4.785686)";4.785686;52.391949;
92;"kantoorfunctie";0;"0363010001006847";"Abberdaan 210";0;"kantoorfunctie";"overig bedrijf";"Kantoren";"K";745;0;0;"POINT(4.784979,52.392089)";"POINT(52.392089,4.784979)";4.784979;52.392089;
93;"industriefunctie";0;"0363010001006846";"Abberdaan 212";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";715;0;0;"POINT(4.785007,52.39217)";"POINT(52.39217,4.785007)";4.785007;52.39217;
94;"industriefunctie";0;"0363010001038267";"Abberdaan 2A";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";128;0;0;"POINT(4.789873,52.39197)";"POINT(52.39197,4.789873)";4.789873;52.39197;
95;"industriefunctie";0;"0363010001038268";"Abberdaan 2B";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";128;0;0;"POINT(4.78999,52.391971)";"POINT(52.391971,4.78999)";4.78999;52.391971;
96;"industriefunctie";0;"0363010001038269";"Abberdaan 2C";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";128;0;0;"POINT(4.790078,52.391971)";"POINT(52.391971,4.790078)";4.790078;52.391971;
97;"industriefunctie";0;"0363010001038270";"Abberdaan 2D";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";176;0;0;"POINT(4.790181,52.391972)";"POINT(52.391972,4.790181)";4.790181;52.391972;
98;"industriefunctie";0;"0363010001001111";"Abberdaan 42";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";499;0;0;"POINT(4.789535,52.391986)";"POINT(52.391986,4.789535)";4.789535;52.391986;
99;"industriefunctie";0;"0363010001026570";"Abberdaan 44";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";535;0;0;"POINT(4.789545,52.392274)";"POINT(52.392274,4.789545)";4.789545;52.392274;
100;"industriefunctie";0;"0363010001025159";"Abberdaan 50";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";449;0;0;"POINT(4.7884,52.392205)";"POINT(52.392205,4.7884)";4.7884;52.392205;
101;"industriefunctie";0;"0363010001025160";"Abberdaan 52";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";357;0;0;"POINT(4.788752,52.392243)";"POINT(52.392243,4.788752)";4.788752;52.392243;
102;"industriefunctie";0;"0363010001025161";"Abberdaan 54";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";452;0;0;"POINT(4.788987,52.392244)";"POINT(52.392244,4.788987)";4.788987;52.392244;
103;"atelier / werkruimte";0;"0363010001025162";"Abberdaan 56";0;"industriefunctie";"atelier / werkruimte";"Atelier / werkruimte";"F";452;0;0;"POINT(4.788961,52.39202)";"POINT(52.39202,4.788961)";4.788961;52.39202;
104;"industriefunctie";0;"0363010001025163";"Abberdaan 58";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";357;0;0;"POINT(4.788741,52.392018)";"POINT(52.392018,4.788741)";4.788741;52.392018;
105;"industriefunctie";0;"0363010001025156";"Abberdaan 6";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";522;0;0;"POINT(4.790032,52.392142)";"POINT(52.392142,4.790032)";4.790032;52.392142;
106;"productie (fabriek)";0;"0363010001025164";"Abberdaan 60";0;"industriefunctie";"productie (fabriek)";"Bedrijven";"B";495;0;0;"POINT(4.788402,52.392062)";"POINT(52.392062,4.788402)";4.788402;52.392062;
107;"industriefunctie";0;"0363010001025157";"Abberdaan 8";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";516;0;0;"POINT(4.790044,52.392304)";"POINT(52.392304,4.790044)";4.790044;52.392304;
108;"industriefunctie";0;"0363010001005012";"Abcouderstraatweg 130B";0;"industriefunctie";"bedrijf";"Bedrijven";"B";2880;0;0;"POINT(4.965358,52.281494)";"POINT(52.281494,4.965358)";4.965358;52.281494;
109;"sport / recreatie";0;"0363010000557996";"Abcouderstraatweg 46";0;"gezondheidszorgfunctie";"sport / recreatie";"Sport en recreatie";"S";220;0;0;"POINT(4.959765,52.2871)";"POINT(52.2871,4.959765)";4.959765;52.2871;
110;"clubhuis";0;"0363010012116716";"Abcouderstraatweg 77";0;"bijeenkomstfunctie|kantoorfunctie";"clubhuis";"Sport en recreatie";"S";49;0;0;"POINT(4.963573,52.2859)";"POINT(52.2859,4.963573)";4.963573;52.2859;
111;"opslag / distributie";0;"0363010000557999";"Abcouderstraatweg 79";0;"overige gebruiksfunctie|woonfunctie";"opslag / distributie";"Opslag en distributie";"E";119;0;0;"POINT(4.96453,52.283828)";"POINT(52.283828,4.96453)";4.96453;52.283828;
112;"sport / recreatie";0;"0363010001020594";"Abe Lenstralaan 10";0;"sportfunctie";"sport / recreatie";"Sport en recreatie";"S";621;0;0;"POINT(4.793812,52.373107)";"POINT(52.373107,4.793812)";4.793812;52.373107;
113;"sport / recreatie";0;"0363010001020596";"Abe Lenstralaan 14";0;"sportfunctie";"sport / recreatie";"Sport en recreatie";"S";202;0;0;"POINT(4.796091,52.371824)";"POINT(52.371824,4.796091)";4.796091;52.371824;
114;"sport / recreatie";0;"0363010001020592";"Abe Lenstralaan 6";0;"sportfunctie";"sport / recreatie";"Sport en recreatie";"S";601;0;0;"POINT(4.798657,52.372071)";"POINT(52.372071,4.798657)";4.798657;52.372071;
115;"sport / recreatie";0;"0363010001020593";"Abe Lenstralaan 8";0;"sportfunctie";"sport / recreatie";"Sport en recreatie";"S";330;1;0;"POINT(4.797302,52.372378)";"POINT(52.372378,4.797302)";4.797302;52.372378;
116;"basisschool";0;"0363010001982050";"Abraham Kuyperplein 2";0;"onderwijsfunctie";"basisschool";"Onderwijs";"O";5989;0;0;"POINT(4.802538,52.38292)";"POINT(52.38292,4.802538)";4.802538;52.38292;
117;"café / bar / restaurant";0;"0363010000558003";"Abraham Staalmanplein 1";0;"winkelfunctie";"café / bar / restaurant";"Horeca";"H";84;0;0;"POINT(4.827836,52.349797)";"POINT(52.349797,4.827836)";4.827836;52.349797;
118;"winkel";0;"0363010000558012";"Abraham Staalmanplein 10";0;"winkelfunctie";"winkel";"Detailhandel";"D";81;0;0;"POINT(4.828764,52.349496)";"POINT(52.349496,4.828764)";4.828764;52.349496;
119;"winkel";0;"0363010000558013";"Abraham Staalmanplein 11";0;"industriefunctie";"winkel";"Detailhandel";"D";80;0;0;"POINT(4.828765,52.349424)";"POINT(52.349424,4.828765)";4.828765;52.349424;
120;"winkel";0;"0363010000558014";"Abraham Staalmanplein 12";0;"winkelfunctie";"winkel";"Detailhandel";"D";84;0;0;"POINT(4.828766,52.349352)";"POINT(52.349352,4.828766)";4.828766;52.349352;
121;"winkel";0;"0363010000558004";"Abraham Staalmanplein 2";0;"winkelfunctie";"winkel";"Detailhandel";"D";161;0;0;"POINT(4.827997,52.349798)";"POINT(52.349798,4.827997)";4.827997;52.349798;
122;"winkel";0;"0363010000558005";"Abraham Staalmanplein 3";0;"winkelfunctie";"winkel";"Detailhandel";"D";80;0;0;"POINT(4.828232,52.349808)";"POINT(52.349808,4.828232)";4.828232;52.349808;
