OBJECTNUMMER;SELECTIE;Nederlandse_naam;Wetenschappelijke_naam;Kademuur;Beschermd;Rode_lijst;Water;Straat;Brugnummer;Aantal_in_2009;Aantal_in_2010;Aantal_in_2011;Aantal_in_2012;Aantal_in_2013;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
134;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Prinsengracht";"Prinsengracht";"";"0 exemplaren";"";"0 exemplaren";"";"1";"POINT(4.8977311,52.3617636)";"POINT(52.3617636,4.8977311)";4.8977311;52.3617636;
135;"NB_990";"Muurfijnstraal";"Erigeron karvinskianus";"Ja";"";"";"Prinsengracht";"Prinsengracht";"";"1";"";"1";"";"0 exemplaren";"POINT(4.897804,52.3617827)";"POINT(52.3617827,4.897804)";4.897804;52.3617827;
136;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Prinsengracht";"Prinsengracht";"";"";"";"";"";"1";"POINT(4.897805,52.3617751)";"POINT(52.3617751,4.897805)";4.897805;52.3617751;
137;"NB_990";"Muurfijnstraal";"Erigeron karvinskianus";"Ja";"";"";"Prinsengracht";"Prinsengracht";"";"2";"";"2";"";"2";"POINT(4.8978779,52.3617903)";"POINT(52.3617903,4.8978779)";4.8978779;52.3617903;
138;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Open Haven";"Prins Hendrikskade";"13";"";"";"6";"";"5";"POINT(4.8977091,52.3784262)";"POINT(52.3784262,4.8977091)";4.8977091;52.3784262;
139;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Nieuwe Prinsengracht";"Nieuwe Prinsengracht";"";"1";"";"";"";"1";"POINT(4.9079869,52.3636405)";"POINT(52.3636405,4.9079869)";4.9079869;52.3636405;
140;"BE_826";"Blaasvaren";"Cystopteris fragilis";"Ja";"F2";"BE";"Noord-Hollandsch kanaal";"Willem-I-sluis";"";"0 exemplaren";"";"";"";"0 exemplaren";"POINT(4.90783,52.3836638)";"POINT(52.3836638,4.90783)";4.90783;52.3836638;
141;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Noord-Hollandsch kanaal";"Willem-I-sluis";"SLU";"15";"";"2";"0 exemplaren";"0 exemplaren";"POINT(4.9078591,52.3836714)";"POINT(52.3836714,4.9078591)";4.9078591;52.3836714;
142;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Oosterdok";"Prins Hendrikskade";"";"3";"";"2";"";"3";"POINT(4.9080002,52.3734099)";"POINT(52.3734099,4.9080002)";4.9080002;52.3734099;
143;"NB_600";"Spoorbloem";"Centranthus ruber";"Ja";"";"";"Noord-Hollandsch kanaal";"Sixhavenweg (Willem-III-sluis)";"SLU";"";"";"1";"0 exemplaren";"0 exemplaren";"POINT(4.9079311,52.3825041)";"POINT(52.3825041,4.9079311)";4.9079311;52.3825041;
144;"NB_2638";"Moerasvaren";"Thelypteris palustris";"Ja";"";"";"Noord-Hollandsch kanaal";"Willem-I-sluis";"SLU";"1";"1";"1";"";"0 exemplaren";"POINT(4.9079759,52.3837172)";"POINT(52.3837172,4.9079759)";4.9079759;52.3837172;
145;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Oosterdok";"Prins Hendrikskade";"";"1";"";"1";"";"1";"POINT(4.9082048,52.3733832)";"POINT(52.3733832,4.9082048)";4.9082048;52.3733832;
146;"NB_600";"Spoorbloem";"Centranthus ruber";"Ja";"";"";"Noord-Hollandsch kanaal";"Sixhavenweg (Willem-III-sluis)";"SLU";"";"";"3";"0 exemplaren";"0 exemplaren";"POINT(4.908107,52.3825041)";"POINT(52.3825041,4.908107)";4.908107;52.3825041;
147;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Nieuwe Prinsengracht";"Nieuwe Prinsengracht";"";"";"";"";"2";"2";"POINT(4.9083068,52.3639189)";"POINT(52.3639189,4.9083068)";4.9083068;52.3639189;
