OBJECTNUMMER;SELECTIE;Nederlandse_naam;Wetenschappelijke_naam;Kademuur;Beschermd;Rode_lijst;Water;Straat;Brugnummer;Aantal_in_2009;Aantal_in_2010;Aantal_in_2011;Aantal_in_2012;Aantal_in_2013;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
333;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Herengracht";"Brug Leliegracht";"21";"1";"";"1";"";"1";"POINT(4.887676,52.3747107)";"POINT(52.3747107,4.887676)";4.887676;52.3747107;
334;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Keizersgracht";"Keizersgracht";"";"1";"";"1";"";"1";"POINT(4.8878,52.3650023)";"POINT(52.3650023,4.8878)";4.8878;52.3650023;
335;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Keizersgracht";"Keizersgracht";"";"";"";"1";"";"8";"POINT(4.8878152,52.3650023)";"POINT(52.3650023,4.8878152)";4.8878152;52.3650023;
336;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Lijnbaansgracht";"Weteringsschans";"";"15";"";"";"";"72";"POINT(4.887934,52.3609587)";"POINT(52.3609587,4.887934)";4.887934;52.3609587;
337;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Zoutkeetsgracht";"Zoutkeetsgracht";"";"";"";"";"";"1";"POINT(4.8880198,52.3611495)";"POINT(52.3611495,4.8880198)";4.8880198;52.3611495;
338;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Singel";"Singel";"";"1";"";"";"";"0 exemplaren";"POINT(4.8879678,52.3683669)";"POINT(52.3683669,4.8879678)";4.8879678;52.3683669;
339;"BE_1863";"Klein glaskruid";"Parietaria judaica";"Ja";"F2";"";"Herengracht";"Herengracht";"";"4";"";"5";"";"3";"POINT(4.8879569,52.3745505)";"POINT(52.3745505,4.8879569)";4.8879569;52.3745505;
340;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Brug Potgieterstraat";"138";"1";"";"";"";"0 exemplaren";"POINT(4.872277,52.3691985)";"POINT(52.3691985,4.872277)";4.872277;52.3691985;
341;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"5";"";"10";"";"2";"POINT(4.8723228,52.3690268)";"POINT(52.3690268,4.8723228)";4.8723228;52.3690268;
342;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Haarlemmervaart";"Polonceaukade";"";"2";"";"1";"";"1";"POINT(4.8721301,52.3856627)";"POINT(52.3856627,4.8721301)";4.8721301;52.3856627;
343;"BE_1863";"Klein glaskruid";"Parietaria judaica";"Ja";"F2";"";"Jacob van Lennepkanaal";"Bilderdijkkade";"";"";"";"8";"";"5";"POINT(4.8724091,52.3653761)";"POINT(52.3653761,4.8724091)";4.8724091;52.3653761;
344;"NB_600";"Spoorbloem";"Centranthus ruber";"Ja";"";"";"Da Costagracht";"Da Costakade";"";"0 exemplaren";"";"1";"";"0 exemplaren";"POINT(4.8723342,52.371884)";"POINT(52.371884,4.8723342)";4.8723342;52.371884;
345;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"1";"";"";"";"0 exemplaren";"POINT(4.8723628,52.3719298)";"POINT(52.3719298,4.8723628)";4.8723628;52.3719298;
346;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"";"";"1";"";"5";"POINT(4.8724201,52.3695685)";"POINT(52.3695685,4.8724201)";4.8724201;52.3695685;
347;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Da Costagracht";"Brug De Clercqstraat";"108";"";"";"4";"";"1";"POINT(4.8724558,52.3715369)";"POINT(52.3715369,4.8724558)";4.8724558;52.3715369;
348;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Haarlemmervaart";"Polonceaukade";"";"1";"";"1";"";"1";"POINT(4.8722918,52.3856627)";"POINT(52.3856627,4.8722918)";4.8722918;52.3856627;
349;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Brug Potgieterstraat";"138";"220";"";"235";"";"214";"POINT(4.8724949,52.3693778)";"POINT(52.3693778,4.8724949)";4.8724949;52.3693778;
350;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Da Costagracht";"Brug Potgieterstraat";"138";"1";"";"1";"";"0 exemplaren";"POINT(4.8724949,52.3693778)";"POINT(52.3693778,4.8724949)";4.8724949;52.3693778;
351;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"11";"";"35";"";"56";"POINT(4.8725622,52.3686949)";"POINT(52.3686949,4.8725622)";4.8725622;52.3686949;
352;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"1";"";"1";"";"0 exemplaren";"POINT(4.8725769,52.3686682)";"POINT(52.3686682,4.8725769)";4.8725769;52.3686682;
353;"BE_1863";"Klein glaskruid";"Parietaria judaica";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"4";"";"6";"";"22";"POINT(4.8726289,52.365441)";"POINT(52.365441,4.8726289)";4.8726289;52.365441;
354;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"12";"";"12";"";"8";"POINT(4.872607,52.3686225)";"POINT(52.3686225,4.872607)";4.872607;52.3686225;
355;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"30";"";"36";"";"40";"POINT(4.872607,52.3686148)";"POINT(52.3686148,4.872607)";4.872607;52.3686148;
356;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"1";"";"1";"";"0 exemplaren";"POINT(4.872607,52.3686225)";"POINT(52.3686225,4.872607)";4.872607;52.3686225;
357;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"2";"";"3";"";"1";"POINT(4.872565,52.3722464)";"POINT(52.3722464,4.872565)";4.872565;52.3722464;
358;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"";"";"1";"";"2";"POINT(4.872565,52.3722464)";"POINT(52.3722464,4.872565)";4.872565;52.3722464;
359;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"4";"";"6";"";"19";"POINT(4.8726661,52.3685347)";"POINT(52.3685347,4.8726661)";4.8726661;52.3685347;
360;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"0 exemplaren";"";"2";"";"2";"POINT(4.8726962,52.3684813)";"POINT(52.3684813,4.8726962)";4.8726962;52.3684813;
361;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"1";"";"";"";"0 exemplaren";"POINT(4.8727028,52.3691718)";"POINT(52.3691718,4.8727028)";4.8727028;52.3691718;
362;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"";"";"";"";"2";"POINT(4.8728158,52.3683287)";"POINT(52.3683287,4.8728158)";4.8728158;52.3683287;
363;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"2";"";"2";"";"0 exemplaren";"POINT(4.8729269,52.3688323)";"POINT(52.3688323,4.8729269)";4.8729269;52.3688323;
364;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"1";"";"3";"";"2";"POINT(4.8729422,52.3688399)";"POINT(52.3688399,4.8729422)";4.8729422;52.3688399;
365;"NB_990";"Muurfijnstraal";"Erigeron karvinskianus";"Ja";"";"";"Da Costagracht";"Da Costakade";"";"0 exemplaren";"";"1";"";"2";"POINT(4.872957,52.3688056)";"POINT(52.3688056,4.872957)";4.872957;52.3688056;
366;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"1";"";"3";"";"1";"POINT(4.8729899,52.3722998)";"POINT(52.3722998,4.8729899)";4.8729899;52.3722998;
367;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"";"";"1";"";"1";"POINT(4.8729899,52.3722998)";"POINT(52.3722998,4.8729899)";4.8729899;52.3722998;
368;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Brug Eerste Constantijn Huygensstraat";"181";"";"";"1";"";"0 exemplaren";"POINT(4.8730972,52.3655516)";"POINT(52.3655516,4.8730972)";4.8730972;52.3655516;
369;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"1";"";"";"";"0 exemplaren";"POINT(4.8730328,52.3723647)";"POINT(52.3723647,4.8730328)";4.8730328;52.3723647;
370;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"";"";"";"";"2";"POINT(4.8730328,52.372357)";"POINT(52.372357,4.8730328)";4.8730328;52.372357;
371;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"1";"";"1";"";"0 exemplaren";"POINT(4.8731062,52.3685881)";"POINT(52.3685881,4.8731062)";4.8731062;52.3685881;
372;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kosterlorenvaart";"Kostverlorenkade";"171";"2";"";"1";"";"3";"POINT(4.8730171,52.3788535)";"POINT(52.3788535,4.8730171)";4.8730171;52.3788535;
373;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"1";"";"";"";"0 exemplaren";"POINT(4.873091,52.3724715)";"POINT(52.3724715,4.873091)";4.873091;52.3724715;
374;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"3";"";"7";"";"7";"POINT(4.8731491,52.372544)";"POINT(52.372544,4.8731491)";4.8731491;52.372544;
375;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"";"";"";"";"3";"POINT(4.8732111,52.3684546)";"POINT(52.3684546,4.8732111)";4.8732111;52.3684546;
376;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Haarlemmervaart";"Polonceaukade";"";"2";"";"3";"";"3";"POINT(4.8730552,52.3856742)";"POINT(52.3856742,4.8730552)";4.8730552;52.3856742;
377;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"13";"";"";"";"2";"POINT(4.8733151,52.3682944)";"POINT(52.3682944,4.8733151)";4.8733151;52.3682944;
378;"NB_6001";"Halsbloem";"Thachelium caeruleum";"Ja";"";"";"Da Costagracht";"Da Costakade";"";"12";"";"9";"";"1";"POINT(4.8733752,52.3682067)";"POINT(52.3682067,4.8733752)";4.8733752;52.3682067;
379;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"";"";"";"";"2";"POINT(4.8734128,52.3674513)";"POINT(52.3674513,4.8734128)";4.8734128;52.3674513;
380;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"5";"";"5";"";"3";"POINT(4.8734429,52.3674132)";"POINT(52.3674132,4.8734429)";4.8734429;52.3674132;
381;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"2";"";"4";"";"4";"POINT(4.8734648,52.3680693)";"POINT(52.3680693,4.8734648)";4.8734648;52.3680693;
382;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Da Costagracht";"Brug Kinkerstraat";"183";"20";"";"16";"";"9";"POINT(4.873471,52.3674933)";"POINT(52.3674933,4.873471)";4.873471;52.3674933;
383;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"5";"";"9";"";"0 exemplaren";"POINT(4.8735511,52.3657157)";"POINT(52.3657157,4.8735511)";4.8735511;52.3657157;
384;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"5";"";"";"";"0 exemplaren";"POINT(4.8735468,52.3672606)";"POINT(52.3672606,4.8735468)";4.8735468;52.3672606;
385;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"1";"";"";"";"0 exemplaren";"POINT(4.8735468,52.3672606)";"POINT(52.3672606,4.8735468)";4.8735468;52.3672606;
386;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"";"";"3";"";"1";"POINT(4.8735921,52.3672072)";"POINT(52.3672072,4.8735921)";4.8735921;52.3672072;
387;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Haarlemmervaart";"Polonceaukade";"";"67";"";"61";"46";"51";"POINT(4.873378,52.3856856)";"POINT(52.3856856,4.873378)";4.873378;52.3856856;
388;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"";"";"1";"";"2";"POINT(4.8735411,52.3728987)";"POINT(52.3728987,4.8735411)";4.8735411;52.3728987;
389;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"";"";"";"";"1";"POINT(4.8735988,52.36789)";"POINT(52.36789,4.8735988)";4.8735988;52.36789;
390;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"20";"";"3";"";"3";"POINT(4.8736522,52.3671195)";"POINT(52.3671195,4.8736522)";4.8736522;52.3671195;
391;"NB_9001";"Smalle ijzervaren";"Cyrtomium fortunei";"Ja";"";"";"Da Costagracht";"Da Costakade";"";"1";"";"1";"";"1";"POINT(4.8736522,52.3671004)";"POINT(52.3671004,4.8736522)";4.8736522;52.3671004;
392;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"1";"";"1";"";"0 exemplaren";"POINT(4.8736818,52.3670813)";"POINT(52.3670813,4.8736818)";4.8736818;52.3670813;
393;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"";"";"";"";"5";"POINT(4.8736999,52.3655097)";"POINT(52.3655097,4.8736999)";4.8736999;52.3655097;
394;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"0 exemplaren";"";"8";"";"0 exemplaren";"POINT(4.873697,52.3670546)";"POINT(52.3670546,4.873697)";4.873697;52.3670546;
395;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"8";"";"12";"";"1";"POINT(4.873697,52.3670546)";"POINT(52.3670546,4.873697)";4.873697;52.3670546;
396;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"";"";"";"";"1";"POINT(4.8737419,52.3669821)";"POINT(52.3669821,4.8737419)";4.8737419;52.3669821;
397;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"1";"";"12";"";"13";"POINT(4.8737729,52.3655364)";"POINT(52.3655364,4.8737729)";4.8737729;52.3655364;
398;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Brug Kinkerstraat";"183";"";"";"";"";"1";"POINT(4.873749,52.3675849)";"POINT(52.3675849,4.873749)";4.873749;52.3675849;
399;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Kosterlorenvaart";"De Wittenkade";"132";"";"";"1";"";"8";"POINT(4.8736379,52.3810393)";"POINT(52.3810393,4.8736379)";4.8736379;52.3810393;
400;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"";"";"1";"";"0 exemplaren";"POINT(4.873853,52.3675162)";"POINT(52.3675162,4.873853)";4.873853;52.3675162;
401;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"1";"";"1";"";"6";"POINT(4.8739059,52.3667609)";"POINT(52.3667609,4.8739059)";4.8739059;52.3667609;
402;"BE_1863";"Klein glaskruid";"Parietaria judaica";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"4";"";"";"";"0 exemplaren";"POINT(4.873934,52.3655821)";"POINT(52.3655821,4.873934)";4.873934;52.3655821;
403;"NB_2014";"Brede eikvaren";"Polypodium interjectum";"Ja";"";"";"Da Costagracht";"Da Costakade";"";"";"";"1";"";"0 exemplaren";"POINT(4.8739359,52.3667151)";"POINT(52.3667151,4.8739359)";4.8739359;52.3667151;
404;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"20";"";"32";"";"9";"POINT(4.8739421,52.3673903)";"POINT(52.3673903,4.8739421)";4.8739421;52.3673903;
405;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"76";"";"98";"";"32";"POINT(4.8739631,52.3655936)";"POINT(52.3655936,4.8739631)";4.8739631;52.3655936;
406;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"";"";"1";"";"0 exemplaren";"POINT(4.8739722,52.3673369)";"POINT(52.3673369,4.8739722)";4.8739722;52.3673369;
407;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"32";"";"31";"";"33";"POINT(4.8740218,52.3656088)";"POINT(52.3656088,4.8740218)";4.8740218;52.3656088;
408;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"2";"";"";"";"22";"POINT(4.8739369,52.3729788)";"POINT(52.3729788,4.8739369)";4.8739369;52.3729788;
409;"NB_2014";"Brede eikvaren";"Polypodium interjectum";"Ja";"";"";"Da Costagracht";"Brug Jacob van Lennepstraat";"";"";"";"";"";"10";"POINT(4.8740251,52.3665816)";"POINT(52.3665816,4.8740251)";4.8740251;52.3665816;
410;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"2";"";"1";"";"1";"POINT(4.874047,52.3672377)";"POINT(52.3672377,4.874047)";4.874047;52.3672377;
411;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Haarlemmervaart";"Polonceaukade";"";"3";"";"5";"4";"1";"POINT(4.8738339,52.3856894)";"POINT(52.3856894,4.8738339)";4.8738339;52.3856894;
412;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kosterlorenvaart";"Jacob Catskade";"132";"";"";"1";"";"1";"POINT(4.873903,52.3809516)";"POINT(52.3809516,4.873903)";4.873903;52.3809516;
413;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"1";"";"";"";"0 exemplaren";"POINT(4.8741448,52.3664099)";"POINT(52.3664099,4.8741448)";4.8741448;52.3664099;
414;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"";"";"";"";"3";"POINT(4.8741682,52.3656546)";"POINT(52.3656546,4.8741682)";4.8741682;52.3656546;
415;"BE_585";"Stijf hardgras";"Catapodium rigidum";"Ja";"F2";"GE";"Da Costagracht";"Da Costakade";"";"";"";"";"";"1";"POINT(4.874181,52.3670508)";"POINT(52.3670508,4.874181)";4.874181;52.3670508;
416;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"6";"";"6";"";"3";"POINT(4.8742258,52.3669783)";"POINT(52.3669783,4.8742258)";4.8742258;52.3669783;
417;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"";"";"1";"";"0 exemplaren";"POINT(4.8742559,52.3656737)";"POINT(52.3656737,4.8742559)";4.8742559;52.3656737;
418;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"0 exemplaren";"";"1";"";"0 exemplaren";"POINT(4.8742702,52.3656813)";"POINT(52.3656813,4.8742702)";4.8742702;52.3656813;
419;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Hugo de Grootgracht";"Da Costakade";"";"";"";"";"";"1";"POINT(4.8742001,52.3730361)";"POINT(52.3730361,4.8742001)";4.8742001;52.3730361;
420;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"";"";"1";"";"0 exemplaren";"POINT(4.8743579,52.3657118)";"POINT(52.3657118,4.8743579)";4.8743579;52.3657118;
421;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Haarlemmervaart";"Haarlemmerweg";"";"17";"";"13";"";"15";"POINT(4.8741438,52.3855177)";"POINT(52.3855177,4.8741438)";4.8741438;52.3855177;
422;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Haarlemmervaart";"Haarlemmerweg";"";"";"";"";"";"1";"POINT(4.8741882,52.3855177)";"POINT(52.3855177,4.8741882)";4.8741882;52.3855177;
423;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kosterlorenvaart";"1e Kostverlorenkade";"";"1";"";"";"";"0 exemplaren";"POINT(4.8742788,52.3802344)";"POINT(52.3802344,4.8742788)";4.8742788;52.3802344;
424;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Haarlemmervaart";"Haarlemmerweg";"";"1";"";"";"";"0 exemplaren";"POINT(4.8742621,52.3855177)";"POINT(52.3855177,4.8742621)";4.8742621;52.3855177;
425;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"4";"";"";"";"0 exemplaren";"POINT(4.8745048,52.3657576)";"POINT(52.3657576,4.8745048)";4.8745048;52.3657576;
426;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Haarlemmervaart";"Polonceaukade";"";"1";"";"1";"";"0 exemplaren";"POINT(4.8742888,52.3857009)";"POINT(52.3857009,4.8742888)";4.8742888;52.3857009;
427;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"2";"";"";"";"0 exemplaren";"POINT(4.8745782,52.3657729)";"POINT(52.3657729,4.8745782)";4.8745782;52.3657729;
428;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Hugo de Grootgracht";"Nassaukade";"";"";"";"9";"";"22";"POINT(4.8744929,52.3730971)";"POINT(52.3730971,4.8744929)";4.8744929;52.3730971;
429;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"1";"";"";"";"0 exemplaren";"POINT(4.8745921,52.3657843)";"POINT(52.3657843,4.8745921)";4.8745921;52.3657843;
430;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Haarlemmervaart";"Polonceaukade";"";"2";"";"2";"";"4";"POINT(4.874377,52.3857009)";"POINT(52.3857009,4.874377)";4.874377;52.3857009;
431;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Da Costagracht";"Da Costakade";"";"";"";"";"";"1";"POINT(4.8747342,52.3662612)";"POINT(52.3662612,4.8747342)";4.8747342;52.3662612;
432;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Hugo de Grootgracht";"Brug Nassaukade";"166";"";"";"1";"";"0 exemplaren";"POINT(4.8747418,52.3731886)";"POINT(52.3731886,4.8747418)";4.8747418;52.3731886;
433;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Haarlemmervaart";"Haarlemmerweg";"";"1";"";"1";"";"2";"POINT(4.8746879,52.3855216)";"POINT(52.3855216,4.8746879)";4.8746879;52.3855216;
434;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"";"";"1";"";"0 exemplaren";"POINT(4.8749292,52.3658759)";"POINT(52.3658759,4.8749292)";4.8749292;52.3658759;
435;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Singelgracht";"Groenmarktkade";"";"2";"";"3";"";"1";"POINT(4.8749678,52.3714301)";"POINT(52.3714301,4.8749678)";4.8749678;52.3714301;
436;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"1";"";"1";"";"0 exemplaren";"POINT(4.8753388,52.3659941)";"POINT(52.3659941,4.8753388)";4.8753388;52.3659941;
437;"NB_990";"Muurfijnstraal";"Erigeron karvinskianus";"Ja";"";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"";"";"";"";"0 exemplaren";"POINT(4.8754532,52.3662726)";"POINT(52.3662726,4.8754532)";4.8754532;52.3662726;
438;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"";"";"1";"";"0 exemplaren";"POINT(4.8754818,52.3662802)";"POINT(52.3662802,4.8754818)";4.8754818;52.3662802;
439;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Singelgracht";"Brug Raampoort";"165";"20";"";"15";"";"35";"POINT(4.8753912,52.3742262)";"POINT(52.3742262,4.8753912)";4.8753912;52.3742262;
440;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"1";"";"1";"";"2";"POINT(4.8755,52.3660399)";"POINT(52.3660399,4.8755)";4.8755;52.3660399;
441;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kattensloot";"Jacob Catskade";"";"";"";"";"";"1";"POINT(4.8753312,52.3806883)";"POINT(52.3806883,4.8753312)";4.8753312;52.3806883;
