OBJECTNUMMER;Banknummer;Huidig_type;Definitief_type;Definitief_foto;Geadopteerd;Tekstplaat;Rotatie;Categorie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
113;"02.02";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-02.jpg";236;"Zitbank";"POINT(4.863244,52.35792)";"POINT(52.35792,4.863244)";4.863244;52.35792;
114;"02.03";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-03.jpg";120;"Zitbank";"POINT(4.863299,52.357926)";"POINT(52.357926,4.863299)";4.863299;52.357926;
115;"02.04";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-04.jpg";176;"Zitbank";"POINT(4.863345,52.357945)";"POINT(52.357945,4.863345)";4.863345;52.357945;
116;"02.05";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-05.jpg";233;"Zitbank";"POINT(4.863447,52.357926)";"POINT(52.357926,4.863447)";4.863447;52.357926;
117;"00.01";"Oprichtersbank";"Oprichtersbank";"oprichtersbank.jpg";"Niet beschikbaar";"";180;"Bijzonder";"POINT(4.8630635,52.3579794)";"POINT(52.3579794,4.8630635)";4.8630635;52.3579794;
118;"02.06";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-10.jpg";180;"Zitbank";"POINT(4.863803,52.357817)";"POINT(52.357817,4.863803)";4.863803;52.357817;
119;"02.07";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-01-35.jpg";236;"Zitbank";"POINT(4.863867,52.357795)";"POINT(52.357795,4.863867)";4.863867;52.357795;
120;"02.08";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-08.jpg";178;"Zitbank";"POINT(4.863911,52.357783)";"POINT(52.357783,4.863911)";4.863911;52.357783;
121;"02.09";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-09.jpg";238;"Zitbank";"POINT(4.86398,52.357753)";"POINT(52.357753,4.86398)";4.86398;52.357753;
122;"02.10";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-10.jpg";295;"Zitbank";"POINT(4.863987,52.357704)";"POINT(52.357704,4.863987)";4.863987;52.357704;
123;"02.11";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"";178;"Zitbank";"POINT(4.864021,52.357678)";"POINT(52.357678,4.864021)";4.864021;52.357678;
124;"02.12";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"";235;"Zitbank";"POINT(4.864086,52.357653)";"POINT(52.357653,4.864086)";4.864086;52.357653;
125;"02.13";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-13.jpg";179;"Zitbank";"POINT(4.864324,52.357651)";"POINT(52.357651,4.864324)";4.864324;52.357651;
126;"02.14";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-14a.jpg";234;"Zitbank";"POINT(4.86439,52.357631)";"POINT(52.357631,4.86439)";4.86439;52.357631;
127;"02.15";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"";179;"Zitbank";"POINT(4.864435,52.35762)";"POINT(52.35762,4.864435)";4.864435;52.35762;
128;"02.16";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"";237;"Zitbank";"POINT(4.864497,52.357595)";"POINT(52.357595,4.864497)";4.864497;52.357595;
129;"02.17";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-14.jpg";238;"Zitbank";"POINT(4.864417,52.357402)";"POINT(52.357402,4.864417)";4.864417;52.357402;
130;"02.18";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-18.jpg";296;"Zitbank";"POINT(4.864412,52.357349)";"POINT(52.357349,4.864412)";4.864412;52.357349;
131;"02.19";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-19.jpg";356;"Zitbank";"POINT(4.864348,52.35732)";"POINT(52.35732,4.864348)";4.864348;52.35732;
132;"02.20";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-20.jpg";299;"Zitbank";"POINT(4.864304,52.357299)";"POINT(52.357299,4.864304)";4.864304;52.357299;
133;"02.21";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-21.jpg";356;"Zitbank";"POINT(4.864247,52.35728)";"POINT(52.35728,4.864247)";4.864247;52.35728;
134;"02.22";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-22.jpg";300;"Zitbank";"POINT(4.864208,52.357259)";"POINT(52.357259,4.864208)";4.864208;52.357259;
135;"02.28";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-28.jpg";355;"Zitbank";"POINT(4.864157,52.357241)";"POINT(52.357241,4.864157)";4.864157;52.357241;
136;"02.29";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Beschikbaar";"";297;"Zitbank";"POINT(4.864114,52.357224)";"POINT(52.357224,4.864114)";4.864114;52.357224;
137;"02.30";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-30.jpg";356;"Zitbank";"POINT(4.86406,52.357201)";"POINT(52.357201,4.86406)";4.86406;52.357201;
138;"02.31";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-30.jpg";298;"Zitbank";"POINT(4.864018,52.357188)";"POINT(52.357188,4.864018)";4.864018;52.357188;
139;"02.32";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Beschikbaar";"";356;"Zitbank";"POINT(4.863968,52.35717)";"POINT(52.35717,4.863968)";4.863968;52.35717;
140;"02.26";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Beschikbaar";"";134;"Zitbank";"POINT(4.864248,52.357176)";"POINT(52.357176,4.864248)";4.864248;52.357176;
141;"02.25";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-25.jpg";138;"Zitbank";"POINT(4.864418,52.357274)";"POINT(52.357274,4.864418)";4.864418;52.357274;
142;"02.24";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"TP-02-24.jpg";138;"Zitbank";"POINT(4.864499,52.35732)";"POINT(52.35732,4.864499)";4.864499;52.35732;
143;"02.23";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Ja";"";138;"Zitbank";"POINT(4.864572,52.357361)";"POINT(52.357361,4.864572)";4.864572;52.357361;
144;"02.27";"Rozenbank";"Rozenbank";"rozenbank.jpg";"Beschikbaar";"";146;"Zitbank";"POINT(4.863956,52.357033)";"POINT(52.357033,4.863956)";4.863956;52.357033;
145;"10.32";"Nog niet geplaatst";"Platanenbank";"platanenbank.jpg";"Beschikbaar, nog niet geplaatst";"";225;"Zitbank";"POINT(4.866729,52.35834)";"POINT(52.35834,4.866729)";4.866729;52.35834;
146;"01.43";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";149;"Zitbank";"POINT(4.864598,52.358381)";"POINT(52.358381,4.864598)";4.864598;52.358381;
147;"01.42";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";159;"Zitbank";"POINT(4.864649,52.358397)";"POINT(52.358397,4.864649)";4.864649;52.358397;
148;"01.36";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-36.jpg";26;"Zitbank";"POINT(4.864633,52.358132)";"POINT(52.358132,4.864633)";4.864633;52.358132;
149;"01.37";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";14;"Zitbank";"POINT(4.864691,52.358116)";"POINT(52.358116,4.864691)";4.864691;52.358116;
150;"01.38";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-32.jpg";0;"Zitbank";"POINT(4.864751,52.358112)";"POINT(52.358112,4.864751)";4.864751;52.358112;
151;"01.39";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";261;"Zitbank";"POINT(4.864972,52.358278)";"POINT(52.358278,4.864972)";4.864972;52.358278;
152;"01.40";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";245;"Zitbank";"POINT(4.864951,52.358316)";"POINT(52.358316,4.864951)";4.864951;52.358316;
153;"01.41";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";231;"Zitbank";"POINT(4.864922,52.358345)";"POINT(52.358345,4.864922)";4.864922;52.358345;
154;"01.51";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-51.jpg";140;"Zitbank";"POINT(4.8653907,52.3583131)";"POINT(52.3583131,4.8653907)";4.8653907;52.3583131;
155;"01.50";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";135;"Zitbank";"POINT(4.865345,52.3582894)";"POINT(52.3582894,4.865345)";4.865345;52.3582894;
156;"01.35";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-35.jpg";80;"Zitbank";"POINT(4.8653403,52.358135)";"POINT(52.358135,4.8653403)";4.8653403;52.358135;
157;"01.34";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-34.jpg";65;"Zitbank";"POINT(4.86536,52.358103)";"POINT(52.358103,4.86536)";4.86536;52.358103;
158;"01.33";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-33.jpg";55;"Zitbank";"POINT(4.8653943,52.3580716)";"POINT(52.3580716,4.8653943)";4.8653943;52.3580716;
159;"01.32";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-32.jpg";40;"Zitbank";"POINT(4.8654323,52.3580475)";"POINT(52.3580475,4.8654323)";4.8654323;52.3580475;
