OBJECTNUMMER;Banknummer;Huidig_type;Definitief_type;Definitief_foto;Geadopteerd;Tekstplaat;Rotatie;Categorie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
215;"07.28";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Ja";"TP-07-28.jpg";162;"Zitbank";"POINT(4.873941,52.360707)";"POINT(52.360707,4.873941)";4.873941;52.360707;
216;"03.01";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-03-01.jpg";287;"Zitbank";"POINT(4.874308,52.360336)";"POINT(52.360336,4.874308)";4.874308;52.360336;
217;"03.02";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-03-02.jpg";253;"Zitbank";"POINT(4.874297,52.360284)";"POINT(52.360284,4.874297)";4.874297;52.360284;
219;"03.06";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Beschikbaar";"";146;"Zitbank";"POINT(4.874384,52.360262)";"POINT(52.360262,4.874384)";4.874384;52.360262;
220;"03.07";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-03-07.jpg";129;"Zitbank";"POINT(4.874417,52.360283)";"POINT(52.360283,4.874417)";4.874417;52.360283;
221;"03.10";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-03-10.jpg";53;"Zitbank";"POINT(4.87464,52.359868)";"POINT(52.359868,4.87464)";4.87464;52.359868;
222;"03.11";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-03-11.jpg";30;"Zitbank";"POINT(4.87473,52.359813)";"POINT(52.359813,4.87473)";4.87473;52.359813;
223;"03.13";"Nog niet geplaatst";"Beukenbank";"beukenbank.jpg";"Beschikbaar, nog niet geplaatst";"";30;"Zitbank";"POINT(4.874798,52.35978)";"POINT(52.35978,4.874798)";4.874798;52.35978;
224;"03.12";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-03-12.jpg";26;"Zitbank";"POINT(4.874871,52.359767)";"POINT(52.359767,4.874871)";4.874871;52.359767;
225;"01.48";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-48.jpg";317;"Zitbank";"POINT(4.875043,52.35974)";"POINT(52.35974,4.875043)";4.875043;52.35974;
226;"01.47";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-47.jpg";330;"Zitbank";"POINT(4.875211,52.359811)";"POINT(52.359811,4.875211)";4.875211;52.359811;
227;"01.46";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";333;"Zitbank";"POINT(4.875283,52.359836)";"POINT(52.359836,4.875283)";4.875283;52.359836;
228;"03.08";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-03-08.jpg";332;"Zitbank";"POINT(4.873641,52.359412)";"POINT(52.359412,4.873641)";4.873641;52.359412;
229;"03.19";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-03-19.jpg";166;"Zitbank";"POINT(4.873651,52.359241)";"POINT(52.359241,4.873651)";4.873651;52.359241;
230;"03.20";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Beschikbaar";"";169;"Zitbank";"POINT(4.8737,52.359246)";"POINT(52.359246,4.8737)";4.8737;52.359246;
231;"03.24";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-02-01.jpg";211;"Zitbank";"POINT(4.874155,52.359197)";"POINT(52.359197,4.874155)";4.874155;52.359197;
232;"03.21";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-03-19.jpg";206;"Zitbank";"POINT(4.874008,52.35924)";"POINT(52.35924,4.874008)";4.874008;52.35924;
233;"03.22";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-03-07.jpg";210;"Zitbank";"POINT(4.874058,52.359227)";"POINT(52.359227,4.874058)";4.874058;52.359227;
234;"03.23";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-02-30.jpg";206;"Zitbank";"POINT(4.874111,52.359212)";"POINT(52.359212,4.874111)";4.874111;52.359212;
235;"03.09";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"";358;"Zitbank";"POINT(4.874152,52.359521)";"POINT(52.359521,4.874152)";4.874152;52.359521;
236;"03.25";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-02-30.jpg";224;"Zitbank";"POINT(4.874217,52.359167)";"POINT(52.359167,4.874217)";4.874217;52.359167;
237;"03.26";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-02-12.jpg";228;"Zitbank";"POINT(4.874265,52.359136)";"POINT(52.359136,4.874265)";4.874265;52.359136;
238;"03.27";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-03-19.jpg";242;"Zitbank";"POINT(4.874317,52.359093)";"POINT(52.359093,4.874317)";4.874317;52.359093;
239;"04.28";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";90;"Zitbank";"POINT(4.872268,52.359411)";"POINT(52.359411,4.872268)";4.872268;52.359411;
240;"04.27";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";90;"Zitbank";"POINT(4.872267,52.359383)";"POINT(52.359383,4.872267)";4.872267;52.359383;
241;"04.26";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";90;"Zitbank";"POINT(4.872269,52.359357)";"POINT(52.359357,4.872269)";4.872269;52.359357;
242;"04.29";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";269;"Zitbank";"POINT(4.871897,52.359251)";"POINT(52.359251,4.871897)";4.871897;52.359251;
243;"04.30";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";265;"Zitbank";"POINT(4.8719,52.359224)";"POINT(52.359224,4.8719)";4.8719;52.359224;
244;"04.31";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-31.jpg";265;"Zitbank";"POINT(4.871913,52.359156)";"POINT(52.359156,4.871913)";4.871913;52.359156;
245;"04.36";"Canapé";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";338;"Zitbank";"POINT(4.871527,52.358601)";"POINT(52.358601,4.871527)";4.871527;52.358601;
246;"04.16";"Canapé";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";285;"Zitbank";"POINT(4.869018,52.358304)";"POINT(52.358304,4.869018)";4.869018;52.358304;
247;"04.11";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-11.jpg";39;"Zitbank";"POINT(4.869713,52.358459)";"POINT(52.358459,4.869713)";4.869713;52.358459;
248;"04.12";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-12.jpg";41;"Zitbank";"POINT(4.86975,52.358439)";"POINT(52.358439,4.86975)";4.86975;52.358439;
249;"04.15";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-15.jpg";168;"Zitbank";"POINT(4.869588,52.358146)";"POINT(52.358146,4.869588)";4.869588;52.358146;
250;"04.14";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";165;"Zitbank";"POINT(4.869636,52.358153)";"POINT(52.358153,4.869636)";4.869636;52.358153;
251;"04.13";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-13.jpg";163;"Zitbank";"POINT(4.869681,52.35816)";"POINT(52.35816,4.869681)";4.869681;52.35816;
252;"04.35";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";226;"Zitbank";"POINT(4.870279,52.358308)";"POINT(52.358308,4.870279)";4.870279;52.358308;
253;"04.34";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-34.jpg";223;"Zitbank";"POINT(4.870321,52.358281)";"POINT(52.358281,4.870321)";4.870321;52.358281;
254;"04.32";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-32.jpg";219;"Zitbank";"POINT(4.870432,52.358243)";"POINT(52.358243,4.870432)";4.870432;52.358243;
255;"01.00";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-00.jpg";321;"Zitbank";"POINT(4.87531,52.360303)";"POINT(52.360303,4.87531)";4.87531;52.360303;
256;"01.17";"Nog niet geplaatst";"Mussenbank";"mussenbank.jpg";"Beschikbaar, nog niet geplaatst";"";180;"Zitbank";"POINT(4.875265,52.360395)";"POINT(52.360395,4.875265)";4.875265;52.360395;
257;"12.03";"Nog niet geplaatst";"Rondom boom";"rondom boom.jpg";"Niet beschikbaar";"";180;"Bijzonder";"POINT(4.875467,52.360536)";"POINT(52.360536,4.875467)";4.875467;52.360536;
258;"01.16";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";341;"Zitbank";"POINT(4.876119,52.36038)";"POINT(52.36038,4.876119)";4.876119;52.36038;
259;"01.15";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";337;"Zitbank";"POINT(4.876336,52.360438)";"POINT(52.360438,4.876336)";4.876336;52.360438;
260;"01.14";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";339;"Zitbank";"POINT(4.87652,52.360484)";"POINT(52.360484,4.87652)";4.87652;52.360484;
261;"01.20";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-20.jpg";321;"Zitbank";"POINT(4.875848,52.360052)";"POINT(52.360052,4.875848)";4.875848;52.360052;
262;"01.13";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";124;"Zitbank";"POINT(4.877006,52.360913)";"POINT(52.360913,4.877006)";4.877006;52.360913;
263;"01.12";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";152;"Zitbank";"POINT(4.877049,52.360938)";"POINT(52.360938,4.877049)";4.877049;52.360938;
264;"01.10";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";259;"Zitbank";"POINT(4.877204,52.360883)";"POINT(52.360883,4.877204)";4.877204;52.360883;
265;"01.09";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";344;"Zitbank";"POINT(4.87919,52.360937)";"POINT(52.360937,4.87919)";4.87919;52.360937;
266;"01.06";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";336;"Zitbank";"POINT(4.879438,52.360781)";"POINT(52.360781,4.879438)";4.879438;52.360781;
267;"01.05";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";336;"Zitbank";"POINT(4.879485,52.360796)";"POINT(52.360796,4.879485)";4.879485;52.360796;
268;"01.08";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-08.jpg";159;"Zitbank";"POINT(4.879624,52.361069)";"POINT(52.361069,4.879624)";4.879624;52.361069;
269;"01.07";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-07.jpg";155;"Zitbank";"POINT(4.879689,52.361086)";"POINT(52.361086,4.879689)";4.879689;52.361086;
270;"01.04";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-04.jpg";329;"Zitbank";"POINT(4.879783,52.3609)";"POINT(52.3609,4.879783)";4.879783;52.3609;
271;"01.03";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";331;"Zitbank";"POINT(4.879824,52.360915)";"POINT(52.360915,4.879824)";4.879824;52.360915;
272;"01.49";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-49.jpg";148;"Zitbank";"POINT(4.88011,52.361207)";"POINT(52.361207,4.88011)";4.88011;52.361207;
273;"01.01";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";327;"Zitbank";"POINT(4.880299,52.361103)";"POINT(52.361103,4.880299)";4.880299;52.361103;
274;"01.02";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";327;"Zitbank";"POINT(4.880251,52.361084)";"POINT(52.361084,4.880251)";4.880251;52.361084;
275;"05.19";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Beschikbaar";"";72;"Zitbank";"POINT(4.856355,52.355719)";"POINT(52.355719,4.856355)";4.856355;52.355719;
276;"05.31";"Nog niet geplaatst";"Reigerbank";"reigerbank.jpg";"Beschikbaar, nog niet geplaatst";"";110;"Zitbank";"POINT(4.856328,52.356186)";"POINT(52.356186,4.856328)";4.856328;52.356186;
277;"06.24";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Beschikbaar";"";130;"Zitbank";"POINT(4.862349,52.356708)";"POINT(52.356708,4.862349)";4.862349;52.356708;
278;"06.23";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Beschikbaar";"";315;"Zitbank";"POINT(4.862444,52.356716)";"POINT(52.356716,4.862444)";4.862444;52.356716;
279;"06.27";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Ja";"TP-06-27.jpg";242;"Zitbank";"POINT(4.862699,52.356628)";"POINT(52.356628,4.862699)";4.862699;52.356628;
280;"06.26";"Eekhoornbank";"Eekhoornbank";"6-eekhoornbank.jpg";"Ja";"TP-06-26.jpg";49;"Zitbank";"POINT(4.862766,52.356515)";"POINT(52.356515,4.862766)";4.862766;52.356515;
281;"09.18";"Nog niet geplaatst";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar, nog niet geplaatst";"";342;"Zitbank";"POINT(4.861423,52.355901)";"POINT(52.355901,4.861423)";4.861423;52.355901;
282;"09.19";"Nog niet geplaatst";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar, nog niet geplaatst";"";342;"Zitbank";"POINT(4.861479,52.355916)";"POINT(52.355916,4.861479)";4.861479;52.355916;
283;"09.20";"Nog niet geplaatst";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar, nog niet geplaatst";"";157;"Zitbank";"POINT(4.861577,52.355935)";"POINT(52.355935,4.861577)";4.861577;52.355935;
284;"10.31";"Nog niet geplaatst";"Platanenbank";"platanenbank.jpg";"Beschikbaar, nog niet geplaatst";"";173;"Zitbank";"POINT(4.865132,52.35881)";"POINT(52.35881,4.865132)";4.865132;52.35881;
285;"06.03";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Ja";"TP-06-03.jpg";163;"Zitbank";"POINT(4.859582,52.354828)";"POINT(52.354828,4.859582)";4.859582;52.354828;
286;"07.08";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";141;"Zitbank";"POINT(4.870649,52.359273)";"POINT(52.359273,4.870649)";4.870649;52.359273;
287;"07.29";"Canapé";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";162;"Zitbank";"POINT(4.873896,52.360698)";"POINT(52.360698,4.873896)";4.873896;52.360698;
288;"01.18";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"TP-01-18.jpg";218;"Zitbank";"POINT(4.875304,52.360387)";"POINT(52.360387,4.875304)";4.875304;52.360387;
289;"01.19";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-19.jpg";246;"Zitbank";"POINT(4.87533,52.360368)";"POINT(52.360368,4.87533)";4.87533;52.360368;
290;"03.03";"Beukenbank";"Beukenbank";"beukenbank.jpg";"Ja";"TP-03-03.jpg";180;"Zitbank";"POINT(4.8743453,52.3602527)";"POINT(52.3602527,4.8743453)";4.8743453;52.3602527;

