OBJECTNUMMER;Soort;Naam;Adres;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1285;"Schoolwerktuin";"Blijdestijn Schooltuin";"Staalmeesterslaan 435";"https://www.amsterdam.nl/onderwijs-jeugd/basisonderwijs/natuur-milieu/blijdestijn/";"POLYGON((4.845493 52.368433,4.845498 52.368481,4.845519 52.368483,4.845538 52.368497,4.845542 52.368914,4.845553 52.368947,4.845594 52.368973,4.845639 52.368986,4.847095 52.369118,4.847151 52.36911,4.8472 52.369085,4.847385 52.368985,4.847409 52.368968,4.847416 52.368948,4.847406 52.368921,4.847331 52.368827,4.847323 52.368761,4.847334 52.36856,4.847394 52.368253,4.847372 52.368224,4.847337 52.368198,4.84708 52.368064,4.847019 52.368053,4.846957 52.368064,4.846905 52.368087,4.846841 52.368095,4.846747 52.368097,4.846751 52.368021,4.846726 52.368004,4.846154 52.367939,4.846082 52.367943,4.845632 52.368089,4.845594 52.368108,4.845573 52.368135,4.84554 52.368309,4.845528 52.368328,4.845497 52.368335,4.845493 52.368433))";"POLYGON((52.368433 4.845493,52.368481 4.845498,52.368483 4.845519,52.368497 4.845538,52.368914 4.845542,52.368947 4.845553,52.368973 4.845594,52.368986 4.845639,52.369118 4.847095,52.36911 4.847151,52.369085 4.8472,52.368985 4.847385,52.368968 4.847409,52.368948 4.847416,52.368921 4.847406,52.368827 4.847331,52.368761 4.847323,52.36856 4.847334,52.368253 4.847394,52.368224 4.847372,52.368198 4.847337,52.368064 4.84708,52.368053 4.847019,52.368064 4.846957,52.368087 4.846905,52.368095 4.846841,52.368097 4.846747,52.368021 4.846751,52.368004 4.846726,52.367939 4.846154,52.367943 4.846082,52.368089 4.845632,52.368108 4.845594,52.368135 4.845573,52.368309 4.84554,52.368328 4.845528,52.368335 4.845497,52.368433 4.845493))";4.8464595;52.3685215;
1286;"Schoolwerktuin";"Kalff Schooltuin";"Kruislaan 5";"https://www.amsterdam.nl/onderwijs-jeugd/basisonderwijs/natuur-milieu/kalff/";"POLYGON((4.926448 52.340993,4.927346 52.341562,4.928427 52.340848,4.92752 52.340318,4.926448 52.340993))";"POLYGON((52.340993 4.926448,52.341562 4.927346,52.340848 4.928427,52.340318 4.92752,52.340993 4.926448))";4.9274425;52.340933;
1287;"Schoolwerktuin";"Schaap Schooltuin";"Heggerankweg 87";"https://www.amsterdam.nl/onderwijs-jeugd/basisonderwijs/natuur-milieu/schaapschooltuin/";"POLYGON((4.91304 52.396108,4.913085 52.395958,4.912705 52.395924,4.91282 52.39545,4.912862 52.395222,4.912888 52.394997,4.912879 52.394773,4.912848 52.394548,4.912338 52.394436,4.91077 52.397137,4.910723 52.397266,4.910217 52.39816,4.910215 52.398211,4.910684 52.398313,4.910736 52.398303,4.910801 52.398259,4.911173 52.397977,4.911453 52.397742,4.911825 52.397394,4.911938 52.397268,4.91222 52.396902,4.912356 52.396688,4.912567 52.396306,4.912946 52.396373,4.913015 52.396201,4.91304 52.396108))";"POLYGON((52.396108 4.91304,52.395958 4.913085,52.395924 4.912705,52.39545 4.91282,52.395222 4.912862,52.394997 4.912888,52.394773 4.912879,52.394548 4.912848,52.394436 4.912338,52.397137 4.91077,52.397266 4.910723,52.39816 4.910217,52.398211 4.910215,52.398313 4.910684,52.398303 4.910736,52.398259 4.910801,52.397977 4.911173,52.397742 4.911453,52.397394 4.911825,52.397268 4.911938,52.396902 4.91222,52.396688 4.912356,52.396306 4.912567,52.396373 4.912946,52.396201 4.913015,52.396108 4.91304))";4.911655;52.3963675;
1288;"Schoolwerktuin";"Ridderbos Schooltuin";"Burgemeester De Vlugtlaan 2";"https://www.amsterdam.nl/onderwijs-jeugd/basisonderwijs/natuur-milieu/ridderbos/";"POLYGON((4.836853 52.379257,4.83687 52.379287,4.836778 52.379302,4.836757 52.379311,4.836729 52.37934,4.836728 52.379372,4.837821 52.382011,4.837821 52.38211,4.838548 52.381993,4.838512 52.381947,4.838337 52.381623,4.837981 52.380801,4.837303 52.37911,4.836881 52.379175,4.836734 52.379183,4.836609 52.379204,4.836651 52.379255,4.836696 52.379276,4.836724 52.379278,4.836853 52.379257))";"POLYGON((52.379257 4.836853,52.379287 4.83687,52.379302 4.836778,52.379311 4.836757,52.37934 4.836729,52.379372 4.836728,52.382011 4.837821,52.38211 4.837821,52.381993 4.838548,52.381947 4.838512,52.381623 4.838337,52.380801 4.837981,52.37911 4.837303,52.379175 4.836881,52.379183 4.836734,52.379204 4.836609,52.379255 4.836651,52.379276 4.836696,52.379278 4.836724,52.379257 4.836853))";4.8375835;52.380603;
1289;"Schoolwerktuin";"Wagner Schooltuin";"Provincialeweg 53";"https://www.amsterdam.nl/onderwijs-jeugd/basisonderwijs/natuur-milieu/wagner/";"POLYGON((4.987394 52.326406,4.987455 52.326508,4.987594 52.326902,4.987691 52.327039,4.987777 52.327127,4.988004 52.327287,4.988274 52.32744,4.988403 52.327494,4.988581 52.327554,4.988728 52.327566,4.988768 52.327608,4.989162 52.327328,4.98947 52.327039,4.989985 52.326522,4.990176 52.326303,4.990285 52.326161,4.990401 52.325965,4.990474 52.325814,4.990201 52.325681,4.990177 52.325737,4.990142 52.325759,4.989439 52.325718,4.989379 52.325536,4.989347 52.325512,4.989228 52.325548,4.988749 52.325656,4.988702 52.325677,4.988661 52.325708,4.988167 52.326229,4.988093 52.326269,4.987941 52.326288,4.987394 52.326406))";"POLYGON((52.326406 4.987394,52.326508 4.987455,52.326902 4.987594,52.327039 4.987691,52.327127 4.987777,52.327287 4.988004,52.32744 4.988274,52.327494 4.988403,52.327554 4.988581,52.327566 4.988728,52.327608 4.988768,52.327328 4.989162,52.327039 4.98947,52.326522 4.989985,52.326303 4.990176,52.326161 4.990285,52.325965 4.990401,52.325814 4.990474,52.325681 4.990201,52.325737 4.990177,52.325759 4.990142,52.325718 4.989439,52.325536 4.989379,52.325512 4.989347,52.325548 4.989228,52.325656 4.988749,52.325677 4.988702,52.325708 4.988661,52.326229 4.988167,52.326269 4.988093,52.326288 4.987941,52.326406 4.987394))";4.988939;52.326553;
1290;"Schoolwerktuin";"Gaasperdam Schooltuin";"Meerkerkdreef 33";"https://www.amsterdam.nl/onderwijs-jeugd/basisonderwijs/natuur-milieu/gaasperdam/";"POLYGON((4.972754 52.305513,4.972688 52.305502,4.972682 52.305519,4.972155 52.305433,4.971727 52.305815,4.971679 52.305844,4.970985 52.305924,4.970922 52.305937,4.97091 52.305958,4.971002 52.306215,4.970994 52.306243,4.970964 52.306263,4.970906 52.306267,4.970618 52.306195,4.970571 52.306194,4.969895 52.306429,4.969887 52.306444,4.969938 52.306628,4.969961 52.306642,4.971182 52.306987,4.971239 52.306992,4.971283 52.306983,4.973204 52.305609,4.972873 52.305554,4.97288 52.305535,4.972754 52.305513))";"POLYGON((52.305513 4.972754,52.305502 4.972688,52.305519 4.972682,52.305433 4.972155,52.305815 4.971727,52.305844 4.971679,52.305924 4.970985,52.305937 4.970922,52.305958 4.97091,52.306215 4.971002,52.306243 4.970994,52.306263 4.970964,52.306267 4.970906,52.306195 4.970618,52.306194 4.970571,52.306429 4.969895,52.306444 4.969887,52.306628 4.969938,52.306642 4.969961,52.306987 4.971182,52.306992 4.971239,52.306983 4.971283,52.305609 4.973204,52.305554 4.972873,52.305535 4.97288,52.305513 4.972754))";4.9715505;52.3062055;
1291;"Schoolwerktuin";"Vink Schooltuin";"Nobelweg 31";"https://www.amsterdam.nl/onderwijs-jeugd/basisonderwijs/natuur-milieu/vink/";"MULTIPOLYGON(((4.929293 52.349129,4.929865 52.349473,4.930618 52.348987,4.930049 52.348653,4.929293 52.349129)),((4.928994 52.350035,4.929596 52.349646,4.929002 52.349312,4.928399 52.349691,4.928994 52.350035)))";"MULTIPOLYGON(((52.349129 4.929293,52.349473 4.929865,52.348987 4.930618,52.348653 4.930049,52.349129 4.929293)),((52.350035 4.928994,52.349646 4.929596,52.349312 4.929002,52.349691 4.928399,52.350035 4.928994)))";4.9295135;52.349337;
1292;"Schoolwerktuin";"Broekhuijsen-Leewis Schooltuin";"J.H. van Heekpad 5";"https://www.amsterdam.nl/onderwijs-jeugd/basisonderwijs/natuur-milieu/broekhuijsen/";"POLYGON((4.950484 52.401248,4.949848 52.400627,4.950312 52.400432,4.950108 52.400234,4.950376 52.4001,4.951175 52.400954,4.950484 52.401248))";"POLYGON((52.401248 4.950484,52.400627 4.949848,52.400432 4.950312,52.400234 4.950108,52.4001 4.950376,52.400954 4.951175,52.401248 4.950484))";4.9505165;52.400667;
1293;"Schoolwerktuin";"Roos Schooltuin";"Overbrakerpad 2-4";"https://www.amsterdam.nl/onderwijs-jeugd/basisonderwijs/natuur-milieu/roosschooltuin/";"POLYGON((4.864677 52.387714,4.864682 52.386677,4.8644 52.38662,4.863964 52.386609,4.863601 52.387354,4.863517 52.387716,4.864677 52.387714))";"POLYGON((52.387714 4.864677,52.386677 4.864682,52.38662 4.8644,52.386609 4.863964,52.387354 4.863601,52.387716 4.863517,52.387714 4.864677))";4.8641045;52.3871555;

