OBJECTNUMMER;Naam;Hoofdgroep;Functie;Foto;Website;Opmerking;Begin;Eind;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
193;"Gortmolen De Hoyberg 1613-1875";"Productie";"";"B7Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1875;"PRODUCTIE";"POINT(4.8776772,52.3768508)";"POINT(52.3768508,4.8776772)";4.8776772;52.3768508;
194;"Korenmolen De Blom 1613-1877";"Productie";"";"B8Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1877;"PRODUCTIE";"POINT(4.876229,52.3744666)";"POINT(52.3744666,4.876229)";4.876229;52.3744666;
195;"Korenmolen De Smeerpot/ De Victor 1613-1898";"Productie";"";"B9Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1898;"PRODUCTIE";"POINT(4.8756492,52.3718917)";"POINT(52.3718917,4.8756492)";4.8756492;52.3718917;
196;"Zeemtouwersmolen De Grote Stinkmolen 1613-1808";"Productie";"";"B10Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1808;"PRODUCTIE";"POINT(4.8772271,52.369435)";"POINT(52.369435,4.8772271)";4.8772271;52.369435;
197;"Zeemtouwersmolen De Star/ Kleine Stinkmolen 1613-1797";"Productie";"";"B11Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1797;"PRODUCTIE";"POINT(4.8787291,52.36715)";"POINT(52.36715,4.8787291)";4.8787291;52.36715;
198;"Korenmolen De Liefde 1663-1870";"Productie";"";"B12Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1870;"PRODUCTIE";"POINT(4.8804772,52.3647391)";"POINT(52.3647391,4.8804772)";4.8804772;52.3647391;
199;"Korenmolen De Roomolen 1663-1844";"Productie";"";"B13Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1844;"PRODUCTIE";"POINT(4.883106,52.3627593)";"POINT(52.3627593,4.883106)";4.883106;52.3627593;
200;"Korenmolen De Spring 1663-1874";"Productie";"";"B14Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1874;"PRODUCTIE";"POINT(4.88641,52.3611914)";"POINT(52.3611914,4.88641)";4.88641;52.3611914;
201;"Korenmolen De Wetering 1663-1873";"Productie";"";"B15Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1873;"PRODUCTIE";"POINT(4.8896291,52.3596541)";"POINT(52.3596541,4.8896291)";4.8896291;52.3596541;
202;"Korenmolen De Hoop 1663-1868";"Productie";"";"B16Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1868;"PRODUCTIE";"POINT(4.8937809,52.3592116)";"POINT(52.3592116,4.8937809)";4.8937809;52.3592116;
203;"Korenmolen De Roode Haan 1663-1872";"Productie";"";"B17Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1872;"PRODUCTIE";"POINT(4.898113,52.3589903)";"POINT(52.3589903,4.898113)";4.898113;52.3589903;
204;"Korenmolen De Groen/ De Leeuw 1663-1868";"Productie";"";"B18Molen.jpg";"";"";1663;1868;"PRODUCTIE";"POINT(4.902128,52.3597991)";"POINT(52.3597991,4.902128)";4.902128;52.3597991;
205;"Korenmolen De Groen/ De Leeuw 1663-1868";"Productie";"";"B18Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1868;"PRODUCTIE";"POINT(4.902128,52.3597991)";"POINT(52.3597991,4.902128)";4.902128;52.3597991;
206;"Korenmolen De Bul 1663-1863";"Productie";"";"B19Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1863;"PRODUCTIE";"POINT(4.906184,52.3605391)";"POINT(52.3605391,4.906184)";4.906184;52.3605391;
207;"Korenmolen De Fortuin 1663-1863";"Productie";"";"B20Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1863;"PRODUCTIE";"POINT(4.9100778,52.3613249)";"POINT(52.3613249,4.9100778)";4.9100778;52.3613249;
208;"Korenmolen De Valk 1663-1870";"Productie";"";"B21Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1870;"PRODUCTIE";"POINT(4.9139841,52.3620574)";"POINT(52.3620574,4.9139841)";4.9139841;52.3620574;
209;"Korenmolen De Drie Prinsen/ De Hond 1663-1865";"Productie";"";"B22Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1865;"PRODUCTIE";"POINT(4.9178569,52.3628775)";"POINT(52.3628775,4.9178569)";4.9178569;52.3628775;
210;"Korenmolen De Ruyter 1663-1863";"Productie";"";"B23Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1863;"PRODUCTIE";"POINT(4.9214079,52.3642737)";"POINT(52.3642737,4.9214079)";4.9214079;52.3642737;
211;"Korenmolen De Gooyer1663-1814";"Productie";"";"B24Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1814;"PRODUCTIE";"POINT(4.924423,52.3661925)";"POINT(52.3661925,4.924423)";4.924423;52.3661925;
212;"Houtzaagmolen Oostindische Compagnie";"Productie";"";"B25Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1788;"PRODUCTIE";"POINT(4.9274909,52.3679358)";"POINT(52.3679358,4.9274909)";4.9274909;52.3679358;
213;"Chocolade/loodwitmolen De Zon 1663-1856";"Productie";"";"B26Molen.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1856;"PRODUCTIE";"POINT(4.9303558,52.3697745)";"POINT(52.3697745,4.9303558)";4.9303558;52.3697745;
214;"Admiraliteitswerf/Marineterrein 1657";"Productie";"";"Admiraliteitswerf.jpg";"";"Bron: Gerrit de Broen 1774-1782";1657;0;"PRODUCTIE";"POINT(4.9163439,52.3722922)";"POINT(52.3722922,4.9163439)";4.9163439;52.3722922;
215;"Peperwerf Rapenburg 1602-1660";"Productie";"";"peperwerf.jpg";"";"";1602;1660;"PRODUCTIE";"POINT(4.9088118,52.3718268)";"POINT(52.3718268,4.9088118)";4.9088118;52.3718268;
216;"Werven Bickerseiland ca. 1640-1725";"Productie";"";"Bickerseilandzoom.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1657";1640;1725;"PRODUCTIE";"POINT(4.889168,52.3849379)";"POINT(52.3849379,4.889168)";4.889168;52.3849379;
217;"Werven Marken 1602-1700";"Productie";"";"Marken.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1602;1700;"PRODUCTIE";"POINT(4.906194,52.3697058)";"POINT(52.3697058,4.906194)";4.906194;52.3697058;
218;"Werven Uilenburg 1593-1660";"Productie";"";"Uilenburg.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1593;1660;"PRODUCTIE";"POINT(4.9051592,52.3705298)";"POINT(52.3705298,4.9051592)";4.9051592;52.3705298;
219;"Pottenbakkerij Blankenburg 1754-1764";"Productie";"";"";"";"";1754;1764;"PRODUCTIE";"POINT(4.866379,52.3601157)";"POINT(52.3601157,4.866379)";4.866379;52.3601157;
220;"Lijnbanen Oostenburg 1661-1943";"Productie";"";"lijnbaanVOC Admiraliteit.jpg";"";"Bron: Gerrit de Broen 1774-1782";1661;1943;"PRODUCTIE";"POINT(4.9281299,52.3696982)";"POINT(52.3696982,4.9281299)";4.9281299;52.3696982;
221;"Bolwerk 1592-1663";"Militair";"";"bolwerk 2e A.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1592;1663;"MILITAIR";"POINT(4.8894999,52.3660819)";"POINT(52.3660819,4.8894999)";4.8894999;52.3660819;
222;"Bolwerk 1592-1663";"Militair";"";"bolwerk 2e B.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1592;1663;"MILITAIR";"POINT(4.894264,52.3653227)";"POINT(52.3653227,4.894264)";4.894264;52.3653227;
223;"Bolwerk 1592-1663";"Militair";"";"bolwerk 2e C.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1592;1663;"MILITAIR";"POINT(4.8999069,52.3658835)";"POINT(52.3658835,4.8999069)";4.8999069;52.3658835;
224;"Bolwerk 1592-1663";"Militair";"";"bolwerk 2e D.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1592;1663;"MILITAIR";"POINT(4.9029329,52.3665663)";"POINT(52.3665663,4.9029329)";4.9029329;52.3665663;
225;"Bolwerk 1592-1663";"Militair";"";"bolwerk 2e E.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1592;1663;"MILITAIR";"POINT(4.9065478,52.3680312)";"POINT(52.3680312,4.9065478)";4.9065478;52.3680312;
226;"Bolwerk 1592-1663";"Militair";"";"bolwerk 2e F.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1592;1663;"MILITAIR";"POINT(4.9093492,52.3693358)";"POINT(52.3693358,4.9093492)";4.9093492;52.3693358;
