OBJECTNUMMER;Naam;Hoofdgroep;Functie;Foto;Website;Opmerking;Begin;Eind;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
19;"Sint-Agnes- of Agnietenklooster 1397-1578";"Religie";"Klooster";"Agnietenklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1397;1578;"RELIGIE";"POINT(4.89519,52.3701407)";"POINT(52.3701407,4.89519)";4.89519;52.3701407;
20;"Sint-Dionisius- of Nieuwe Nonnenklooster 1403-1578";"Religie";"Klooster";"Nieuwe Nonnenklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1403;1578;"RELIGIE";"POINT(4.8940251,52.3683364)";"POINT(52.3683364,4.8940251)";4.8940251;52.3683364;
21;"Sint-Margarethaconvent of Margrietenklooster 1406-1578";"Religie";"Klooster";"Margrietenconvent.jpg";"";"Bron: Cornelis Anthonisz 1544";1406;1578;"RELIGIE";"POINT(4.8941352,52.3709876)";"POINT(52.3709876,4.8941352)";4.8941352;52.3709876;
22;"Sint-Paulusbroedersklooster 1409-1579";"Religie";"Klooster";"Paulusbroedersconvent.jpg";"";"Bron: Cornelis Anthonisz 1544";1409;1579;"RELIGIE";"POINT(4.8976839,52.3710028)";"POINT(52.3710028,4.8976839)";4.8976839;52.3710028;
23;"Sint-Ceciliënklooster 1411-1578";"Religie";"Klooster";"Sint Cecilienklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1411;1578;"RELIGIE";"POINT(4.895818,52.3710524)";"POINT(52.3710524,4.895818)";4.895818;52.3710524;
24;"Sint-Maria Magdalenaklooster 1411-1579";"Religie";"Klooster";"Sint MariaMagdalenaklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1411;1579;"RELIGIE";"POINT(4.894161,52.3704421)";"POINT(52.3704421,4.894161)";4.894161;52.3704421;
25;"Sint-Catrijnenklooster  1412-1578";"Religie";"Klooster";"Catharinaklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1412;1578;"RELIGIE";"POINT(4.8955238,52.3706595)";"POINT(52.3706595,4.8955238)";4.8955238;52.3706595;
26;"Luciënconvent 1414-1578";"Religie";"Klooster";"Sint Lucienconvent.jpg";"";"Bron: Cornelis Anthonisz 1544";1414;1578;"RELIGIE";"POINT(4.890444,52.3702437)";"POINT(52.3702437,4.890444)";4.890444;52.3702437;
27;"Sint-Mariaconvent 1417-1578";"Religie";"Klooster";"Sint Mariaconvent.jpg";"";"Bron: Cornelis Anthonisz 1544";1417;1578;"RELIGIE";"POINT(4.8929999,52.3695456)";"POINT(52.3695456,4.8929999)";4.8929999;52.3695456;
28;"Sint-Ursula of Elf Duizend Maagdenconvent 1419-1578";"Religie";"Klooster";"Sint Ursulaklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1419;1578;"RELIGIE";"POINT(4.8974812,52.3704192)";"POINT(52.3704192,4.8974812)";4.8974812;52.3704192;
29;"Sint-Barbaraconvent 1425-1578";"Religie";"Klooster";"Sint Barbaraconvent.jpg";"";"";1425;1578;"RELIGIE";"POINT(4.894078,52.3700148)";"POINT(52.3700148,4.894078)";4.894078;52.3700148;
30;"Stadhuis 1390-1652";"Openbaar";"";"Stadhuis1544.jpg";"";"Bron: Cornelis Anthonisz 1544";1390;1652;"OPENBAAR";"POINT(4.892133,52.3730704)";"POINT(52.3730704,4.892133)";4.892133;52.3730704;
31;"Korsjespoort ca. 1490-1600";"Militair";"Poort";"Korsjespoort.jpg";"";"Bron: Cornelis Anthonisz 1544";1485;1610;"MILITAIR";"POINT(4.8923948,52.3769309)";"POINT(52.3769309,4.8923948)";4.8923948;52.3769309;
32;"Sint Olofskapel/ Oudezijds Kapel 1450-1586";"Religie";"Kapel";"SintOlofskapel.jpg";"";"Bron: Cornelis Anthonisz 1544";1450;1586;"RELIGIE";"POINT(4.899956,52.376145)";"POINT(52.376145,4.899956)";4.899956;52.376145;
33;"Sint-Jacobskapel 1435-1752";"Religie";"Kapel";"SintJakobskapel.jpg";"";"Bron: Cornelis Anthonisz 1544";1435;1752;"RELIGIE";"POINT(4.896909,52.3772322)";"POINT(52.3772322,4.896909)";4.896909;52.3772322;
34;"Heilige Sacramentsgasthuis 1422-1544";"Openbaar";"Gasthuis";"Sacramentsgasthuis.jpg";"";"Bron: Cornelis Anthonisz 1544";1422;1544;"OPENBAAR";"POINT(4.8912709,52.3701674)";"POINT(52.3701674,4.8912709)";4.8912709;52.3701674;
37;"Sint-Nicolaasgasthuis 1403-1867";"Openbaar";"Gasthuis";"Leprozenhuis.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1657";1403;1867;"OPENBAAR";"POINT(4.904454,52.3680579)";"POINT(52.3680579,4.904454)";4.904454;52.3680579;
38;"Sint Geertruidenklooster 1432-1578";"Religie";"Klooster";"SintGeertruidenklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1432;1578;"RELIGIE";"POINT(4.8931911,52.3754202)";"POINT(52.3754202,4.8931911)";4.8931911;52.3754202;
39;"Cellebroedersklooster 1440-1578";"Religie";"Klooster";"Cellebroedersklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1440;1578;"RELIGIE";"POINT(4.8932569,52.3704802)";"POINT(52.3704802,4.8932569)";4.8932569;52.3704802;
40;"Sint Maria Magdalenaklooster in Bethanien 1462-1578";"Religie";"Klooster";"Bethanienklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1462;1578;"RELIGIE";"POINT(4.898453,52.3718192)";"POINT(52.3718192,4.898453)";4.898453;52.3718192;
41;"Minderbroeders- of Grauwmonnikenklooster 1462-1578";"Religie";"Klooster";"Minderbroedersklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1462;1578;"RELIGIE";"POINT(4.8994458,52.3729865)";"POINT(52.3729865,4.8994458)";4.8994458;52.3729865;
42;"Cellezusters- of St.-Alexiusklooster 1475-1616";"Religie";"Klooster";"Cellezustersklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1475;1616;"RELIGIE";"POINT(4.8999021,52.373738)";"POINT(52.373738,4.8999021)";4.8999021;52.373738;
43;"Clarissenklooster 1494-1579";"Religie";"Klooster";"Clarissenklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1494;1579;"RELIGIE";"POINT(4.891989,52.3673216)";"POINT(52.3673216,4.891989)";4.891989;52.3673216;
44;"Zuiderkerk 1611";"Religie";"Kerk";"Zuiderkerk (2).jpg";"";"Bron: Gerrit de Broen 1774-1782";1611;0;"RELIGIE";"POINT(4.8997629,52.3702628)";"POINT(52.3702628,4.8997629)";4.8997629;52.3702628;
45;"Westerkerk 1620";"Religie";"Kerk";"Westerkerk.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1620;0;"RELIGIE";"POINT(4.8838732,52.374478)";"POINT(52.374478,4.8838732)";4.8838732;52.374478;
46;"Noorderkerk 1623";"Religie";"Kerk";"Noorderkerk.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1623;0;"RELIGIE";"POINT(4.8864491,52.3796202)";"POINT(52.3796202,4.8864491)";4.8864491;52.3796202;
47;"Heiligewegspoort 1610-1663";"Militair";"Poort";"Heiligewegspoort 1625.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1610;1663;"MILITAIR";"POINT(4.8885152,52.3668143)";"POINT(52.3668143,4.8885152)";4.8885152;52.3668143;
48;"Haarlemmerpoort 1615-1837";"Militair";"Poort";"Haarlemmerpoort1625.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1615;1837;"MILITAIR";"POINT(4.8833549,52.3848578)";"POINT(52.3848578,4.8833549)";4.8833549;52.3848578;
49;"Zaagmolenpoort 1613-1857";"Militair";"Poort";"Zaagmolenpoort.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1857;"MILITAIR";"POINT(4.8789451,52.3789412)";"POINT(52.3789412,4.8789451)";4.8789451;52.3789412;
50;"Raampoort 1648-1844";"Militair";"Poort";"Raampoort.jpg";"";"Bron: Gerrit de Broen 1774-1782";1648;1844;"MILITAIR";"POINT(4.8763411,52.3741194)";"POINT(52.3741194,4.8763411)";4.8763411;52.3741194;
51;"Regulierspoort 1591-1688";"Militair";"Poort";"Regulierspoort 1657.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1657";1591;1688;"MILITAIR";"POINT(4.8962829,52.3659789)";"POINT(52.3659789,4.8962829)";4.8962829;52.3659789;
52;"Sint-Anthonispoort 1617-1663";"Militair";"Poort";"Sint Anthonispoort 2.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1657";1617;1663;"MILITAIR";"POINT(4.9053829,52.3679892)";"POINT(52.3679892,4.9053829)";4.9053829;52.3679892;
53;"Pesthuis 1616-1635";"Openbaar";"Gasthuis";"";"";"";1616;1635;"OPENBAAR";"POINT(4.886739,52.3659865)";"POINT(52.3659865,4.886739)";4.886739;52.3659865;
54;"Dolhuis 1562-1793";"Openbaar";"Gasthuis";"Dolhuis.jpg";"";"Bron: Gerrit de Broen 1774-1782";1562;1793;"OPENBAAR";"POINT(4.8973868,52.3707472)";"POINT(52.3707472,4.8973868)";4.8973868;52.3707472;
55;"Aalmoezeniershuis 1578-1666";"Openbaar";"Gasthuis";"Aalmoeseniershuis.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1578;1666;"OPENBAAR";"POINT(4.890887,52.3672759)";"POINT(52.3672759,4.890887)";4.890887;52.3672759;
56;"Rasphuis 1596-1815";"Openbaar";"Strafinrichting";"Rasp.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1596;1815;"OPENBAAR";"POINT(4.891227,52.3675276)";"POINT(52.3675276,4.891227)";4.891227;52.3675276;
57;"Spinhuis 1597-1782";"Openbaar";"Strafinrichting";"Spinhuis.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1597;1782;"OPENBAAR";"POINT(4.8971078,52.3705832)";"POINT(52.3705832,4.8971078)";4.8971078;52.3705832;
58;"Burgerweeshuis 1579-1966";"Openbaar";"Weeshuis";"Burgerweeshuis.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1579;1966;"OPENBAAR";"POINT(4.8905332,52.3703047)";"POINT(52.3703047,4.8905332)";4.8905332;52.3703047;
59;"Oudemannen- en Oudevrouwengasthuis 1601";"Openbaar";"Ouderenzorg";"Oude mannenhuis.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1601;0;"OPENBAAR";"POINT(4.8976839,52.3710028)";"POINT(52.3710028,4.8976839)";4.8976839;52.3710028;
60;"Prinsenhof 1661-1795";"Openbaar";"Admiraliteit";"Prinsenhof I.jpg";"";"Bron: Gerrit de Broen 1774-1782";1661;1795;"OPENBAAR";"POINT(4.8955338,52.3709761)";"POINT(52.3709761,4.8955338)";4.8955338;52.3709761;
61;"De Beurs van Hendrick de Keyser 1611-1838";"Openbaar";"Financieel";"Beurs 1611.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1611;1838;"OPENBAAR";"POINT(4.89312,52.3720748)";"POINT(52.3720748,4.89312)";4.89312;52.3720748;
62;"Wisselbank 1609-1820";"Openbaar";"";"wisselbank.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1609;1820;"OPENBAAR";"POINT(4.8922131,52.3732955)";"POINT(52.3732955,4.8922131)";4.8922131;52.3732955;
63;"Stadsbank van Lening 1614";"Openbaar";"Financieel";"";"";"";1614;0;"OPENBAAR";"POINT(4.894429,52.3709571)";"POINT(52.3709571,4.894429)";4.894429;52.3709571;
64;"De Waag 1617";"Openbaar";"";"Waag Nieuwmarkt.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1617;0;"OPENBAAR";"POINT(4.9003498,52.3728072)";"POINT(52.3728072,4.9003498)";4.9003498;52.3728072;
66;"Montelbaanstoren 1517";"Militair";"";"Montelbaanstoren.jpg";"";"Bron: Cornelis Anthonisz 1544";1517;0;"MILITAIR";"POINT(4.9056661,52.3720137)";"POINT(52.3720137,4.9056661)";4.9056661;52.3720137;
67;"Begijnhofkapel 1671";"Religie";"Kapel";"";"";"";1671;0;"RELIGIE";"POINT(4.8896372,52.3693129)";"POINT(52.3693129,4.8896372)";4.8896372;52.3693129;
68;"Bolwerk Blaauwhoofd 1613-1830";"Militair";"";"B1.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1830;"MILITAIR";"POINT(4.8899701,52.3894278)";"POINT(52.3894278,4.8899701)";4.8899701;52.3894278;
69;"Bolwerk De Bogt 1613-1830";"Militair";"";"B2.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1830;"MILITAIR";"POINT(4.8854229,52.3887145)";"POINT(52.3887145,4.8854229)";4.8854229;52.3887145;
70;"Bolwerk Westerbeer 1613-1830";"Militair";"";"B3.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1830;"MILITAIR";"POINT(4.8836482,52.3864943)";"POINT(52.3864943,4.8836482)";4.8836482;52.3864943;
71;"Bolwerk Sloterdijk 1613-1813";"Militair";"";"B4.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1813;"MILITAIR";"POINT(4.8820851,52.3840415)";"POINT(52.3840415,4.8820851)";4.8820851;52.3840415;
72;"Bolwerk Haarlem 1613-1815";"Militair";"";"B5.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1815;"MILITAIR";"POINT(4.8805592,52.3816344)";"POINT(52.3816344,4.8805592)";4.8805592;52.3816344;
73;"Bolwerk Karthuizers 1613-1875";"Militair";"";"B6.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1875;"MILITAIR";"POINT(4.8790719,52.3792769)";"POINT(52.3792769,4.8790719)";4.8790719;52.3792769;
74;"Bolwerk Slotermeer 1613-1875";"Militair";"";"B7.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1875;"MILITAIR";"POINT(4.8774521,52.3768241)";"POINT(52.3768241,4.8774521)";4.8774521;52.3768241;
75;"Bolwerk Rijkeroord 1613-1877";"Militair";"";"B8.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1877;"MILITAIR";"POINT(4.8760021,52.3744437)";"POINT(52.3744437,4.8760021)";4.8760021;52.3744437;
76;"Bolwerk Rijk 1613-1807";"Militair";"";"B9.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1807;"MILITAIR";"POINT(4.8753889,52.3718459)";"POINT(52.3718459,4.8753889)";4.8753889;52.3718459;
77;"Bolwerk Nieuwkerk 1613-1807";"Militair";"";"B10.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1807;"MILITAIR";"POINT(4.8769309,52.3693701)";"POINT(52.3693701,4.8769309)";4.8769309;52.3693701;
78;"Bolwerk Osdorp 1613-1807";"Militair";"";"B11.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1807;"MILITAIR";"POINT(4.8784721,52.3670928)";"POINT(52.3670928,4.8784721)";4.8784721;52.3670928;
79;"Bolwerk Sloten 1613-1807";"Militair";"";"B12.jpg";"";"Bron: Gerrit de Broen 1774-1782";1613;1807;"MILITAIR";"POINT(4.8802612,52.3646666)";"POINT(52.3646666,4.8802612)";4.8802612;52.3646666;
80;"Bolwerk Schinkel 1663-1805";"Militair";"";"B13.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1805;"MILITAIR";"POINT(4.8829148,52.3626296)";"POINT(52.3626296,4.8829148)";4.8829148;52.3626296;
81;"Bolwerk Amstelveen 1663-1804";"Militair";"";"B14.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1804;"MILITAIR";"POINT(4.8861892,52.3610312)";"POINT(52.3610312,4.8861892)";4.8861892;52.3610312;
82;"Bolwerk Wetering 1663-1803";"Militair";"";"B15.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1803;"MILITAIR";"POINT(4.8895571,52.3595015)";"POINT(52.3595015,4.8895571)";4.8895571;52.3595015;
83;"Bolwerk Reguliers 1663-1804";"Militair";"";"B16.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1804;"MILITAIR";"POINT(4.8937819,52.359162)";"POINT(52.359162,4.8937819)";4.8937819;52.359162;
84;"Bolwerk Ouderkerk 1663-1804";"Militair";"";"B17.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1804;"MILITAIR";"POINT(4.898062,52.3589026)";"POINT(52.3589026,4.898062)";4.898062;52.3589026;
85;"Bolwerk Westerblokhuis 1663-1877";"Militair";"";"B18.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1877;"MILITAIR";"POINT(4.9021628,52.3596236)";"POINT(52.3596236,4.9021628)";4.9021628;52.3596236;
86;"Bolwerk Oosterblokhuis 1663-1864";"Militair";"";"B19.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1864;"MILITAIR";"POINT(4.9062431,52.3603713)";"POINT(52.3603713,4.9062431)";4.9062431;52.3603713;
87;"Bolwerk Weesp 1663-1807";"Militair";"";"B20.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1807;"MILITAIR";"POINT(4.9101341,52.3611762)";"POINT(52.3611762,4.9101341)";4.9101341;52.3611762;
88;"Bolwerk Diemen 1663-1756";"Militair";"";"B21.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1756;"MILITAIR";"POINT(4.9140441,52.3619086)";"POINT(52.3619086,4.9140441)";4.9140441;52.3619086;
89;"Bolwerk Muiden 1663-1809";"Militair";"";"B22.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1809;"MILITAIR";"POINT(4.917937,52.362702)";"POINT(52.362702,4.917937)";4.917937;52.362702;
90;"Bolwerk Oetewaal 1663-1810";"Militair";"";"B23.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1810;"MILITAIR";"POINT(4.9215372,52.3641287)";"POINT(52.3641287,4.9215372)";4.9215372;52.3641287;
91;"Bolwerk Oosterbeer 1663-1844";"Militair";"";"B24.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1844;"MILITAIR";"POINT(4.9245651,52.3660781)";"POINT(52.3660781,4.9245651)";4.9245651;52.3660781;
92;"Bolwerk Jaap Hannes 1663-1788";"Militair";"";"B25.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1788;"MILITAIR";"POINT(4.927614,52.3678137)";"POINT(52.3678137,4.927614)";4.927614;52.3678137;
93;"Bolwerk Zeeburg 1663-1877";"Militair";"";"B26.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1877;"MILITAIR";"POINT(4.9305861,52.3696791)";"POINT(52.3696791,4.9305861)";4.9305861;52.3696791;
94;"Walenweeshuis 1683-1967";"Openbaar";"Weeshuis";"Walenweeshuis.jpg";"";"Bron: Gerrit de Broen 1774-1782";1683;1967;"OPENBAAR";"POINT(4.8912761,52.3618018)";"POINT(52.3618018,4.8912761)";4.8912761;52.3618018;
95;"Aalmoezeniersweeshuis 1666-1825";"Openbaar";"Weeshuis";"Aalmoezeniersweeshuis II.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1666;1825;"OPENBAAR";"POINT(4.8831489,52.3653838)";"POINT(52.3653838,4.8831489)";4.8831489;52.3653838;
96;"Oosterkerk 1671";"Religie";"Kerk";"Oosterkerk.jpg";"";"Bron: Gerrit de Broen 1774-1782";1671;0;"RELIGIE";"POINT(4.9192722,52.3699805)";"POINT(52.3699805,4.9192722)";4.9192722;52.3699805;
97;"Amstelkerk 1668";"Religie";"Kerk";"Amstelkerk.jpg";"";"Bron: Gerrit de Broen 1774-1782";1668;0;"RELIGIE";"POINT(4.8966768,52.3623015)";"POINT(52.3623015,4.8966768)";4.8966768;52.3623015;
98;"Eilandskerk 1659-1939";"Religie";"Kerk";"Eilandskerk.jpg";"";"Bron: Gerrit de Broen 1774-1782";1659;1939;"RELIGIE";"POINT(4.8884041,52.3840834)";"POINT(52.3840834,4.8884041)";4.8884041;52.3840834;
99;"Nieuwe Lutherse Kerk 1671";"Religie";"Kerk";"Nieuwe Lutherse Kerk.jpg";"";"Bron: Gerrit de Broen 1774-1782";1671;0;"RELIGIE";"POINT(4.8937499,52.3779151)";"POINT(52.3779151,4.8937499)";4.8937499;52.3779151;
100;"Oude Lutherse Kerk 1633";"Religie";"Kerk";"Oude Lutherse Kerk.jpg";"";"Bron: Gerrit de Broen 1774-1782";1633;0;"RELIGIE";"POINT(4.8893511,52.3683707)";"POINT(52.3683707,4.8893511)";4.8893511;52.3683707;
123;"R.C. Maagdenhuis 1783";"Openbaar";"Weeshuis";"";"";"";1783;0;"OPENBAAR";"POINT(4.8902171,52.3685843)";"POINT(52.3685843,4.8902171)";4.8902171;52.3685843;
124;"Engels Presbyteriaanse Kerk 1607";"Religie";"Kerk";"Engelse kerk.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1607;0;"RELIGIE";"POINT(4.8901212,52.3693244)";"POINT(52.3693244,4.8901212)";4.8901212;52.3693244;
126;"Gasthuiskerk 1578-1864";"Religie";"Kerk";"Gasthuis Kerk.jpg";"";"Bron: Gerrit de Broen 1774-1782";1578;1864;"RELIGIE";"POINT(4.893604,52.3686072)";"POINT(52.3686072,4.893604)";4.893604;52.3686072;
127;"Kapel ter Heilige Stede/ Nieuwezijds Kapel 1345";"Religie";"Kapel";"Nwzijds Kapel.jpg";"";"Bron: Cornelis Anthonisz 1544";1345;1908;"RELIGIE";"POINT(4.8919308,52.3702323)";"POINT(52.3702323,4.8919308)";4.8919308;52.3702323;
135;"Nieuwe Synagoge 1752";"Religie";"Synagoge";"Nieuwe Synagoge.jpg";"";"Bron: Gerrit de Broen 1774-1782";1752;0;"RELIGIE";"POINT(4.9040682,52.3670165)";"POINT(52.3670165,4.9040682)";4.9040682;52.3670165;
140;"Portugese Synagoge 1671";"Religie";"Synagoge";"Portugese Synagoge.jpg";"";"Bron: Gerrit de Broen 1774-1782";1671;0;"RELIGIE";"POINT(4.9053609,52.3675276)";"POINT(52.3675276,4.9053609)";4.9053609;52.3675276;
144;"Synagoge aan de Uilenburgerstraat 1766";"Religie";"Synagoge";"Synagoge Uilenburg.jpg";"";"Bron: Gerrit de Broen 1774-1782";1766;0;"RELIGIE";"POINT(4.9053399,52.3701636)";"POINT(52.3701636,4.9053399)";4.9053399;52.3701636;
148;"Oude Walenkerk 1586";"Religie";"Kerk";"Walenkerk.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1586;0;"RELIGIE";"POINT(4.8972471,52.3710066)";"POINT(52.3710066,4.8972471)";4.8972471;52.3710066;
150;"Armeense Kerk 1714";"Religie";"Kerk";"Persiaanse kerk.jpg";"";"Bron: Gerrit de Broen 1774-1782";1714;0;"RELIGIE";"POINT(4.9020989,52.3717085)";"POINT(52.3717085,4.9020989)";4.9020989;52.3717085;
156;"Olofspoort gevangenis";"Openbaar";"Strafinrichting";"SintOlofspoort.jpg";"";"Bron: Cornelis Anthonisz 1544";1425;1618;"OPENBAAR";"POINT(4.8996699,52.3762175)";"POINT(52.3762175,4.8996699)";4.8996699;52.3762175;
157;"Magazijn Admiraliteit 1579-1632";"Openbaar";"Admiraliteit";"";"";"";1579;1632;"OPENBAAR";"POINT(4.8951199,52.3700644)";"POINT(52.3700644,4.8951199)";4.8951199;52.3700644;
159;"Leidsepoort 1663-1862";"Militair";"Poort";"Leidsepoort.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1862;"MILITAIR";"POINT(4.8822448,52.3638693)";"POINT(52.3638693,4.8822448)";4.8822448;52.3638693;
160;"Muiderpoort 1663";"Militair";"Poort";"Muiderpoort.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;0;"MILITAIR";"POINT(4.9194629,52.3637168)";"POINT(52.3637168,4.9194629)";4.9194629;52.3637168;
161;"Utrechtse Poort 1663-1859";"Militair";"Poort";"Utrechtsepoort.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1859;"MILITAIR";"POINT(4.9000518,52.3594977)";"POINT(52.3594977,4.9000518)";4.9000518;52.3594977;
162;"Weesperpoort 1663-1857";"Militair";"Poort";"Weesperpoort.jpg";"";"Bron: Gerrit de Broen 1774-1782";1663;1857;"MILITAIR";"POINT(4.9080398,52.3610465)";"POINT(52.3610465,4.9080398)";4.9080398;52.3610465;
