,ObjectDS,AmountDS,ExistenceDS,EventDS,PatchDS,LatticeDS,ContourDS,PointMeasuresDS,CoverageDS,NetworkDS,__actual_total
ObjectDS,44,4,1,3,7,1,0,1,0,2,63
AmountDS,1,2,0,1,0,0,0,0,0,0,4
ExistenceDS,0,0,0,0,1,0,0,0,0,0,1
EventDS,0,0,0,2,1,0,0,0,0,0,3
PatchDS,0,0,0,0,5,0,0,0,2,2,9
LatticeDS,0,0,0,0,0,12,0,0,0,0,12
ContourDS,0,0,0,0,1,0,3,0,0,0,4
PointMeasuresDS,0,0,0,0,0,0,0,3,0,0,3
CoverageDS,0,0,0,0,1,0,1,0,4,0,6
NetworkDS,0,2,0,0,0,0,0,0,0,7,9
__predicted_total,45,8,1,6,16,13,4,4,6,11,114
