,ObjectDS,AmountDS,ExistenceDS,EventDS,PatchDS,LatticeDS,ContourDS,PointMeasuresDS,CoverageDS,NetworkDS,__actual_total
ObjectDS,40,2,3,3,6,1,0,1,1,2,59
AmountDS,0,2,0,1,1,0,0,0,0,0,4
ExistenceDS,0,0,0,0,0,0,0,0,0,0,0
EventDS,0,1,0,1,0,0,0,0,0,0,2
PatchDS,0,0,0,0,12,0,0,0,2,1,15
LatticeDS,0,0,0,0,0,12,0,0,0,0,12
ContourDS,0,0,0,0,1,0,3,0,0,0,4
PointMeasuresDS,0,0,0,0,0,0,0,3,0,0,3
CoverageDS,0,0,0,0,1,0,1,0,4,0,6
NetworkDS,0,3,0,0,0,0,0,0,0,6,9
__predicted_total,40,8,3,5,21,13,4,4,7,9,114
